	TCGA.EA.A5ZF.01A.11R.A28H.07	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.EA.A3QD.01A.32R.A22U.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.14753.1626.SM.5NQ9L	TCGA.60.2697.01A.11R.2125.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.FE.A232.01A.11R.A14Y.07
ALG13	1286.18	872.1	974.5	612.11	400.71	651.58	320.8	688.78	665.29	674.59
AMMECR1	397.93	275.28	285.03	61.25	35.76	58.71	33.78	122.64	60.82	79.45
BCL7C	1721.16	1001.93	1508.65	194.36	220.32	447.82	209.84	629.35	928.3	1037.29
BOLA2	1015.93	555.41	878.17	92.05	107.38	204.07	127.89	353.59	329.84	217.27
BOLA2B	3081.75	3060.45	7857.29	521.76	723.08	1350.18	728.11	2591.27	1733.13	1359.57
BRCC3	1111.82	540.19	688.78	193.01	128.79	204.07	127.0	291.04	348.71	251.48
BUB1	490.14	204.07	267.73	3.41	0.55	10.31	0.0	191.67	131.51	19.68
C12orf45	559.28	265.87	607.87	140.04	190.34	265.87	165.57	307.69	226.54	260.38
C19orf40	234.57	90.14	107.38	16.15	3.32	31.0	11.38	53.95	49.56	54.72
CDCA3	1733.13	620.67	1331.57	9.7	8.32	32.59	6.78	312.0	358.54	44.89
CENPF	1519.15	775.05	723.08	13.12	3.03	17.25	5.19	309.83	162.14	21.78
CHAF1B	366.09	198.47	214.27	5.92	3.23	12.93	0.27	69.52	53.57	53.19
CMPK2	128.79	134.3	536.45	98.04	92.05	61.68	35.25	96.01	124.37	116.78
CSTF2	866.07	698.41	748.61	100.83	57.49	99.43	39.5	301.33	281.09	211.31
CTU2	647.07	373.81	612.11	191.67	329.84	221.86	140.04	361.04	265.87	379.04
DKC1	2032.85	1388.16	1991.0	303.44	417.77	384.34	140.04	1277.29	703.28	759.08
DNTTIP1	2255.7	896.64	1208.34	356.05	356.05	540.19	323.03	1001.93	909.17	842.36
DONSON	1369.04	638.15	878.17	220.32	183.82	269.6	128.79	356.05	237.86	297.17
DUSP12	435.55	500.46	460.44	135.24	133.36	215.77	71.5	420.68	368.65	323.03
EED	698.41	674.59	896.64	131.51	137.14	255.0	49.21	559.28	400.71	299.25
EMC9	915.51	708.18	1151.06	460.44	447.82	575.03	341.51	583.07	703.28	830.75
EMD	3901.01	2555.58	3257.52	1059.11	1322.37	1313.23	1250.98	2104.58	1819.35	2468.49
ERH	4268.94	3039.3	4704.07	1721.16	1427.22	2287.2	1313.23	3372.43	2178.83	2075.59
FAM50A	3564.78	2627.46	3901.01	780.44	785.88	1427.22	620.67	1832.01	1662.49	2367.9
FAM58A	830.75	753.83	1104.13	265.87	237.86	376.41	212.78	656.11	583.07	599.49
FBXO43	25.54	9.63	13.83	0.85	0.0	1.99	1.17	13.42	3.82	1.23
FUNDC1	1001.93	769.69	954.43	159.9	121.79	258.57	94.01	329.84	323.03	371.22
GEMIN2	813.63	316.37	348.71	106.63	132.44	147.06	53.19	316.37	217.27	187.71
GPN2	769.69	507.46	665.29	368.65	303.44	312.0	409.15	599.49	536.45	587.13
H2AFV	7857.29	4543.8	5791.62	1583.71	1268.46	1819.35	1477.58	3955.48	3419.52	1883.54
HAUS1	1313.23	764.36	1081.39	164.42	88.88	275.28	78.34	432.53	514.56	348.71
HMGB2	8363.13	4937.99	12244.81	316.37	438.59	753.83	647.07	3901.01	3928.15	1477.58
HNRNPA1	21026.65	25708.25	36357.37	6037.61	6516.03	11827.67	5112.16	27363.16	22692.63	20737.16
HNRNPD	8191.0	5183.54	7485.11	2119.22	1936.53	2400.97	1350.18	5995.9	5366.37	3540.14
IRAK1	2255.7	2090.03	2777.33	518.15	460.44	733.19	371.22	2664.15	1191.69	511.0
KIAA0101	2796.65	1183.45	1498.22	56.28	17.25	116.78	53.95	395.18	253.23	131.51
KIAA1731	214.27	185.11	305.55	43.63	23.59	80.01	16.63	201.25	120.94	117.6
KNTC1	1268.46	723.08	1096.5	19.53	27.64	85.82	12.83	417.77	195.72	167.9
LAGE3	2895.31	1250.98	1551.09	299.25	348.71	409.15	269.6	780.44	441.64	819.3
LSM6	1104.13	1066.48	1467.37	460.44	441.64	638.15	551.56	1015.93	947.83	571.05
MAGOH	2796.65	2573.36	3443.31	759.08	830.75	1313.23	679.29	1721.16	1388.16	1322.37
MAGOHB	928.3	583.07	928.3	312.0	297.17	363.56	236.21	575.03	447.82	318.57
MCTS1	1991.0	1369.04	2104.58	884.29	679.29	1135.2	738.29	1175.27	896.64	825.0
MIS18A	642.59	457.25	703.28	55.49	49.21	101.54	66.18	171.45	206.94	120.94
MMS22L	136.19	102.25	113.56	10.63	4.06	13.42	3.2	65.26	44.25	19.11
MND1	237.86	171.45	389.72	5.06	3.63	21.32	3.17	123.5	109.66	18.56
MPHOSPH6	1407.55	1059.11	1233.75	253.23	236.21	297.17	133.36	684.02	514.56	234.57
MRPL11	2400.97	1467.37	2537.92	1088.92	1167.14	1322.37	1295.13	1529.73	1844.76	988.12
NCAPH	603.67	327.56	679.29	5.92	4.46	26.47	4.82	164.42	131.51	18.7
NDC80	559.28	373.81	497.0	5.68	2.63	16.27	5.63	162.14	127.0	19.97
NGDN	1233.75	1059.11	2816.11	529.06	563.18	665.29	283.05	988.12	890.44	780.44
NUF2	656.11	379.04	708.18	4.06	2.16	8.0	1.58	155.5	87.03	12.74
NUP37	896.64	595.34	796.86	169.07	85.22	258.57	95.34	470.14	371.22	325.29
NUTF2	5219.6	2133.97	4769.75	1015.93	1066.48	1340.84	1167.14	2573.36	1991.0	1977.24
PDCD5	3982.99	2520.38	6294.04	1233.75	1397.83	2018.8	1295.13	2895.31	2367.9	1674.06
PFDN4	1709.26	1081.39	1806.78	366.09	295.11	651.58	389.72	854.13	848.22	503.95
PGP	728.11	253.23	379.04	87.03	107.38	148.09	92.05	208.38	239.52	251.48
PHF5A	1757.34	1143.1	1340.84	384.34	454.09	656.11	336.79	896.64	780.44	575.03
PIGF	896.64	435.55	503.95	248.0	224.97	343.89	209.84	547.75	403.5	486.75
PLAC1	16.51	3.66	24.11	0.0	0.0	1.51	0.0	9.06	2.16	0.0
PNLIP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06632494645E9
POLR3K	842.36	403.5	521.76	169.07	121.79	239.52	194.36	262.2	341.51	223.41
PPIH	1159.07	1508.65	2956.17	262.2	232.94	466.88	343.89	1044.52	981.29	825.0
RBMX2	693.58	591.22	1051.79	190.34	194.36	297.17	147.06	563.18	414.87	387.02
RDM1	214.27	31.22	65.72	0.0	3.96	6.73	3.69	16.63	22.59	6.46
RFC4	4010.71	1674.06	1662.49	102.97	78.89	181.28	47.17	559.28	426.57	211.31
RMI2	1832.01	733.19	1487.87	13.72	7.46	77.79	13.72	195.72	444.72	214.27
RPP30	1051.79	1023.0	1639.59	332.14	346.29	536.45	236.21	679.29	669.92	567.1
SKA2	2209.26	1199.98	2701.35	379.04	224.97	559.28	314.17	728.11	723.08	551.56
SLC10A3	1572.76	1417.35	1216.75	143.01	221.86	189.02	94.67	698.41	684.02	620.67
SLC25A19	563.18	287.01	738.29	106.63	121.79	128.79	34.02	518.15	316.37	218.79
SNRPA1	2255.7	1388.16	2090.03	559.28	547.75	748.61	595.34	1551.09	1030.12	775.05
SNRPC	6207.38	3146.52	5751.61	1594.73	1639.59	2537.92	1529.73	2855.44	2384.37	2335.28
SNRPE	6207.38	3349.13	5913.33	1617.0	1540.37	2520.38	1397.83	3168.41	2485.67	2148.82
SNRPF	1561.89	1191.69	2240.11	470.14	536.45	693.58	791.35	1081.39	830.75	599.49
SNRPG	5633.22	3639.7	5517.27	1216.75	1277.29	2148.82	2047.0	3515.68	2796.65	2367.9
SPAG5	2061.24	665.29	1467.37	325.29	214.27	281.09	110.43	438.59	423.61	125.24
SRRM5	41.22	16.88	28.45	2.2	2.07	8.51	0.17	15.0	9.56	8.71
TAF11	1447.15	738.29	785.88	373.81	312.0	490.14	201.25	629.35	624.99	438.59
TAF12	1037.29	896.64	1286.18	334.46	305.55	536.45	232.94	698.41	470.14	595.34
TAZ	1044.52	941.27	1259.69	260.38	229.72	373.81	166.73	813.63	480.04	595.34
TRA2B	4268.94	3190.46	3081.75	1096.5	1286.18	1540.37	854.13	2573.36	2468.49	1583.71
TRAIP	273.37	136.19	197.09	7.75	5.36	21.16	4.13	73.54	100.13	55.1
TRIM59	173.85	249.73	299.25	6.84	9.63	15.68	2.23	90.14	52.45	50.98
TRNAU1AP	1073.91	909.17	1277.29	273.37	189.02	336.79	211.31	607.87	624.99	447.82
TROAP	1350.18	595.34	2004.85	6.52	9.41	24.28	1.95	346.29	199.85	24.81
UBE2I	3820.7	3190.46	2777.33	780.44	896.64	921.88	376.41	2451.44	2335.28	2816.11
UBL4A	1313.23	1304.15	1477.58	363.56	438.59	403.5	395.18	679.29	738.29	860.08
UPF3B	753.83	575.03	684.02	87.03	98.73	117.6	67.12	289.02	194.36	129.69
UQCC2	7331.05	2645.74	3665.02	1023.0	1313.23	1950.0	1844.76	2224.63	1594.73	1794.29
USP21	728.11	723.08	764.36	108.14	167.9	285.03	53.57	587.13	423.61	595.34
UTP14A	480.04	444.72	536.45	135.24	167.9	175.07	58.3	381.68	277.2	273.37
VMA21	660.68	384.34	503.95	165.57	155.5	166.73	120.94	329.84	183.82	258.57
WDR62	429.54	138.1	182.55	9.85	6.26	11.47	5.41	60.82	34.51	14.45
XPO6	2720.15	1628.26	2224.63	698.41	638.15	988.12	529.06	2417.67	1519.15	1551.09
