	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.TML8.0726.SM.4DXTT	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.43.6647.01A.11R.1820.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.BR.A4IZ.01A.32R.A251.31
AC003002.6	5.02	5.02	9.78	9.06	10.96	15.0	14.67	7.82	14.78	4.62	8.13	21.32	10.16	0.0	4.98	4.62	0.0	30.78	20.41	14.67	18.7
AC006449.1	63.89	0.0	143.01	476.71	297.17	199.85	507.46	529.06	423.61	124.37	218.79	221.86	113.56	164.42	102.97	74.06	0.48	297.17	343.89	353.59	0.0
ADD3	616.37	193.01	599.49	638.15	995.0	595.34	995.0	1487.87	1340.84	1051.79	638.15	819.3	647.07	78.89	132.44	172.65	108.14	1037.29	1066.48	1151.06	2163.77
ALG10B	18.97	16.88	25.17	69.03	75.11	27.84	87.03	16.75	79.45	34.51	14.03	25.91	13.42	6.06	17.77	14.14	0.22	74.06	57.08	53.95	38.12
AP1G1	236.21	255.0	466.88	540.19	769.69	555.41	679.29	351.14	961.07	718.08	269.6	718.08	476.71	273.37	341.51	297.17	397.93	1066.48	808.0	842.36	738.29
AP2B1	941.27	567.1	1208.34	2271.4	2796.65	1369.04	1883.54	2133.97	1529.73	1447.15	1437.15	1183.45	703.28	540.19	503.95	353.59	0.97	2240.11	1781.89	1259.69	2047.0
ARHGAP19	36.79	39.22	71.0	181.28	197.09	99.43	229.72	128.79	126.12	23.25	41.52	59.55	61.68	38.12	24.99	33.78	0.45	124.37	97.36	109.66	81.14
ASXL2	50.63	38.12	102.25	164.42	189.02	118.43	204.07	93.35	318.57	110.43	54.72	173.85	90.14	26.28	39.79	30.12	0.34	217.27	229.72	189.02	172.65
ATAD1	228.13	265.87	507.46	555.41	733.19	647.07	738.29	825.0	647.07	343.89	426.57	738.29	429.54	323.03	325.29	279.14	0.65	775.05	733.19	595.34	466.88
ATP9B	232.94	112.77	444.72	336.79	314.17	287.01	403.5	536.45	299.25	197.09	130.6	289.02	161.02	170.25	205.5	208.38	0.71	314.17	343.89	334.46	314.17
B3GALNT2	46.18	40.64	121.79	189.02	217.27	195.72	295.11	144.01	293.07	100.13	66.18	283.05	115.16	20.11	38.67	18.97	0.48	400.71	309.83	353.59	209.84
BACH1	262.2	92.05	358.54	457.25	688.78	575.03	403.5	297.17	878.17	412.0	476.71	603.67	332.14	117.6	143.01	118.43	70.01	995.0	647.07	753.83	332.14
BCL7A	43.32	16.51	183.82	221.86	165.57	132.44	201.25	115.16	171.45	64.8	84.04	291.04	92.7	70.01	28.24	65.72	0.35	293.07	267.73	143.01	117.6
BRD4	532.74	239.52	733.19	713.11	854.13	698.41	961.07	575.03	896.64	1151.06	473.41	848.22	476.71	295.11	173.85	397.93	633.73	902.89	1044.52	878.17	1167.14
CACUL1	218.79	165.57	281.09	379.04	483.38	277.2	438.59	229.72	463.65	454.09	248.0	551.56	258.57	178.77	88.26	119.26	118.43	854.13	599.49	583.07	307.69
CALCOCO1	1819.35	234.57	1709.26	1832.01	1369.04	1104.13	1769.57	1977.24	1225.22	825.0	1037.29	1417.35	825.0	555.41	688.78	713.11	0.45	1037.29	1551.09	1313.23	1806.78
CCSER2	234.57	165.57	368.65	466.88	480.04	417.77	759.08	361.04	571.05	275.28	301.33	497.0	264.03	102.97	109.66	117.6	0.45	620.67	521.76	450.94	483.38
CDKL5	1.2	1.16	31.45	44.25	99.43	73.03	94.01	17.9	99.43	18.84	12.36	95.34	22.1	1.99	1.0	3.35	0.04	109.66	128.79	90.77	38.4
CLCN3	121.79	166.73	493.56	447.82	703.28	334.46	796.86	473.41	603.67	486.75	191.67	293.07	297.17	186.4	204.07	190.34	105.15	591.22	486.75	327.56	486.75
COL1A1	244588.0	4769.75	405683.88	195931.88	284880.02	189257.69	254974.66	485798.0	198667.0	286861.53	598087.73	324980.94	214407.12	1037.29	708.18	669.92	10659.59	90146.51	208544.12	163620.18	345900.08
DDR1	217.27	503.95	3081.75	3146.52	4152.18	1883.54	2240.11	764.36	2796.65	368.65	1259.69	4038.61	387.02	127.0	10.16	78.89	0.42	4181.07	3491.39	3690.52	785.88
DIS3L2	157.68	98.04	356.05	332.14	204.07	237.86	301.33	420.68	279.14	258.57	228.13	251.48	165.57	231.32	155.5	191.67	0.57	303.44	339.14	339.14	244.57
DLG5	177.53	68.07	693.58	555.41	1159.07	392.44	947.83	406.31	723.08	220.32	299.25	791.35	237.86	50.98	42.11	37.59	0.82	1127.35	1044.52	830.75	414.87
DOCK4	123.5	49.91	111.99	186.4	234.57	195.72	269.6	139.07	293.07	147.06	124.37	134.3	88.26	86.43	182.55	102.25	0.48	309.83	275.28	199.85	253.23
DOCK9	819.3	136.19	928.3	1111.82	836.53	703.28	1359.57	353.59	1397.83	450.94	366.09	1051.79	273.37	164.42	432.53	206.94	0.55	954.43	1208.34	1081.39	1015.93
DOT1L	271.48	76.71	142.01	237.86	138.1	256.78	312.0	88.26	309.83	260.38	98.73	234.57	101.54	127.0	54.72	61.25	0.66	336.79	260.38	264.03	327.56
DUSP16	96.68	74.58	131.51	329.84	967.76	202.66	934.76	158.79	543.96	138.1	95.34	432.53	72.52	226.54	180.02	146.03	0.32	507.46	454.09	187.71	258.57
EIF3A	1359.57	521.76	1467.37	1662.49	1950.0	1819.35	2367.9	1477.58	2255.7	1519.15	1175.27	2271.4	1191.69	551.56	486.75	703.28	100.83	2303.12	2148.82	2047.0	1794.29
EIF4EBP2	587.13	177.53	890.44	743.43	1104.13	595.34	1059.11	651.58	684.02	624.99	507.46	759.08	511.0	547.75	698.41	738.29	314.17	808.0	928.3	848.22	981.29
ESRP1	22.43	23.59	693.58	624.99	1167.14	25.91	743.43	43.32	1191.69	3.0	150.17	836.53	6.57	5.15	0.68	7.75	0.0	1015.93	808.0	397.93	128.79
FAM222B	120.94	120.1	409.15	358.54	320.8	183.82	316.37	232.94	381.68	201.25	155.5	283.05	206.94	106.63	89.51	126.12	0.58	339.14	417.77	265.87	435.55
FAM46C	69.52	8.78	55.1	93.35	441.64	89.51	232.94	1519.15	400.71	63.45	76.17	122.64	6.57	19.25	49.91	62.12	0.27	325.29	248.0	182.55	204.07
FAM53B	186.4	137.14	190.34	275.28	208.38	277.2	514.56	348.71	660.68	165.57	149.12	323.03	117.6	61.25	30.34	31.22	0.42	356.05	470.14	454.09	392.44
FBRSL1	612.11	339.14	466.88	872.1	591.22	409.15	603.67	497.0	713.11	603.67	420.68	733.19	384.34	808.0	392.44	389.72	180.02	981.29	780.44	769.69	1001.93
GNPTAB	426.57	224.97	463.65	500.46	679.29	708.18	679.29	182.55	830.75	327.56	463.65	540.19	187.71	223.41	314.17	139.07	368.65	1023.0	684.02	483.38	460.44
GPATCH8	89.51	73.54	212.78	303.44	384.34	281.09	420.68	229.72	397.93	167.9	146.03	289.02	267.73	57.49	76.17	66.65	0.6	341.51	412.0	348.71	358.54
GPRIN1	35.25	18.56	53.19	74.58	57.89	74.58	49.56	69.52	128.79	87.03	35.5	107.38	7.94	19.82	10.96	1.35	0.28	136.19	82.87	115.16	50.63
GPRIN3	24.63	22.59	16.63	60.39	90.77	45.21	58.71	18.84	125.24	49.21	29.06	23.93	8.19	6.73	10.16	12.93	0.23	64.34	78.34	41.81	77.25
HIF1AN	128.79	97.36	248.0	281.09	532.74	287.01	417.77	291.04	493.56	320.8	249.73	426.57	212.78	153.34	50.63	58.3	0.01	463.65	400.71	397.93	303.44
ILF3	1572.76	1519.15	2255.7	2193.99	1806.78	2119.22	2367.9	2573.36	2287.2	1909.85	1733.13	2193.99	1870.53	928.3	825.0	669.92	1.19	2485.67	2591.27	2367.9	2018.8
INPP5F	116.78	73.03	376.41	223.41	366.09	237.86	299.25	567.1	262.2	127.89	194.36	293.07	114.36	31.22	24.28	21.01	0.65	497.0	353.59	325.29	490.14
IST1	2335.28	1583.71	2758.13	2319.15	2018.8	2720.15	2468.49	2434.5	2664.15	2271.4	1769.57	2682.69	2434.5	1199.98	1135.2	1135.2	0.92	3589.58	3325.99	3280.18	1639.59
ITPKB	327.56	64.8	429.54	420.68	412.0	251.48	447.82	836.53	470.14	318.57	208.38	366.09	111.21	21.63	55.89	25.54	0.39	389.72	316.37	305.55	450.94
KCNA3	13.83	0.28	1.71	7.94	5.92	7.88	21.16	21.01	59.97	11.21	1.6	12.74	0.62	1.11	0.89	1.17	0.08	36.01	21.78	22.92	31.67
KIAA0247	679.29	149.12	595.34	1051.79	1183.45	954.43	1242.34	258.57	1378.57	1135.2	376.41	1088.92	723.08	117.6	239.52	105.15	624.99	1447.15	1519.15	1159.07	642.59
KIAA0430	236.21	199.85	466.88	460.44	620.67	417.77	693.58	723.08	571.05	486.75	325.29	547.75	258.57	205.5	351.14	269.6	0.6	607.87	665.29	521.76	555.41
KIDINS220	195.72	140.04	532.74	571.05	738.29	480.04	599.49	483.38	647.07	287.01	329.84	518.15	327.56	108.14	150.17	155.5	113.56	688.78	836.53	612.11	638.15
KLHL26	102.97	65.26	99.43	241.19	156.59	100.83	206.94	221.86	94.01	81.14	55.49	124.37	48.52	48.52	49.56	72.52	0.15	154.42	164.42	87.65	127.0
LCOR	33.06	17.0	110.43	119.26	159.9	87.65	189.02	68.55	249.73	24.81	55.89	195.72	63.89	42.11	31.9	61.25	56.68	189.02	163.28	116.78	234.57
MAML3	30.78	7.4	111.99	117.6	88.26	62.56	115.97	166.73	72.52	29.06	19.68	53.57	8.51	13.72	31.45	28.65	0.35	145.02	92.05	88.26	94.67
MARCH5	463.65	361.04	493.56	525.39	1143.1	624.99	981.29	497.0	703.28	307.69	518.15	825.0	525.39	343.89	293.07	368.65	395.18	954.43	759.08	791.35	603.67
MARCH8	175.07	18.84	327.56	486.75	836.53	258.57	529.06	387.02	466.88	532.74	191.67	291.04	189.02	178.77	106.63	214.27	0.39	293.07	384.34	314.17	376.41
MARK4	417.77	241.19	559.28	536.45	511.0	409.15	607.87	409.15	521.76	567.1	414.87	656.11	358.54	327.56	204.07	214.27	0.62	836.53	753.83	647.07	379.04
MBD5	115.16	87.03	251.48	264.03	334.46	253.23	353.59	244.57	289.02	255.0	141.02	271.48	139.07	77.25	63.45	78.89	0.38	307.69	336.79	267.73	320.8
MLLT1	334.46	79.45	607.87	738.29	633.73	521.76	808.0	830.75	583.07	521.76	255.0	511.0	307.69	166.73	47.84	105.89	0.57	511.0	525.39	511.0	836.53
MON1B	229.72	258.57	381.68	429.54	305.55	339.14	507.46	264.03	656.11	444.72	171.45	414.87	218.79	120.94	169.07	198.47	140.04	507.46	521.76	583.07	713.11
