	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ABI1	470.14	447.82	529.06	441.64	470.14	500.46	435.55	559.28	412.0	361.04	480.04	373.81	463.65	493.56	483.38	423.61	420.68	507.46	343.89	387.02	463.65	403.5	559.28	429.54	392.44	493.56	420.68	426.57	307.69	759.08	802.41	819.3	1111.82	529.06	665.29	587.13	616.37	769.69	915.51	525.39	1001.93	447.82	684.02	1151.06	842.36	708.18	620.67	575.03	567.1	708.18	629.35	511.0	780.44	599.49	651.58	703.28	890.44	759.08	651.58	764.36	769.69	713.11	567.1	848.22	638.15	674.59	1044.52	909.17	559.28	420.68	651.58	665.29	1023.0	1008.9	579.04	954.43	507.46	698.41	563.18	733.19	642.59	665.29	620.67	890.44	660.68	423.61	718.08	693.58	713.11	688.78	607.87	629.35	555.41	642.59	514.56	764.36	583.07	629.35
ACADSB	163.28	156.59	199.85	72.52	206.94	171.45	138.1	129.69	80.01	187.71	166.73	170.25	256.78	85.22	143.01	87.65	116.78	140.04	71.0	166.73	239.52	143.01	175.07	175.07	107.38	165.57	127.0	212.78	151.22	371.22	414.87	490.14	358.54	128.79	361.04	164.42	248.0	289.02	281.09	323.03	417.77	212.78	287.01	373.81	177.53	543.96	320.8	260.38	256.78	189.02	234.57	199.85	318.57	262.2	323.03	314.17	435.55	348.71	275.28	334.46	212.78	323.03	223.41	348.71	287.01	387.02	267.73	583.07	289.02	138.1	295.11	305.55	366.09	291.04	112.77	387.02	167.9	299.25	211.31	215.77	454.09	273.37	256.78	273.37	185.11	158.79	287.01	161.02	435.55	241.19	267.73	293.07	218.79	153.34	343.89	327.56	248.0	316.37
ADAM10	567.1	511.0	642.59	480.04	420.68	525.39	473.41	518.15	412.0	379.04	547.75	314.17	400.71	579.04	444.72	406.31	463.65	688.78	406.31	447.82	521.76	540.19	616.37	507.46	529.06	591.22	435.55	507.46	339.14	1508.65	1378.57	1111.82	1437.15	540.19	1081.39	718.08	825.0	1135.2	1233.75	1151.06	981.29	909.17	934.76	1295.13	759.08	1340.84	708.18	718.08	669.92	830.75	813.63	529.06	791.35	753.83	642.59	684.02	866.07	669.92	753.83	785.88	954.43	890.44	934.76	941.27	764.36	825.0	1295.13	1477.58	642.59	521.76	713.11	967.76	1066.48	902.89	656.11	1015.93	587.13	830.75	603.67	866.07	1277.29	915.51	974.5	941.27	1104.13	540.19	866.07	620.67	1023.0	1242.34	796.86	915.51	693.58	529.06	775.05	1059.11	769.69	575.03
ADD3	836.53	1081.39	961.07	842.36	808.0	1529.73	866.07	941.27	607.87	656.11	642.59	1143.1	2976.74	780.44	743.43	961.07	825.0	1073.91	536.45	1135.2	1322.37	759.08	1340.84	693.58	718.08	1745.2	1295.13	981.29	373.81	2997.45	4512.4	3168.41	3690.52	1487.87	2855.44	2255.7	2739.08	3419.52	2591.27	1757.34	3190.46	4298.64	3039.3	4152.18	2400.97	3639.7	2119.22	2104.58	2351.53	2335.28	2895.31	1757.34	2855.44	2384.37	1721.16	2758.13	3614.55	2997.45	2451.44	3742.05	1936.53	2915.45	2032.85	4239.45	2591.27	3190.46	3039.3	3982.99	1806.78	1417.35	2468.49	2271.4	2664.15	3540.14	1030.12	3564.78	1733.13	2739.08	2591.27	2240.11	3901.01	2075.59	2367.9	2485.67	2855.44	1286.18	2835.7	1674.06	3589.58	2303.12	2664.15	2591.27	1883.54	1268.46	1651.0	2645.74	2061.24	3018.3
AKAP11	154.42	169.07	198.47	143.01	144.01	193.01	162.14	172.65	80.57	115.97	159.9	73.54	120.94	151.22	133.36	113.56	122.64	151.22	92.7	90.77	175.07	145.02	194.36	113.56	123.5	189.02	142.01	142.01	67.59	332.14	381.68	432.53	343.89	111.99	212.78	170.25	209.84	226.54	277.2	281.09	281.09	193.01	244.57	454.09	175.07	285.03	237.86	178.77	251.48	244.57	202.66	145.02	281.09	236.21	217.27	194.36	426.57	248.0	145.02	206.94	236.21	221.86	229.72	314.17	178.77	273.37	334.46	532.74	147.06	111.99	180.02	204.07	199.85	279.14	165.57	397.93	162.14	305.55	181.28	237.86	361.04	217.27	262.2	264.03	283.05	134.3	190.34	130.6	301.33	229.72	223.41	283.05	137.14	129.69	248.0	299.25	244.57	217.27
ANK3	218.79	392.44	429.54	199.85	264.03	483.38	256.78	559.28	157.68	198.47	236.21	363.56	688.78	435.55	244.57	197.09	190.34	438.59	114.36	361.04	299.25	339.14	463.65	269.6	713.11	536.45	299.25	339.14	208.38	1066.48	1417.35	1977.24	1447.15	316.37	759.08	1015.93	684.02	460.44	1397.83	1208.34	775.05	1111.82	753.83	1407.55	400.71	1081.39	1081.39	785.88	532.74	848.22	454.09	669.92	961.07	796.86	665.29	656.11	1183.45	728.11	555.41	532.74	854.13	713.11	616.37	1051.79	708.18	813.63	753.83	1397.83	486.75	848.22	796.86	842.36	764.36	684.02	514.56	1001.93	356.05	1135.2	796.86	547.75	802.41	629.35	1467.37	764.36	961.07	447.82	748.61	579.04	529.06	928.3	713.11	825.0	620.67	211.31	693.58	1023.0	551.56	967.76
APAF1	89.51	100.83	134.3	111.21	88.26	119.26	116.78	106.63	64.8	61.68	97.36	67.12	80.57	76.71	80.57	98.73	87.65	115.97	106.63	49.91	83.45	111.21	114.36	149.12	108.9	115.97	73.54	83.45	107.38	189.02	211.31	236.21	165.57	127.89	131.51	96.68	152.28	133.36	130.6	155.5	166.73	98.04	154.42	256.78	119.26	228.13	143.01	139.07	131.51	162.14	101.54	108.14	153.34	166.73	154.42	129.69	269.6	138.1	100.83	169.07	163.28	150.17	139.07	175.07	111.21	246.28	231.32	264.03	154.42	96.68	150.17	116.78	256.78	229.72	141.02	218.79	131.51	212.78	153.34	91.41	209.84	173.85	185.11	202.66	135.24	102.25	147.06	144.01	273.37	126.12	129.69	153.34	175.07	169.07	109.66	173.85	108.9	134.3
APBB2	423.61	412.0	381.68	299.25	363.56	555.41	559.28	441.64	260.38	255.0	441.64	426.57	529.06	312.0	256.78	351.14	260.38	507.46	332.14	215.77	237.86	412.0	414.87	457.25	647.07	525.39	348.71	341.51	209.84	981.29	1183.45	2119.22	915.51	733.19	1096.5	836.53	995.0	660.68	915.51	1397.83	656.11	2351.53	738.29	1044.52	688.78	1697.45	848.22	1066.48	698.41	698.41	791.35	764.36	753.83	896.64	872.1	540.19	1369.04	791.35	563.18	785.88	825.0	616.37	679.29	896.64	647.07	848.22	878.17	921.88	723.08	529.06	518.15	934.76	808.0	759.08	406.31	1088.92	497.0	1457.23	351.14	775.05	1199.98	988.12	1477.58	651.58	890.44	507.46	791.35	547.75	753.83	981.29	575.03	954.43	567.1	320.8	633.73	616.37	540.19	848.22
APPL1	249.73	246.28	281.09	158.79	232.94	236.21	215.77	206.94	151.22	228.13	246.28	236.21	193.01	194.36	173.85	166.73	211.31	223.41	169.07	201.25	229.72	232.94	277.2	211.31	262.2	275.28	206.94	224.97	159.9	540.19	497.0	521.76	497.0	327.56	406.31	297.17	285.03	353.59	389.72	379.04	551.56	334.46	387.02	684.02	346.29	536.45	267.73	309.83	295.11	371.22	329.84	258.57	346.29	379.04	325.29	267.73	473.41	426.57	285.03	373.81	389.72	384.34	295.11	435.55	320.8	376.41	591.22	591.22	273.37	283.05	343.89	316.37	460.44	463.65	334.46	514.56	287.01	395.18	279.14	314.17	397.93	379.04	329.84	441.64	466.88	229.72	363.56	277.2	480.04	414.87	283.05	329.84	329.84	334.46	314.17	417.77	361.04	381.68
ASH2L	447.82	429.54	417.77	438.59	392.44	444.72	351.14	400.71	490.14	368.65	392.44	356.05	329.84	470.14	363.56	429.54	358.54	363.56	483.38	289.02	395.18	301.33	444.72	400.71	373.81	450.94	325.29	426.57	351.14	620.67	555.41	587.13	599.49	387.02	476.71	417.77	450.94	476.71	583.07	473.41	563.18	376.41	547.75	723.08	473.41	379.04	486.75	412.0	511.0	543.96	521.76	532.74	624.99	514.56	497.0	547.75	647.07	518.15	376.41	547.75	563.18	599.49	450.94	620.67	480.04	511.0	587.13	688.78	500.46	414.87	532.74	480.04	629.35	733.19	514.56	595.34	429.54	525.39	432.53	529.06	507.46	432.53	490.14	543.96	490.14	389.72	514.56	507.46	493.56	470.14	460.44	555.41	423.61	444.72	514.56	500.46	480.04	493.56
