	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZT9W.1826.SM.51MQX	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KL.8335.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3324.01A.02R.1325.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.CJ.4884.01A.01R.1305.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	GTEX.131XF.1026.SM.5BC6A	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
ABL2	44.89	53.57	46.84	59.13	31.67	52.82	30.78	37.85	43.94	59.13	31.22	131.51	112.77	35.0	52.08	15.45	19.11	24.46	39.5	60.82	64.8	32.13	31.9	57.89	29.27	37.05	84.04	38.12	44.25	217.27	136.19	183.82	165.57	172.65	5.87	169.07	130.6	60.39	90.77	115.16	76.71	70.01	251.48	197.09	173.85	82.29	176.29	260.38	318.57	129.69	171.45	56.68	47.17	102.97	220.32	55.1
ADAMTS10	63.0	102.97	81.71	165.57	23.76	33.06	18.56	54.33	66.65	89.51	29.91	480.04	693.58	47.84	23.42	12.74	21.63	83.45	26.47	69.52	73.03	38.67	18.43	74.06	23.76	24.28	47.84	67.12	114.36	312.0	878.17	141.02	1286.18	299.25	1.71	100.83	161.02	124.37	149.12	42.11	50.63	381.68	334.46	647.07	376.41	100.13	139.07	796.86	387.02	88.26	301.33	46.5	107.38	339.14	444.72	279.14
AKAP12	108.9	130.6	108.9	358.54	22.59	79.45	43.63	45.85	123.5	199.85	31.0	802.41	941.27	53.19	73.03	10.79	9.56	31.0	12.83	62.12	50.63	27.84	72.01	82.29	11.73	36.53	80.57	21.32	73.54	518.15	934.76	1104.13	928.3	232.94	15.68	218.79	414.87	195.72	638.15	769.69	253.23	486.75	603.67	764.36	2119.22	255.0	180.02	1427.22	1769.57	139.07	1583.71	75.11	175.07	279.14	363.56	62.12
ANKRD40	293.07	260.38	325.29	336.79	269.6	255.0	277.2	303.44	271.48	327.56	228.13	529.06	708.18	258.57	414.87	177.53	173.85	217.27	271.48	295.11	182.55	239.52	201.25	511.0	183.82	229.72	351.14	171.45	226.54	587.13	454.09	651.58	521.76	591.22	73.54	1135.2	438.59	339.14	647.07	583.07	435.55	981.29	688.78	764.36	1540.37	301.33	660.68	988.12	1127.35	441.64	1369.04	356.05	356.05	543.96	366.09	253.23
ARSB	46.18	49.91	34.26	61.68	50.63	26.47	33.54	44.57	51.35	78.89	29.48	149.12	129.69	43.02	49.91	57.08	23.08	36.27	35.25	59.13	59.13	20.86	32.59	101.54	28.86	45.85	66.18	47.5	52.82	279.14	285.03	555.41	289.02	395.18	13.22	303.44	316.37	98.04	361.04	460.44	181.28	121.79	178.77	241.19	303.44	76.71	130.6	251.48	320.8	86.43	267.73	50.98	85.82	128.79	187.71	63.45
ASAP1	108.9	144.01	133.36	141.02	75.11	102.25	63.0	110.43	78.34	267.73	68.55	366.09	301.33	118.43	115.16	100.13	52.82	92.7	76.17	314.17	204.07	171.45	127.0	301.33	129.69	205.5	301.33	71.5	162.14	599.49	426.57	612.11	698.41	486.75	36.79	607.87	473.41	271.48	262.2	314.17	61.25	575.03	543.96	551.56	1008.9	223.41	473.41	660.68	836.53	718.08	525.39	131.51	191.67	500.46	629.35	412.0
ATP13A3	733.19	518.15	607.87	490.14	595.34	616.37	532.74	587.13	536.45	854.13	591.22	642.59	599.49	503.95	293.07	334.46	420.68	155.5	248.0	603.67	363.56	412.0	175.07	780.44	480.04	381.68	748.61	334.46	463.65	1119.56	1175.27	915.51	1225.22	2351.53	89.51	2335.28	2209.26	718.08	1151.06	1304.15	896.64	624.99	1167.14	703.28	961.07	928.3	1119.56	934.76	1397.83	1467.37	775.05	624.99	450.94	1322.37	785.88	532.74
AXL	161.02	193.01	193.01	336.79	66.65	164.42	126.12	102.97	144.01	287.01	112.77	759.08	981.29	76.17	84.04	46.5	22.1	129.69	49.21	98.73	236.21	38.12	58.3	162.14	34.02	100.83	122.64	92.05	161.02	571.05	854.13	620.67	1447.15	1066.48	13.72	316.37	620.67	162.14	341.51	232.94	441.64	2148.82	769.69	848.22	2209.26	198.47	217.27	1519.15	1674.06	220.32	2664.15	258.57	381.68	299.25	656.11	201.25
BACH1	147.06	108.14	146.03	123.5	170.25	126.12	150.17	175.07	151.22	205.5	138.1	223.41	228.13	251.48	353.59	116.78	71.0	129.69	159.9	229.72	178.77	132.44	183.82	279.14	185.11	356.05	341.51	140.04	104.42	226.54	285.03	493.56	283.05	339.14	108.14	351.14	395.18	161.02	320.8	412.0	172.65	293.07	327.56	211.31	373.81	162.14	255.0	289.02	363.56	156.59	579.04	231.32	143.01	156.59	234.57	148.09
BCL6	193.01	295.11	264.03	435.55	130.6	176.29	98.04	189.02	159.9	314.17	145.02	1127.35	679.29	271.48	248.0	202.66	267.73	129.69	176.29	201.25	305.55	316.37	209.84	88.88	267.73	185.11	381.68	264.03	234.57	1151.06	764.36	463.65	902.89	698.41	28.04	155.5	476.71	253.23	201.25	309.83	450.94	1135.2	1073.91	1295.13	1745.2	551.56	403.5	1806.78	2468.49	348.71	1561.89	373.81	802.41	267.73	872.1	397.93
