	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZE7O.0826.SM.57WCP	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A7NH.01A.12R.A33R.07	GTEX.13NZ9.1126.SM.5MR37	GTEX.13VXT.1626.SM.5IJES
AC010536.1	4.78	2.25	1.64	0.95	0.27	3.03	1.0	1.3	0.73	1.93	1.66	4.43	0.68	1.08	4.28	3.66	1.08	0.0	3.35	0.35	2.86	3.96	2.56	4.13	4.98	2.61	1.13	2.84	3.59	1.45	0.89	5.28	1.62	2.51	0.55	3.82	1.75	2.34	0.0	0.15	18.43	11.73	14.24	8.78	5.02	16.63	14.67	18.29	7.46	4.28
AC093157.1	11.21	3.08	0.0	1.39	0.0	0.95	0.96	3.86	1.13	0.84	5.63	4.06	3.99	1.91	6.01	2.27	3.0	3.35	4.9	2.86	2.71	5.54	0.32	5.11	4.06	3.66	3.41	7.06	2.94	1.77	4.54	0.92	3.03	8.25	0.0	0.0	1.45	6.78	0.0	0.27	13.42	13.83	10.71	10.39	17.51	15.56	21.32	15.91	15.56	15.11
AC137932.1	19.53	3.29	2.43	6.41	0.11	7.06	0.51	0.95	1.77	3.69	3.63	14.89	8.51	1.55	11.73	5.36	15.45	6.57	5.23	5.73	6.84	14.35	13.42	12.83	7.4	7.94	11.3	16.51	4.46	4.21	6.84	14.24	9.85	7.17	2.66	6.26	6.67	8.0	0.0	0.78	12.45	25.35	14.78	18.97	19.68	25.54	24.81	20.86	23.08	26.47
AC226150.4	42.11	95.34	21.63	31.9	12.18	47.84	8.51	10.39	14.45	16.88	58.71	99.43	13.12	22.59	50.98	71.5	52.45	37.59	28.04	36.01	38.12	60.82	21.01	68.07	75.11	30.12	34.26	82.29	46.84	20.11	18.56	17.9	31.67	19.53	11.82	33.78	50.27	65.72	0.0	0.0	44.25	60.39	51.71	48.52	105.15	54.33	98.04	94.01	35.0	101.54
ADM5	36.53	41.81	3.72	1.5	4.31	5.02	3.56	1.97	1.6	3.08	8.65	25.17	4.66	1.23	34.75	4.28	5.02	7.51	2.71	7.22	10.71	13.72	49.56	2.14	10.96	4.62	15.56	16.88	7.88	2.16	2.18	9.13	7.57	10.31	0.0	11.04	8.71	10.96	0.0	0.35	48.18	83.45	55.89	185.11	62.12	37.85	40.36	30.78	48.87	108.9
AGAP6	256.78	251.48	27.44	82.87	15.0	115.16	38.12	59.55	55.1	50.98	132.44	229.72	103.69	48.52	202.66	115.16	109.66	70.51	112.77	102.25	125.24	208.38	85.22	139.07	226.54	98.04	90.77	215.77	105.89	81.71	135.24	204.07	117.6	113.56	19.82	100.13	170.25	100.13	0.0	1.19	376.41	316.37	346.29	283.05	587.13	518.15	334.46	373.81	473.41	507.46
AHSA2	988.12	1175.27	60.39	244.57	37.59	332.14	78.89	82.29	76.71	51.35	356.05	595.34	175.07	70.51	559.28	264.03	470.14	228.13	256.78	312.0	318.57	470.14	123.5	307.69	400.71	244.57	426.57	432.53	314.17	220.32	371.22	348.71	432.53	470.14	124.37	146.03	447.82	229.72	0.0	1.58	1781.89	1769.57	1498.22	1304.15	3280.18	1605.83	1498.22	1605.83	1583.71	1477.58
ANAPC2	947.83	842.36	454.09	412.0	241.19	540.19	325.29	397.93	256.78	318.57	366.09	1059.11	514.56	334.46	785.88	441.64	830.75	376.41	486.75	503.95	796.86	684.02	500.46	579.04	679.29	543.96	830.75	947.83	490.14	409.15	698.41	647.07	532.74	647.07	297.17	555.41	559.28	312.0	0.0	0.91	1295.13	1037.29	1268.46	1135.2	1487.87	1388.16	1447.15	1709.26	1008.9	1487.87
ANKRD23	70.51	49.56	7.34	22.43	2.81	12.74	6.67	6.46	9.78	12.36	12.64	26.1	14.45	1.75	12.83	7.88	25.91	22.1	16.27	22.43	22.59	29.27	23.08	29.27	24.63	11.91	29.06	43.32	10.16	20.26	15.56	20.71	14.89	36.01	8.51	5.28	14.24	11.47	0.0	0.74	153.34	155.5	96.01	348.71	164.42	132.44	147.06	148.09	143.01	291.04
ANKS3	395.18	389.72	63.0	100.13	22.26	112.77	37.59	58.3	64.8	53.57	120.1	249.73	155.5	53.19	229.72	134.3	231.32	89.51	111.21	161.02	176.29	251.48	139.07	185.11	271.48	118.43	167.9	269.6	120.94	95.34	136.19	165.57	139.07	204.07	40.36	95.34	199.85	97.36	0.0	0.78	981.29	638.15	718.08	723.08	612.11	647.07	854.13	775.05	775.05	743.43
