	TCGA.GV.A3QK.01B.11R.A23N.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.W5.AA2G.01A.11R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	GTEX.117YW.2026.SM.5N9BH	TCGA.KO.8403.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.AK.3465.01A.02R.1325.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.RC.A7SB.01A.21R.A352.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2722.01A.01R.0851.07	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.BR.8483.01A.31R.2402.13	GTEX.Y5V6.1326.SM.4VDTF	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
ADH6	60.39	12.27	7.82	17.9	579.04	764.36	277.2	10.24	10.24	6.78	69.52	24.11	48.52	12853.63	1023.0	1519.15	1322.37	1023.0	2255.7	14867.79	9344.14	12415.75	12160.22	21919.61	16157.44	9673.69	10733.74	31650.8	866.07	21320.18	15934.98	23656.34	18689.27	7642.41	13215.02	23009.42	21320.18	1216.75	17681.08	17927.91	5255.91	11745.96	19892.37	21320.18	13215.02	15499.21	14361.31	4607.24	18052.61	9945.68	17681.08	11827.67	4181.07	24832.5	0.0	0.16	6.06	105.15	521.76	50.98	44.57	13.03	1.62	0.0
ADI1	1963.57	1857.6	1551.09	1844.76	1977.24	1936.53	1304.15	698.41	698.41	1617.0	1331.57	1936.53	1594.73	10368.08	2956.17	5219.6	1498.22	13215.02	12589.08	21320.18	13306.94	10368.08	10154.69	15715.58	12943.04	8963.45	17804.06	34396.12	5672.41	34396.12	17681.08	15934.98	24832.5	14065.74	15934.98	19348.38	23820.89	12076.21	23169.48	16383.0	9151.82	14262.1	16496.96	26614.89	8479.89	12853.63	16496.96	9808.75	17317.18	13306.94	16496.96	26431.04	5751.61	19082.0	0.0	0.4	476.71	1417.35	1127.35	1551.09	1447.15	2367.9	595.34	1583.71
AGMO	0.0	3.79	0.78	1.2	220.32	204.07	35.76	4.13	4.13	12.09	0.96	1.0	13.52	961.07	309.83	351.14	595.34	536.45	713.11	2417.67	1066.48	890.44	1233.75	1350.18	1378.57	1143.1	896.64	4066.71	486.75	1369.04	3491.39	1923.14	2555.58	738.29	1250.98	1304.15	2271.4	503.95	4095.0	1208.34	1143.1	2758.13	2816.11	2209.26	1467.37	1540.37	2935.74	780.44	3060.45	2104.58	2758.13	2018.8	684.02	3372.43	0.0	0.3	0.64	30.56	143.01	22.1	12.18	27.64	3.38	9.93
AIG1	2178.83	1073.91	1111.82	1143.1	1685.71	1359.57	432.53	470.14	470.14	860.08	954.43	954.43	884.29	2816.11	2209.26	2895.31	2075.59	3690.52	4937.99	7280.4	6037.61	3491.39	4972.34	5872.48	5403.7	3847.29	5954.47	8363.13	3280.18	6121.9	8022.41	5872.48	9740.98	3716.2	5292.48	5006.93	5791.62	2855.44	7803.01	5517.27	4358.66	8963.45	5995.9	8538.88	5112.16	5292.48	6164.49	3690.52	6935.54	6037.61	7485.11	6079.61	2835.7	7803.01	0.0	0.59	536.45	638.15	743.43	947.83	860.08	878.17	961.07	1111.82
AL138847.1	1.81	0.0	0.38	1.93	71.5	18.84	0.6	0.0	0.0	0.0	0.44	12.64	1.71	64.8	107.38	78.89	93.35	91.41	242.88	140.04	346.29	356.05	743.43	583.07	743.43	384.34	329.84	759.08	57.89	878.17	633.73	194.36	669.92	327.56	341.51	285.03	769.69	38.67	234.57	409.15	532.74	299.25	202.66	703.28	769.69	208.38	540.19	29.7	336.79	172.65	376.41	40.93	26.28	1794.29	0.0	0.07	0.39	5.73	1.28	3.5	3.56	5.82	0.89	0.0
ALDH2	217.27	157.68	157.68	249.73	6840.04	7130.55	5751.61	1519.15	1519.15	3690.52	2555.58	1388.16	2384.37	24832.5	5366.37	18178.19	7485.11	15934.98	62865.33	58250.19	37379.55	39510.91	42054.3	55877.28	52135.28	77934.88	41763.8	119776.72	27938.14	94628.34	66449.85	55491.3	145432.49	46339.95	92040.7	54727.32	63742.91	22692.63	94628.34	45072.75	45072.75	124000.67	69753.56	73221.53	34158.52	55877.28	41188.81	26614.89	98646.85	86474.27	69271.73	121448.75	24321.43	71714.63	0.0	0.78	206.94	4298.64	2468.49	2193.99	1259.69	3190.46	4038.61	4903.87
ALDH6A1	180.02	83.45	44.25	120.1	497.0	612.11	417.77	85.22	85.22	126.12	1008.9	775.05	1199.98	1407.55	555.41	909.17	480.04	1709.26	8658.09	5594.3	2758.13	2915.45	1794.29	2935.74	2609.3	2664.15	4769.75	15607.02	1350.18	16496.96	4937.99	4607.24	12943.04	5255.91	6337.83	4543.8	4639.29	2609.3	9474.59	6561.36	2855.44	5995.9	5711.87	12244.81	3515.68	3982.99	3589.58	1844.76	3690.52	3589.58	5995.9	13399.51	1051.79	4704.07	120.94	314.17	85.82	241.19	332.14	256.78	139.07	854.13	796.86	429.54
ALDH8A1	15.91	16.27	0.77	0.8	536.45	660.68	8.25	2.32	2.32	42.41	17.51	53.57	94.67	808.0	1519.15	848.22	1104.13	1733.13	3081.75	6516.03	3491.39	1896.65	2335.28	3690.52	7749.1	3039.3	4010.71	6561.36	1216.75	14561.8	8022.41	5403.7	8078.22	2701.35	5479.15	4388.98	7280.4	2777.33	12415.75	5147.73	3928.15	7857.29	5954.47	6935.54	5872.48	2935.74	4869.99	1388.16	7803.01	4575.41	4937.99	11112.3	1073.91	4736.79	0.0	0.42	13.93	7.63	10.55	9.56	6.06	10.31	6.52	1.91
ANKRD24	2.92	11.21	12.18	14.67	27.64	67.59	28.45	2.76	2.76	22.92	7.22	15.91	22.75	76.17	50.63	28.24	16.51	74.58	87.03	104.42	65.26	123.5	189.02	108.9	61.25	72.01	305.55	67.12	108.9	154.42	77.79	48.87	145.02	164.42	158.79	111.21	197.09	92.05	77.25	147.06	116.78	77.25	119.26	121.79	102.97	249.73	87.03	65.72	96.01	111.21	109.66	32.36	77.79	77.79	0.0	0.33	8.99	34.51	47.5	4.24	9.63	19.11	2.84	26.86
APCS	0.0	0.0	0.0	0.0	10733.74	4972.34	0.0	0.0	0.0	1.3	0.0	5.19	0.0	4575.41	23169.48	14262.1	2303.12	12764.83	70727.3	214407.12	11504.21	5183.54	8022.41	20030.74	30572.63	125731.67	11189.6	76330.98	75803.72	100719.65	194578.47	10808.41	187950.38	42346.82	22380.2	32767.0	4481.23	23986.58	96616.71	17804.06	67846.12	24832.5	17078.76	212926.09	22850.48	21172.91	56657.31	9215.48	114103.8	225066.78	52135.28	919186.72	9344.14	20881.4	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0
