	TCGA.GV.A3QI.01A.11R.A220.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.BB.4225.01A.01R.1436.07	TCGA.DQ.7591.01A.11R.2081.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.BC.A10Z.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.XR.A8TG.01A.11R.A36F.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.CC.A8HU.01A.11R.A36F.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.CC.A3MB.01A.11R.A213.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.DD.AACV.01A.11R.A41C.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EI.11A.11R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.Y5LM.0426.SM.4VBRO	GTEX.X4XY.1626.SM.46MVN	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.X261.1726.SM.4PQYT	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.147F4.1426.SM.5LUA8	GTEX.X4EP.1026.SM.4QAS5	GTEX.13113.1326.SM.5GCOI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.11OF3.0726.SM.5BC4Z	GTEX.S4Z8.0526.SM.4AD4T	GTEX.REY6.1226.SM.48FDR	GTEX.11WQC.0726.SM.5EQMR	TCGA.22.5481.01A.31R.1949.07
ATAD5	110.43	24.28	63.89	206.94	17.77	21.32	43.32	34.26	16.75	48.87	38.12	38.95	25.91	23.42	26.28	133.36	56.28	39.79	33.06	18.97	50.98	25.91	7.88	48.18	45.85	35.25	20.56	63.89	61.25	33.3	17.77	19.53	16.03	11.73	71.5	8.13	1.51	0.0	4.46	1.57	4.46	10.63	4.5	8.92	15.56	2.68	3.32	3.14	5.15	1.97	7.0	3.53	9.48	5.36	4.9	7.11	3.29	2.41	2.97	9.93	1.19	4.7	2.53	8.99	1.27	8.85	6.57	11.55	1.99	5.92	6.31	3.44	3.06	18.16	3.66	2.94	9.63	6.78	2.84	2.97	5.02	111.99
ATF5	1561.89	46339.95	7803.01	2468.49	29943.43	29943.43	21768.19	59887.86	5441.3	34158.52	14461.21	15824.9	50359.33	42937.97	49666.0	14065.74	56265.94	41763.8	43537.38	42054.3	77934.88	22692.63	66912.05	575.03	8421.31	93325.55	69271.73	42054.3	32767.0	17317.18	64186.29	35363.15	514.56	62865.33	25179.16	59063.35	42937.97	24660.96	61999.83	44145.15	52863.07	30572.63	117311.73	185362.8	59887.86	47642.77	53601.03	55107.99	55491.3	117311.73	81809.59	107203.06	205673.01	45701.96	69753.56	189257.69	32092.64	229795.93	89523.81	66449.85	74760.09	73730.83	95949.32	59887.86	96616.71	169390.27	89523.81	80683.28	65990.84	156954.93	86474.27	89523.81	46662.28	34876.28	162489.97	53973.86	90773.53	60304.42	74760.09	146444.06	65535.0	19618.49
BRIP1	224.97	30.78	147.06	163.28	102.97	63.89	115.16	40.93	34.02	132.44	104.42	51.71	42.71	35.25	53.57	212.78	94.67	50.63	96.01	34.51	55.49	39.5	18.7	109.66	54.72	47.5	21.16	104.42	112.77	91.41	63.45	30.56	19.97	106.63	76.17	12.36	8.0	5.77	3.59	7.82	9.78	31.22	10.31	10.96	36.27	0.67	16.15	8.78	6.62	1.11	21.47	21.16	8.25	13.42	10.88	5.36	7.28	3.92	10.0	21.78	3.89	6.84	8.19	10.0	11.91	18.43	4.43	30.56	9.7	8.85	1.57	4.66	9.2	17.77	4.98	4.54	16.03	13.72	5.68	7.22	10.0	82.87
BUB1	447.82	105.89	295.11	470.14	136.19	82.87	155.5	57.49	41.52	194.36	177.53	229.72	94.01	206.94	181.28	417.77	237.86	105.15	139.07	92.05	132.44	170.25	63.0	260.38	303.44	144.01	100.13	273.37	397.93	102.97	159.9	111.99	57.08	72.01	392.44	9.48	1.53	3.86	7.51	0.55	5.59	14.03	7.51	1.38	67.12	2.41	3.08	1.99	4.03	8.32	1.89	16.88	24.11	3.44	3.08	3.32	3.66	2.29	3.63	6.26	0.0	2.27	16.88	3.96	8.92	29.48	5.63	12.74	3.17	10.16	5.11	0.99	12.45	44.57	0.48	2.41	6.78	3.23	4.54	4.03	9.56	447.82
C19orf57	536.45	171.45	525.39	381.68	33.3	87.03	218.79	85.22	62.12	108.9	96.01	90.14	41.22	55.1	52.08	55.1	65.26	41.52	77.25	55.49	112.77	46.84	60.82	125.24	66.18	31.0	18.16	136.19	193.01	144.01	126.12	80.57	102.25	98.73	211.31	29.48	21.63	23.08	21.94	17.38	17.64	39.22	36.79	12.45	21.01	15.56	8.45	52.45	20.26	11.64	41.22	31.0	29.06	24.63	31.9	34.51	13.22	17.25	17.25	49.91	19.53	53.95	15.56	49.91	13.32	20.71	21.63	23.42	32.13	51.35	13.32	26.86	22.26	50.63	23.93	23.25	38.12	43.32	21.32	8.85	22.75	470.14
CDC45	1081.39	269.6	450.94	802.41	173.85	142.01	497.0	162.14	50.63	438.59	336.79	277.2	217.27	287.01	167.9	543.96	209.84	112.77	295.11	162.14	171.45	275.28	53.19	420.68	540.19	202.66	144.01	480.04	373.81	356.05	212.78	244.57	145.02	53.95	190.34	30.34	3.35	20.86	6.21	10.96	22.1	72.01	7.34	3.44	226.54	10.71	9.13	11.21	35.25	24.81	1.77	37.59	16.15	8.71	2.71	22.59	15.0	8.51	10.24	26.28	3.72	14.89	7.57	16.15	8.92	24.99	6.46	68.07	2.39	28.04	18.03	23.59	24.81	101.54	10.16	4.28	23.93	13.93	15.8	2.14	5.5	1159.07
CDC6	1208.34	166.73	884.29	928.3	164.42	463.65	397.93	420.68	49.56	733.19	325.29	275.28	435.55	525.39	275.28	967.76	860.08	389.72	616.37	460.44	796.86	447.82	125.24	435.55	591.22	267.73	221.86	450.94	1175.27	366.09	412.0	190.34	80.01	373.81	551.56	23.59	12.09	12.83	13.12	3.96	11.21	107.38	2.61	5.59	361.04	18.56	1.83	13.72	16.03	37.85	26.28	19.25	34.51	23.59	11.64	140.04	4.86	12.36	42.41	7.11	3.53	24.46	10.39	15.11	18.03	24.81	21.01	35.76	5.63	31.22	20.41	19.68	36.53	61.68	25.91	12.93	15.34	5.32	35.76	22.1	17.77	738.29
CENPK	559.28	152.28	651.58	1044.52	153.34	92.7	116.78	67.59	61.25	129.69	141.02	220.32	133.36	256.78	126.12	647.07	214.27	205.5	110.43	115.16	229.72	281.09	40.93	223.41	305.55	166.73	93.35	323.03	397.93	226.54	118.43	199.85	102.25	31.45	239.52	8.0	6.46	1.13	11.13	3.96	14.14	24.81	7.69	3.92	58.3	13.32	10.16	2.66	11.13	12.45	1.36	15.11	49.21	9.7	6.06	11.64	6.67	5.02	15.56	16.27	8.25	15.8	20.26	18.43	3.59	28.04	7.0	22.92	15.45	27.64	8.65	9.34	15.91	56.68	4.46	8.71	22.92	20.11	7.11	7.57	10.08	264.03
CHAF1A	1950.0	170.25	878.17	507.46	205.5	224.97	503.95	186.4	185.11	480.04	412.0	187.71	244.57	253.23	392.44	713.11	444.72	376.41	493.56	363.56	327.56	406.31	169.07	665.29	373.81	275.28	214.27	483.38	738.29	450.94	211.31	215.77	187.71	138.1	309.83	120.1	68.55	90.77	73.03	23.42	53.19	133.36	44.89	32.59	262.2	30.56	73.54	30.12	72.01	36.01	66.18	115.97	131.51	58.3	79.45	69.03	28.65	70.01	40.93	75.64	50.27	36.01	39.22	81.71	36.79	88.26	43.94	145.02	43.02	88.26	29.91	53.19	90.14	137.14	60.39	40.36	59.97	41.81	148.09	23.93	56.68	884.29
CHAF1B	356.05	30.34	497.0	426.57	29.7	138.1	123.5	30.34	32.59	132.44	82.87	81.71	74.58	60.82	106.63	221.86	180.02	126.12	159.9	92.05	105.15	50.27	23.93	99.43	206.94	57.89	70.01	108.9	264.03	111.99	85.22	47.5	21.78	34.75	217.27	7.82	2.58	8.58	9.34	3.23	9.06	22.43	6.11	1.03	206.94	10.39	7.28	9.13	21.01	18.84	4.86	6.41	6.26	7.22	3.29	11.73	8.13	6.46	10.96	17.13	8.32	6.78	6.41	10.71	4.78	26.86	1.39	30.56	3.47	6.89	6.01	9.56	21.01	18.29	2.16	6.01	5.54	8.45	10.47	5.15	5.82	409.15
