	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
AC226150.4	5.11	44.25	23.93	4.82	17.25	10.31	30.78	5.59	3.38	12.0	10.71	4.9	54.72	28.86	54.72	101.54	37.32	95.34	28.45	13.42	54.33	189.02	16.51	183.82	16.63	36.27	24.81	54.33	129.69	78.89	50.98	42.71	82.87	59.13	60.82	13.22	28.45	78.89	17.25	50.27	183.82	49.91	105.15	132.44	39.79	33.78	92.7	55.1	75.11	85.82	24.11	60.39	38.95	112.77	29.48	37.32	48.87	27.25	47.84	23.93	25.54	23.93	78.89	104.42	14.24	34.75	46.18	127.89	50.27	54.33	45.85	35.25	28.65	21.94	134.3	40.36	29.48	41.81	13.93	59.55	1.71	52.08	31.9	97.36	102.25	34.51	110.43	22.59	60.82	36.79	105.15	65.26	117.6	85.22	35.0	72.52	73.03	56.28	99.43	40.93	52.45	55.49	38.12	80.01	30.56	78.89	38.67	66.65	71.5	0.0	0.0	5.77	8.99	26.47	20.56	36.27	18.16	35.0	21.78	9.2	11.04	6.89	10.96	17.38	3.96	3.89	52.08
AGBL2	8.13	5.06	12.36	5.32	16.39	19.68	6.73	6.62	8.78	4.43	5.92	3.79	2.1	31.9	55.1	7.69	53.19	19.97	140.04	20.86	38.4	141.02	54.33	148.09	85.82	111.21	31.0	28.86	341.51	87.03	231.32	93.35	55.89	267.73	253.23	29.91	198.47	126.12	182.55	161.02	587.13	92.05	120.94	46.5	57.08	21.94	58.3	175.07	79.45	35.76	149.12	195.72	26.47	132.44	74.06	67.59	214.27	37.05	231.32	117.6	172.65	307.69	127.89	441.64	37.59	20.41	148.09	389.72	79.45	28.24	157.68	39.5	64.34	59.13	336.79	100.83	202.66	96.68	2.71	17.38	53.95	47.17	13.03	105.15	73.03	52.08	122.64	123.5	88.26	269.6	226.54	63.0	217.27	197.09	92.7	6.41	152.28	201.25	18.16	54.72	53.95	84.63	92.7	102.25	73.03	366.09	26.1	12.36	260.38	0.0	0.0	19.53	7.75	10.79	31.0	21.16	14.14	9.85	15.68	22.43	28.04	7.69	43.32	12.27	36.53	0.55	108.14
AL359878.1	2.63	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.49	1.22	1.43	1.6	0.0	3.92	0.35	0.95	2.05	0.0	4.78	2.51	0.59	0.0	1.68	2.1	1.43	3.66	1.27	1.77	14.56	6.73	2.16	3.72	1.99	1.28	1.69	12.83	2.76	1.97	1.01	2.41	1.41	5.59	2.86	1.3	0.0	1.77	5.11	0.0	3.11	2.61	1.3	0.33	1.08	3.79	0.93	2.63	2.53	0.33	7.69	0.38	0.0	2.16	6.57	1.33	0.85	0.62	1.17	1.71	0.34	4.74	1.83	1.35	1.64	1.11	0.75	0.36	1.62	1.36	2.01	3.63	0.0	1.35	1.51	0.36	0.66	2.68	2.58	5.82	4.7	2.89	0.0	3.23	3.35	0.35	1.95	3.32	0.33	3.29	1.55	0.77	6.73	0.39	4.86	3.99	0.0	0.06	0.48	0.92	0.0	1.11	1.48	0.95	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.48	0.0	2.18
ANKDD1B	25.54	3.99	2.27	2.58	1.79	3.56	0.56	0.96	1.64	1.03	1.14	0.0	4.98	29.91	339.14	127.89	72.01	27.25	22.1	28.45	47.84	84.04	80.57	104.42	66.18	150.17	18.84	2.03	107.38	105.89	107.38	93.35	42.71	199.85	97.36	48.18	88.26	57.08	58.71	105.89	158.79	56.68	129.69	62.12	105.15	49.21	59.97	147.06	158.79	78.34	69.03	108.14	74.06	52.45	90.14	64.8	74.06	14.35	124.37	37.85	43.02	56.28	113.56	162.14	21.32	39.22	69.03	128.79	121.79	91.41	34.51	64.8	47.84	46.5	92.7	51.35	63.89	62.12	23.59	27.84	5.19	42.11	16.27	120.1	58.71	20.11	52.08	49.56	93.35	111.99	80.01	139.07	127.89	118.43	92.7	13.83	81.14	108.9	147.06	126.12	39.5	159.9	59.55	55.49	21.32	153.34	93.35	81.71	116.78	18.7	194.36	14.89	5.11	2.46	8.92	3.96	25.54	3.26	1.93	3.72	5.06	0.0	45.85	15.22	1.62	4.78	13.72
ANKRD42	175.07	66.65	55.49	59.55	67.59	75.11	73.03	55.1	103.69	88.26	40.93	109.66	86.43	88.88	253.23	417.77	303.44	183.82	379.04	223.41	395.18	273.37	260.38	255.0	358.54	285.03	205.5	395.18	409.15	204.07	400.71	312.0	279.14	248.0	318.57	384.34	363.56	279.14	518.15	460.44	507.46	182.55	444.72	212.78	151.22	253.23	426.57	277.2	323.03	392.44	226.54	303.44	217.27	293.07	329.84	264.03	435.55	361.04	348.71	239.52	460.44	476.71	275.28	269.6	228.13	242.88	346.29	312.0	320.8	287.01	314.17	305.55	189.02	255.0	307.69	346.29	466.88	332.14	133.36	271.48	94.01	269.6	204.07	260.38	318.57	215.77	381.68	358.54	368.65	395.18	366.09	309.83	305.55	356.05	217.27	153.34	327.56	346.29	258.57	264.03	205.5	327.56	293.07	305.55	208.38	295.11	199.85	303.44	397.93	0.0	0.39	47.5	64.34	76.71	74.58	55.1	87.65	99.43	112.77	135.24	114.36	79.45	102.25	111.21	167.9	81.14	567.1
ARHGAP29	291.04	483.38	64.8	115.16	51.71	33.54	239.52	29.27	75.64	148.09	120.94	44.89	329.84	106.63	69.52	181.28	1135.2	688.78	748.61	305.55	612.11	688.78	559.28	341.51	466.88	358.54	181.28	1457.23	1540.37	412.0	1407.55	571.05	848.22	1417.35	567.1	470.14	567.1	432.53	651.58	830.75	698.41	100.13	688.78	295.11	444.72	426.57	500.46	420.68	1044.52	713.11	647.07	947.83	273.37	728.11	808.0	842.36	336.79	1242.34	1096.5	872.1	872.1	483.38	532.74	1313.23	406.31	307.69	1322.37	1030.12	2855.44	186.4	842.36	921.88	961.07	507.46	1059.11	301.33	363.56	348.71	51.71	583.07	1477.58	336.79	305.55	1059.11	463.65	169.07	1059.11	988.12	567.1	2739.08	830.75	665.29	1175.27	947.83	743.43	483.38	660.68	665.29	447.82	432.53	693.58	1059.11	497.0	543.96	237.86	679.29	507.46	688.78	961.07	3146.52	514.56	65.72	176.29	140.04	96.68	307.69	99.43	36.79	127.89	38.12	115.16	81.71	106.63	248.0	84.63	293.07	629.35
ATP6AP1L	84.63	60.82	26.47	19.11	35.76	21.47	74.58	24.11	2.97	47.17	28.65	32.13	42.41	115.97	137.14	64.34	101.54	129.69	143.01	24.99	42.11	267.73	61.68	283.05	147.06	162.14	13.32	231.32	277.2	111.21	164.42	80.01	134.3	291.04	218.79	120.94	209.84	167.9	29.48	82.29	229.72	41.22	159.9	88.26	117.6	44.57	80.57	157.68	77.79	83.45	98.73	246.28	30.12	206.94	202.66	119.26	121.79	75.11	162.14	170.25	99.43	139.07	151.22	199.85	28.86	46.18	98.04	152.28	60.82	21.63	76.17	72.01	91.41	62.12	180.02	171.45	71.5	128.79	18.29	42.71	17.25	135.24	77.79	104.42	129.69	23.42	111.99	176.29	102.25	231.32	102.25	55.89	164.42	220.32	137.14	54.33	177.53	133.36	36.79	46.84	162.14	58.71	186.4	128.79	148.09	389.72	86.43	47.17	320.8	65.26	162.14	55.1	35.76	31.45	71.0	106.63	51.35	22.1	28.86	60.82	44.25	17.0	4.24	57.08	36.79	9.48	165.57
BIVM	248.0	289.02	110.43	112.77	77.79	128.79	186.4	63.0	58.3	148.09	187.71	92.05	172.65	120.94	144.01	279.14	1331.57	1417.35	540.19	454.09	825.0	848.22	743.43	1685.71	1030.12	819.3	473.41	183.82	1407.55	934.76	954.43	921.88	713.11	2104.58	1159.07	693.58	866.07	974.5	1407.55	1467.37	1583.71	555.41	1467.37	444.72	563.18	540.19	802.41	1697.45	974.5	1030.12	1233.75	981.29	234.57	1340.84	764.36	1397.83	1388.16	738.29	1991.0	1088.92	1225.22	1073.91	866.07	1096.5	500.46	220.32	759.08	1508.65	733.19	432.53	1467.37	842.36	371.22	915.51	974.5	842.36	1605.83	1135.2	145.02	376.41	303.44	612.11	301.33	825.0	813.63	825.0	780.44	1437.15	961.07	1250.98	1359.57	890.44	1417.35	1044.52	854.13	202.66	967.76	866.07	529.06	884.29	500.46	1313.23	1008.9	995.0	414.87	974.5	769.69	854.13	1467.37	0.0	0.59	159.9	258.57	244.57	195.72	285.03	178.77	256.78	376.41	182.55	206.94	159.9	153.34	154.42	426.57	26.28	336.79
C15orf65	173.85	44.25	16.75	14.67	10.24	47.17	77.25	45.85	9.7	44.89	48.18	21.32	87.03	98.04	103.69	193.01	180.02	87.03	162.14	45.21	295.11	212.78	117.6	332.14	171.45	285.03	49.56	92.7	417.77	141.02	329.84	224.97	195.72	185.11	208.38	108.14	134.3	154.42	117.6	363.56	217.27	169.07	169.07	190.34	155.5	92.05	171.45	99.43	101.54	218.79	74.06	172.65	71.5	414.87	246.28	118.43	466.88	190.34	136.19	138.1	187.71	194.36	124.37	116.78	141.02	103.69	97.36	147.06	232.94	100.13	149.12	89.51	133.36	124.37	171.45	191.67	189.02	205.5	35.5	46.5	76.17	128.79	140.04	135.24	253.23	96.01	262.2	152.28	131.51	145.02	120.94	312.0	117.6	206.94	88.88	59.97	232.94	273.37	65.26	87.65	152.28	376.41	150.17	163.28	123.5	185.11	91.41	88.88	231.32	0.0	0.0	84.63	10.16	17.64	171.45	21.78	99.43	26.86	73.03	37.05	32.13	78.34	92.05	39.79	40.93	246.28	118.43
C16orf93	21.32	14.89	45.53	29.48	56.28	107.38	82.87	6.67	34.75	13.62	30.78	34.75	45.21	18.43	75.11	154.42	116.78	76.71	318.57	50.27	162.14	341.51	134.3	190.34	273.37	334.46	150.17	265.87	447.82	132.44	599.49	256.78	277.2	684.02	603.67	171.45	633.73	616.37	205.5	444.72	536.45	127.0	457.25	353.59	201.25	234.57	175.07	255.0	363.56	181.28	231.32	450.94	172.65	303.44	547.75	183.82	457.25	150.17	291.04	244.57	463.65	718.08	551.56	819.3	120.1	114.36	299.25	435.55	176.29	86.43	291.04	143.01	89.51	197.09	872.1	237.86	583.07	182.55	87.65	137.14	88.88	303.44	109.66	336.79	295.11	269.6	146.03	158.79	195.72	432.53	607.87	212.78	429.54	599.49	791.35	141.02	551.56	414.87	78.89	94.01	100.83	148.09	417.77	244.57	182.55	830.75	135.24	236.21	490.14	0.0	0.22	18.7	17.38	29.91	16.39	32.82	149.12	173.85	55.89	78.89	93.35	47.84	67.12	136.19	104.42	55.1	327.56
