	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E2.A15M.11A.22R.A12D.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.13QIC.2326.SM.5LU5N	TCGA.KN.8437.11A.01R.2315.07	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH
ADAMTS18	29.7	7.0	10.08	19.11	134.3	21.32	13.22	91.41	52.45	116.78	100.13	10.71	98.04	85.22	48.18	17.9	39.5	146.03	149.12	3.5	4.03	0.0	0.83	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	3.72	0.0	0.0	0.0	0.0	0.69	0.0	0.58	0.0	8.51	0.0
ADPGK	813.63	819.3	791.35	718.08	698.41	665.29	669.92	718.08	878.17	616.37	909.17	769.69	915.51	769.69	624.99	813.63	961.07	866.07	802.41	656.11	698.41	366.09	318.57	551.56	450.94	361.04	555.41	379.04	629.35	267.73	287.01	466.88	423.61	647.07	624.99	438.59	275.28	305.55	379.04	555.41	656.11	323.03	423.61	218.79	403.5
ALDH1A3	559.28	2224.63	1540.37	708.18	878.17	830.75	1167.14	2287.2	2209.26	780.44	928.3	2104.58	1037.29	497.0	759.08	2895.31	915.51	1277.29	708.18	450.94	100.13	8.19	121.79	147.06	13.83	4.06	10.88	29.27	175.07	63.45	4.17	43.02	23.76	56.68	46.5	3.59	397.93	53.57	239.52	153.34	27.25	34.75	45.53	8.45	62.56
ANKRD50	183.82	295.11	320.8	198.47	182.55	104.42	148.09	249.73	403.5	186.4	273.37	223.41	318.57	239.52	256.78	397.93	1508.65	447.82	348.71	148.09	152.28	33.06	65.26	49.91	24.81	53.57	36.27	48.87	51.35	44.25	18.7	98.04	46.84	34.75	88.26	48.52	30.56	29.91	45.53	100.13	36.53	57.89	60.39	32.59	74.58
APC	117.6	265.87	303.44	204.07	217.27	98.73	166.73	258.57	348.71	178.77	201.25	205.5	301.33	237.86	264.03	532.74	297.17	305.55	327.56	156.59	108.14	64.8	74.06	58.71	31.0	34.02	52.82	72.01	70.51	35.5	26.67	68.55	33.3	40.93	58.71	120.94	77.25	47.84	93.35	102.25	32.36	76.17	73.54	16.63	69.52
APOC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.0	0.0	5.41	4.13	3.59	2.01	1.45	1.43	151608.43	9243449.07	3070409.25	7719092.49	5420519.65	5809569.18	4621724.04	4107985.47	7202167.89	8928583.23	7612821.45	3091765.64	3551506.25	3028138.0	3178687.03	5163792.94	1.24530853E7	5611673.89	3968052.37	3223059.86	3968052.37	1.032758687E7	7152418.87	1.09164457E7	4023444.33
AQP1	7382.04	6745.86	9673.69	8778.97	9945.68	11992.79	14262.1	7130.55	3419.52	14663.09	8421.31	9606.86	10733.74	10084.54	14163.58	8421.31	11267.44	12853.63	11345.82	7081.29	3124.78	414.87	1407.55	684.02	221.86	346.29	185.11	242.88	1216.75	384.34	133.36	941.27	141.02	205.5	575.03	193.01	105.89	201.25	397.93	607.87	73.03	954.43	432.53	229.72	120.1
ARHGDIB	8191.0	5831.91	5112.16	6079.61	4869.99	7642.41	7280.4	4769.75	3928.15	5006.93	6745.86	6935.54	5479.15	5555.65	5831.91	8247.98	5751.61	7537.18	17804.06	3955.48	3060.45	967.76	2335.28	1923.14	775.05	961.07	947.83	620.67	2209.26	775.05	921.88	1498.22	575.03	688.78	1628.26	1208.34	854.13	909.17	1096.5	1781.89	988.12	1540.37	2047.0	1119.56	723.08
ATF7	616.37	928.3	902.89	759.08	713.11	536.45	559.28	941.27	1199.98	713.11	656.11	915.51	896.64	808.0	759.08	954.43	819.3	1127.35	1135.2	563.18	397.93	246.28	285.03	223.41	169.07	176.29	173.85	193.01	303.44	156.59	181.28	246.28	320.8	195.72	420.68	251.48	125.24	172.65	214.27	325.29	215.77	226.54	397.93	182.55	318.57
ATP6V1E2	226.54	253.23	275.28	156.59	170.25	202.66	223.41	248.0	303.44	159.9	303.44	269.6	303.44	204.07	180.02	392.44	291.04	503.95	215.77	84.63	105.89	17.51	38.95	22.59	15.56	16.03	22.1	44.25	13.32	22.59	39.5	37.32	23.59	35.0	21.47	45.53	30.34	39.5	53.95	27.84	38.95	28.45	11.38	31.22	25.54
