	TCGA.DD.A39W.11A.11R.A213.07	GTEX.ZF2S.3026.SM.4WWCH	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.Y9LG.0526.SM.4VBRY	GTEX.145LS.1226.SM.5Q5D9
AC021860.1	1.69	2.63	4.46	1.58	0.0	4.21	1.43	11.04	1.14	5.36	5.82	1.55	0.99	4.17	4.21	17.0	8.78	1.19	0.0	4.5
ACTL7A	0.0	0.0	0.0	0.0	0.0	0.87	0.83	0.58	0.0	0.0	0.72	0.0	0.0	0.77	0.55	0.73	0.45	0.0	0.0	0.0
ACTL7B	0.0	0.0	0.0	0.0	0.0	1.66	1.13	1.3	0.0	0.42	0.43	0.0	0.0	0.67	0.4	1.79	0.64	0.0	0.0	0.0
ADAM11	1.48	1.08	1.39	1.25	0.0	5.5	1.22	5.02	2.07	0.32	0.8	1.71	0.37	5.41	4.54	11.47	9.2	1.07	0.89	2.41
ADNP2	64.34	56.68	42.41	53.57	0.0	327.56	684.02	242.88	190.34	187.71	307.69	177.53	151.22	356.05	356.05	236.21	202.66	106.63	164.42	591.22
AKAP12	82.29	118.43	185.11	114.36	87.03	1529.73	1519.15	473.41	249.73	536.45	872.1	842.36	748.61	1991.0	909.17	638.15	536.45	84.04	183.82	1199.98
AKIRIN2	684.02	819.3	540.19	748.61	0.0	1066.48	1487.87	2004.85	813.63	1015.93	1417.35	713.11	830.75	1709.26	791.35	1104.13	1059.11	665.29	836.53	1498.22
ARAP2	44.57	111.99	48.18	91.41	0.0	753.83	674.59	325.29	293.07	134.3	358.54	194.36	242.88	403.5	395.18	320.8	241.19	187.71	94.01	441.64
ARL14EPL	0.0	0.0	0.0	0.0	0.0	1.71	2.32	10.88	0.0	1.64	7.63	0.0	0.0	7.4	1.58	5.36	9.48	1.58	0.0	1.66
ATG10	88.26	103.69	98.04	131.51	65.26	76.71	237.86	116.78	166.73	176.29	165.57	84.04	166.73	167.9	218.79	139.07	68.07	153.34	137.14	271.48
