	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.E9.A1RE.01A.11R.A157.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.B6.A408.01A.12R.A24H.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.AR.A255.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.AN.A0FF.01A.11R.A034.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.KL.8328.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13N11.0926.SM.5IJG2	TCGA.AX.A3G4.01A.11R.A213.07	TCGA.EO.A3AV.01A.12R.A19W.07	TCGA.D1.A3DG.01A.11R.A19W.07
ARFGEF1	583.07	713.11	896.64	1225.22	842.36	447.82	532.74	1369.04	514.56	353.59	1191.69	928.3	341.51	1508.65	1159.07	848.22	2032.85	1030.12	1757.34	1745.2	4419.52	1477.58	1388.16	1286.18	802.41	2976.74	1104.13	1709.26	1242.34	2400.97	825.0	1051.79	967.76	3768.09	878.17	3060.45	1519.15	2193.99	1151.06	2400.97	518.15	1572.76	2573.36	2075.59	591.22	1457.23	1662.49	1407.55	2193.99	1044.52	532.74	1088.92	1427.22	1037.29	1225.22	2004.85	1457.23	4937.99	1397.83	2434.5	2209.26	1685.71	2915.45	3060.45	1709.26	1304.15	713.11	1745.2	1359.57	1030.12	1407.55	476.71	2627.46	1167.14	1340.84	1340.84	3564.78	934.76	1594.73	2209.26	808.0	954.43	1733.13	1359.57	1119.56	909.17	1051.79	2148.82	1923.14	1037.29	718.08	1322.37	830.75	2224.63	1437.15	3325.99	896.64	1369.04	1388.16	2209.26	1594.73	2193.99	1059.11	1617.0	647.07	3081.75	813.63	693.58	633.73	1572.76	1250.98	1001.93	3467.27	3467.27	2835.7	2855.44	392.44	848.22	1794.29	1583.71	1709.26	1304.15	291.04	1066.48	1417.35	320.8	303.44	129.69	229.72	279.14	463.65	813.63	813.63
ARMC1	329.84	403.5	314.17	366.09	217.27	176.29	265.87	363.56	149.12	318.57	457.25	208.38	176.29	769.69	559.28	651.58	872.1	397.93	860.08	708.18	1662.49	703.28	376.41	514.56	409.15	1242.34	503.95	921.88	457.25	808.0	312.0	457.25	387.02	1963.57	483.38	974.5	785.88	656.11	403.5	1457.23	438.59	587.13	1388.16	988.12	336.79	830.75	466.88	808.0	902.89	493.56	329.84	392.44	525.39	486.75	624.99	665.29	629.35	1977.24	674.59	854.13	1437.15	567.1	1183.45	1697.45	1008.9	769.69	297.17	1044.52	567.1	403.5	435.55	348.71	1304.15	500.46	583.07	612.11	1242.34	323.03	896.64	1151.06	447.82	373.81	1008.9	764.36	518.15	409.15	438.59	748.61	1044.52	420.68	363.56	1044.52	329.84	995.0	738.29	1594.73	486.75	836.53	688.78	928.3	796.86	759.08	642.59	595.34	251.48	1950.0	400.71	392.44	384.34	612.11	595.34	387.02	791.35	1896.65	1487.87	1519.15	120.94	476.71	651.58	825.0	743.43	543.96	384.34	356.05	305.55	264.03	231.32	90.14	181.28	239.52	262.2	234.57	392.44
ATP6V1C1	316.37	417.77	961.07	591.22	1242.34	447.82	1651.0	780.44	329.84	825.0	941.27	281.09	178.77	1540.37	1322.37	1143.1	2133.97	638.15	2018.8	2090.03	4066.71	1721.16	941.27	1044.52	748.61	2555.58	1051.79	1023.0	1044.52	1662.49	559.28	743.43	723.08	4066.71	825.0	1963.57	1806.78	1551.09	780.44	2875.3	688.78	902.89	2682.69	2609.3	559.28	1757.34	1388.16	1617.0	2119.22	1369.04	525.39	921.88	1594.73	1487.87	1225.22	1378.57	1437.15	2287.2	1896.65	1721.16	3614.55	1295.13	3690.52	3103.19	2148.82	1674.06	1498.22	2209.26	1832.01	860.08	988.12	1331.57	2835.7	896.64	890.44	1096.5	2485.67	723.08	1605.83	2895.31	974.5	559.28	1857.6	2627.46	1015.93	1008.9	759.08	1477.58	1844.76	808.0	688.78	1832.01	733.19	2739.08	1857.6	3018.3	1151.06	2133.97	2935.74	2915.45	1806.78	1745.2	1111.82	1551.09	612.11	3257.52	674.59	698.41	599.49	1233.75	928.3	842.36	2739.08	5147.73	3901.01	3847.29	301.33	872.1	1950.0	1745.2	1167.14	1159.07	376.41	718.08	802.41	785.88	325.29	279.14	173.85	486.75	299.25	603.67	447.82
AZIN1	775.05	1037.29	1617.0	1135.2	3325.99	961.07	3257.52	1437.15	575.03	825.0	3280.18	703.28	356.05	3325.99	2956.17	1781.89	5441.3	1572.76	3665.02	2319.15	7180.15	3820.7	2119.22	2133.97	2032.85	2997.45	1151.06	1628.26	1819.35	2935.74	808.0	1066.48	1457.23	6079.61	1127.35	3303.0	3280.18	2255.7	1437.15	8191.0	1143.1	1870.53	5219.6	3614.55	1008.9	2915.45	3039.3	2224.63	3190.46	2335.28	1519.15	1044.52	3280.18	2061.24	1936.53	2224.63	2090.03	3325.99	1498.22	2609.3	5441.3	3190.46	4328.55	8658.09	5954.47	2573.36	2255.7	5329.3	2720.15	1651.0	2303.12	2835.7	3467.27	2004.85	1628.26	2075.59	4066.71	1088.92	2485.67	6516.03	1551.09	1322.37	2240.11	3690.52	1883.54	2075.59	1487.87	3419.52	3716.2	1806.78	780.44	3901.01	1119.56	3395.89	3190.46	4836.35	2061.24	2935.74	3395.89	4903.87	2417.67	2468.49	1498.22	2178.83	941.27	5633.22	1551.09	1268.46	1023.0	3982.99	842.36	1369.04	3874.05	7803.01	4671.57	6079.61	353.59	1674.06	2367.9	2682.69	2178.83	2303.12	1175.27	514.56	500.46	511.0	339.14	514.56	389.72	384.34	665.29	819.3	884.29
C8orf37	9.93	24.46	9.41	15.34	7.63	6.21	19.53	23.08	5.82	14.56	13.62	14.35	17.25	72.52	73.54	68.55	81.14	32.59	87.03	96.68	185.11	37.85	43.94	106.63	47.17	111.21	34.26	149.12	63.89	49.21	24.46	15.22	28.65	158.79	37.05	64.8	90.77	58.71	34.75	63.89	28.24	38.95	218.79	171.45	11.3	85.82	81.71	102.97	91.41	115.16	30.34	33.06	70.51	37.32	37.59	59.97	92.7	78.34	60.82	31.45	117.6	84.63	193.01	74.58	96.01	82.29	53.19	120.94	48.87	28.65	31.67	40.93	83.45	46.5	28.45	32.36	132.44	39.22	65.72	83.45	43.02	19.39	43.63	95.34	38.4	51.71	40.93	115.16	118.43	54.72	44.25	90.77	54.33	80.01	37.59	229.72	43.02	79.45	58.3	48.52	115.16	79.45	58.3	197.09	25.72	102.97	62.56	35.5	103.69	40.07	31.9	33.06	102.97	102.97	76.71	75.11	8.0	75.64	49.56	56.68	56.68	59.13	22.59	33.54	17.9	13.32	10.39	12.27	18.29	24.63	28.45	8.32	12.36
COX6C	29736.59	22072.07	60304.42	34396.12	83528.61	22072.07	95286.54	33455.53	21172.91	20170.07	124863.17	21468.49	6079.61	168220.2	223512.12	152662.96	256748.15	331809.5	185362.8	158046.64	87075.75	194578.47	209994.66	170568.48	176583.6	185362.8	111755.56	152662.96	136637.07	114897.47	132900.7	159145.95	201440.3	48643.87	89523.81	120609.84	198667.0	221968.2	207103.59	140478.49	85283.74	211455.3	112532.89	355624.68	81244.48	265802.39	195931.88	190574.09	263966.36	242898.5	150561.19	140478.49	144427.91	148488.36	228208.61	202841.44	169390.27	186652.11	229795.93	61571.56	391864.76	193234.41	116501.39	425853.18	114103.8	125731.67	97965.44	97965.44	217400.14	127486.83	164758.26	320506.81	33224.42	170568.48	205673.01	177811.84	117311.73	122293.5	93974.69	269512.87	174152.51	160252.91	191899.64	152662.96	189257.69	147462.67	110216.97	146444.06	77934.88	208544.12	195931.88	194578.47	130165.62	253213.41	180294.02	46339.95	142439.51	114897.47	437825.58	527933.71	200048.85	197294.7	184082.4	228208.61	116501.39	138544.47	145432.49	96616.71	96616.71	286861.53	205673.01	180294.02	223512.12	127486.83	52135.28	126606.21	20737.16	158046.64	492579.5	132900.7	204252.32	164758.26	118127.7	66912.05	80683.28	37121.34	19892.37	12589.08	7642.41	29327.18	16045.82	12076.21	15934.98
CPNE3	361.04	511.0	656.11	813.63	518.15	341.51	559.28	651.58	575.03	532.74	1159.07	595.34	470.14	2367.9	1806.78	1313.23	2303.12	954.43	2178.83	2061.24	4769.75	1896.65	1119.56	2148.82	1088.92	3190.46	587.13	1477.58	1199.98	2664.15	708.18	842.36	1151.06	6426.31	878.17	836.53	2855.44	3280.18	1159.07	5594.3	1191.69	1191.69	4038.61	3235.01	708.18	3564.78	1304.15	2178.83	3639.7	995.0	1066.48	934.76	1781.89	3103.19	2119.22	1447.15	1407.55	503.95	1977.24	2816.11	4802.93	1991.0	3280.18	5751.61	4210.15	2271.4	1216.75	3847.29	1883.54	1250.98	2133.97	854.13	3847.29	1923.14	1662.49	1594.73	2777.33	928.3	3467.27	4419.52	2193.99	620.67	1561.89	2319.15	2720.15	1437.15	1081.39	1909.85	3060.45	1143.1	1183.45	2133.97	1191.69	2835.7	2816.11	3540.14	2090.03	2682.69	3039.3	4671.57	2004.85	2287.2	1594.73	1313.23	775.05	3081.75	1628.26	947.83	1259.69	2148.82	890.44	1286.18	3372.43	5041.77	4671.57	5954.47	356.05	1457.23	1457.23	4268.94	1628.26	1127.35	432.53	674.59	612.11	215.77	283.05	351.14	287.01	438.59	450.94	223.41	228.13
CSPP1	53.95	77.79	137.14	86.43	108.14	41.52	65.26	114.36	80.57	100.83	136.19	64.34	84.04	248.0	195.72	133.36	253.23	113.56	279.14	267.73	872.1	126.12	293.07	185.11	204.07	312.0	102.97	167.9	205.5	460.44	115.97	167.9	95.34	651.58	178.77	336.79	301.33	423.61	80.57	476.71	66.18	171.45	819.3	395.18	55.89	371.22	115.16	358.54	287.01	111.99	120.1	120.1	316.37	140.04	260.38	127.0	231.32	567.1	191.67	251.48	423.61	137.14	543.96	854.13	373.81	234.57	84.04	376.41	211.31	163.28	341.51	57.89	607.87	158.79	113.56	295.11	587.13	65.26	368.65	426.57	109.66	118.43	256.78	140.04	177.53	109.66	208.38	264.03	500.46	94.67	48.87	351.14	100.13	314.17	287.01	361.04	199.85	312.0	305.55	209.84	164.42	486.75	97.36	358.54	52.08	473.41	120.94	130.6	136.19	223.41	75.11	189.02	426.57	679.29	323.03	559.28	48.52	130.6	164.42	221.86	256.78	186.4	108.9	65.26	63.89	59.13	48.18	16.03	40.07	38.12	83.45	73.54	102.25
DPY19L4	85.82	258.57	186.4	301.33	185.11	102.97	241.19	323.03	116.78	199.85	346.29	175.07	119.26	473.41	441.64	381.68	967.76	193.01	470.14	543.96	967.76	507.46	223.41	343.89	301.33	733.19	106.63	384.34	318.57	435.55	180.02	173.85	202.66	1350.18	234.57	397.93	638.15	532.74	249.73	748.61	121.79	348.71	1167.14	389.72	180.02	559.28	301.33	379.04	429.54	571.05	87.03	153.34	854.13	454.09	273.37	406.31	318.57	376.41	293.07	483.38	599.49	547.75	684.02	902.89	698.41	547.75	483.38	1340.84	490.14	457.25	387.02	325.29	842.36	277.2	412.0	329.84	723.08	107.38	521.76	921.88	373.81	229.72	323.03	351.14	305.55	217.27	208.38	400.71	620.67	265.87	158.79	599.49	265.87	536.45	521.76	1008.9	371.22	595.34	688.78	629.35	454.09	647.07	299.25	336.79	130.6	420.68	242.88	260.38	279.14	361.04	248.0	255.0	759.08	1127.35	559.28	1081.39	77.79	229.72	258.57	532.74	279.14	242.88	197.09	201.25	236.21	108.14	70.01	63.0	149.12	157.68	162.14	97.36	102.97
E2F5	220.32	177.53	146.03	127.0	73.03	68.07	138.1	115.97	49.56	52.82	198.47	95.34	39.5	395.18	293.07	232.94	674.59	111.21	543.96	438.59	698.41	285.03	366.09	450.94	122.64	497.0	191.67	283.05	197.09	241.19	197.09	253.23	142.01	511.0	208.38	130.6	457.25	486.75	166.73	660.68	102.25	218.79	633.73	674.59	84.04	198.47	327.56	444.72	651.58	265.87	121.79	226.54	303.44	265.87	150.17	483.38	316.37	161.02	260.38	473.41	447.82	234.57	1044.52	733.19	703.28	323.03	202.66	1417.35	316.37	195.72	122.64	193.01	420.68	164.42	167.9	293.07	693.58	194.36	281.09	368.65	255.0	262.2	854.13	314.17	209.84	217.27	211.31	438.59	587.13	186.4	167.9	348.71	194.36	480.04	414.87	1051.79	251.48	438.59	361.04	423.61	329.84	236.21	283.05	435.55	163.28	708.18	291.04	178.77	186.4	332.14	142.01	195.72	470.14	866.07	348.71	543.96	59.97	229.72	656.11	389.72	267.73	217.27	221.86	111.99	111.99	273.37	81.71	25.91	32.13	21.94	171.45	127.89	343.89
