	GTEX.QDVN.0826.SM.48TZ2	GTEX.144GM.1326.SM.5LU5E	GTEX.13NYS.1626.SM.5J2MU	GTEX.OOBK.0526.SM.2HMJJ	GTEX.XYKS.0526.SM.4BRW2	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.N7MT.0126.SM.2D7VT	GTEX.QDT8.0926.SM.32PL2	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.13FLV.0426.SM.5KLZA	GTEX.QESD.0626.SM.2I5G4	GTEX.OXRP.0526.SM.2I3EW	GTEX.146FQ.0926.SM.5LUAV	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.12KS4.0726.SM.5FQSX	GTEX.SIU8.0926.SM.5SI87	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.Q2AG.1026.SM.33HBW	GTEX.11DZ1.0426.SM.5H11A	TCGA.77.8008.11A.01R.2187.07	GTEX.OHPL.2026.SM.3TW8R
A2M	275175.93	355624.68	141455.6	52497.92	54349.29	267651.2	233003.78	128373.58	125731.67	129266.49	161367.56	277089.94	242898.5	211455.3	282912.21	190574.09	201440.3	109455.64	25354.3	170568.48	49322.93	155870.75	417089.23	135693.24	150561.19	124863.17	123144.13	214407.12	229795.93	52497.92	125731.67	64632.75	33224.42
AARSD1	1191.69	748.61	376.41	1073.91	1167.14	665.29	802.41	785.88	466.88	872.1	743.43	703.28	753.83	559.28	769.69	796.86	521.76	426.57	1183.45	1991.0	995.0	532.74	579.04	1119.56	473.41	1127.35	473.41	748.61	651.58	305.55	339.14	928.3	1498.22
ADSL	1216.75	842.36	583.07	1388.16	1216.75	486.75	769.69	1044.52	348.71	1059.11	1135.2	896.64	723.08	813.63	607.87	748.61	392.44	325.29	1437.15	1151.06	1286.18	830.75	693.58	995.0	314.17	1051.79	371.22	547.75	603.67	244.57	563.18	974.5	2701.35
AIMP2	1208.34	728.11	157.68	967.76	738.29	287.01	312.0	660.68	116.78	559.28	518.15	381.68	353.59	204.07	320.8	336.79	119.26	275.28	1073.91	500.46	698.41	555.41	363.56	423.61	159.9	454.09	123.5	262.2	262.2	134.3	217.27	703.28	836.53
ALG3	1950.0	1407.55	486.75	1963.57	2319.15	503.95	796.86	1143.1	318.57	1191.69	1467.37	743.43	854.13	351.14	540.19	575.03	297.17	285.03	1561.89	1519.15	1225.22	679.29	551.56	884.29	234.57	860.08	264.03	457.25	708.18	194.36	587.13	1250.98	2119.22
ALKBH2	961.07	186.4	117.6	647.07	708.18	204.07	218.79	395.18	93.35	412.0	327.56	356.05	373.81	226.54	264.03	287.01	135.24	191.67	753.83	447.82	665.29	420.68	231.32	256.78	147.06	373.81	122.64	231.32	178.77	85.82	236.21	507.46	2090.03
ARMC6	403.5	961.07	186.4	995.0	748.61	361.04	329.84	547.75	297.17	688.78	693.58	366.09	514.56	351.14	299.25	251.48	262.2	204.07	836.53	764.36	647.07	503.95	336.79	525.39	231.32	493.56	163.28	267.73	260.38	181.28	226.54	638.15	1233.75
ASB6	134.3	206.94	137.14	303.44	343.89	156.59	197.09	239.52	151.22	301.33	267.73	229.72	226.54	260.38	166.73	197.09	144.01	260.38	500.46	267.73	389.72	287.01	180.02	351.14	123.5	373.81	135.24	191.67	287.01	94.01	208.38	341.51	358.54
ASCC2	1066.48	543.96	480.04	1561.89	1447.15	775.05	733.19	866.07	656.11	1295.13	961.07	1073.91	1104.13	947.83	947.83	872.1	769.69	753.83	1331.57	1561.89	1378.57	1051.79	1001.93	1104.13	490.14	1119.56	813.63	1159.07	738.29	205.5	647.07	1250.98	1159.07
ATAD3A	483.38	759.08	159.9	872.1	848.22	256.78	316.37	420.68	185.11	417.77	329.84	363.56	417.77	186.4	138.1	253.23	148.09	164.42	1001.93	660.68	638.15	249.73	224.97	368.65	217.27	536.45	152.28	204.07	314.17	97.36	131.51	587.13	1088.92
ATXN7L3	493.56	540.19	559.28	934.76	1096.5	624.99	336.79	728.11	679.29	769.69	733.19	457.25	521.76	693.58	457.25	624.99	379.04	518.15	1199.98	981.29	836.53	603.67	389.72	921.88	432.53	571.05	493.56	384.34	463.65	432.53	497.0	902.89	1208.34
BMS1	204.07	281.09	112.77	348.71	341.51	176.29	158.79	249.73	102.25	244.57	244.57	149.12	193.01	163.28	191.67	178.77	123.5	142.01	830.75	323.03	334.46	215.77	141.02	277.2	143.01	262.2	117.6	206.94	156.59	118.43	116.78	256.78	450.94
BOP1	759.08	563.18	228.13	1594.73	1015.93	363.56	567.1	616.37	211.31	525.39	591.22	361.04	457.25	113.56	183.82	186.4	124.37	164.42	1350.18	1697.45	743.43	305.55	295.11	525.39	161.02	638.15	133.36	218.79	348.71	165.57	140.04	896.64	2209.26
BYSL	490.14	521.76	78.34	583.07	457.25	301.33	220.32	301.33	98.73	514.56	400.71	220.32	205.5	111.99	158.79	167.9	130.6	191.67	825.0	555.41	633.73	205.5	157.68	320.8	201.25	400.71	108.14	172.65	146.03	114.36	105.15	563.18	947.83
C10orf2	214.27	185.11	37.05	129.69	98.04	81.14	66.65	81.14	35.0	117.6	99.43	48.18	71.0	50.27	50.98	52.45	32.36	36.79	231.32	113.56	172.65	77.79	37.85	123.5	37.59	84.04	22.92	39.79	40.93	23.08	40.64	159.9	543.96
CLUH	2701.35	2075.59	289.02	1159.07	1340.84	518.15	532.74	656.11	358.54	555.41	521.76	327.56	603.67	232.94	255.0	279.14	256.78	264.03	1923.14	1225.22	1199.98	595.34	279.14	457.25	314.17	547.75	262.2	423.61	426.57	314.17	197.09	967.76	1199.98
CTU2	241.19	314.17	166.73	454.09	629.35	248.0	267.73	236.21	175.07	265.87	291.04	162.14	366.09	121.79	102.25	177.53	149.12	122.64	728.11	486.75	392.44	186.4	273.37	312.0	178.77	361.04	102.97	138.1	144.01	64.34	112.77	450.94	902.89
DCAF13	607.87	500.46	140.04	708.18	497.0	242.88	291.04	429.54	132.44	536.45	559.28	351.14	363.56	223.41	444.72	242.88	177.53	226.54	1088.92	571.05	802.41	356.05	231.32	463.65	178.77	460.44	161.02	198.47	220.32	141.02	159.9	470.14	967.76
DDX49	733.19	599.49	387.02	1225.22	1427.22	409.15	529.06	796.86	392.44	954.43	669.92	665.29	647.07	444.72	497.0	559.28	301.33	297.17	1340.84	842.36	988.12	718.08	674.59	902.89	417.77	684.02	275.28	486.75	612.11	234.57	412.0	860.08	1909.85
