	TCGA.BL.A5ZZ.01A.31R.A30C.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.8208.01A.11R.2241.07	TCGA.86.7701.01A.11R.2170.07	TCGA.50.5072.01A.21R.1858.07	GTEX.144GN.0426.SM.5O9AP	GTEX.UPK5.1126.SM.3GAEJ	TCGA.39.5022.01A.21R.1820.07	TCGA.21.1076.01A.01R.0692.07
ATG3	1175.27	1388.16	1540.37	764.36	1015.93	981.29	728.11	1096.5	1277.29	872.1	1044.52	1051.79	848.22	819.3	620.67	395.18	381.68	379.04	532.74	450.94	595.34	447.82	669.92	379.04	624.99	599.49	638.15	460.44	483.38	638.15	470.14	571.05	616.37	387.02	780.44	493.56	503.95	651.58	775.05	595.34	521.76	567.1	1119.56	954.43	995.0	1651.0	1709.26	1697.45	1628.26
ATP2A2	3467.27	2148.82	2287.2	1208.34	1628.26	2895.31	1674.06	2997.45	2875.3	1407.55	1794.29	3212.66	1806.78	1135.2	1015.93	1143.1	1135.2	1388.16	1378.57	587.13	791.35	583.07	1467.37	665.29	764.36	1135.2	1096.5	660.68	974.5	947.83	1073.91	1286.18	624.99	813.63	1225.22	780.44	866.07	1259.69	902.89	733.19	651.58	1051.79	3235.01	4903.87	6294.04	4298.64	3419.52	3168.41	3212.66
ATP6V0D1	2758.13	3325.99	4066.71	2075.59	2555.58	1883.54	1883.54	2209.26	2224.63	1870.53	2434.5	3280.18	1457.23	1605.83	1242.34	1081.39	1191.69	1104.13	1923.14	808.0	775.05	961.07	1295.13	791.35	1191.69	1225.22	1685.71	1233.75	748.61	1331.57	854.13	1259.69	1111.82	733.19	1199.98	1977.24	1135.2	1268.46	1467.37	909.17	1096.5	1151.06	2720.15	2119.22	1697.45	7433.4	3690.52	2573.36	2255.7
BAZ1A	476.71	511.0	559.28	220.32	376.41	384.34	180.02	202.66	301.33	392.44	285.03	287.01	164.42	228.13	226.54	127.89	163.28	202.66	145.02	131.51	59.97	141.02	140.04	269.6	109.66	137.14	177.53	172.65	189.02	289.02	209.84	114.36	45.21	205.5	232.94	74.58	173.85	226.54	74.58	147.06	211.31	255.0	718.08	1286.18	587.13	412.0	693.58	575.03	830.75
BCAP29	1350.18	1216.75	1519.15	718.08	651.58	1037.29	1037.29	1378.57	1143.1	647.07	1073.91	733.19	743.43	647.07	693.58	295.11	307.69	253.23	371.22	358.54	387.02	291.04	525.39	305.55	389.72	356.05	500.46	327.56	392.44	532.74	450.94	460.44	397.93	323.03	563.18	540.19	476.71	454.09	684.02	521.76	329.84	447.82	825.0	1208.34	988.12	967.76	2976.74	679.29	1081.39
C20orf24	2573.36	3124.78	2609.3	2434.5	3614.55	3564.78	3325.99	7230.1	4010.71	3018.3	4543.8	5183.54	2520.38	2537.92	2287.2	1397.83	1167.14	1397.83	2367.9	1081.39	1896.65	1135.2	2645.74	1059.11	2758.13	1896.65	2758.13	1277.29	1378.57	3639.7	1427.22	1709.26	1561.89	1529.73	2319.15	2997.45	2119.22	3491.39	1721.16	1950.0	1477.58	1437.15	5329.3	4607.24	6337.83	4903.87	2935.74	8479.89	5633.22
C5orf28	171.45	283.05	271.48	103.69	162.14	211.31	151.22	156.59	162.14	171.45	180.02	226.54	215.77	116.78	134.3	68.07	64.8	94.01	113.56	113.56	120.94	93.35	177.53	68.55	61.25	118.43	148.09	44.25	121.79	56.28	137.14	120.1	84.04	60.82	93.35	92.05	59.97	79.45	144.01	99.43	68.07	208.38	332.14	309.83	242.88	429.54	241.19	463.65	297.17
CALR	23656.34	22692.63	23169.48	20451.65	18431.96	22225.61	30785.28	19754.96	18819.27	17804.06	14765.09	58250.19	15499.21	17437.64	16960.78	9606.86	12502.12	12244.81	12160.22	8191.0	7589.61	10440.2	18304.63	8840.04	17078.76	11992.79	21468.49	10512.82	8718.32	9151.82	11584.24	10733.74	12415.75	6037.61	22072.07	24660.96	19348.38	16045.82	14461.21	11035.54	10296.45	8598.28	20310.37	30999.42	18304.63	26431.04	22225.61	29327.18	19082.0
CAP1	6381.92	7857.29	8963.45	2104.58	4181.07	3768.09	2573.36	3018.3	3639.7	3168.41	3257.52	6250.56	2502.97	2502.97	1950.0	947.83	1259.69	890.44	1119.56	1143.1	1175.27	1151.06	1651.0	1088.92	1447.15	1001.93	1447.15	1199.98	1199.98	1331.57	1008.9	1388.16	1437.15	1037.29	2119.22	1313.23	1407.55	1617.0	1685.71	1407.55	1167.14	967.76	5954.47	4869.99	4937.99	8718.32	10733.74	4972.34	6561.36
CAST	2609.3	3515.68	3419.52	1605.83	2287.2	2255.7	1923.14	1977.24	2148.82	2209.26	1991.0	2193.99	2287.2	1697.45	2032.85	1540.37	1225.22	1051.79	961.07	1350.18	1159.07	1119.56	1322.37	1088.92	1721.16	2104.58	1313.23	1030.12	1268.46	1277.29	1250.98	1233.75	1388.16	934.76	2119.22	1697.45	1427.22	1794.29	1583.71	1561.89	1059.11	1340.84	2271.4	2835.7	3928.15	4671.57	4095.0	3325.99	3018.3
