	TCGA.BL.A5ZZ.01A.31R.A30C.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.8208.01A.11R.2241.07	TCGA.86.7701.01A.11R.2170.07	TCGA.50.5072.01A.21R.1858.07	GTEX.144GN.0426.SM.5O9AP	GTEX.UPK5.1126.SM.3GAEJ	TCGA.39.5022.01A.21R.1820.07	TCGA.21.1076.01A.01R.0692.07
GNS	1369.04	2796.65	3540.14	884.29	1685.71	1340.84	1397.83	1331.57	1119.56	1023.0	1081.39	2400.97	878.17	928.3	647.07	356.05	444.72	339.14	450.94	387.02	536.45	406.31	629.35	406.31	571.05	500.46	688.78	414.87	500.46	647.07	412.0	476.71	599.49	341.51	708.18	603.67	567.1	536.45	733.19	521.76	432.53	460.44	2224.63	1733.13	2075.59	4671.57	2777.33	1378.57	2004.85
GOLT1B	921.88	764.36	848.22	281.09	660.68	426.57	575.03	836.53	796.86	444.72	587.13	954.43	497.0	356.05	209.84	132.44	209.84	166.73	275.28	156.59	127.89	158.79	279.14	163.28	236.21	214.27	237.86	189.02	217.27	241.19	149.12	267.73	171.45	135.24	316.37	249.73	232.94	249.73	289.02	211.31	164.42	185.11	1104.13	1135.2	1674.06	607.87	718.08	759.08	1023.0
GRB2	1832.01	3303.0	3742.05	995.0	1781.89	1322.37	1127.35	1242.34	1709.26	1143.1	1359.57	1199.98	1143.1	890.44	693.58	612.11	624.99	483.38	723.08	497.0	607.87	540.19	718.08	476.71	743.43	642.59	624.99	518.15	571.05	796.86	656.11	575.03	713.11	543.96	878.17	848.22	813.63	647.07	748.61	543.96	599.49	638.15	3280.18	1477.58	1447.15	3665.02	2104.58	2537.92	2400.97
GTPBP4	1015.93	1233.75	703.28	356.05	429.54	665.29	346.29	796.86	791.35	583.07	703.28	995.0	420.68	373.81	297.17	447.82	307.69	275.28	248.0	223.41	208.38	191.67	229.72	234.57	215.77	309.83	209.84	232.94	197.09	273.37	301.33	293.07	190.34	249.73	289.02	239.52	265.87	389.72	246.28	339.14	265.87	279.14	1066.48	1088.92	1685.71	802.41	947.83	753.83	674.59
GTPBP8	211.31	182.55	258.57	163.28	164.42	182.55	116.78	214.27	171.45	164.42	244.57	186.4	140.04	169.07	101.54	39.5	62.56	54.33	114.36	69.03	113.56	82.29	104.42	68.55	97.36	147.06	136.19	102.97	127.0	129.69	97.36	81.14	98.04	85.82	117.6	107.38	95.34	124.37	154.42	114.36	130.6	85.22	185.11	205.5	249.73	332.14	403.5	281.09	325.29
HAT1	1088.92	1167.14	1225.22	429.54	813.63	591.22	503.95	651.58	713.11	497.0	629.35	503.95	591.22	444.72	403.5	232.94	267.73	201.25	412.0	242.88	303.44	194.36	373.81	212.78	417.77	353.59	329.84	256.78	348.71	334.46	269.6	327.56	307.69	262.2	450.94	232.94	293.07	283.05	493.56	316.37	275.28	379.04	1183.45	1135.2	1529.73	1369.04	2701.35	1088.92	1037.29
HDAC1	2287.2	1909.85	1508.65	909.17	2061.24	1159.07	1096.5	1857.6	1662.49	1551.09	2193.99	2335.28	1286.18	1340.84	860.08	395.18	769.69	1015.93	753.83	1119.56	791.35	988.12	723.08	1073.91	629.35	651.58	915.51	802.41	866.07	866.07	743.43	769.69	1088.92	693.58	1259.69	684.02	708.18	791.35	1073.91	1073.91	934.76	638.15	2240.11	2555.58	2627.46	1697.45	5183.54	2451.44	2976.74
HSPA5	11909.94	9344.14	7081.29	5292.48	4543.8	8658.09	7966.99	8022.41	8718.32	5041.77	8421.31	13776.25	7130.55	4210.15	5366.37	2451.44	2271.4	3515.68	3847.29	1685.71	2777.33	1709.26	6983.79	1529.73	3639.7	4123.49	5672.41	2209.26	3190.46	5147.73	2701.35	3982.99	2319.15	1819.35	6250.56	5555.65	3564.78	6745.86	3768.09	2148.82	2609.3	3540.14	9606.86	15392.14	7911.95	8598.28	6745.86	8598.28	6745.86
HTATSF1	808.0	1233.75	988.12	551.56	842.36	660.68	651.58	563.18	785.88	599.49	555.41	633.73	698.41	536.45	497.0	218.79	343.89	312.0	426.57	334.46	423.61	297.17	514.56	273.37	435.55	343.89	339.14	314.17	387.02	432.53	414.87	384.34	429.54	248.0	507.46	406.31	381.68	483.38	551.56	426.57	409.15	412.0	941.27	947.83	723.08	1081.39	1407.55	1143.1	603.67
IDE	287.01	305.55	334.46	228.13	248.0	361.04	314.17	406.31	366.09	277.2	255.0	339.14	293.07	223.41	158.79	115.97	178.77	201.25	193.01	185.11	157.68	133.36	212.78	141.02	177.53	182.55	182.55	123.5	236.21	145.02	128.79	167.9	145.02	118.43	169.07	140.04	170.25	195.72	205.5	198.47	199.85	193.01	320.8	514.56	356.05	376.41	412.0	325.29	387.02
IDH3A	1225.22	1313.23	1066.48	633.73	607.87	934.76	733.19	1135.2	1819.35	902.89	896.64	830.75	780.44	620.67	665.29	353.59	348.71	289.02	366.09	435.55	486.75	281.09	587.13	480.04	457.25	503.95	423.61	307.69	409.15	400.71	423.61	314.17	466.88	358.54	698.41	389.72	536.45	909.17	587.13	483.38	438.59	409.15	995.0	1487.87	1008.9	1208.34	3540.14	1096.5	1268.46
IDH3G	1519.15	1037.29	1447.15	1023.0	1143.1	1183.45	1073.91	1697.45	1111.82	1369.04	1313.23	2193.99	884.29	981.29	878.17	674.59	460.44	728.11	559.28	679.29	759.08	651.58	647.07	642.59	896.64	521.76	872.1	647.07	460.44	638.15	708.18	836.53	825.0	624.99	954.43	759.08	616.37	785.88	665.29	780.44	638.15	473.41	1277.29	1572.76	928.3	1832.01	842.36	1540.37	1167.14
ITGB1	12764.83	7180.15	13123.73	3690.52	3303.0	7032.37	5147.73	11035.54	5831.91	8022.41	8901.53	10512.82	5183.54	4239.45	2209.26	1295.13	2645.74	1216.75	2335.28	1628.26	1369.04	2104.58	2720.15	1447.15	2468.49	1551.09	2032.85	1896.65	2240.11	2335.28	1923.14	2133.97	2434.5	1183.45	3742.05	2319.15	2061.24	2018.8	4095.0	2319.15	1745.2	2303.12	8022.41	7130.55	8191.0	4769.75	10296.45	5672.41	4450.27
KIF2A	400.71	426.57	476.71	81.14	234.57	173.85	71.0	138.1	260.38	140.04	178.77	191.67	80.01	100.83	67.12	15.56	41.22	25.17	19.25	31.22	32.13	77.25	87.65	24.11	45.85	21.78	56.28	21.78	30.78	80.01	40.93	99.43	35.76	21.01	113.56	31.0	57.49	36.27	37.85	88.26	32.13	43.63	409.15	511.0	312.0	409.15	450.94	289.02	346.29
KIF3A	81.14	93.35	108.9	28.45	65.26	71.5	35.76	68.55	41.22	53.19	75.64	35.0	29.7	30.78	22.59	6.89	28.45	16.39	25.91	13.22	13.83	24.99	30.56	16.15	24.99	5.11	10.16	12.55	28.86	9.56	17.0	29.91	12.93	17.13	18.29	16.51	17.9	13.52	29.91	13.83	12.45	21.32	103.69	180.02	60.39	198.47	175.07	73.03	58.3
LEPROTL1	1467.37	1407.55	1208.34	878.17	1151.06	1175.27	1350.18	1529.73	2303.12	1208.34	2061.24	1639.59	866.07	1135.2	830.75	251.48	483.38	295.11	511.0	389.72	507.46	412.0	633.73	285.03	854.13	525.39	1199.98	444.72	353.59	620.67	384.34	423.61	753.83	356.05	1594.73	679.29	612.11	813.63	624.99	708.18	363.56	343.89	1191.69	1639.59	1498.22	1662.49	1159.07	1277.29	1151.06
LPP	269.6	318.57	341.51	130.6	215.77	220.32	190.34	218.79	191.67	170.25	226.54	291.04	195.72	156.59	152.28	74.58	152.28	118.43	102.97	170.25	122.64	140.04	123.5	117.6	71.5	82.87	129.69	88.88	178.77	113.56	116.78	137.14	172.65	127.89	178.77	129.69	146.03	170.25	198.47	140.04	120.94	145.02	332.14	361.04	301.33	220.32	309.83	301.33	279.14
LYN	559.28	1023.0	1583.71	429.54	819.3	665.29	307.69	551.56	808.0	490.14	802.41	571.05	346.29	384.34	279.14	102.97	139.07	123.5	178.77	111.99	155.5	169.07	249.73	102.25	173.85	169.07	291.04	139.07	146.03	195.72	121.79	223.41	176.29	106.63	361.04	214.27	277.2	231.32	226.54	123.5	172.65	169.07	1832.01	1617.0	1015.93	2224.63	1437.15	1119.56	1167.14
MANF	6207.38	3742.05	3515.68	2816.11	2520.38	3540.14	4181.07	4268.94	3847.29	2451.44	4972.34	8840.04	3060.45	2133.97	2047.0	1096.5	1191.69	2537.92	2468.49	698.41	954.43	791.35	3349.13	713.11	1651.0	1883.54	3540.14	967.76	1844.76	1378.57	1417.35	2303.12	825.0	775.05	3060.45	2627.46	1277.29	1844.76	1322.37	872.1	1088.92	1437.15	5954.47	7537.18	6294.04	5006.93	3690.52	5517.27	3257.52
MCTS1	1572.76	1277.29	1487.87	1104.13	1111.82	1044.52	995.0	1417.35	1216.75	1066.48	1709.26	1844.76	1073.91	1135.2	934.76	543.96	518.15	514.56	974.5	638.15	764.36	511.0	830.75	473.41	941.27	785.88	1059.11	728.11	684.02	928.3	612.11	718.08	620.67	507.46	1407.55	866.07	638.15	665.29	1104.13	759.08	647.07	796.86	1427.22	1605.83	1551.09	1331.57	1963.57	1529.73	1199.98
MKL1	536.45	551.56	583.07	234.57	285.03	426.57	244.57	423.61	447.82	460.44	381.68	305.55	244.57	199.85	153.34	98.73	142.01	142.01	96.01	94.67	78.34	99.43	103.69	96.01	158.79	103.69	156.59	92.05	209.84	105.15	90.14	171.45	108.9	75.64	145.02	181.28	81.71	229.72	145.02	105.89	111.99	76.71	684.02	511.0	518.15	507.46	376.41	514.56	532.74
MPZL1	2351.53	3303.0	2417.67	583.07	476.71	1151.06	651.58	1191.69	1242.34	915.51	1268.46	1378.57	486.75	503.95	312.0	138.1	303.44	224.97	303.44	269.6	158.79	154.42	373.81	125.24	323.03	291.04	214.27	115.97	137.14	336.79	178.77	265.87	206.94	169.07	463.65	379.04	231.32	221.86	351.14	334.46	175.07	178.77	2855.44	2075.59	2451.44	2777.33	2133.97	2061.24	1721.16
MRFAP1	7857.29	5672.41	7433.4	5517.27	5672.41	5076.84	5751.61	6164.49	9409.14	6516.03	7485.11	7032.37	5913.33	5076.84	4972.34	3491.39	3589.58	2997.45	3955.48	3124.78	4802.93	2956.17	4903.87	3103.19	5555.65	4575.41	4481.23	3467.27	4152.18	4450.27	4152.18	4066.71	4210.15	2935.74	7032.37	4543.8	4239.45	4575.41	5292.48	3564.78	3665.02	3928.15	4769.75	5219.6	5831.91	5441.3	9215.48	4903.87	4869.99
MRPL3	2777.33	2104.58	1832.01	896.64	1467.37	1208.34	1030.12	1467.37	1540.37	1066.48	1745.2	2148.82	1286.18	1051.79	934.76	884.29	723.08	674.59	1044.52	620.67	1001.93	599.49	1175.27	518.15	1167.14	1208.34	1051.79	808.0	842.36	974.5	860.08	974.5	842.36	669.92	909.17	854.13	854.13	941.27	995.0	915.51	860.08	902.89	2287.2	2335.28	2997.45	1896.65	1936.53	2701.35	1896.65
NAA50	1769.57	1745.2	1721.16	854.13	1286.18	1023.0	698.41	1477.58	1030.12	775.05	1001.93	2075.59	836.53	674.59	547.75	307.69	417.77	381.68	575.03	381.68	647.07	384.34	651.58	346.29	591.22	500.46	497.0	389.72	417.77	708.18	435.55	432.53	444.72	409.15	733.19	490.14	547.75	567.1	665.29	547.75	500.46	563.18	1096.5	1427.22	2485.67	1769.57	1639.59	2468.49	2351.53
NPC1	1208.34	1081.39	813.63	295.11	669.92	629.35	341.51	287.01	785.88	414.87	454.09	1088.92	265.87	341.51	403.5	158.79	273.37	260.38	291.04	205.5	215.77	232.94	277.2	312.0	190.34	189.02	181.28	177.53	255.0	420.68	305.55	379.04	190.34	218.79	426.57	299.25	309.83	417.77	248.0	358.54	205.5	169.07	1088.92	476.71	802.41	854.13	785.88	988.12	1977.24
OLA1	2664.15	3190.46	2417.67	679.29	1628.26	1467.37	1572.76	1407.55	1540.37	1059.11	1757.34	2255.7	890.44	1233.75	854.13	356.05	438.59	435.55	518.15	429.54	679.29	412.0	785.88	384.34	947.83	521.76	738.29	579.04	463.65	599.49	381.68	563.18	642.59	480.04	934.76	674.59	540.19	703.28	1096.5	607.87	567.1	642.59	1662.49	1883.54	2451.44	2119.22	2573.36	1757.34	2032.85
OPN3	279.14	753.83	503.95	244.57	703.28	525.39	660.68	1457.23	1208.34	486.75	1277.29	567.1	287.01	334.46	316.37	90.14	183.82	119.26	249.73	152.28	309.83	152.28	223.41	164.42	204.07	180.02	236.21	137.14	237.86	334.46	214.27	152.28	303.44	177.53	267.73	180.02	204.07	135.24	155.5	120.94	134.3	316.37	297.17	595.34	1551.09	366.09	246.28	500.46	409.15
PAIP1	2255.7	2090.03	1437.15	1259.69	1350.18	1662.49	1295.13	1477.58	1350.18	1417.35	1844.76	2148.82	1350.18	1259.69	1111.82	642.59	642.59	698.41	1191.69	708.18	988.12	854.13	1286.18	723.08	1037.29	1044.52	1159.07	688.78	775.05	1159.07	961.07	921.88	954.43	616.37	1519.15	1111.82	808.0	928.3	1340.84	1159.07	967.76	1104.13	1697.45	2004.85	1561.89	1508.65	3491.39	2193.99	1721.16
PCNT	277.2	239.52	265.87	194.36	205.5	228.13	285.03	371.22	323.03	191.67	507.46	267.73	208.38	221.86	98.04	102.25	134.3	167.9	103.69	269.6	115.16	193.01	102.97	127.89	126.12	91.41	84.04	118.43	208.38	167.9	73.54	133.36	208.38	166.73	145.02	65.72	145.02	187.71	202.66	170.25	273.37	143.01	343.89	232.94	246.28	287.01	327.56	293.07	244.57
PCYT1A	591.22	796.86	1044.52	432.53	563.18	567.1	497.0	703.28	497.0	457.25	575.03	796.86	483.38	444.72	438.59	224.97	325.29	327.56	253.23	314.17	346.29	279.14	336.79	420.68	241.19	231.32	336.79	289.02	356.05	279.14	312.0	371.22	329.84	297.17	397.93	341.51	373.81	555.41	356.05	406.31	312.0	269.6	1104.13	397.93	713.11	647.07	595.34	872.1	1721.16
PDCD6IP	1909.85	2682.69	2351.53	1066.48	1605.83	2163.77	1594.73	1697.45	1977.24	1199.98	1175.27	1250.98	1295.13	1378.57	1175.27	514.56	819.3	450.94	759.08	733.19	698.41	620.67	775.05	688.78	902.89	791.35	808.0	563.18	669.92	941.27	620.67	753.83	1001.93	796.86	961.07	769.69	860.08	909.17	1030.12	1059.11	660.68	629.35	1769.57	1583.71	2209.26	2573.36	1331.57	1322.37	2224.63
PDE12	150.17	166.73	181.28	144.01	189.02	236.21	170.25	209.84	316.37	156.59	198.47	145.02	214.27	151.22	106.63	86.43	109.66	125.24	195.72	98.04	119.26	69.03	161.02	74.06	105.89	154.42	111.21	80.01	114.36	92.7	125.24	143.01	105.89	82.87	132.44	97.36	72.01	115.16	129.69	108.14	102.97	129.69	127.0	154.42	127.0	246.28	191.67	118.43	189.02
PITPNC1	454.09	607.87	555.41	217.27	358.54	432.53	281.09	579.04	708.18	283.05	511.0	295.11	201.25	291.04	303.44	167.9	239.52	135.24	181.28	176.29	224.97	214.27	172.65	171.45	244.57	111.99	198.47	167.9	214.27	414.87	137.14	217.27	273.37	175.07	361.04	234.57	277.2	221.86	332.14	120.1	400.71	123.5	466.88	1286.18	651.58	241.19	392.44	532.74	351.14
PLAA	438.59	486.75	563.18	242.88	289.02	392.44	299.25	480.04	543.96	287.01	387.02	633.73	348.71	251.48	195.72	175.07	169.07	146.03	271.48	146.03	187.71	177.53	234.57	150.17	204.07	197.09	224.97	139.07	138.1	226.54	185.11	231.32	205.5	154.42	237.86	229.72	194.36	248.0	256.78	220.32	176.29	166.73	409.15	483.38	346.29	466.88	444.72	420.68	392.44
PLBD2	497.0	656.11	1143.1	420.68	607.87	591.22	511.0	1015.93	785.88	490.14	403.5	551.56	277.2	323.03	223.41	205.5	275.28	164.42	182.55	193.01	343.89	205.5	264.03	265.87	376.41	256.78	339.14	248.0	236.21	262.2	248.0	215.77	381.68	260.38	271.48	336.79	320.8	295.11	269.6	164.42	197.09	224.97	718.08	500.46	616.37	854.13	368.65	473.41	698.41
POP4	1529.73	1883.54	1923.14	1331.57	1963.57	1378.57	1457.23	1950.0	1923.14	1369.04	2240.11	2434.5	1191.69	1322.37	967.76	791.35	836.53	748.61	1023.0	836.53	988.12	848.22	1151.06	748.61	1199.98	791.35	1159.07	884.29	921.88	638.15	921.88	769.69	1073.91	808.0	1498.22	1119.56	1059.11	1059.11	1208.34	1044.52	896.64	909.17	1794.29	1407.55	1733.13	2573.36	2224.63	1963.57	2720.15
PPAT	173.85	217.27	182.55	61.25	159.9	142.01	85.22	125.24	265.87	80.01	122.64	146.03	114.36	70.51	31.45	64.34	30.12	68.07	126.12	42.11	66.65	50.63	74.58	40.64	45.21	52.45	49.56	42.71	55.89	59.13	67.59	81.71	41.81	47.84	64.34	44.25	34.02	27.64	77.79	57.08	48.52	100.83	158.79	273.37	211.31	94.67	135.24	205.5	121.79
PSMD1	2335.28	1447.15	2061.24	1397.83	2178.83	1583.71	1651.0	2004.85	1340.84	1225.22	1561.89	1639.59	1331.57	1233.75	890.44	1259.69	1119.56	769.69	1417.35	902.89	961.07	819.3	1250.98	599.49	1096.5	860.08	1322.37	915.51	796.86	1104.13	872.1	954.43	866.07	890.44	1159.07	1359.57	1015.93	1191.69	947.83	1001.93	1250.98	1008.9	1991.0	6250.56	2816.11	2004.85	1950.0	1832.01	1594.73
PSMD14	1991.0	1639.59	1340.84	660.68	1427.22	974.5	866.07	1757.34	2004.85	808.0	1304.15	1883.54	660.68	660.68	514.56	244.57	351.14	314.17	525.39	303.44	450.94	332.14	486.75	332.14	638.15	329.84	514.56	281.09	368.65	540.19	316.37	417.77	376.41	291.04	620.67	551.56	426.57	540.19	575.03	480.04	379.04	395.18	1437.15	1417.35	2224.63	1721.16	1540.37	1447.15	1191.69
PSMD8	6337.83	4769.75	4543.8	3665.02	3901.01	3190.46	3124.78	4328.55	7433.4	3303.0	3614.55	5112.16	2997.45	3443.31	3103.19	2119.22	2004.85	1857.6	2303.12	2018.8	2816.11	1617.0	2997.45	2104.58	3349.13	2739.08	2664.15	2555.58	2319.15	3280.18	2148.82	1832.01	2997.45	2163.77	3146.52	2816.11	3467.27	2835.7	2816.11	2061.24	2061.24	2193.99	4450.27	3794.3	5479.15	6471.02	5555.65	5292.48	5403.7
RAB10	2451.44	3168.41	2351.53	921.88	1498.22	1594.73	1104.13	2178.83	2682.69	988.12	2303.12	5711.87	842.36	872.1	796.86	426.57	647.07	435.55	583.07	470.14	629.35	406.31	866.07	395.18	629.35	616.37	753.83	381.68	612.11	551.56	785.88	728.11	521.76	373.81	974.5	981.29	733.19	624.99	674.59	599.49	624.99	743.43	2956.17	2303.12	4639.29	2976.74	2434.5	2816.11	4639.29
RAB11A	5329.3	7803.01	6607.01	2485.67	2032.85	2875.3	2520.38	4328.55	3874.05	3146.52	4239.45	7695.57	2555.58	2855.44	2133.97	981.29	1208.34	1059.11	1662.49	1242.34	1857.6	1225.22	1733.13	1135.2	2255.7	1794.29	2335.28	1167.14	1437.15	2090.03	1437.15	1369.04	1844.76	1104.13	2777.33	2224.63	1447.15	1977.24	2032.85	1697.45	1540.37	1583.71	4481.23	4388.98	9409.14	7032.37	9025.81	4450.27	6652.97
RAB7A	4639.29	6381.92	5006.93	3060.45	4010.71	3982.99	3419.52	3168.41	3443.31	3540.14	3419.52	4639.29	3515.68	3540.14	3564.78	2451.44	2701.35	2018.8	2627.46	2255.7	2895.31	2047.0	3349.13	2178.83	3419.52	2997.45	3039.3	2609.3	2701.35	3540.14	2645.74	2555.58	2816.11	1909.85	3325.99	2609.3	3018.3	2777.33	3768.09	3060.45	2609.3	3168.41	5594.3	3928.15	5872.48	7857.29	6607.01	5041.77	6337.83
RBM12	616.37	713.11	688.78	264.03	454.09	314.17	217.27	277.2	460.44	314.17	314.17	463.65	320.8	279.14	303.44	111.21	151.22	97.36	121.79	108.14	124.37	118.43	244.57	152.28	114.36	124.37	93.35	106.63	133.36	93.35	166.73	153.34	178.77	122.64	206.94	201.25	182.55	204.07	198.47	126.12	90.77	118.43	607.87	723.08	669.92	733.19	603.67	529.06	529.06
RPN2	6426.31	6381.92	7331.05	3874.05	5831.91	4328.55	5329.3	5112.16	5076.84	3847.29	3372.43	6887.62	3820.7	4066.71	4152.18	2163.77	2303.12	2004.85	2468.49	1685.71	2875.3	2047.0	3716.2	2400.97	4268.94	2555.58	3419.52	2303.12	2591.27	3742.05	2209.26	2591.27	3467.27	1685.71	3847.29	4038.61	3372.43	3103.19	3564.78	2777.33	2367.9	2335.28	8134.41	10959.3	8479.89	9876.98	9606.86	11345.82	6121.9
RSU1	2400.97	1870.53	2573.36	708.18	808.0	1051.79	988.12	1870.53	1216.75	1066.48	1757.34	1359.57	579.04	890.44	896.64	303.44	612.11	279.14	490.14	406.31	444.72	368.65	579.04	371.22	612.11	316.37	571.05	343.89	384.34	500.46	423.61	412.0	642.59	289.02	733.19	493.56	392.44	412.0	616.37	518.15	403.5	303.44	1369.04	1322.37	1088.92	2591.27	4607.24	1350.18	1208.34
SH3GLB1	1769.57	2520.38	2468.49	796.86	674.59	1008.9	629.35	1104.13	1066.48	1001.93	1397.83	764.36	733.19	733.19	651.58	285.03	392.44	301.33	387.02	346.29	417.77	316.37	540.19	262.2	470.14	518.15	603.67	318.57	343.89	500.46	395.18	406.31	441.64	258.57	1001.93	356.05	429.54	551.56	669.92	480.04	358.54	334.46	1561.89	1832.01	1617.0	1794.29	3874.05	1388.16	2193.99
SLC1A3	106.63	1073.91	373.81	43.32	171.45	186.4	72.52	127.89	507.46	72.01	239.52	57.89	24.11	38.4	13.22	2.2	25.17	9.13	13.72	9.34	10.08	38.12	5.73	6.78	2.43	2.32	10.96	3.66	30.56	12.09	3.29	8.65	20.71	22.43	27.05	31.9	20.71	23.42	17.0	21.63	2.86	10.47	423.61	89.51	116.78	493.56	171.45	348.71	866.07
SLC38A9	279.14	269.6	353.59	246.28	323.03	277.2	314.17	444.72	536.45	215.77	389.72	239.52	293.07	275.28	201.25	120.94	204.07	127.0	255.0	167.9	147.06	176.29	166.73	114.36	182.55	255.0	128.79	166.73	191.67	231.32	149.12	177.53	221.86	112.77	127.0	316.37	158.79	173.85	264.03	232.94	156.59	237.86	273.37	373.81	379.04	229.72	277.2	187.71	289.02
SNAPC3	234.57	279.14	314.17	182.55	229.72	353.59	172.65	414.87	239.52	249.73	392.44	346.29	248.0	194.36	167.9	114.36	90.14	124.37	139.07	158.79	142.01	143.01	258.57	139.07	130.6	128.79	150.17	107.38	112.77	63.0	127.89	164.42	167.9	127.0	209.84	129.69	138.1	170.25	171.45	228.13	142.01	178.77	291.04	438.59	320.8	329.84	444.72	314.17	332.14
SRP72	1250.98	1819.35	2163.77	780.44	1369.04	1388.16	909.17	1096.5	1685.71	1044.52	1359.57	1936.53	1127.35	902.89	563.18	525.39	543.96	708.18	743.43	536.45	567.1	514.56	947.83	466.88	651.58	723.08	603.67	595.34	624.99	693.58	483.38	647.07	551.56	490.14	647.07	511.0	532.74	603.67	665.29	500.46	587.13	656.11	1477.58	1909.85	1794.29	1757.34	1697.45	1477.58	1167.14
SRPRB	1594.73	1819.35	1617.0	1143.1	1111.82	1286.18	1769.57	1806.78	3955.48	1066.48	2193.99	2701.35	1551.09	1175.27	1001.93	759.08	651.58	830.75	902.89	532.74	842.36	532.74	1208.34	575.03	1208.34	1001.93	1096.5	669.92	723.08	1199.98	612.11	802.41	974.5	698.41	1081.39	1199.98	1183.45	1037.29	884.29	665.29	733.19	679.29	2434.5	1662.49	2319.15	1594.73	1286.18	2573.36	1950.0
SSR1	2367.9	3349.13	3874.05	1417.35	2287.2	2133.97	1832.01	2004.85	2591.27	1407.55	1733.13	4419.52	1583.71	1350.18	884.29	624.99	813.63	915.51	941.27	620.67	620.67	638.15	1561.89	587.13	1250.98	896.64	1250.98	651.58	743.43	941.27	583.07	909.17	780.44	579.04	1037.29	1015.93	1037.29	934.76	1066.48	713.11	830.75	872.1	2609.3	2796.65	4239.45	3146.52	3325.99	3235.01	2400.97
SSR3	5711.87	5441.3	5633.22	2417.67	3589.58	3419.52	2645.74	3742.05	4066.71	2739.08	3103.19	4736.79	2758.13	2758.13	1896.65	1030.12	1407.55	1477.58	1721.16	1008.9	1259.69	1143.1	2287.2	1167.14	2303.12	1745.2	2502.97	1369.04	1208.34	1977.24	1073.91	1551.09	1208.34	981.29	2485.67	1950.0	1844.76	1617.0	1923.14	1477.58	1477.58	1199.98	6164.49	7966.99	4802.93	5112.16	4095.0	6121.9	3847.29
STXBP1	525.39	332.14	291.04	103.69	157.68	105.15	66.18	358.54	159.9	137.14	275.28	56.68	129.69	107.38	104.42	17.9	53.95	20.86	57.08	75.11	21.63	66.18	57.89	36.01	15.8	6.52	17.13	19.53	74.58	25.91	36.79	55.1	29.7	39.79	111.21	39.79	29.48	21.16	87.03	74.06	36.53	20.86	297.17	866.07	283.05	457.25	713.11	206.94	323.03
SUB1	6699.25	5995.9	5913.33	4328.55	7081.29	4937.99	4903.87	3820.7	4450.27	5219.6	5479.15	12943.04	4450.27	4607.24	4419.52	1594.73	2701.35	1467.37	2935.74	2240.11	3257.52	2555.58	4388.98	1709.26	3742.05	2627.46	4450.27	1991.0	1819.35	4239.45	2417.67	3235.01	2645.74	1794.29	7857.29	4358.66	3540.14	3395.89	5711.87	2758.13	2664.15	3491.39	7485.11	7433.4	4575.41	4671.57	6381.92	8901.53	5913.33
TAX1BP1	1745.2	2367.9	1757.34	1151.06	1498.22	1508.65	1286.18	2104.58	4181.07	1529.73	1498.22	1909.85	1167.14	1096.5	928.3	503.95	713.11	624.99	698.41	579.04	753.83	775.05	974.5	624.99	848.22	902.89	981.29	642.59	665.29	1044.52	651.58	796.86	848.22	587.13	1023.0	1008.9	642.59	842.36	1008.9	802.41	808.0	872.1	1697.45	2224.63	2875.3	3235.01	1936.53	1697.45	1794.29
