	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.CH.5765.01A.11R.1580.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.U3ZM.0926.SM.4DXSW	GTEX.YB5E.1826.SM.5IFI4	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31
ADNP	212.78	307.69	351.14	197.09	163.28	273.37	197.09	277.2	307.69	175.07	346.29	220.32	316.37	181.28	361.04	221.86	186.4	157.68	397.93	251.48	447.82	185.11	348.71	107.38	417.77	166.73	191.67	339.14	132.44	198.47	269.6	384.34	202.66	206.94	281.09	231.32	197.09	223.41	256.78	143.01	232.94	417.77	162.14	265.87	389.72	212.78	366.09	229.72	204.07	116.78	152.28	244.57	215.77	244.57	279.14	1119.56	1059.11	1183.45	988.12	1159.07	1104.13	1242.34	808.0	1066.48	1111.82	759.08	698.41	703.28	559.28	769.69	769.69	941.27	1081.39	1417.35	1225.22	728.11	848.22	1295.13	1233.75	1001.93	915.51	718.08	708.18	819.3	842.36	656.11	660.68	633.73	529.06	1819.35
ANKIB1	93.35	138.1	153.34	63.45	57.89	92.05	84.63	123.5	153.34	82.87	146.03	102.97	191.67	63.0	142.01	127.89	80.57	83.45	149.12	128.79	281.09	98.73	223.41	112.77	173.85	100.13	53.57	182.55	109.66	92.05	71.0	242.88	70.01	60.39	138.1	144.01	135.24	171.45	115.97	126.12	95.34	185.11	61.25	151.22	99.43	177.53	130.6	90.14	84.63	42.41	101.54	106.63	87.03	153.34	134.3	463.65	435.55	409.15	457.25	420.68	466.88	417.77	224.97	348.71	414.87	283.05	218.79	555.41	228.13	341.51	265.87	305.55	616.37	547.75	447.82	351.14	420.68	435.55	414.87	486.75	251.48	237.86	218.79	291.04	264.03	152.28	220.32	287.01	177.53	507.46
AREL1	103.69	132.44	209.84	107.38	108.9	115.16	71.0	103.69	220.32	111.21	185.11	155.5	152.28	115.97	255.0	193.01	208.38	208.38	141.02	132.44	136.19	183.82	209.84	155.5	152.28	114.36	191.67	164.42	163.28	131.51	145.02	153.34	262.2	123.5	211.31	162.14	169.07	167.9	253.23	120.94	217.27	236.21	136.19	167.9	120.94	87.03	84.04	211.31	105.89	78.89	198.47	166.73	212.78	110.43	164.42	497.0	559.28	373.81	466.88	473.41	476.71	426.57	466.88	476.71	450.94	470.14	371.22	884.29	334.46	368.65	356.05	325.29	476.71	559.28	525.39	381.68	490.14	514.56	429.54	334.46	521.76	353.59	316.37	332.14	318.57	236.21	309.83	371.22	253.23	480.04
ARHGAP21	127.89	223.41	323.03	102.97	82.29	161.02	241.19	223.41	244.57	137.14	204.07	169.07	277.2	134.3	246.28	228.13	149.12	214.27	205.5	156.59	305.55	231.32	208.38	127.0	279.14	166.73	108.9	206.94	412.0	98.73	115.97	246.28	211.31	163.28	186.4	258.57	190.34	206.94	159.9	126.12	217.27	728.11	132.44	226.54	217.27	255.0	336.79	118.43	127.89	90.77	155.5	202.66	156.59	190.34	217.27	392.44	417.77	470.14	412.0	417.77	490.14	450.94	323.03	351.14	417.77	389.72	343.89	507.46	249.73	397.93	307.69	406.31	490.14	361.04	429.54	406.31	406.31	409.15	543.96	256.78	368.65	314.17	356.05	353.59	426.57	189.02	241.19	260.38	255.0	332.14
ARHGAP28	4.94	2.71	16.15	0.99	0.95	5.96	2.23	4.78	7.34	1.6	9.06	4.06	27.25	1.91	2.07	1.79	3.23	0.0	0.99	19.53	6.31	8.19	1.66	1.6	1.07	0.43	1.58	14.45	1.11	5.15	12.74	4.46	0.51	0.0	1.19	8.85	1.13	2.03	1.1	6.01	0.46	21.32	0.0	0.51	1.06	6.84	27.64	10.79	2.23	5.02	1.11	10.88	8.85	2.39	9.2	100.83	204.07	94.67	146.03	187.71	165.57	101.54	199.85	82.87	136.19	237.86	159.9	1277.29	361.04	155.5	128.79	204.07	260.38	181.28	223.41	135.24	314.17	135.24	444.72	329.84	127.89	69.52	111.21	145.02	132.44	24.63	37.85	49.56	164.42	115.97
ARID1B	98.73	154.42	229.72	92.7	64.8	119.26	92.7	157.68	194.36	96.68	180.02	115.97	228.13	76.71	149.12	135.24	97.36	118.43	177.53	87.65	100.13	177.53	125.24	100.83	182.55	111.99	64.34	189.02	57.89	96.68	149.12	220.32	113.56	80.57	156.59	145.02	117.6	146.03	92.7	72.52	151.22	102.97	125.24	138.1	130.6	171.45	197.09	162.14	96.01	78.89	136.19	97.36	132.44	204.07	137.14	612.11	575.03	738.29	629.35	540.19	595.34	733.19	426.57	575.03	620.67	409.15	397.93	423.61	356.05	389.72	363.56	366.09	551.56	718.08	559.28	503.95	457.25	463.65	698.41	559.28	412.0	483.38	444.72	429.54	567.1	325.29	334.46	351.14	334.46	563.18
ASH1L	66.65	94.67	155.5	55.49	24.11	84.63	74.58	94.67	140.04	60.82	91.41	57.89	153.34	33.78	106.63	115.97	52.08	86.43	153.34	70.01	149.12	102.25	113.56	78.34	170.25	76.71	46.5	134.3	95.34	36.53	71.0	194.36	99.43	65.26	150.17	106.63	97.36	104.42	70.51	93.35	101.54	98.73	35.5	119.26	162.14	149.12	64.34	99.43	73.03	35.25	50.27	50.63	94.67	182.55	119.26	426.57	490.14	638.15	483.38	507.46	529.06	587.13	325.29	389.72	555.41	348.71	307.69	269.6	253.23	414.87	309.83	312.0	529.06	540.19	521.76	351.14	351.14	518.15	642.59	381.68	289.02	346.29	336.79	356.05	447.82	191.67	389.72	325.29	212.78	514.56
ATF7	198.47	189.02	307.69	141.02	155.5	199.85	155.5	208.38	231.32	127.0	167.9	186.4	287.01	162.14	145.02	136.19	96.68	150.17	460.44	115.97	180.02	136.19	289.02	163.28	162.14	139.07	140.04	275.28	119.26	145.02	123.5	201.25	101.54	124.37	157.68	169.07	167.9	202.66	124.37	180.02	205.5	236.21	139.07	204.07	305.55	152.28	226.54	147.06	182.55	182.55	138.1	199.85	147.06	165.57	135.24	802.41	651.58	780.44	703.28	665.29	764.36	733.19	476.71	514.56	759.08	500.46	521.76	1151.06	567.1	620.67	563.18	679.29	713.11	507.46	679.29	651.58	435.55	642.59	674.59	612.11	493.56	463.65	525.39	620.67	607.87	450.94	511.0	435.55	547.75	656.11
AVL9	120.94	220.32	217.27	183.82	145.02	229.72	221.86	181.28	221.86	120.94	287.01	267.73	167.9	140.04	161.02	139.07	255.0	142.01	157.68	107.38	146.03	189.02	209.84	151.22	293.07	214.27	178.77	150.17	162.14	221.86	193.01	267.73	181.28	170.25	154.42	151.22	185.11	132.44	190.34	149.12	167.9	205.5	177.53	98.73	215.77	190.34	212.78	116.78	123.5	190.34	170.25	244.57	217.27	262.2	190.34	753.83	603.67	620.67	656.11	587.13	607.87	674.59	423.61	575.03	563.18	540.19	339.14	1023.0	395.18	435.55	420.68	500.46	785.88	688.78	603.67	476.71	599.49	796.86	688.78	718.08	555.41	368.65	339.14	353.59	314.17	309.83	273.37	406.31	248.0	603.67
BAIAP2L1	368.65	435.55	521.76	387.02	358.54	450.94	267.73	599.49	476.71	351.14	518.15	358.54	356.05	299.25	423.61	343.89	329.84	91.41	497.0	392.44	234.57	153.34	249.73	249.73	255.0	273.37	426.57	318.57	1159.07	616.37	493.56	872.1	275.28	612.11	486.75	262.2	287.01	90.14	529.06	679.29	194.36	669.92	397.93	616.37	1175.27	647.07	441.64	147.06	414.87	78.34	320.8	447.82	387.02	796.86	703.28	902.89	718.08	860.08	1199.98	813.63	890.44	688.78	1286.18	854.13	830.75	1143.1	1286.18	3325.99	1286.18	1127.35	884.29	1001.93	1111.82	1467.37	988.12	656.11	1183.45	1295.13	808.0	1175.27	1008.9	947.83	1111.82	1340.84	1208.34	884.29	698.41	764.36	813.63	688.78
