	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A0AU.11A.11R.A12P.07	GTEX.131YS.0626.SM.5EGKL	GTEX.X15G.1626.SM.3NMB3	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.147F3.0826.SM.5NQA7	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.OIZI.1426.SM.3NB1T	GTEX.RNOR.1326.SM.48FDE	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.WHSB.1626.SM.3LK6J
AC006547.14	32.82	11.91	14.89	37.85	2.51	18.97	4.86	4.5	8.06	17.77	9.2	33.54	29.91	22.59	62.56	31.45	0.0	0.0	1.27	8.58	1.28	2.16	1.48	1.28	1.06	25.35
AC139426.2	12.0	21.47	16.88	20.11	0.8	6.16	6.46	3.99	4.17	13.42	15.0	9.41	23.93	14.56	24.46	26.1	0.0	0.0	0.0	0.82	1.62	0.71	0.69	0.95	0.0	57.08
ACP6	633.73	579.04	842.36	633.73	144.01	301.33	309.83	170.25	246.28	312.0	368.65	177.53	967.76	872.1	854.13	1059.11	279.14	0.0	97.36	75.64	54.33	180.02	109.66	88.88	202.66	435.55
AGK	329.84	358.54	441.64	420.68	241.19	318.57	346.29	289.02	264.03	334.46	507.46	476.71	571.05	454.09	529.06	525.39	226.54	0.0	204.07	170.25	140.04	239.52	215.77	170.25	191.67	334.46
BBS4	612.11	536.45	679.29	595.34	134.3	170.25	242.88	135.24	98.73	275.28	256.78	327.56	571.05	642.59	486.75	651.58	126.12	0.0	78.89	62.56	46.84	130.6	49.21	69.03	81.71	733.19
C12orf73	204.07	217.27	191.67	283.05	124.37	140.04	221.86	162.14	143.01	145.02	234.57	142.01	309.83	353.59	305.55	239.52	136.19	0.0	67.12	78.34	131.51	82.29	104.42	102.25	92.05	242.88
C17orf75	312.0	341.51	379.04	511.0	255.0	279.14	291.04	239.52	186.4	303.44	341.51	351.14	325.29	514.56	423.61	348.71	289.02	0.0	204.07	198.47	84.04	273.37	297.17	287.01	95.34	358.54
C5	59.97	110.43	260.38	136.19	11.82	20.71	33.54	24.11	22.1	136.19	72.01	120.94	172.65	218.79	191.67	185.11	24.63	0.0	15.11	32.36	10.24	24.99	10.31	22.59	13.52	78.89
C8orf44	116.78	171.45	164.42	285.03	59.55	90.77	113.56	73.03	63.45	98.04	100.13	89.51	228.13	373.81	293.07	244.57	34.75	0.0	7.11	20.11	8.71	16.39	15.34	18.16	18.29	197.09
CACNA1F	18.84	26.47	41.52	22.43	8.78	2.46	4.39	3.06	1.58	8.45	7.75	23.59	12.36	19.11	4.66	5.68	1.62	0.0	0.0	0.41	0.19	3.38	0.82	0.52	0.0	8.51
CARD8	684.02	813.63	532.74	769.69	135.24	271.48	441.64	185.11	327.56	432.53	273.37	403.5	872.1	842.36	921.88	753.83	199.85	368.65	169.07	197.09	125.24	220.32	161.02	178.77	122.64	638.15
CD300LG	103.69	872.1	135.24	454.09	13.72	25.35	21.94	5.82	6.31	15.8	19.39	29.27	46.5	89.51	67.59	26.86	1.87	0.0	16.15	21.78	12.45	14.14	7.82	13.03	8.99	61.68
CEP290	129.69	198.47	135.24	142.01	29.27	27.05	120.1	18.43	11.55	66.65	52.08	84.63	262.2	258.57	287.01	218.79	10.39	0.0	13.52	14.24	23.59	24.99	13.93	11.55	12.45	146.03
CNTRL	267.73	323.03	271.48	262.2	74.06	108.9	212.78	100.13	115.16	208.38	212.78	314.17	277.2	229.72	189.02	208.38	43.63	0.0	46.5	96.01	40.07	111.21	57.89	49.21	45.21	206.94
COQ6	813.63	656.11	1498.22	872.1	221.86	384.34	612.11	371.22	389.72	503.95	607.87	470.14	848.22	854.13	665.29	896.64	339.14	0.0	368.65	249.73	190.34	435.55	256.78	279.14	312.0	860.08
CPLX1	343.89	123.5	61.68	295.11	6.89	122.64	58.71	71.5	34.02	134.3	85.22	141.02	323.03	426.57	791.35	579.04	6.73	0.0	0.42	6.21	17.0	17.0	2.2	8.51	8.78	48.87
DHX57	242.88	327.56	366.09	409.15	153.34	220.32	236.21	202.66	152.28	246.28	223.41	236.21	244.57	303.44	255.0	332.14	88.26	0.0	142.01	183.82	146.03	180.02	242.88	124.37	95.34	258.57
ECT2L	9.48	10.31	18.97	39.22	1.19	2.14	2.53	1.16	1.11	3.17	6.94	2.63	9.78	24.99	10.47	9.06	0.99	0.0	2.18	2.53	0.55	2.18	2.41	0.65	0.74	5.87
ERMARD	633.73	638.15	921.88	1159.07	287.01	387.02	450.94	361.04	341.51	490.14	500.46	551.56	728.11	769.69	1081.39	884.29	400.71	0.0	195.72	305.55	111.99	251.48	255.0	246.28	255.0	633.73
FAM154B	53.95	59.55	138.1	180.02	4.94	10.96	17.64	2.12	9.06	29.7	54.33	57.49	157.68	73.03	96.68	86.43	7.4	0.0	16.88	16.63	11.13	11.47	45.53	3.86	0.0	133.36
FIGN	15.56	74.06	38.4	95.34	0.0	14.24	26.67	10.31	7.34	19.68	10.08	38.67	144.01	134.3	171.45	173.85	0.79	0.0	0.0	0.78	2.05	3.56	0.04	5.5	0.0	29.48
FKSG48	15.0	11.47	17.38	18.7	7.17	4.1	24.63	4.66	4.21	5.11	10.08	19.82	41.81	20.56	12.0	8.06	0.0	0.0	0.0	2.53	2.46	5.23	0.0	4.74	0.0	7.4
GIGYF1	674.59	780.44	624.99	723.08	209.84	500.46	547.75	444.72	441.64	595.34	567.1	555.41	902.89	775.05	928.3	1023.0	68.55	228.13	43.02	133.36	68.55	185.11	126.12	124.37	86.43	624.99
GPATCH1	182.55	281.09	301.33	194.36	66.65	173.85	186.4	120.94	127.89	169.07	217.27	234.57	260.38	234.57	249.73	242.88	61.68	0.0	47.84	89.51	54.33	77.25	102.97	57.08	100.13	144.01
GPRASP1	124.37	275.28	299.25	316.37	9.2	63.89	58.71	34.26	53.95	101.54	76.71	102.97	387.02	325.29	269.6	460.44	5.02	0.0	1.35	5.45	17.13	17.13	8.85	8.99	4.24	674.59
GSAP	353.59	412.0	493.56	406.31	156.59	206.94	256.78	159.9	194.36	187.71	211.31	343.89	878.17	866.07	854.13	764.36	65.26	0.0	25.72	29.91	25.91	88.26	52.08	46.18	24.11	642.59
IFT122	486.75	769.69	728.11	620.67	92.7	231.32	255.0	195.72	269.6	387.02	334.46	409.15	684.02	525.39	525.39	514.56	57.89	0.0	56.68	86.43	105.15	119.26	48.87	105.15	97.36	559.28
KLHL3	73.03	91.41	103.69	109.66	17.38	44.89	43.32	68.07	37.85	68.07	96.68	141.02	237.86	221.86	295.11	275.28	7.22	17.77	3.38	33.54	21.16	23.25	14.24	12.27	10.39	289.02
KRT4	3.66	1.31	0.36	13.32	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	3.109113511E7	542775.98	535303.41	492579.5	182.55	187.71	29.27	26.28	951601.81	0.0	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	8.99
MMP24	18.43	37.85	45.21	39.79	6.26	8.99	4.7	3.59	4.06	7.28	8.06	7.75	15.8	6.41	18.43	26.47	1.04	0.0	14.14	2.76	0.78	5.63	2.48	4.5	0.75	24.11
NDUFS2	2609.3	1977.24	2555.58	2032.85	1208.34	1883.54	1936.53	1674.06	1883.54	2351.53	2193.99	2451.44	2875.3	3639.7	3257.52	2875.3	1437.15	1697.45	1639.59	1832.01	1819.35	2018.8	1909.85	1883.54	1757.34	2148.82
NRDE2	206.94	242.88	309.83	228.13	82.87	141.02	215.77	133.36	120.1	148.09	212.78	218.79	316.37	279.14	206.94	262.2	47.17	0.0	67.59	98.04	38.4	76.17	131.51	111.99	142.01	269.6
OR1L8	6.26	8.65	5.32	8.85	0.0	0.0	0.26	0.3	0.0	2.16	5.11	4.78	4.9	8.13	5.28	10.39	1.07	0.0	0.04	0.51	0.03	0.39	0.0	0.67	0.0	6.06
