	TCGA.D8.A73X.01A.11R.A32P.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.E2.A15G.01A.11R.A12D.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.131YS.0626.SM.5EGKL	TCGA.CV.5439.01A.01R.1686.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
ABAT	1151.06	166.73	1457.23	1417.35	995.0	318.57	480.04	105.15	890.44	1417.35	529.06	57.89	47.5	92.05	0.0	0.41	30.12
AC090186.1	802.41	460.44	1286.18	603.67	547.75	514.56	854.13	299.25	848.22	397.93	397.93	258.57	159.9	152.28	0.0	0.36	624.99
AC226150.4	72.01	36.01	133.36	63.0	69.52	16.75	61.68	17.25	65.72	88.26	26.67	7.46	15.68	1.95	0.0	0.0	8.99
ANG	902.89	387.02	1151.06	934.76	974.5	872.1	981.29	718.08	708.18	1143.1	1127.35	183.82	20.26	60.82	0.0	0.43	47.17
ANXA9	1832.01	115.97	2777.33	1331.57	928.3	37.05	486.75	40.93	1233.75	660.68	432.53	43.02	85.82	26.67	0.0	0.23	66.18
ATRIP	447.82	218.79	616.37	521.76	356.05	104.42	293.07	180.02	406.31	228.13	409.15	106.63	109.66	84.04	0.0	0.0	218.79
BCAS4	587.13	148.09	802.41	651.58	543.96	195.72	603.67	231.32	497.0	368.65	190.34	64.8	32.59	128.79	0.0	0.28	24.63
BCAT2	1350.18	603.67	1857.6	1233.75	872.1	327.56	1151.06	497.0	1417.35	1030.12	583.07	571.05	414.87	447.82	0.0	0.0	441.64
BFAR	1151.06	954.43	1467.37	1322.37	1286.18	1159.07	836.53	854.13	1127.35	1721.16	1242.34	934.76	693.58	981.29	1044.52	143.01	723.08
BFSP2	87.03	9.06	177.53	8.25	66.65	7.34	14.78	1.39	1.06	98.04	5.02	4.74	0.0	0.0	0.0	0.0	0.0
C19orf18	49.56	6.52	110.43	94.67	67.12	7.63	37.05	9.41	62.56	92.05	42.41	0.0	1.01	4.94	0.0	0.35	19.39
C1orf173	32.36	0.32	56.68	150.17	115.16	0.28	46.5	0.25	12.27	75.64	70.01	0.0	0.0	0.0	0.0	0.0	5.87
C1orf192	143.01	12.0	438.59	224.97	301.33	26.47	163.28	21.78	217.27	195.72	156.59	31.22	18.56	29.7	0.0	0.0	67.59
C1orf56	314.17	125.24	476.71	314.17	329.84	161.02	397.93	124.37	224.97	202.66	191.67	54.33	47.17	78.34	0.0	0.31	43.63
C2orf81	297.17	108.9	339.14	229.72	251.48	53.95	176.29	62.12	143.01	201.25	127.0	5.92	40.64	48.18	0.0	0.0	10.96
