	GTEX.13O61.1226.SM.5KM21	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.60.2704.01A.11R.2045.07	TCGA.RD.A8N5.01A.12R.A36D.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4462.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.8058.01A.31R.2343.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13FTX.0726.SM.5N9BI
ABCA13	0.25	0.0	0.0	0.67	0.0	2.51	0.0	0.72	0.66	271.48	40.93	18.43	3.92	6.21	26.1	1.97	1.07	4.46	7.69	1.89	6.16	10.55	10.88	4.17	0.33	19.53	5.68	40.93	1.27	3.32	0.22	0.31	2.39	1.27	0.0	0.0	0.0	0.0	8.45
ADAM12	2.89	0.48	0.0	1.2	0.52	0.92	0.87	0.0	0.84	819.3	267.73	642.59	123.5	66.65	142.01	39.79	18.03	74.06	85.22	56.28	236.21	166.73	273.37	22.92	39.5	909.17	13.22	156.59	12.64	6.94	4.24	15.11	14.45	34.75	8.51	1.01	4.94	15.68	1.1
ADAMTS12	26.1	0.79	1.69	3.35	5.36	4.54	10.47	2.29	4.98	551.56	457.25	450.94	301.33	43.32	195.72	172.65	9.93	83.45	123.5	72.52	248.0	447.82	660.68	31.0	60.39	769.69	161.02	358.54	23.42	7.88	17.9	12.83	16.27	14.03	14.35	5.36	3.79	26.47	3.38
ADAMTS5	119.26	2.53	7.34	4.74	3.17	3.59	8.51	1.68	2.23	45.85	65.26	104.42	205.5	77.79	56.68	33.54	26.67	59.97	25.91	120.94	91.41	118.43	163.28	23.25	23.42	180.02	24.28	38.95	41.81	15.0	30.12	46.18	36.27	23.08	24.46	26.47	16.51	27.64	8.38
AHR	248.0	279.14	503.95	194.36	209.84	183.82	860.08	967.76	287.01	1369.04	1572.76	1781.89	1628.26	1407.55	1001.93	896.64	896.64	872.1	1322.37	1044.52	698.41	1651.0	2451.44	441.64	1286.18	1909.85	909.17	1295.13	819.3	567.1	743.43	954.43	551.56	555.41	536.45	543.96	507.46	591.22	406.31
ALOX5AP	518.15	27.64	8.78	4.24	11.64	35.76	20.26	18.97	96.68	2090.03	2701.35	961.07	1250.98	1030.12	2004.85	878.17	529.06	1896.65	1508.65	599.49	2351.53	2119.22	1437.15	450.94	497.0	2682.69	389.72	2004.85	775.05	660.68	733.19	728.11	780.44	2468.49	1277.29	1183.45	1477.58	2061.24	137.14
ANKUB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	13.03	3.38	2.43	3.38	1.27	0.74	2.63	2.81	4.13	7.0	8.45	15.11	2.25	0.43	0.41	10.96	0.0	4.58	0.39	0.0	0.0	2.12	0.0	0.46	0.0	0.0	0.0	0.89	0.0
ANTXR1	1059.11	0.72	6.31	6.57	16.88	12.74	33.78	12.18	14.56	2434.5	3018.3	2777.33	2468.49	902.89	1697.45	775.05	255.0	1745.2	1044.52	2193.99	708.18	2485.67	2573.36	447.82	1015.93	6037.61	1331.57	1498.22	429.54	159.9	341.51	293.07	309.83	289.02	264.03	246.28	180.02	373.81	65.26
APP	8598.28	1628.26	842.36	346.29	287.01	1250.98	866.07	684.02	2119.22	9808.75	7180.15	8840.04	12244.81	5594.3	15180.22	6745.86	4769.75	7180.15	14361.31	6983.79	7331.05	13215.02	14867.79	7857.29	9151.82	12244.81	5594.3	11189.6	6652.97	4972.34	7081.29	5872.48	7433.4	3419.52	4704.07	2682.69	4388.98	4543.8	4937.99
ARRDC3	547.75	201.25	246.28	444.72	223.41	665.29	217.27	181.28	198.47	2075.59	656.11	674.59	1199.98	1119.56	616.37	624.99	273.37	995.0	1023.0	753.83	1104.13	1051.79	1183.45	395.18	651.58	1199.98	587.13	780.44	616.37	171.45	387.02	638.15	490.14	854.13	264.03	642.59	323.03	819.3	232.94
ATP8B4	33.78	7.94	10.63	11.55	19.68	9.2	22.43	24.28	18.16	88.88	57.49	43.32	74.58	64.34	57.89	50.98	30.78	92.05	32.82	152.28	81.14	58.71	127.0	12.64	59.97	80.57	27.84	70.01	14.67	33.78	31.9	21.16	31.22	83.45	33.3	31.9	41.52	63.89	6.62
BATF3	37.59	1.19	5.96	2.66	20.26	13.52	10.31	8.45	21.78	134.3	110.43	115.97	88.88	102.25	139.07	92.05	38.4	199.85	53.57	246.28	164.42	73.03	217.27	54.33	90.77	185.11	37.32	88.88	51.71	48.87	45.85	41.52	41.22	201.25	67.59	99.43	40.07	176.29	10.79
BEND6	10.08	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.41	70.51	39.5	34.51	66.18	41.81	22.92	15.91	12.83	60.82	13.03	51.71	40.36	26.1	62.12	8.85	21.32	39.5	10.79	26.1	15.8	18.56	17.51	11.82	12.93	31.45	11.13	19.39	10.16	22.92	1.57
BICC1	150.17	0.75	31.22	1.17	86.43	16.75	47.17	3.03	55.89	429.54	384.34	301.33	460.44	258.57	147.06	121.79	38.12	403.5	63.45	197.09	162.14	217.27	571.05	47.5	48.18	511.0	63.89	258.57	39.22	17.77	41.22	45.53	43.63	66.18	47.5	36.79	19.97	57.49	4.06
BMP2K	251.48	102.97	41.22	32.82	45.21	80.01	59.55	80.01	62.12	603.67	444.72	507.46	599.49	441.64	332.14	371.22	189.02	301.33	285.03	221.86	234.57	507.46	583.07	105.89	301.33	638.15	193.01	339.14	145.02	206.94	152.28	190.34	212.78	236.21	140.04	88.88	111.21	251.48	127.0
C16orf46	6.36	5.92	11.55	18.84	10.0	10.08	12.0	13.03	26.1	34.51	44.25	36.27	35.25	32.13	53.19	43.32	14.67	14.24	30.34	34.02	34.26	44.57	64.8	24.99	31.0	56.28	43.32	44.57	24.99	25.35	19.11	17.38	27.64	12.27	24.99	17.64	7.51	20.71	20.11
C1QTNF5	753.83	62.12	106.63	121.79	151.22	239.52	253.23	153.34	180.02	540.19	2104.58	1857.6	1286.18	738.29	2573.36	848.22	429.54	3325.99	674.59	3639.7	1277.29	1277.29	1794.29	802.41	529.06	2701.35	860.08	1073.91	656.11	514.56	633.73	540.19	753.83	743.43	842.36	603.67	633.73	688.78	149.12
C1orf162	583.07	48.52	37.05	33.06	40.93	154.42	61.25	58.71	107.38	866.07	1295.13	457.25	493.56	1081.39	902.89	366.09	234.57	1175.27	186.4	819.3	921.88	791.35	974.5	246.28	447.82	995.0	159.9	1259.69	291.04	460.44	412.0	336.79	361.04	1051.79	500.46	470.14	273.37	1051.79	159.9
CCIN	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	5.41	8.19	12.83	6.26	7.0	10.96	2.03	0.56	10.71	2.76	15.56	5.5	7.4	9.48	2.71	1.35	16.03	1.83	4.74	2.97	0.0	2.86	1.27	3.5	2.14	1.3	1.64	0.0	0.57	0.27
CDH11	287.01	4.03	1.1	6.26	10.47	15.0	7.88	1.6	5.54	3168.41	2485.67	2956.17	2645.74	915.51	1844.76	1051.79	346.29	1674.06	551.56	1225.22	1259.69	947.83	2287.2	525.39	497.0	2758.13	802.41	2627.46	295.11	258.57	507.46	351.14	511.0	301.33	332.14	100.83	253.23	285.03	22.43
