	TCGA.DD.A119.11A.11R.A131.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZF29.2026.SM.4WWB7	GTEX.R53T.0326.SM.48FEC	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.EM.A22K.01A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
ADC	14.24	12.83	4.78	17.25	5.11	18.16	20.26	12.18	37.32	293.07	397.93	190.34	563.18	373.81	220.32	316.37	221.86	540.19	287.01	447.82	397.93	221.86	208.38	242.88	129.69	73.03	81.14	79.45	163.28	229.72	287.01	111.99	75.11	231.32	96.68	68.55	141.02	115.16	366.09	120.1	82.87	119.26	88.88	343.89	348.71	273.37	366.09	102.97	251.48	226.54	82.87	161.02	61.25	239.52	134.3	256.78	98.04	94.01	108.14	253.23	96.01	81.71	206.94	104.42	157.68	52.82	100.83	190.34	90.14	96.01	69.03	147.06	224.97	155.5	303.44	166.73	91.41	72.52
ANKRD13D	162.14	146.03	74.06	57.89	88.26	136.19	145.02	81.71	128.79	802.41	995.0	759.08	1295.13	1242.34	819.3	1295.13	836.53	813.63	1286.18	1088.92	909.17	708.18	323.03	1242.34	409.15	420.68	417.77	366.09	275.28	303.44	525.39	275.28	281.09	603.67	567.1	368.65	361.04	351.14	414.87	426.57	267.73	397.93	307.69	551.56	791.35	389.72	441.64	551.56	466.88	414.87	287.01	738.29	503.95	457.25	320.8	563.18	454.09	432.53	493.56	638.15	403.5	279.14	435.55	269.6	444.72	403.5	341.51	954.43	409.15	368.65	267.73	297.17	497.0	629.35	669.92	299.25	376.41	279.14
ARAP1	483.38	389.72	457.25	435.55	307.69	279.14	376.41	536.45	575.03	1936.53	1417.35	2047.0	1832.01	2193.99	1769.57	2682.69	2209.26	1991.0	2240.11	1963.57	2047.0	1498.22	1008.9	2018.8	1233.75	1277.29	1769.57	1242.34	1397.83	1111.82	1417.35	1073.91	854.13	1250.98	1561.89	1143.1	1369.04	1369.04	1350.18	1417.35	1059.11	1199.98	1127.35	1685.71	1769.57	967.76	1617.0	1617.0	1662.49	1498.22	1015.93	2148.82	1572.76	1350.18	1151.06	1407.55	1529.73	1088.92	1745.2	1757.34	1175.27	1304.15	1477.58	1963.57	1397.83	1111.82	1135.2	1832.01	1313.23	1427.22	1001.93	1208.34	1437.15	1806.78	1467.37	1487.87	1242.34	1104.13
ATG16L2	124.37	128.79	59.55	141.02	83.45	90.77	88.88	115.16	241.19	1378.57	775.05	759.08	796.86	1551.09	703.28	928.3	1096.5	669.92	1191.69	1313.23	902.89	660.68	379.04	1037.29	353.59	269.6	503.95	381.68	423.61	665.29	514.56	291.04	291.04	738.29	579.04	293.07	521.76	277.2	571.05	575.03	334.46	334.46	239.52	718.08	928.3	753.83	748.61	450.94	583.07	587.13	412.0	518.15	432.53	633.73	441.64	629.35	303.44	444.72	301.33	791.35	447.82	351.14	591.22	241.19	432.53	267.73	373.81	934.76	457.25	368.65	181.28	423.61	595.34	669.92	796.86	432.53	486.75	236.21
C11orf80	31.45	139.07	52.45	52.82	29.7	10.0	48.18	24.46	41.81	148.09	202.66	260.38	297.17	325.29	260.38	518.15	178.77	223.41	447.82	206.94	239.52	176.29	199.85	551.56	53.19	108.14	173.85	77.79	89.51	86.43	163.28	102.25	116.78	214.27	94.01	180.02	65.26	60.82	201.25	206.94	125.24	103.69	65.26	256.78	297.17	229.72	169.07	84.04	258.57	129.69	79.45	148.09	264.03	167.9	85.82	150.17	123.5	124.37	107.38	332.14	79.45	153.34	120.94	182.55	125.24	110.43	171.45	325.29	96.01	63.45	45.21	60.82	122.64	325.29	135.24	105.15	114.36	55.49
C3orf62	47.5	27.64	24.63	40.93	19.39	17.38	50.98	20.56	29.48	299.25	186.4	155.5	251.48	185.11	185.11	201.25	217.27	178.77	289.02	138.1	178.77	194.36	137.14	218.79	99.43	121.79	129.69	126.12	106.63	143.01	147.06	55.89	79.45	175.07	99.43	115.16	128.79	80.01	138.1	170.25	70.01	94.01	115.16	170.25	164.42	111.99	128.79	124.37	113.56	108.9	88.88	217.27	139.07	177.53	108.9	223.41	136.19	166.73	108.14	139.07	91.41	89.51	108.9	106.63	142.01	150.17	93.35	299.25	92.05	95.34	141.02	148.09	85.22	141.02	201.25	130.6	135.24	88.26
CAPN10	55.1	76.17	76.17	65.72	36.53	81.14	129.69	82.29	89.51	567.1	532.74	441.64	669.92	733.19	450.94	591.22	563.18	490.14	656.11	674.59	480.04	486.75	281.09	743.43	432.53	287.01	384.34	356.05	348.71	318.57	457.25	173.85	214.27	559.28	483.38	336.79	403.5	318.57	476.71	444.72	285.03	366.09	273.37	551.56	629.35	547.75	426.57	356.05	400.71	397.93	285.03	607.87	518.15	518.15	379.04	450.94	379.04	379.04	389.72	703.28	392.44	320.8	429.54	260.38	371.22	325.29	316.37	748.61	356.05	409.15	285.03	314.17	466.88	540.19	483.38	309.83	368.65	242.88
CC2D1A	395.18	305.55	215.77	289.02	190.34	379.04	323.03	269.6	329.84	1051.79	1066.48	872.1	1216.75	921.88	941.27	1143.1	890.44	813.63	1127.35	1023.0	890.44	703.28	536.45	836.53	713.11	518.15	738.29	571.05	599.49	521.76	848.22	447.82	463.65	830.75	674.59	447.82	728.11	674.59	693.58	638.15	514.56	595.34	460.44	802.41	775.05	769.69	665.29	547.75	791.35	733.19	450.94	780.44	748.61	647.07	579.04	759.08	521.76	591.22	603.67	954.43	660.68	559.28	693.58	420.68	543.96	748.61	612.11	974.5	603.67	603.67	454.09	665.29	808.0	738.29	775.05	624.99	563.18	497.0
CCDC159	543.96	361.04	301.33	476.71	379.04	426.57	289.02	432.53	713.11	1794.29	1572.76	1709.26	1709.26	2032.85	1697.45	1923.14	1909.85	2004.85	1806.78	1806.78	1447.15	1697.45	988.12	2384.37	961.07	1066.48	1583.71	854.13	1159.07	1059.11	1487.87	1037.29	921.88	1883.54	1388.16	1037.29	1191.69	995.0	1427.22	1322.37	909.17	1304.15	896.64	1369.04	1950.0	1572.76	1583.71	1388.16	1467.37	1369.04	1088.92	1561.89	1477.58	1437.15	890.44	1674.06	902.89	1044.52	1233.75	1721.16	1051.79	1151.06	1427.22	780.44	1242.34	1015.93	1191.69	2303.12	1073.91	1407.55	866.07	909.17	1540.37	1685.71	1594.73	1051.79	909.17	967.76
CCNL2	642.59	265.87	460.44	642.59	521.76	633.73	842.36	543.96	575.03	5006.93	5006.93	4736.79	7485.11	6037.61	3820.7	6426.31	4210.15	3901.01	5366.37	5711.87	4038.61	2796.65	1561.89	4328.55	2303.12	1697.45	2224.63	1519.15	1685.71	2537.92	2520.38	909.17	1617.0	3515.68	3212.66	1508.65	2090.03	1304.15	2224.63	1697.45	2032.85	2004.85	1322.37	2701.35	3874.05	4066.71	2287.2	1304.15	1991.0	2502.97	1286.18	2997.45	1757.34	2520.38	2061.24	2664.15	1001.93	1175.27	1508.65	3874.05	2664.15	1639.59	2645.74	1277.29	1794.29	1191.69	1909.85	4010.71	1199.98	2417.67	1794.29	1605.83	2682.69	3190.46	2956.17	1721.16	1697.45	791.35
