	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.38.4626.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.11NSD.0326.SM.5A5LS	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.146FH.1226.SM.5NQB6	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
ACE	273.37	373.81	708.18	316.37	293.07	251.48	212.78	309.83	102.25	38.12	181.28	52.45	141.02	126.12	182.55	48.52	94.67	285.03	24.11	175.07	46.5	99.43	27.64	181.28	156.59	34.02	92.05	46.84	60.39	16.63	307.69	84.04	32.13	785.88	18.29	5.02	155.5	7.28	31.22	31.67	104.42	88.88	59.13	1183.45	1551.09	2537.92	212.78	1183.45	1286.18	3928.15	529.06	988.12	2777.33	2255.7	3443.31	674.59	708.18	8963.45	1639.59	1498.22	1950.0	1437.15	3060.45	4419.52	2209.26	1250.98	2287.2	4937.99	1662.49	3419.52	2573.36	1697.45	1950.0	1617.0	5292.48	1583.71
ACKR4	69.52	63.89	27.44	52.08	38.4	62.12	84.63	2.81	3.56	6.11	2.36	0.95	2.12	2.53	4.24	0.0	3.06	10.0	1.85	4.62	23.25	3.92	2.78	6.16	10.79	2.56	1.28	3.72	7.75	6.01	4.31	4.43	1.57	5.28	1.31	3.47	23.93	5.06	3.03	9.34	15.0	12.55	12.45	27.05	82.87	109.66	3.32	301.33	124.37	246.28	166.73	237.86	371.22	88.26	120.1	100.13	93.35	107.38	102.97	175.07	112.77	232.94	460.44	420.68	26.1	438.59	361.04	151.22	157.68	260.38	346.29	283.05	63.89	57.89	339.14	223.41
ACVRL1	521.76	915.51	239.52	397.93	708.18	353.59	738.29	239.52	208.38	87.03	166.73	84.04	228.13	164.42	204.07	166.73	211.31	273.37	115.16	171.45	497.0	127.0	182.55	80.57	189.02	127.0	249.73	116.78	137.14	58.71	120.1	153.34	55.1	633.73	43.02	43.94	120.1	60.39	90.77	93.35	178.77	161.02	91.41	947.83	1378.57	1151.06	289.02	1594.73	2502.97	7081.29	2224.63	3690.52	2502.97	1745.2	921.88	2835.7	1639.59	2895.31	2417.67	1519.15	1242.34	2434.5	2875.3	2895.31	1508.65	3540.14	3060.45	2287.2	7642.41	2047.0	6337.83	3515.68	1487.87	2664.15	3794.3	1572.76
ADRB1	2.18	2.48	0.78	4.03	0.38	0.37	1.0	1.93	9.2	8.65	0.21	0.0	8.32	5.92	2.53	0.0	1.91	2.94	2.76	0.82	0.96	4.1	19.53	7.17	4.35	8.06	0.23	3.53	6.78	0.14	7.06	0.95	1.2	2.25	5.11	20.86	5.82	11.21	34.51	5.28	13.83	9.48	12.27	8.38	49.91	68.07	0.97	141.02	215.77	878.17	218.79	361.04	420.68	29.06	202.66	228.13	73.03	126.12	244.57	220.32	47.17	432.53	137.14	118.43	17.0	514.56	314.17	293.07	327.56	166.73	1037.29	212.78	273.37	620.67	371.22	96.68
AK1	2400.97	2351.53	3190.46	3190.46	3303.0	2032.85	2032.85	4419.52	3372.43	3716.2	2271.4	3190.46	3467.27	1216.75	2018.8	791.35	1088.92	2018.8	2351.53	1233.75	3103.19	698.41	2720.15	1674.06	1437.15	1583.71	2701.35	1721.16	2193.99	3018.3	1233.75	1572.76	1295.13	2104.58	3589.58	1794.29	5831.91	1832.01	2384.37	1991.0	1605.83	1143.1	1769.57	2434.5	4298.64	6471.02	2835.7	7537.18	5711.87	2485.67	3540.14	5366.37	19754.96	6207.38	9740.98	4358.66	4388.98	7749.1	17437.64	3467.27	3589.58	11664.82	5329.3	15285.81	6164.49	19892.37	6792.79	8363.13	6887.62	13492.72	5633.22	4239.45	13872.08	8538.88	9344.14	5006.93
AL358813.2	52.45	48.18	44.57	26.47	10.88	47.17	42.71	55.89	21.47	28.24	5.68	7.4	93.35	44.89	17.51	138.1	6.52	78.89	67.12	29.48	14.03	32.36	15.0	22.59	13.62	12.09	20.26	5.96	25.54	8.06	2.51	20.11	14.24	47.84	30.34	1.31	29.27	33.3	43.02	5.59	15.22	15.68	21.63	103.69	81.71	88.26	28.65	55.1	63.0	80.01	62.12	60.82	122.64	111.99	87.65	36.01	187.71	170.25	101.54	60.39	62.56	59.13	102.97	183.82	128.79	56.68	80.01	140.04	135.24	87.03	66.18	38.67	101.54	72.52	46.84	64.8
ANKRD20A3	1.48	2.53	0.4	0.0	0.75	0.0	2.36	0.0	1.08	0.52	0.0	0.0	7.75	1.5	0.0	0.61	0.95	3.59	0.89	5.45	1.48	1.41	0.53	3.03	3.41	0.0	0.0	0.0	1.25	0.0	0.0	2.86	1.1	2.25	14.35	0.0	2.97	4.62	0.0	1.58	1.85	3.38	0.78	6.16	0.78	5.06	1.97	2.76	6.41	16.75	3.82	1.14	18.7	0.0	3.56	28.45	1.62	4.46	12.93	5.87	4.28	10.08	20.26	13.93	0.21	9.34	4.5	5.02	14.89	6.62	10.08	11.38	3.89	67.12	9.06	13.32
ARHGAP31	123.5	172.65	74.58	105.15	157.68	169.07	102.25	52.45	41.22	14.45	36.01	20.56	24.99	29.27	21.47	13.22	18.97	39.22	4.86	29.7	19.11	12.36	16.75	6.84	43.94	36.27	24.99	17.38	19.53	7.82	14.35	14.45	6.73	131.51	14.14	22.43	53.57	5.77	15.34	21.78	37.32	60.39	34.51	206.94	299.25	262.2	138.1	332.14	307.69	599.49	341.51	780.44	1044.52	186.4	170.25	366.09	126.12	490.14	473.41	316.37	236.21	486.75	1233.75	624.99	73.54	819.3	551.56	177.53	529.06	525.39	748.61	620.67	460.44	211.31	358.54	301.33
ARHGEF10	205.5	182.55	177.53	140.04	206.94	154.42	119.26	47.84	48.18	23.08	39.22	15.56	11.38	40.36	18.7	15.68	18.29	47.17	9.13	21.47	43.32	17.51	28.45	11.13	101.54	48.87	24.63	23.93	26.28	4.78	22.43	38.12	7.82	75.64	9.93	21.63	77.25	27.64	17.13	13.72	64.34	23.93	14.56	271.48	295.11	293.07	95.34	190.34	320.8	1066.48	490.14	1015.93	371.22	232.94	981.29	633.73	239.52	368.65	466.88	316.37	334.46	353.59	775.05	381.68	110.43	395.18	909.17	603.67	555.41	563.18	1407.55	563.18	264.03	309.83	287.01	249.73
ARHGEF15	46.5	264.03	26.28	111.21	135.24	63.45	38.95	137.14	194.36	18.7	103.69	48.18	31.9	124.37	97.36	58.71	126.12	94.01	51.71	52.82	78.34	32.13	68.07	32.36	126.12	141.02	98.73	67.12	64.8	23.59	78.34	118.43	18.84	215.77	37.32	26.67	124.37	33.3	33.54	40.07	72.52	60.39	96.01	289.02	295.11	500.46	143.01	228.13	285.03	1857.6	339.14	921.88	1233.75	339.14	836.53	656.11	629.35	2224.63	825.0	295.11	656.11	651.58	1304.15	1639.59	211.31	713.11	1331.57	743.43	1088.92	1073.91	1883.54	400.71	287.01	67.59	1111.82	395.18
