	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.P4PQ.2626.SM.33HC9	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
ABHD13	102.25	72.01	108.14	133.36	127.89	121.79	123.5	111.99	131.51	49.56	46.5	120.1	98.04	90.77	96.68	108.9	114.36	103.69	101.54	107.38	70.51	154.42	120.1	162.14	155.5	136.19	249.73	163.28	133.36	166.73	176.29
AGAP9	0.0	6.62	18.03	119.26	24.46	37.32	45.85	50.27	18.43	15.11	3.53	13.62	16.75	11.91	22.92	18.84	25.54	27.25	0.0	9.2	6.73	19.53	153.34	127.0	45.85	44.89	127.89	44.89	81.14	71.5	36.79
AL132989.1	0.0	1.3	3.69	8.58	1.28	1.51	4.28	3.23	7.57	1.53	0.0	7.51	1.91	0.42	1.51	0.82	1.95	4.82	1.23	1.64	0.0	1.91	17.0	4.78	7.75	8.99	36.53	11.21	9.34	5.63	4.31
BDP1	118.43	72.01	122.64	218.79	135.24	176.29	214.27	143.01	220.32	98.04	22.92	159.9	126.12	124.37	133.36	129.69	159.9	166.73	113.56	114.36	23.42	98.73	591.22	389.72	384.34	358.54	463.65	332.14	403.5	426.57	435.55
BPTF	312.0	368.65	441.64	612.11	486.75	591.22	860.08	447.82	802.41	400.71	87.65	738.29	463.65	559.28	607.87	551.56	703.28	514.56	583.07	536.45	80.57	312.0	1191.69	825.0	1199.98	1030.12	915.51	915.51	921.88	738.29	753.83
C4orf29	59.55	50.63	151.22	153.34	120.94	167.9	197.09	171.45	173.85	40.93	31.22	120.1	162.14	110.43	146.03	121.79	165.57	153.34	102.97	128.79	71.5	88.88	289.02	128.79	205.5	178.77	202.66	158.79	223.41	158.79	166.73
CPSF7	785.88	587.13	660.68	1015.93	693.58	785.88	915.51	753.83	915.51	423.61	514.56	954.43	693.58	620.67	713.11	616.37	819.3	928.3	723.08	647.07	346.29	450.94	1896.65	1572.76	1498.22	2739.08	1991.0	1417.35	1304.15	1733.13	1794.29
CREBRF	124.37	205.5	281.09	343.89	327.56	334.46	483.38	307.69	414.87	127.0	40.93	295.11	224.97	221.86	215.77	241.19	309.83	281.09	241.19	262.2	28.04	74.06	529.06	490.14	612.11	463.65	429.54	329.84	571.05	339.14	397.93
CTDSPL2	114.36	166.73	226.54	256.78	220.32	237.86	251.48	271.48	279.14	72.01	24.46	273.37	185.11	157.68	183.82	173.85	218.79	202.66	185.11	202.66	37.59	42.41	470.14	269.6	305.55	346.29	529.06	320.8	307.69	275.28	249.73
CWF19L1	320.8	223.41	316.37	312.0	244.57	273.37	283.05	403.5	320.8	102.25	262.2	264.03	297.17	301.33	220.32	297.17	301.33	297.17	242.88	336.79	155.5	84.63	503.95	309.83	426.57	368.65	438.59	353.59	373.81	409.15	348.71
