	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.K4.A54R.11A.11R.A26T.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.11WQK.2926.SM.5EQKT
ARHGAP11A	447.82	18.97	339.14	224.97	212.78	141.02	414.87	94.01	82.29	116.78	395.18	197.09	353.59	161.02	536.45	156.59	112.77	32.36	128.79	42.41	156.59	116.78	125.24	271.48	441.64	165.57	120.94	255.0	148.09	358.54	51.71	307.69	105.15	72.01	6.26	6.11	52.45
ARHGAP11B	109.66	20.71	199.85	232.94	158.79	76.71	239.52	22.26	18.84	66.18	187.71	57.08	132.44	41.52	118.43	36.53	29.48	42.41	60.39	19.39	42.11	74.06	42.11	52.45	142.01	37.05	80.57	63.0	57.08	81.71	20.71	90.77	36.01	28.04	2.43	1.03	16.75
ASF1B	988.12	18.16	1008.9	563.18	543.96	1242.34	753.83	163.28	229.72	293.07	651.58	170.25	607.87	169.07	547.75	275.28	329.84	73.54	318.57	199.85	260.38	379.04	204.07	503.95	1359.57	120.1	260.38	343.89	438.59	414.87	153.34	414.87	273.37	128.79	6.84	6.57	38.4
ASPM	1733.13	0.37	218.79	260.38	224.97	239.52	251.48	59.13	56.68	126.12	318.57	100.13	194.36	76.71	273.37	93.35	98.73	20.26	105.89	38.4	77.25	148.09	68.55	224.97	267.73	75.11	108.9	150.17	70.51	198.47	34.75	217.27	85.82	23.08	1.13	1.48	0.0
ATAD2	406.31	82.29	476.71	583.07	651.58	674.59	836.53	153.34	120.1	241.19	780.44	204.07	246.28	155.5	511.0	141.02	287.01	64.8	229.72	73.03	155.5	323.03	177.53	476.71	1104.13	185.11	249.73	379.04	244.57	327.56	94.67	194.36	144.01	85.22	65.72	73.03	141.02
ATAD5	98.04	4.94	41.52	71.5	67.12	35.25	73.54	6.11	19.82	40.36	80.01	23.25	25.72	17.51	47.84	22.1	34.75	8.92	31.67	8.38	14.03	24.46	19.39	42.41	63.45	17.38	23.59	37.85	25.54	35.0	12.83	25.54	17.51	18.56	1.57	2.51	3.41
AUNIP	228.13	8.38	44.25	348.71	77.79	273.37	100.13	35.5	29.7	68.07	251.48	73.03	123.5	24.11	186.4	52.08	82.29	20.71	72.52	13.83	35.25	54.72	69.03	185.11	182.55	64.34	47.5	62.56	56.28	91.41	26.67	115.97	47.17	39.22	5.45	2.01	10.71
BLM	183.82	11.55	120.94	234.57	285.03	285.03	571.05	45.53	56.28	103.69	281.09	70.51	187.71	52.08	170.25	81.71	62.56	32.13	93.35	39.79	58.71	135.24	63.45	124.37	253.23	71.0	75.11	109.66	109.66	140.04	45.85	152.28	69.03	39.5	1.95	2.76	17.64
BRCA1	480.04	16.88	351.14	289.02	334.46	368.65	289.02	62.12	122.64	186.4	356.05	82.29	157.68	100.83	279.14	123.5	194.36	30.56	150.17	47.17	118.43	157.68	100.13	236.21	470.14	52.82	117.6	173.85	173.85	186.4	52.45	162.14	122.64	60.39	12.93	49.21	8.19
BRCA2	156.59	2.81	77.79	139.07	85.22	56.28	110.43	15.34	45.85	94.67	76.17	53.19	90.77	25.91	120.1	34.26	24.28	11.47	73.03	18.97	49.21	127.0	34.51	46.84	301.33	28.45	28.45	133.36	55.89	88.88	19.97	72.01	30.12	26.86	5.41	1.0	2.51
