	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.CU.A0YR.01A.12R.A10U.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.DK.A6AV.01A.12R.A30C.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.GC.A3RD.01A.12R.A22U.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E2.A1IK.01A.11R.A144.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZF2S.2026.SM.5E461	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y8E4.2126.SM.5RQHO
AC104057.1	3.2	0.0	0.0	0.0	0.0	0.0	0.61	0.0	4.98	0.0	1.1	1.19	10.63	12.64	25.17	12.45	0.0	0.1	0.53
ACSM1	40.93	15.22	3.53	10.63	3.56	6.89	22.59	8.38	236.21	44.25	96.68	3081.75	2935.74	395.18	237.86	228.13	0.0	0.0	73.03
AHCYL2	214.27	103.69	102.25	110.43	91.41	83.45	140.04	105.15	209.84	327.56	283.05	253.23	361.04	571.05	309.83	132.44	0.0	0.2	190.34
ANKMY1	264.03	239.52	53.19	103.69	149.12	69.03	125.24	128.79	271.48	295.11	136.19	287.01	170.25	381.68	486.75	197.09	0.0	0.34	277.2
ANKRD29	75.64	4.28	26.67	3.03	5.87	3.96	4.28	6.84	111.99	88.88	34.02	346.29	224.97	406.31	376.41	237.86	0.0	0.44	164.42
AP000769.1	24.63	3.26	18.29	6.26	21.32	0.0	3.32	6.46	11.21	23.25	19.25	39.79	65.72	13.12	12.64	7.28	0.0	0.19	10.47
APOM	92.7	85.82	60.82	33.54	40.64	47.84	151.22	73.03	183.82	157.68	206.94	139.07	121.79	251.48	181.28	607.87	0.0	0.17	202.66
ARHGEF38	14.89	0.0	0.71	0.0	0.33	0.31	1.81	0.34	373.81	148.09	44.25	301.33	208.38	361.04	450.94	98.73	0.0	0.11	50.27
ART5	17.77	0.99	2.46	2.39	6.06	4.5	13.42	1.62	14.24	0.83	10.16	28.65	21.16	89.51	53.19	9.34	0.0	0.04	33.3
C1orf229	7.63	3.26	0.72	5.02	6.41	1.22	4.21	2.61	21.94	13.72	4.35	6.89	6.67	15.11	4.43	12.74	0.0	0.08	17.51
