	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.GC.A3BM.01A.11R.A22U.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZF29.2026.SM.4WWB7	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZT9X.0326.SM.51MTE	GTEX.SNOS.0426.SM.32PMH	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.R55G.0826.SM.2TC5U	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.W5X1.0426.SM.3GILB	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.ZVT3.0726.SM.5GICN	GTEX.WHSB.1626.SM.3LK6J	GTEX.WYJK.1626.SM.3NM9J	GTEX.RU72.0126.SM.2TF6Z	GTEX.12ZZY.0826.SM.5EQMT	GTEX.117YW.0126.SM.5EGGN	GTEX.11DXZ.0926.SM.5N9CG	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.13O1R.0826.SM.5J2MB	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.UJMC.0326.SM.3GAE2
ADNP	718.08	607.87	435.55	698.41	703.28	647.07	1111.82	688.78	813.63	555.41	563.18	525.39	575.03	514.56	579.04	728.11	713.11	1277.29	674.59	890.44	1167.14	703.28	239.52	567.1	698.41	825.0	629.35	559.28	579.04	921.88	163.28	239.52	175.07	209.84	135.24	181.28	107.38	202.66	232.94	201.25	116.78	450.94	271.48	435.55	379.04	441.64	638.15	303.44	417.77	591.22	368.65	490.14	511.0	262.2	371.22	543.96	346.29	312.0	343.89	540.19	525.39	368.65	363.56	486.75	1111.82	802.41	830.75	830.75	693.58	759.08	825.0	825.0	587.13	785.88	1096.5	420.68	808.0	796.86	860.08
ANKMY2	293.07	273.37	262.2	255.0	395.18	265.87	314.17	269.6	327.56	195.72	248.0	185.11	246.28	139.07	299.25	110.43	163.28	334.46	248.0	258.57	507.46	297.17	100.83	414.87	256.78	195.72	234.57	201.25	633.73	536.45	76.71	100.13	111.99	128.79	122.64	121.79	85.22	54.72	83.45	119.26	59.97	0.0	0.4	136.19	159.9	163.28	234.57	106.63	258.57	142.01	153.34	171.45	211.31	148.09	198.47	149.12	144.01	127.0	239.52	190.34	180.02	147.06	169.07	229.72	669.92	559.28	376.41	406.31	346.29	368.65	406.31	551.56	441.64	400.71	540.19	234.57	373.81	387.02	457.25
ATF6B	2351.53	1721.16	1001.93	2303.12	2701.35	1551.09	2835.7	2224.63	4038.61	2133.97	1806.78	1617.0	1508.65	1498.22	2271.4	1883.54	2367.9	1651.0	2018.8	2701.35	1551.09	2133.97	1127.35	2758.13	2609.3	1216.75	2133.97	3190.46	2502.97	2319.15	878.17	540.19	587.13	633.73	507.46	429.54	733.19	555.41	769.69	684.02	426.57	0.0	0.88	1023.0	1242.34	1151.06	1350.18	947.83	1745.2	909.17	1151.06	1388.16	1662.49	909.17	1001.93	796.86	1030.12	1081.39	2133.97	1044.52	1104.13	1417.35	1304.15	1477.58	1896.65	2004.85	2796.65	2163.77	2796.65	2090.03	2178.83	1991.0	2956.17	2609.3	1769.57	1883.54	2061.24	2434.5	1923.14
C10orf137	358.54	253.23	215.77	275.28	289.02	819.3	301.33	297.17	267.73	244.57	165.57	128.79	297.17	155.5	289.02	237.86	281.09	204.07	258.57	220.32	297.17	341.51	169.07	221.86	226.54	215.77	182.55	320.8	457.25	460.44	31.0	81.14	96.68	70.51	36.53	89.51	41.81	78.34	51.71	92.7	21.32	0.0	0.57	158.79	183.82	141.02	255.0	121.79	264.03	195.72	165.57	178.77	164.42	134.3	206.94	289.02	165.57	119.26	205.5	177.53	221.86	173.85	172.65	218.79	473.41	348.71	490.14	356.05	307.69	392.44	381.68	325.29	361.04	406.31	470.14	348.71	376.41	387.02	392.44
C17orf75	387.02	353.59	426.57	551.56	194.36	223.41	232.94	493.56	255.0	291.04	341.51	312.0	406.31	255.0	343.89	297.17	463.65	769.69	376.41	559.28	351.14	435.55	414.87	555.41	400.71	460.44	341.51	392.44	312.0	384.34	126.12	149.12	175.07	182.55	221.86	260.38	191.67	139.07	151.22	204.07	93.35	0.0	0.15	291.04	358.54	217.27	392.44	158.79	255.0	255.0	277.2	237.86	363.56	177.53	193.01	163.28	215.77	176.29	229.72	271.48	376.41	215.77	126.12	318.57	591.22	447.82	547.75	518.15	358.54	403.5	301.33	384.34	486.75	529.06	511.0	389.72	387.02	327.56	500.46
C5orf54	50.98	50.98	35.0	45.21	39.5	38.4	100.13	75.11	50.98	28.24	111.99	43.32	50.98	43.02	53.19	39.79	49.21	70.01	45.21	97.36	46.18	109.66	43.32	72.01	33.3	60.82	24.46	44.25	167.9	191.67	5.82	6.26	18.29	13.72	5.11	26.28	5.15	3.76	2.1	20.71	2.78	0.0	0.0	21.32	35.76	35.25	68.55	16.63	48.52	30.34	30.12	26.28	38.12	40.93	34.75	14.35	26.28	26.67	34.51	29.7	34.02	20.11	43.94	36.27	249.73	99.43	178.77	78.34	112.77	133.36	138.1	161.02	107.38	156.59	221.86	56.68	148.09	124.37	136.19
CBFA2T2	194.36	152.28	94.01	102.97	223.41	167.9	291.04	251.48	166.73	88.88	148.09	111.99	142.01	138.1	110.43	99.43	314.17	343.89	126.12	187.71	242.88	136.19	77.79	231.32	151.22	189.02	110.43	141.02	211.31	187.71	46.18	44.57	49.91	61.25	21.01	19.82	35.76	29.91	26.47	48.18	27.84	0.0	0.58	105.15	82.87	84.63	96.68	85.82	85.82	128.79	129.69	81.71	92.05	120.1	114.36	66.18	100.83	91.41	155.5	105.89	77.79	96.01	162.14	127.89	320.8	336.79	540.19	470.14	316.37	204.07	363.56	293.07	486.75	395.18	361.04	171.45	273.37	314.17	281.09
CDK13	500.46	343.89	193.01	450.94	536.45	334.46	429.54	420.68	376.41	295.11	327.56	327.56	336.79	336.79	414.87	287.01	332.14	447.82	368.65	447.82	389.72	460.44	234.57	684.02	392.44	314.17	236.21	460.44	483.38	543.96	124.37	208.38	214.27	164.42	111.99	165.57	165.57	177.53	141.02	177.53	122.64	0.0	0.39	307.69	301.33	307.69	318.57	155.5	312.0	353.59	281.09	249.73	320.8	206.94	291.04	339.14	303.44	236.21	293.07	297.17	262.2	320.8	332.14	318.57	791.35	341.51	693.58	476.71	547.75	575.03	688.78	511.0	395.18	583.07	708.18	325.29	536.45	603.67	603.67
CEP128	7.51	140.04	91.41	44.57	27.25	67.12	74.58	24.63	50.98	28.86	69.52	8.0	31.9	57.89	12.45	43.94	59.55	50.27	58.3	74.06	41.81	35.5	35.76	43.02	35.76	59.55	62.12	13.83	45.53	83.45	4.7	6.67	6.52	12.18	26.86	24.99	22.1	4.5	15.56	19.68	9.78	0.0	0.13	29.06	18.7	31.67	27.44	31.0	59.13	23.08	25.35	40.36	43.02	33.54	27.05	19.68	25.35	39.5	43.02	20.26	26.86	26.28	27.84	26.47	190.34	177.53	341.51	329.84	117.6	234.57	234.57	159.9	293.07	156.59	253.23	165.57	224.97	214.27	171.45
CEP290	150.17	99.43	105.15	246.28	137.14	119.26	195.72	116.78	120.94	66.18	100.83	88.88	130.6	69.03	158.79	55.1	69.03	178.77	130.6	134.3	177.53	152.28	46.18	157.68	86.43	123.5	111.99	138.1	180.02	153.34	2.86	17.38	35.25	23.42	17.13	21.78	14.35	27.25	17.38	26.1	23.08	0.0	0.37	90.77	73.54	91.41	80.57	91.41	45.53	94.67	81.14	72.01	74.06	43.63	79.45	55.1	64.8	105.89	84.04	114.36	72.01	89.51	87.03	105.89	301.33	273.37	293.07	255.0	146.03	195.72	193.01	197.09	211.31	194.36	209.84	101.54	223.41	205.5	224.97
