	GTEX.U3ZN.0226.SM.3DB8D	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EL.A3T8.01A.21R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ABR	52.82	1909.85	1923.14	1225.22	1008.9	1417.35	1322.37	1651.0	769.69	1250.98	1135.2	909.17	1277.29	1340.84	2178.83	1225.22	1268.46	1457.23	1225.22	1340.84	1023.0	890.44	1540.37	890.44	902.89	1304.15	665.29	1662.49	1870.53	1127.35	1015.93	1143.1	915.51	255.0	258.57	346.29	339.14	387.02	493.56	400.71	283.05	332.14	133.36	571.05	343.89	559.28	723.08	514.56	420.68	529.06	387.02	595.34	358.54	651.58	412.0	642.59	414.87	299.25	493.56	466.88	239.52	332.14	612.11	429.54	483.38	271.48	191.67	301.33	429.54	371.22	575.03	327.56	351.14	175.07	299.25	775.05	343.89	457.25	432.53	291.04	559.28	423.61	363.56	473.41
ADAM15	279.14	3768.09	2367.9	3716.2	2976.74	2720.15	2555.58	3039.3	2224.63	2133.97	2997.45	1508.65	3280.18	2875.3	3589.58	2104.58	3103.19	2956.17	2163.77	2664.15	2224.63	1794.29	3419.52	2855.44	2075.59	3168.41	2193.99	2627.46	3820.7	2335.28	2777.33	2367.9	1883.54	660.68	780.44	813.63	995.0	1199.98	1127.35	988.12	1127.35	854.13	764.36	1259.69	547.75	1936.53	1286.18	1369.04	1088.92	1001.93	1350.18	981.29	961.07	1457.23	1322.37	1111.82	769.69	974.5	1143.1	1304.15	633.73	1936.53	1709.26	1183.45	1143.1	713.11	1359.57	902.89	1250.98	1127.35	1066.48	995.0	764.36	1467.37	1059.11	1733.13	1378.57	1250.98	1639.59	1001.93	1617.0	909.17	1259.69	1617.0
AGRN	251.48	5255.91	4450.27	4388.98	2777.33	5517.27	5112.16	4181.07	2835.7	3564.78	3212.66	2915.45	3190.46	4671.57	3955.48	3168.41	4704.07	4419.52	2816.11	3060.45	2915.45	2895.31	4575.41	3901.01	2777.33	3742.05	3212.66	5006.93	5255.91	2875.3	3039.3	3690.52	3039.3	830.75	1519.15	1313.23	1397.83	1529.73	2255.7	1769.57	1487.87	753.83	3190.46	2224.63	1066.48	1143.1	1519.15	1268.46	1757.34	1628.26	1242.34	2018.8	1572.76	2047.0	1457.23	2104.58	1322.37	1073.91	1639.59	1477.58	967.76	2400.97	1909.85	1457.23	1662.49	974.5	2163.77	2119.22	1359.57	1769.57	1572.76	1437.15	1909.85	1832.01	1651.0	1662.49	2209.26	1819.35	1639.59	1709.26	2004.85	2163.77	1096.5	1639.59
ANKRD13D	88.26	1183.45	1340.84	1051.79	830.75	1015.93	1051.79	1417.35	934.76	995.0	872.1	759.08	1127.35	1295.13	1096.5	872.1	791.35	791.35	1073.91	974.5	1295.13	836.53	1583.71	974.5	813.63	753.83	599.49	830.75	1175.27	909.17	836.53	995.0	718.08	275.28	435.55	323.03	409.15	420.68	417.77	275.28	303.44	332.14	483.38	525.39	275.28	281.09	603.67	567.1	368.65	361.04	351.14	426.57	397.93	551.56	389.72	441.64	551.56	432.53	466.88	287.01	229.72	503.95	457.25	320.8	563.18	460.44	432.53	493.56	403.5	279.14	435.55	269.6	444.72	403.5	341.51	409.15	368.65	297.17	629.35	389.72	669.92	299.25	376.41	638.15
ANKS6	24.99	780.44	769.69	796.86	629.35	718.08	660.68	607.87	587.13	769.69	808.0	748.61	915.51	748.61	813.63	607.87	902.89	769.69	688.78	603.67	669.92	603.67	921.88	660.68	688.78	738.29	583.07	693.58	866.07	703.28	713.11	808.0	595.34	500.46	551.56	473.41	703.28	417.77	679.29	514.56	457.25	281.09	476.71	559.28	470.14	426.57	693.58	688.78	559.28	748.61	547.75	612.11	441.64	718.08	638.15	638.15	571.05	660.68	563.18	532.74	444.72	679.29	688.78	642.59	660.68	543.96	723.08	507.46	551.56	532.74	543.96	426.57	703.28	674.59	450.94	567.1	571.05	674.59	669.92	379.04	703.28	599.49	493.56	708.18
AP4M1	64.8	540.19	941.27	780.44	563.18	651.58	791.35	780.44	638.15	563.18	616.37	567.1	718.08	713.11	607.87	563.18	575.03	529.06	532.74	612.11	587.13	612.11	791.35	536.45	607.87	587.13	563.18	665.29	660.68	616.37	748.61	748.61	587.13	507.46	429.54	406.31	525.39	507.46	587.13	460.44	332.14	381.68	514.56	547.75	384.34	450.94	500.46	529.06	429.54	555.41	583.07	567.1	480.04	521.76	532.74	441.64	381.68	417.77	551.56	466.88	318.57	616.37	555.41	529.06	518.15	567.1	435.55	417.77	616.37	587.13	738.29	429.54	476.71	420.68	450.94	454.09	447.82	497.0	500.46	518.15	599.49	400.71	507.46	406.31
ARHGAP27	58.71	921.88	1044.52	1127.35	547.75	738.29	518.15	753.83	500.46	647.07	454.09	521.76	866.07	718.08	1023.0	540.19	988.12	521.76	947.83	555.41	764.36	483.38	890.44	896.64	684.02	674.59	616.37	764.36	753.83	587.13	559.28	796.86	529.06	220.32	283.05	271.48	291.04	432.53	457.25	307.69	265.87	226.54	208.38	490.14	153.34	332.14	406.31	551.56	301.33	426.57	444.72	356.05	312.0	563.18	283.05	435.55	381.68	289.02	376.41	320.8	201.25	503.95	429.54	305.55	303.44	237.86	264.03	420.68	480.04	287.01	361.04	414.87	215.77	204.07	283.05	400.71	279.14	412.0	312.0	279.14	660.68	299.25	293.07	400.71
ARHGEF2	153.34	2255.7	2720.15	2835.7	1709.26	2451.44	2573.36	3060.45	2004.85	2417.67	2485.67	1745.2	3372.43	2047.0	2609.3	1977.24	3303.0	2777.33	1832.01	1950.0	1991.0	1561.89	2502.97	1909.85	1963.57	2255.7	1583.71	2468.49	2682.69	2303.12	2367.9	2720.15	1757.34	1030.12	928.3	1151.06	684.02	878.17	848.22	1127.35	1175.27	808.0	1477.58	1977.24	438.59	723.08	1674.06	1477.58	890.44	728.11	866.07	1088.92	896.64	1447.15	1143.1	1508.65	1175.27	1023.0	1135.2	466.88	1051.79	1417.35	1605.83	674.59	1208.34	1350.18	595.34	890.44	1081.39	791.35	1508.65	808.0	813.63	460.44	896.64	878.17	896.64	684.02	1572.76	1295.13	1277.29	1313.23	753.83	1388.16
BAIAP2	656.11	1883.54	1639.59	1143.1	1044.52	1183.45	1936.53	1477.58	909.17	872.1	1313.23	1119.56	1242.34	1167.14	1583.71	1313.23	1794.29	1870.53	961.07	1286.18	1001.93	1175.27	1447.15	1096.5	1023.0	1437.15	1199.98	2119.22	1674.06	848.22	1617.0	1417.35	1127.35	629.35	848.22	503.95	928.3	1127.35	860.08	961.07	669.92	884.29	909.17	860.08	486.75	679.29	813.63	1781.89	878.17	1159.07	808.0	713.11	1143.1	928.3	759.08	1111.82	563.18	909.17	1250.98	854.13	620.67	669.92	728.11	785.88	909.17	651.58	819.3	460.44	1183.45	693.58	860.08	753.83	638.15	825.0	878.17	860.08	1268.46	669.92	1015.93	1096.5	674.59	909.17	1008.9	764.36
BCAR1	234.57	1819.35	1447.15	1540.37	1208.34	1277.29	1191.69	1467.37	1259.69	1111.82	848.22	1030.12	1044.52	1498.22	1540.37	961.07	1313.23	1167.14	1119.56	1183.45	1250.98	934.76	1605.83	1242.34	1313.23	1015.93	1143.1	1950.0	1540.37	1233.75	1081.39	1073.91	1073.91	275.28	693.58	647.07	547.75	915.51	872.1	759.08	503.95	293.07	836.53	909.17	353.59	647.07	860.08	688.78	718.08	669.92	961.07	813.63	743.43	698.41	723.08	718.08	769.69	759.08	595.34	633.73	285.03	780.44	748.61	571.05	476.71	470.14	587.13	1081.39	624.99	607.87	785.88	775.05	447.82	490.14	656.11	769.69	490.14	688.78	866.07	753.83	836.53	775.05	563.18	785.88
