	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.139TS.2226.SM.5J2N1	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.WYVS.1126.SM.4SOJX	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.147JS.2626.SM.5S2UX	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11P81.1126.SM.5GU5G	GTEX.11GS4.1826.SM.5HL4T	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.132NY.2726.SM.5PNY2	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1212Z.2026.SM.5N9EA	TCGA.KM.8438.01A.11R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9NI.01A.11R.A41O.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.ZUA1.2826.SM.59HLE	GTEX.Y9LG.1826.SM.4VBQC	GTEX.13CF2.2426.SM.5LZYL	GTEX.Y5V6.1326.SM.4VDTF	TCGA.BJ.A291.01A.11R.A16R.07
AC024580.1	14.14	87.65	17.51	19.11	46.18	31.22	33.3	26.28	31.45	75.11	28.24	7.34	12.36	29.48	40.36	31.0	15.0	43.32	26.1	38.12	38.67	26.67	47.84	45.53	0.82	57.89	58.71	96.68	18.16	12.74	46.84	43.32	44.25	1.22	2.97	29.48	3.79	2.81	54.72	21.78	47.17	8.99	85.22	12.27	26.86	0.0	0.0	0.0	0.0	0.0	7.22	8.78	4.54	2.29	12.36	6.78	4.58	1.75	14.24	3.08	8.85	8.78
AC092811.1	3.0	39.22	7.69	7.22	7.88	16.63	4.24	6.52	10.39	36.27	5.87	9.2	14.67	9.27	33.06	8.38	12.83	7.57	15.0	7.11	1.28	16.39	0.65	4.66	0.35	4.43	6.57	39.79	5.73	20.26	9.41	26.47	9.85	1.87	0.4	17.51	4.35	2.23	11.04	8.65	28.04	1.07	18.56	1.79	4.78	0.0	0.0	0.0	0.0	0.0	0.68	2.97	0.0	0.0	1.55	0.0	0.0	0.0	4.62	0.6	6.16	1.31
ACAP2	297.17	371.22	256.78	173.85	205.5	242.88	384.34	518.15	312.0	351.14	291.04	237.86	273.37	291.04	371.22	334.46	231.32	493.56	376.41	392.44	343.89	244.57	503.95	323.03	141.02	307.69	500.46	327.56	291.04	186.4	460.44	301.33	285.03	264.03	264.03	246.28	177.53	148.09	358.54	242.88	368.65	214.27	368.65	124.37	148.09	127.0	111.21	66.18	48.87	82.87	77.25	144.01	62.56	88.88	124.37	117.6	164.42	111.99	205.5	198.47	181.28	146.03
ANKIB1	133.36	463.65	289.02	215.77	275.28	287.01	201.25	237.86	291.04	409.15	351.14	293.07	264.03	277.2	361.04	417.77	239.52	327.56	397.93	208.38	260.38	332.14	236.21	220.32	167.9	180.02	277.2	417.77	277.2	146.03	287.01	307.69	232.94	258.57	283.05	318.57	223.41	167.9	307.69	212.78	297.17	256.78	363.56	79.45	152.28	106.63	72.01	64.34	57.89	101.54	110.43	191.67	103.69	104.42	127.89	178.77	152.28	113.56	318.57	149.12	137.14	211.31
AP1G1	624.99	595.34	387.02	417.77	463.65	540.19	718.08	947.83	497.0	579.04	521.76	507.46	466.88	518.15	616.37	490.14	518.15	842.36	620.67	842.36	743.43	591.22	1066.48	733.19	301.33	728.11	1030.12	518.15	423.61	457.25	896.64	575.03	642.59	353.59	409.15	529.06	426.57	363.56	775.05	400.71	909.17	371.22	688.78	178.77	262.2	395.18	119.26	281.09	293.07	420.68	299.25	511.0	202.66	237.86	279.14	540.19	638.15	420.68	896.64	684.02	543.96	363.56
ARHGEF11	483.38	616.37	480.04	529.06	555.41	536.45	551.56	713.11	571.05	579.04	463.65	571.05	674.59	473.41	473.41	567.1	525.39	521.76	438.59	493.56	642.59	723.08	669.92	567.1	242.88	660.68	884.29	583.07	438.59	343.89	473.41	483.38	559.28	351.14	316.37	693.58	429.54	316.37	612.11	441.64	703.28	348.71	457.25	204.07	483.38	232.94	40.93	189.02	123.5	183.82	231.32	277.2	204.07	195.72	267.73	269.6	295.11	220.32	267.73	209.84	339.14	279.14
ASXL2	70.01	202.66	146.03	95.34	169.07	181.28	77.79	113.56	123.5	202.66	262.2	145.02	105.15	152.28	161.02	181.28	75.64	151.22	218.79	90.77	105.15	135.24	120.94	98.73	100.83	84.04	132.44	206.94	158.79	96.01	75.64	164.42	90.77	124.37	103.69	118.43	82.29	111.99	182.55	111.21	125.24	104.42	189.02	37.85	69.52	85.82	25.17	37.05	23.25	27.25	24.99	50.27	29.27	31.0	42.71	48.18	74.58	42.41	90.77	75.11	107.38	56.68
AVIL	358.54	460.44	105.15	155.5	136.19	101.54	211.31	217.27	165.57	182.55	59.55	169.07	258.57	103.69	113.56	119.26	129.69	144.01	126.12	293.07	255.0	135.24	131.51	318.57	48.52	215.77	115.16	181.28	59.97	29.48	115.16	60.82	248.0	96.68	73.03	110.43	275.28	40.93	190.34	120.1	483.38	76.17	149.12	60.39	40.07	20.86	3.66	18.84	12.0	41.22	9.48	41.52	16.88	17.25	11.13	37.32	32.36	32.82	30.34	24.46	115.97	50.98
AVL9	406.31	476.71	246.28	332.14	318.57	341.51	518.15	503.95	351.14	334.46	318.57	312.0	406.31	348.71	500.46	368.65	234.57	563.18	356.05	642.59	486.75	348.71	674.59	518.15	178.77	486.75	583.07	336.79	312.0	264.03	591.22	353.59	563.18	258.57	271.48	271.48	336.79	187.71	417.77	241.19	444.72	223.41	583.07	69.52	146.03	297.17	146.03	180.02	145.02	220.32	312.0	323.03	237.86	255.0	309.83	417.77	309.83	348.71	303.44	175.07	118.43	217.27
BAZ2A	571.05	1151.06	514.56	579.04	775.05	967.76	607.87	775.05	651.58	1037.29	674.59	759.08	595.34	693.58	1159.07	624.99	759.08	825.0	902.89	669.92	915.51	928.3	967.76	954.43	285.03	830.75	1119.56	1268.46	591.22	890.44	825.0	1001.93	669.92	295.11	305.55	1561.89	444.72	256.78	1119.56	591.22	1199.98	329.84	1127.35	169.07	583.07	447.82	49.21	180.02	95.34	208.38	358.54	346.29	293.07	301.33	406.31	289.02	348.71	214.27	642.59	426.57	457.25	403.5
