	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3655.11A.01R.1723.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.ZP4G.1726.SM.4WWCM	GTEX.XGQ4.1226.SM.4AT67	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.SNMC.1126.SM.4DM5M	GTEX.S4UY.0826.SM.4AD4Z	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.ZGAY.2126.SM.4YCFB	GTEX.QEL4.1926.SM.4R1JI	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07
ABCC6	2.23	5.23	77.79	60.39	120.94	18.43	82.87	187.71	450.94	376.41	185.11	414.87	198.47	403.5	63.89	277.2	256.78	3.79	5.82	13.72	6.16	31.67	30.34	18.03	28.65	3.53	84.63	157.68	56.28	95.34	56.28	18.7	9.06
ACAA2	2032.85	961.07	2163.77	5076.84	4575.41	1519.15	4607.24	4543.8	9474.59	6887.62	6207.38	6983.79	5147.73	8718.32	3515.68	7485.11	6652.97	1286.18	1023.0	1359.57	1519.15	1745.2	1313.23	1936.53	1111.82	1923.14	2178.83	3395.89	3443.31	2193.99	2701.35	1909.85	1322.37
ACADS	587.13	301.33	1104.13	1709.26	2485.67	536.45	1551.09	2855.44	4704.07	5147.73	3303.0	5366.37	2758.13	5441.3	1359.57	4210.15	3614.55	297.17	277.2	301.33	414.87	651.58	540.19	638.15	303.44	309.83	1096.5	1745.2	769.69	406.31	500.46	361.04	444.72
ACBD5	241.19	177.53	320.8	336.79	346.29	193.01	336.79	400.71	656.11	500.46	314.17	426.57	325.29	463.65	343.89	497.0	555.41	163.28	234.57	169.07	161.02	146.03	277.2	249.73	180.02	320.8	395.18	312.0	420.68	123.5	205.5	140.04	150.17
ACSF2	153.34	287.01	438.59	848.22	2047.0	256.78	1286.18	1583.71	3540.14	2555.58	1561.89	3443.31	1572.76	3589.58	764.36	2935.74	2537.92	178.77	136.19	140.04	138.1	320.8	395.18	356.05	234.57	127.89	392.44	555.41	679.29	202.66	137.14	198.47	251.48
ACSS2	503.95	656.11	1870.53	1909.85	2645.74	529.06	2400.97	2417.67	5954.47	5076.84	4736.79	5913.33	4038.61	5872.48	1572.76	4210.15	5329.3	665.29	738.29	872.1	733.19	620.67	718.08	785.88	543.96	529.06	1175.27	2224.63	1286.18	514.56	848.22	532.74	660.68
AHCYL2	73.03	126.12	1427.22	1674.06	1594.73	314.17	1508.65	1427.22	7537.18	3742.05	2956.17	5147.73	1977.24	6699.25	1233.75	3794.3	4736.79	70.01	109.66	155.5	146.03	175.07	138.1	187.71	123.5	187.71	909.17	1594.73	954.43	119.26	74.58	157.68	96.68
AKAP9	176.29	351.14	480.04	759.08	819.3	309.83	1350.18	743.43	2240.11	1359.57	884.29	1617.0	785.88	1508.65	698.41	1066.48	1857.6	713.11	444.72	665.29	612.11	420.68	307.69	384.34	307.69	389.72	555.41	638.15	848.22	403.5	305.55	500.46	255.0
AKR7A3	5.77	12.93	177.53	381.68	559.28	29.48	316.37	660.68	2163.77	2875.3	1844.76	2645.74	1233.75	2875.3	336.79	1277.29	1721.16	1.75	0.97	4.94	2.34	8.58	7.94	7.17	2.48	9.93	180.02	297.17	80.57	31.0	40.93	35.25	3.92
AMACR	426.57	169.07	417.77	547.75	748.61	190.34	860.08	607.87	3820.7	1651.0	1023.0	1508.65	808.0	2682.69	325.29	1857.6	1437.15	242.88	82.29	153.34	128.79	297.17	387.02	1322.37	620.67	780.44	547.75	808.0	518.15	246.28	242.88	172.65	249.73
APOBR	10.63	31.22	450.94	131.51	470.14	37.59	426.57	190.34	2835.7	1883.54	1806.78	2682.69	1233.75	2271.4	236.21	1447.15	2303.12	32.82	34.26	21.78	27.25	6.89	21.47	25.35	39.22	10.88	46.84	679.29	158.79	94.67	45.53	119.26	24.81
APPL2	255.0	723.08	647.07	878.17	1151.06	226.54	1721.16	1059.11	3103.19	1794.29	1844.76	2976.74	1037.29	3443.31	995.0	2367.9	2502.97	909.17	363.56	387.02	253.23	406.31	536.45	633.73	612.11	460.44	748.61	961.07	872.1	384.34	336.79	314.17	518.15
AQP11	17.13	11.21	92.05	39.22	48.87	12.55	36.79	65.72	128.79	76.17	74.58	96.01	58.71	119.26	55.49	97.36	88.88	7.63	8.65	12.27	13.83	34.02	22.92	55.1	27.05	46.5	40.07	68.55	38.67	31.0	15.11	29.48	10.63
ARHGAP44	50.98	76.71	212.78	223.41	490.14	75.11	279.14	447.82	1350.18	860.08	493.56	981.29	571.05	1008.9	215.77	947.83	796.86	37.32	61.68	84.63	90.77	118.43	78.89	82.29	55.1	41.52	244.57	279.14	281.09	53.95	23.42	71.5	45.21
ARHGEF16	4.9	4.24	150.17	115.16	320.8	6.06	229.72	460.44	1709.26	1437.15	1447.15	1685.71	860.08	1745.2	295.11	1059.11	1551.09	17.13	13.72	0.0	0.23	52.82	53.57	149.12	185.11	63.89	57.49	309.83	46.5	46.84	22.75	35.5	4.31
ATP13A4	4.86	2.46	29.48	23.93	21.47	4.39	33.06	63.89	226.54	130.6	112.77	194.36	139.07	173.85	39.79	90.77	120.1	1.73	9.2	0.0	0.13	8.25	4.82	16.39	9.34	1.77	29.91	50.98	56.28	5.28	3.08	1.81	2.51
ATP2A3	688.78	253.23	1529.73	1059.11	1628.26	339.14	1191.69	1639.59	3820.7	4575.41	3419.52	4575.41	2468.49	5147.73	1529.73	3235.01	4358.66	166.73	299.25	332.14	559.28	1208.34	223.41	303.44	164.42	94.67	587.13	2468.49	842.36	426.57	265.87	486.75	303.44
B3GALT5	1.35	0.35	363.56	67.59	50.27	17.25	81.71	116.78	2400.97	1304.15	728.11	878.17	220.32	1191.69	136.19	624.99	1639.59	0.31	3.08	0.1	2.43	5.02	2.61	3.5	1.14	1.1	71.5	223.41	105.89	19.11	38.95	7.34	0.71
BCL2L15	2.25	5.96	389.72	218.79	289.02	12.93	358.54	638.15	3212.66	2777.33	2193.99	2573.36	1340.84	3515.68	473.41	2018.8	2367.9	2.78	1.58	8.58	1.28	12.09	27.64	6.73	2.07	18.29	329.84	323.03	144.01	7.82	5.02	32.13	0.53
