	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.13PL7.0526.SM.5J2MQ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.UJHI.0926.SM.4IHKF	GTEX.145MO.1526.SM.5QGQC	GTEX.U3ZH.1126.SM.4DXUG	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZP4G.0926.SM.4WWF4	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.XBEW.1426.SM.4AT4J	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.FP.7735.11A.01R.2055.13	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.AX.A0J0.11A.11R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	GTEX.ZP4G.0726.SM.4WWF2	GTEX.13D11.1226.SM.5IFGA	GTEX.PWN1.2026.SM.48TD9	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.R55G.1626.SM.48FF4	GTEX.145ME.1326.SM.5O98Q	GTEX.U3ZN.0726.SM.4DXT5	GTEX.ZYWO.2126.SM.5GZXF	GTEX.T6MO.1526.SM.4DM57
AASDHPPT	318.57	356.05	314.17	392.44	373.81	429.54	265.87	343.89	312.0	341.51	358.54	260.38	299.25	180.02	202.66	127.0	198.47	199.85	201.25	175.07	224.97	232.94	223.41	258.57	181.28	363.56	289.02	202.66	220.32	423.61	463.65	441.64	406.31	361.04	511.0	371.22	463.65	271.48	260.38	303.44	480.04	674.59	540.19	441.64	633.73	525.39	441.64	514.56	591.22	514.56	679.29	563.18	651.58
AKIRIN2	753.83	620.67	642.59	587.13	642.59	713.11	540.19	559.28	500.46	836.53	890.44	703.28	603.67	346.29	497.0	497.0	563.18	454.09	414.87	503.95	476.71	521.76	547.75	543.96	441.64	620.67	368.65	450.94	447.82	825.0	764.36	1066.48	603.67	909.17	660.68	575.03	503.95	543.96	954.43	813.63	698.41	921.88	825.0	753.83	1259.69	842.36	1151.06	915.51	575.03	872.1	1407.55	1397.83	830.75
ANAPC10	343.89	285.03	371.22	412.0	363.56	503.95	271.48	395.18	325.29	389.72	314.17	320.8	287.01	180.02	224.97	237.86	264.03	202.66	339.14	177.53	348.71	198.47	301.33	371.22	224.97	297.17	309.83	249.73	271.48	483.38	429.54	441.64	444.72	351.14	457.25	571.05	454.09	325.29	295.11	348.71	417.77	629.35	486.75	463.65	536.45	476.71	514.56	303.44	470.14	412.0	480.04	660.68	361.04
ARFIP1	525.39	493.56	503.95	518.15	397.93	525.39	483.38	603.67	414.87	438.59	341.51	366.09	348.71	279.14	291.04	301.33	237.86	295.11	339.14	271.48	397.93	281.09	275.28	336.79	291.04	361.04	366.09	307.69	283.05	624.99	521.76	480.04	470.14	493.56	514.56	836.53	665.29	343.89	379.04	366.09	525.39	848.22	587.13	733.19	713.11	688.78	532.74	642.59	723.08	587.13	1286.18	813.63	642.59
ARHGEF3	371.22	307.69	297.17	665.29	507.46	728.11	447.82	412.0	647.07	381.68	323.03	125.24	180.02	59.13	127.0	269.6	105.89	162.14	191.67	151.22	152.28	237.86	132.44	244.57	105.15	229.72	147.06	231.32	120.1	559.28	368.65	346.29	420.68	447.82	466.88	384.34	612.11	183.82	185.11	265.87	1651.0	1088.92	2739.08	1437.15	1594.73	1896.65	1096.5	902.89	1096.5	2591.27	2271.4	1233.75	567.1
ASF1A	329.84	325.29	318.57	255.0	182.55	212.78	193.01	237.86	289.02	211.31	193.01	185.11	189.02	155.5	161.02	149.12	150.17	163.28	127.0	193.01	135.24	214.27	157.68	161.02	189.02	320.8	229.72	187.71	178.77	332.14	373.81	295.11	314.17	202.66	293.07	420.68	341.51	198.47	165.57	191.67	285.03	708.18	366.09	403.5	759.08	521.76	463.65	463.65	629.35	275.28	447.82	356.05	518.15
ASNSD1	813.63	819.3	738.29	708.18	595.34	967.76	543.96	698.41	674.59	493.56	780.44	693.58	567.1	423.61	563.18	400.71	536.45	511.0	429.54	417.77	480.04	406.31	409.15	579.04	583.07	612.11	346.29	423.61	518.15	974.5	753.83	909.17	575.03	698.41	866.07	1331.57	1015.93	688.78	660.68	669.92	802.41	1135.2	836.53	1001.93	1359.57	981.29	866.07	1143.1	796.86	547.75	934.76	1331.57	860.08
ATP6AP2	2855.44	2335.28	1963.57	3443.31	2255.7	3257.52	2018.8	2451.44	2335.28	2664.15	2367.9	2209.26	1685.71	1487.87	1427.22	1639.59	1551.09	1447.15	1407.55	1350.18	1896.65	1685.71	1242.34	1519.15	1457.23	1781.89	1709.26	1551.09	1183.45	2609.3	2855.44	3419.52	3039.3	2468.49	3039.3	2555.58	2573.36	2271.4	2555.58	2255.7	3614.55	4152.18	3190.46	4210.15	3847.29	4152.18	5219.6	3690.52	5112.16	3419.52	4736.79	3955.48	4769.75
BLMH	660.68	551.56	483.38	743.43	665.29	743.43	547.75	521.76	603.67	884.29	616.37	500.46	480.04	232.94	514.56	376.41	348.71	316.37	285.03	320.8	384.34	470.14	358.54	351.14	273.37	373.81	229.72	376.41	392.44	529.06	486.75	400.71	371.22	432.53	536.45	525.39	599.49	318.57	336.79	343.89	860.08	769.69	947.83	563.18	1096.5	599.49	551.56	995.0	802.41	1388.16	1697.45	915.51	884.29
BTF3L4	981.29	878.17	733.19	909.17	1044.52	1008.9	633.73	753.83	896.64	1001.93	842.36	764.36	728.11	514.56	518.15	490.14	450.94	540.19	412.0	414.87	587.13	567.1	529.06	547.75	575.03	647.07	406.31	454.09	624.99	1001.93	896.64	1051.79	764.36	995.0	1304.15	1340.84	866.07	890.44	802.41	583.07	890.44	1277.29	1135.2	1233.75	1397.83	1143.1	1268.46	1250.98	1397.83	1143.1	1322.37	1561.89	1143.1
