	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.139TS.2226.SM.5J2N1	GTEX.11P81.1426.SM.5P9JN	GTEX.Z93S.2626.SM.57WBX	GTEX.132AR.2826.SM.5IJFV	GTEX.131XE.1026.SM.5EGKE	TCGA.38.4625.01A.01R.1206.07.1	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.G9.6333.11A.01R.1965.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12WSH.0226.SM.5GCOG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
FUBP3	346.29	638.15	693.58	638.15	633.73	669.92	0.78	381.68	698.41	599.49	748.61	579.04	536.45	748.61	583.07	723.08	802.41	1477.58	1467.37	915.51	1594.73	1477.58	723.08	1268.46	1923.14	1119.56	1529.73	1583.71	974.5	1407.55	1594.73	1233.75	1733.13	860.08	1037.29	1059.11	1001.93	1572.76	1397.83	1844.76	1199.98	1313.23	1467.37	1417.35	1457.23	1519.15	1936.53	1175.27	2032.85	1127.35	1397.83	2004.85	1457.23	1008.9	1073.91	813.63	1167.14	1268.46
FZD6	170.25	170.25	176.29	194.36	75.11	159.9	0.44	103.69	218.79	154.42	320.8	239.52	253.23	226.54	209.84	368.65	285.03	802.41	599.49	400.71	507.46	397.93	220.32	529.06	353.59	366.09	629.35	728.11	361.04	518.15	665.29	463.65	587.13	325.29	309.83	381.68	379.04	518.15	647.07	591.22	500.46	327.56	624.99	579.04	518.15	679.29	629.35	429.54	511.0	409.15	647.07	514.56	444.72	271.48	400.71	299.25	379.04	358.54
GOLGA8N	30.78	67.59	33.3	20.71	56.28	127.0	0.66	6.94	57.08	33.06	96.68	62.56	57.89	34.51	37.32	92.05	204.07	476.71	563.18	244.57	483.38	2193.99	134.3	497.0	1199.98	325.29	490.14	420.68	309.83	1295.13	3235.01	1051.79	1498.22	143.01	353.59	293.07	638.15	1617.0	633.73	1233.75	226.54	890.44	599.49	941.27	1208.34	536.45	854.13	287.01	780.44	173.85	1870.53	2061.24	406.31	265.87	122.64	84.63	232.94	409.15
HACL1	307.69	141.02	287.01	237.86	178.77	232.94	0.39	414.87	283.05	262.2	356.05	339.14	327.56	312.0	343.89	291.04	438.59	518.15	563.18	466.88	620.67	476.71	242.88	389.72	460.44	470.14	633.73	470.14	507.46	500.46	660.68	540.19	536.45	423.61	507.46	521.76	525.39	599.49	633.73	599.49	409.15	518.15	651.58	500.46	543.96	633.73	483.38	579.04	525.39	543.96	595.34	563.18	500.46	381.68	438.59	285.03	476.71	463.65
HSDL1	208.38	269.6	239.52	251.48	224.97	289.02	0.43	309.83	301.33	189.02	260.38	201.25	346.29	299.25	226.54	305.55	325.29	665.29	981.29	629.35	988.12	1191.69	381.68	656.11	1151.06	708.18	941.27	1051.79	703.28	947.83	967.76	633.73	974.5	521.76	753.83	785.88	665.29	1216.75	607.87	1001.93	842.36	780.44	915.51	825.0	872.1	909.17	1127.35	878.17	1066.48	698.41	743.43	1044.52	819.3	733.19	651.58	423.61	854.13	688.78
HSPB11	486.75	563.18	559.28	466.88	371.22	532.74	0.44	603.67	551.56	633.73	612.11	780.44	620.67	684.02	698.41	830.75	878.17	2032.85	2178.83	559.28	2627.46	1769.57	947.83	1561.89	995.0	2682.69	2148.82	1794.29	2047.0	1397.83	836.53	1628.26	2287.2	860.08	2133.97	1936.53	1175.27	2133.97	1674.06	2004.85	1950.0	1806.78	2133.97	1697.45	2796.65	2400.97	1662.49	1819.35	2935.74	2319.15	1662.49	1540.37	1936.53	1819.35	1529.73	848.22	1794.29	1806.78
KIAA1598	199.85	153.34	122.64	157.68	132.44	94.67	0.38	285.03	81.71	71.0	127.89	134.3	273.37	139.07	116.78	147.06	299.25	551.56	603.67	334.46	660.68	764.36	406.31	518.15	497.0	591.22	718.08	738.29	490.14	423.61	583.07	633.73	595.34	341.51	441.64	551.56	503.95	688.78	579.04	575.03	684.02	713.11	591.22	612.11	595.34	656.11	842.36	753.83	791.35	423.61	693.58	583.07	441.64	595.34	486.75	450.94	483.38	497.0
LMO7	208.38	559.28	329.84	500.46	476.71	454.09	0.4	135.24	426.57	269.6	387.02	414.87	808.0	389.72	358.54	444.72	981.29	2287.2	2935.74	1199.98	2303.12	2555.58	1674.06	1685.71	5366.37	2075.59	2816.11	6381.92	2193.99	2178.83	2835.7	2451.44	2855.44	1936.53	2895.31	1870.53	2148.82	3060.45	2627.46	3614.55	1991.0	1769.57	2956.17	3928.15	3491.39	2537.92	3443.31	2018.8	3039.3	1259.69	3847.29	2796.65	2384.37	1883.54	1923.14	1268.46	2209.26	1844.76
LRRC39	11.64	8.25	9.2	12.74	2.01	4.17	0.56	5.68	9.93	6.26	3.89	9.78	8.19	7.22	10.88	10.88	4.66	17.13	19.97	5.92	16.63	29.06	5.06	17.13	21.32	18.97	26.28	48.87	19.39	19.68	8.58	13.03	23.08	43.63	23.25	14.89	11.64	35.25	11.82	18.97	12.55	29.48	28.24	28.65	37.85	11.21	22.92	19.82	29.06	6.78	11.47	17.0	12.93	22.59	13.72	5.19	24.28	13.42
MAP2K4	185.11	221.86	253.23	260.38	199.85	329.84	0.54	201.25	301.33	253.23	312.0	255.0	314.17	295.11	255.0	314.17	231.32	447.82	435.55	384.34	392.44	339.14	327.56	353.59	444.72	400.71	400.71	450.94	384.34	323.03	389.72	366.09	303.44	297.17	341.51	435.55	346.29	395.18	389.72	409.15	376.41	323.03	363.56	397.93	373.81	493.56	490.14	379.04	376.41	273.37	351.14	373.81	403.5	316.37	420.68	297.17	351.14	353.59
MAT2A	1991.0	2319.15	1794.29	1991.0	3614.55	3257.52	163.28	1745.2	1857.6	2417.67	1896.65	1923.14	2701.35	2271.4	1769.57	2485.67	3081.75	3742.05	7857.29	3491.39	10014.87	8363.13	4152.18	3235.01	7537.18	5831.91	10225.32	8963.45	4836.35	10154.69	8658.09	6294.04	7803.01	3419.52	5791.62	4388.98	4671.57	19082.0	9808.75	10808.41	7589.61	6471.02	16157.44	10585.95	7130.55	12853.63	9673.69	5366.37	7966.99	4066.71	14461.21	9279.58	7695.57	4769.75	5479.15	2609.3	4268.94	3018.3
MYO1H	1.27	2.01	0.0	0.0	0.0	0.74	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	10.63	5.87	2.12	9.27	18.16	5.19	16.88	5.5	24.46	6.67	3.99	13.03	5.15	33.3	29.48	7.57	6.11	8.65	8.06	3.92	10.0	15.11	20.26	12.55	35.25	5.59	12.45	23.08	9.63	18.43	28.45	13.83	18.7	11.64	21.47	8.92	9.85	5.41	10.0	15.11	19.97
NAGLU	961.07	547.75	599.49	532.74	202.66	163.28	0.27	1030.12	684.02	866.07	693.58	915.51	620.67	738.29	718.08	651.58	1008.9	884.29	1295.13	854.13	1127.35	1662.49	497.0	1151.06	2004.85	1066.48	1073.91	1151.06	1096.5	1277.29	1617.0	1233.75	1508.65	1159.07	1331.57	909.17	1322.37	909.17	1159.07	1369.04	1487.87	1467.37	961.07	1066.48	1030.12	954.43	1369.04	1883.54	1183.45	1447.15	1295.13	1295.13	1151.06	1216.75	1001.93	866.07	1066.48	1199.98
NSMAF	234.57	334.46	348.71	353.59	466.88	460.44	0.77	318.57	320.8	164.42	265.87	159.9	295.11	249.73	165.57	275.28	289.02	387.02	497.0	403.5	420.68	555.41	258.57	366.09	432.53	356.05	457.25	503.95	376.41	466.88	463.65	414.87	514.56	366.09	336.79	444.72	336.79	503.95	454.09	514.56	318.57	384.34	444.72	480.04	536.45	543.96	457.25	358.54	356.05	371.22	414.87	532.74	514.56	314.17	343.89	299.25	432.53	327.56
NUP160	147.06	229.72	346.29	157.68	279.14	239.52	0.73	157.68	269.6	217.27	279.14	237.86	232.94	260.38	236.21	323.03	264.03	450.94	500.46	363.56	476.71	480.04	269.6	343.89	813.63	441.64	470.14	660.68	414.87	466.88	551.56	435.55	525.39	389.72	397.93	395.18	389.72	543.96	444.72	500.46	368.65	454.09	518.15	493.56	532.74	559.28	603.67	348.71	447.82	423.61	547.75	503.95	559.28	336.79	406.31	312.0	420.68	361.04
NUP54	256.78	392.44	486.75	356.05	368.65	441.64	0.77	332.14	429.54	356.05	490.14	432.53	575.03	466.88	366.09	457.25	571.05	684.02	656.11	579.04	583.07	559.28	392.44	583.07	693.58	591.22	656.11	753.83	688.78	567.1	518.15	684.02	607.87	607.87	579.04	587.13	529.06	674.59	612.11	579.04	579.04	540.19	567.1	660.68	660.68	698.41	642.59	529.06	612.11	500.46	674.59	591.22	688.78	583.07	532.74	536.45	629.35	575.03
OR2A1	0.78	4.13	0.0	11.38	1.97	9.06	0.19	1.04	1.97	0.8	4.31	0.82	0.0	0.0	0.0	6.52	5.54	28.24	19.39	7.57	74.06	107.38	13.22	27.05	58.71	30.12	114.36	110.43	17.9	91.41	106.63	67.12	48.18	25.17	37.85	25.54	60.39	46.84	28.24	66.18	23.76	17.0	73.03	43.63	76.71	14.35	87.03	28.45	127.89	7.57	86.43	80.57	28.65	11.3	39.22	10.71	13.83	14.14
OR2A7	24.28	47.5	44.57	80.57	21.94	19.25	0.35	8.45	83.45	29.27	30.56	57.08	38.4	92.7	42.71	94.67	107.38	279.14	127.0	180.02	287.01	476.71	13.52	87.65	248.0	125.24	264.03	480.04	234.57	507.46	420.68	265.87	273.37	110.43	318.57	116.78	231.32	146.03	135.24	414.87	223.41	65.72	343.89	236.21	193.01	186.4	400.71	220.32	607.87	197.09	412.0	334.46	181.28	65.26	237.86	102.97	152.28	218.79
PECR	113.56	271.48	332.14	255.0	205.5	356.05	0.09	164.42	163.28	172.65	185.11	125.24	125.24	155.5	138.1	226.54	155.5	884.29	457.25	511.0	395.18	525.39	395.18	769.69	269.6	460.44	447.82	435.55	599.49	384.34	503.95	587.13	483.38	583.07	358.54	595.34	518.15	318.57	559.28	514.56	571.05	473.41	521.76	470.14	389.72	384.34	529.06	253.23	669.92	363.56	624.99	571.05	429.54	490.14	400.71	271.48	595.34	796.86
PHF20L1	94.01	162.14	197.09	204.07	211.31	246.28	616.37	143.01	221.86	202.66	228.13	190.34	199.85	281.09	198.47	248.0	215.77	476.71	796.86	409.15	1286.18	1208.34	312.0	547.75	684.02	802.41	1081.39	703.28	651.58	660.68	753.83	543.96	988.12	432.53	679.29	642.59	400.71	1331.57	780.44	872.1	748.61	1008.9	718.08	698.41	651.58	1119.56	934.76	890.44	1001.93	441.64	753.83	1104.13	708.18	540.19	583.07	237.86	420.68	450.94
PLEKHH1	125.24	187.71	85.82	189.02	190.34	214.27	0.52	470.14	202.66	447.82	291.04	301.33	307.69	559.28	457.25	733.19	713.11	1819.35	3820.7	1088.92	4481.23	5147.73	1183.45	2133.97	7695.57	3303.0	2209.26	5672.41	4239.45	3325.99	5441.3	4123.49	4328.55	3515.68	3564.78	3419.52	2609.3	5995.9	2682.69	5711.87	3665.02	3742.05	3928.15	3168.41	4328.55	3325.99	6607.01	4038.61	6337.83	2367.9	4298.64	4512.4	3874.05	3212.66	3280.18	1001.93	4512.4	3639.7
PRKCI	128.79	281.09	171.45	221.86	244.57	204.07	84.04	312.0	262.2	178.77	356.05	201.25	395.18	277.2	198.47	438.59	320.8	764.36	854.13	473.41	511.0	551.56	665.29	575.03	967.76	624.99	426.57	974.5	547.75	450.94	860.08	571.05	563.18	555.41	674.59	497.0	733.19	599.49	532.74	571.05	884.29	438.59	486.75	483.38	595.34	753.83	1015.93	620.67	454.09	353.59	785.88	532.74	759.08	638.15	836.53	409.15	571.05	591.22
PRMT3	47.84	92.7	98.04	130.6	125.24	169.07	0.3	141.02	111.99	98.04	136.19	140.04	142.01	134.3	107.38	132.44	130.6	514.56	669.92	289.02	688.78	616.37	186.4	540.19	303.44	457.25	529.06	403.5	417.77	297.17	536.45	361.04	525.39	229.72	231.32	295.11	327.56	438.59	563.18	579.04	599.49	660.68	426.57	409.15	392.44	480.04	629.35	426.57	521.76	432.53	470.14	599.49	371.22	366.09	271.48	142.01	432.53	563.18
PSMG1	802.41	454.09	571.05	603.67	329.84	497.0	497.0	551.56	616.37	612.11	791.35	629.35	595.34	551.56	476.71	713.11	514.56	1340.84	1073.91	878.17	1359.57	1073.91	738.29	1073.91	909.17	1199.98	1304.15	1143.1	954.43	1008.9	1051.79	1208.34	1216.75	836.53	921.88	884.29	909.17	1369.04	1340.84	1030.12	1388.16	1709.26	1119.56	1242.34	1030.12	1159.07	1030.12	1519.15	1277.29	1143.1	1268.46	1191.69	866.07	1199.98	981.29	896.64	1127.35	947.83
PUS10	45.21	91.41	75.64	71.0	113.56	98.04	0.34	72.01	59.13	47.5	74.06	49.21	73.03	60.39	68.55	82.87	121.79	244.57	249.73	118.43	242.88	197.09	218.79	228.13	189.02	214.27	229.72	215.77	178.77	169.07	187.71	293.07	232.94	226.54	228.13	141.02	269.6	149.12	197.09	244.57	175.07	283.05	167.9	248.0	253.23	293.07	265.87	177.53	265.87	201.25	242.88	258.57	167.9	185.11	277.2	299.25	191.67	248.0
RALGPS1	82.87	256.78	154.42	232.94	135.24	244.57	0.57	197.09	181.28	150.17	215.77	204.07	161.02	199.85	146.03	202.66	273.37	389.72	420.68	221.86	361.04	466.88	198.47	253.23	460.44	406.31	295.11	454.09	358.54	483.38	426.57	373.81	267.73	241.19	341.51	336.79	316.37	406.31	275.28	387.02	351.14	318.57	334.46	312.0	409.15	379.04	551.56	244.57	406.31	249.73	435.55	435.55	353.59	283.05	241.19	212.78	376.41	301.33
RFFL	211.31	293.07	346.29	412.0	379.04	343.89	0.62	265.87	368.65	262.2	316.37	301.33	384.34	341.51	303.44	409.15	414.87	612.11	928.3	536.45	2240.11	1477.58	403.5	559.28	961.07	884.29	1216.75	860.08	521.76	703.28	928.3	718.08	860.08	381.68	718.08	688.78	708.18	1259.69	915.51	1313.23	954.43	1233.75	785.88	1250.98	1216.75	1350.18	1477.58	1639.59	1096.5	703.28	1030.12	1167.14	674.59	629.35	693.58	500.46	529.06	536.45
RPS6KA1	825.0	503.95	325.29	332.14	384.34	199.85	0.64	802.41	318.57	368.65	376.41	403.5	748.61	283.05	314.17	341.51	551.56	848.22	981.29	759.08	1216.75	1159.07	486.75	684.02	1001.93	860.08	813.63	723.08	536.45	909.17	1331.57	1378.57	1023.0	819.3	647.07	825.0	1015.93	915.51	884.29	1001.93	1233.75	1175.27	1175.27	1015.93	780.44	1111.82	1286.18	1233.75	1151.06	1259.69	1030.12	1104.13	748.61	1427.22	1313.23	693.58	974.5	708.18
RTP3	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	4.94	0.43	0.36	0.0	0.0	0.0	0.0	4.35	3.38	1.38	5.32	8.51	1.83	0.0	4.74	0.0	4.82	9.48	2.16	12.45	5.82	4.46	11.73	6.62	1.07	3.66	6.57	7.51	8.25	4.39	1.99	3.59	12.45	4.21	1.13	13.52	6.06	3.41	10.96	4.9	8.99	5.54	1.89	1.31	2.78	1.6	7.94	1.07
SLA	128.79	95.34	70.01	41.52	182.55	21.47	0.53	19.97	47.84	24.11	74.58	48.18	48.18	63.0	18.16	57.08	30.78	271.48	718.08	119.26	1950.0	2485.67	127.89	229.72	460.44	1781.89	1594.73	503.95	392.44	1295.13	599.49	638.15	1844.76	186.4	309.83	825.0	490.14	1709.26	1242.34	1081.39	1151.06	2004.85	819.3	1037.29	753.83	1936.53	813.63	1519.15	1096.5	559.28	1457.23	1322.37	703.28	291.04	208.38	109.66	220.32	208.38
SLC11A2	323.03	329.84	249.73	379.04	384.34	305.55	115.16	633.73	559.28	808.0	698.41	599.49	551.56	571.05	490.14	616.37	733.19	1001.93	1340.84	780.44	1277.29	1721.16	684.02	967.76	2303.12	974.5	1477.58	1757.34	813.63	1051.79	1350.18	1096.5	1540.37	748.61	954.43	1037.29	866.07	1331.57	1277.29	1674.06	1191.69	1096.5	1350.18	1477.58	1268.46	1378.57	1721.16	1378.57	1697.45	934.76	1447.15	1437.15	1030.12	909.17	848.22	733.19	967.76	802.41
SLC36A4	34.02	51.71	92.7	131.51	102.25	101.54	0.55	65.72	113.56	57.89	123.5	101.54	76.71	144.01	40.07	105.89	52.45	178.77	307.69	155.5	215.77	301.33	115.16	201.25	249.73	129.69	205.5	309.83	127.89	143.01	289.02	157.68	204.07	138.1	246.28	90.77	152.28	234.57	205.5	275.28	172.65	297.17	201.25	267.73	231.32	262.2	273.37	256.78	228.13	121.79	176.29	271.48	136.19	190.34	183.82	143.01	145.02	120.94
SLC37A3	217.27	563.18	332.14	529.06	387.02	423.61	0.67	555.41	287.01	220.32	289.02	295.11	318.57	305.55	269.6	316.37	373.81	583.07	723.08	624.99	559.28	616.37	466.88	629.35	674.59	514.56	529.06	909.17	454.09	559.28	842.36	656.11	693.58	607.87	444.72	511.0	441.64	688.78	616.37	723.08	708.18	507.46	633.73	693.58	638.15	753.83	638.15	559.28	612.11	536.45	612.11	551.56	599.49	579.04	791.35	529.06	563.18	373.81
SNX24	277.2	265.87	190.34	312.0	117.6	94.67	253.23	29.48	167.9	147.06	212.78	206.94	164.42	153.34	152.28	226.54	96.68	283.05	397.93	279.14	303.44	363.56	204.07	389.72	327.56	277.2	406.31	400.71	316.37	373.81	295.11	373.81	363.56	176.29	301.33	279.14	318.57	327.56	353.59	358.54	447.82	316.37	395.18	400.71	346.29	429.54	420.68	426.57	518.15	291.04	371.22	307.69	279.14	500.46	387.02	339.14	279.14	297.17
SPAG9	182.55	490.14	612.11	607.87	441.64	587.13	0.53	132.44	493.56	273.37	414.87	334.46	249.73	438.59	314.17	460.44	318.57	753.83	1208.34	540.19	1378.57	1313.23	503.95	748.61	3103.19	830.75	1583.71	1674.06	591.22	1030.12	1233.75	878.17	1417.35	563.18	808.0	718.08	665.29	1397.83	934.76	1437.15	620.67	934.76	1183.45	1340.84	1457.23	1277.29	1447.15	902.89	1359.57	728.11	1388.16	1225.22	981.29	775.05	902.89	490.14	595.34	595.34
SUV420H1	273.37	466.88	476.71	500.46	320.8	406.31	0.48	483.38	457.25	444.72	583.07	591.22	629.35	579.04	529.06	529.06	629.35	860.08	842.36	607.87	921.88	1066.48	507.46	642.59	775.05	872.1	854.13	915.51	775.05	684.02	902.89	647.07	802.41	555.41	575.03	775.05	620.67	934.76	713.11	836.53	703.28	896.64	796.86	860.08	947.83	1066.48	896.64	698.41	1023.0	612.11	748.61	796.86	884.29	733.19	842.36	612.11	738.29	813.63
TBX22	0.0	1.01	0.21	1.85	0.0	0.64	0.0	0.0	40.07	2.56	1.39	0.4	0.31	4.03	6.41	0.4	1.55	62.56	583.07	106.63	450.94	961.07	27.84	155.5	314.17	180.02	152.28	457.25	63.0	353.59	532.74	103.69	348.71	49.56	71.5	21.32	27.84	253.23	260.38	708.18	1111.82	291.04	157.68	124.37	264.03	101.54	981.29	420.68	444.72	139.07	638.15	1015.93	102.97	69.03	96.68	5.19	173.85	185.11
TFCP2L1	108.9	24.46	13.03	15.0	50.63	34.75	0.0	43.94	29.27	45.53	209.84	124.37	493.56	100.13	74.06	45.53	87.65	529.06	3589.58	239.52	2255.7	2997.45	127.0	348.71	642.59	260.38	967.76	4152.18	371.22	2351.53	2555.58	540.19	3467.27	163.28	518.15	403.5	246.28	2335.28	2434.5	4239.45	1857.6	647.07	1143.1	2032.85	1757.34	2451.44	1417.35	1757.34	3103.19	679.29	2148.82	4937.99	1073.91	397.93	536.45	178.77	802.41	921.88
