	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.P4QT.1426.SM.3NMCX	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.WFON.1326.SM.4LVMN	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.X3Y1.1726.SM.4PQZL	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.132AR.2726.SM.5PNVN	GTEX.1128S.1626.SM.5H12O	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.139YR.2126.SM.5KM11	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZZ64.0726.SM.5GZX4	GTEX.11DXZ.1726.SM.5H12M	GTEX.YEC3.2026.SM.4WWFL	GTEX.ZGAY.2126.SM.4YCFB	GTEX.QCQG.1626.SM.48U26	GTEX.Y3IK.1826.SM.4WWDS	GTEX.145ME.0826.SM.5O9AF	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZXES.1626.SM.5NQ7L	GTEX.ZT9W.1826.SM.51MQX	GTEX.1497J.2126.SM.5NQB8	GTEX.13QBU.0826.SM.5IJBU	GTEX.13O61.1026.SM.5L3F6	GTEX.WFG8.1026.SM.4LVMZ	GTEX.SE5C.1326.SM.4BRUH	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.146FR.2026.SM.5NQAI	GTEX.1211K.1426.SM.5FQTF	GTEX.12C56.0526.SM.5FQST	GTEX.Q2AI.0826.SM.48TZO
AC010441.1	164.42	220.32	316.37	232.94	190.34	688.78	384.34	297.17	139.07	497.0	316.37	190.34	185.11	140.04	152.28	728.11	356.05	197.09	271.48	229.72	563.18	165.57	753.83	444.72	392.44	158.79	665.29	297.17	1857.6	305.55	1225.22	961.07	860.08	890.44	521.76	120.94	105.15	41.52	54.72	108.14	62.12	115.16	130.6	1044.52	1135.2	1175.27	242.88
AC026310.1	0.39	0.0	0.0	0.0	0.0	10.31	0.13	1.2	0.0	1.53	2.03	0.0	0.83	0.8	0.0	2.78	0.66	0.0	0.6	1.13	1.07	0.18	2.27	1.55	1.13	0.92	2.01	4.03	10.79	0.0	10.88	7.17	6.01	3.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82	10.08	3.56	0.0
ADAMTS1	251.48	72.52	177.53	182.55	246.28	2209.26	409.15	334.46	201.25	521.76	518.15	117.6	297.17	82.87	236.21	1023.0	400.71	134.3	785.88	271.48	1529.73	106.63	2104.58	1030.12	435.55	161.02	1259.69	620.67	1685.71	121.79	3443.31	3235.01	2335.28	3303.0	3039.3	1467.37	125.24	69.52	138.1	208.38	109.66	2384.37	633.73	2701.35	2739.08	5791.62	392.44
ADAMTS5	16.27	3.35	19.39	10.24	11.21	323.03	20.41	13.42	13.52	54.33	40.64	11.64	57.89	6.94	17.38	92.05	58.3	10.39	28.04	26.86	61.68	9.06	116.78	49.91	37.59	11.82	105.89	140.04	688.78	4.74	389.72	236.21	323.03	226.54	83.45	18.84	5.41	10.71	8.38	9.2	7.22	20.26	14.78	186.4	155.5	96.01	13.22
ADARB2	8.0	0.0	8.58	1.17	4.46	65.26	1.99	1.43	1.5	13.12	13.72	3.63	7.51	3.11	5.73	30.56	11.82	4.62	14.67	14.14	21.01	0.22	31.22	33.54	15.56	9.85	37.85	16.63	10.96	5.28	146.03	19.82	116.78	41.22	224.97	6.78	1.66	10.79	0.96	4.54	2.92	12.55	22.75	87.65	94.67	105.89	12.18
ADCY3	376.41	423.61	656.11	348.71	332.14	1417.35	450.94	656.11	212.78	825.0	503.95	403.5	470.14	309.83	289.02	1340.84	599.49	503.95	616.37	583.07	1015.93	423.61	743.43	616.37	718.08	392.44	1651.0	848.22	2303.12	563.18	2875.3	2956.17	1674.06	1540.37	2875.3	84.04	83.45	113.56	86.43	77.79	51.71	241.19	180.02	988.12	1199.98	1331.57	389.72
ADCY4	258.57	90.77	127.89	189.02	100.13	674.59	120.1	198.47	130.6	267.73	159.9	120.94	72.01	90.14	133.36	323.03	136.19	173.85	228.13	267.73	253.23	136.19	314.17	201.25	172.65	111.99	457.25	320.8	961.07	142.01	3395.89	1781.89	1397.83	928.3	884.29	91.41	41.22	67.59	34.26	72.01	59.55	190.34	170.25	490.14	466.88	514.56	127.0
AKT3	104.42	20.71	65.26	92.7	37.05	392.44	30.78	59.13	21.78	246.28	100.83	25.91	74.58	42.41	45.85	193.01	82.87	28.65	83.45	208.38	303.44	29.48	325.29	241.19	69.52	61.25	361.04	122.64	353.59	25.54	738.29	703.28	988.12	486.75	642.59	69.03	29.48	17.13	36.27	22.59	18.16	129.69	68.07	890.44	1051.79	1044.52	56.68
AL445665.1	0.93	0.0	0.0	0.74	0.0	17.51	0.0	0.0	1.95	0.0	4.74	0.64	2.2	0.0	0.0	6.67	1.62	1.83	5.92	4.39	7.69	0.38	7.51	3.23	0.0	0.0	4.03	3.69	15.8	1.89	40.64	102.25	18.16	9.48	15.45	2.61	3.26	2.51	0.0	0.0	0.82	0.0	0.0	25.17	18.7	25.91	4.62
ALMS1	162.14	137.14	121.79	121.79	148.09	177.53	163.28	125.24	95.34	260.38	202.66	133.36	108.14	126.12	77.25	228.13	147.06	127.0	123.5	218.79	201.25	173.85	126.12	172.65	193.01	173.85	236.21	202.66	223.41	113.56	341.51	242.88	193.01	348.71	209.84	130.6	85.22	58.3	53.19	107.38	127.0	202.66	123.5	165.57	260.38	176.29	95.34
