	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.BH.A0HU.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.PL.A8LV.01A.21R.A41B.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.A4ZV.01A.11R.A26U.07
ANAPC2	232.94	397.93	591.22	607.87	575.03	343.89	457.25	842.36	1295.13	808.0	1551.09	651.58	343.89	470.14	559.28	470.14	688.78	616.37	392.44	406.31	514.56	612.11	454.09	395.18	854.13	134.3	361.04	723.08	358.54	363.56	295.11	825.0	460.44	397.93	172.65	429.54	316.37	616.37	249.73	432.53	780.44	312.0	629.35	764.36	189.02	551.56	1111.82	872.1	206.94	341.51	242.88	748.61	988.12	460.44	457.25	703.28	384.34	555.41	603.67	438.59	389.72	1175.27	486.75	1037.29	1008.9	819.3	463.65	157.68	511.0	420.68	713.11	435.55	116.78	180.02	226.54	0.0	0.91	1870.53
ASB6	105.15	224.97	287.01	339.14	275.28	147.06	273.37	555.41	305.55	403.5	493.56	231.32	279.14	173.85	318.57	273.37	231.32	248.0	217.27	182.55	220.32	236.21	258.57	195.72	273.37	115.16	229.72	327.56	198.47	180.02	251.48	341.51	204.07	211.31	131.51	202.66	234.57	314.17	151.22	312.0	299.25	205.5	271.48	273.37	140.04	351.14	791.35	314.17	131.51	211.31	130.6	162.14	287.01	208.38	277.2	273.37	285.03	181.28	325.29	307.69	155.5	381.68	223.41	275.28	293.07	329.84	392.44	134.3	208.38	144.01	297.17	211.31	169.07	115.16	144.01	0.0	0.36	358.54
C9orf114	318.57	426.57	981.29	878.17	1322.37	460.44	759.08	1216.75	967.76	884.29	1697.45	872.1	995.0	486.75	1437.15	775.05	813.63	1388.16	607.87	616.37	791.35	769.69	420.68	791.35	1167.14	264.03	703.28	802.41	579.04	309.83	733.19	1498.22	866.07	698.41	490.14	748.61	551.56	620.67	493.56	1208.34	733.19	848.22	1073.91	3614.55	329.84	1583.71	2133.97	1159.07	379.04	775.05	429.54	624.99	1268.46	543.96	1127.35	995.0	921.88	583.07	1073.91	928.3	651.58	1030.12	967.76	1857.6	1073.91	860.08	785.88	289.02	547.75	454.09	723.08	507.46	334.46	318.57	339.14	0.0	0.2	1721.16
C9orf142	796.86	961.07	1030.12	1651.0	1819.35	620.67	603.67	2468.49	3690.52	2133.97	3982.99	1135.2	909.17	1015.93	1151.06	1023.0	909.17	1191.69	703.28	723.08	679.29	1437.15	769.69	1407.55	1096.5	166.73	981.29	1477.58	830.75	651.58	642.59	3395.89	947.83	567.1	395.18	583.07	713.11	1295.13	624.99	718.08	1369.04	414.87	1340.84	2287.2	329.84	819.3	3982.99	1950.0	460.44	785.88	518.15	1051.79	2591.27	890.44	1104.13	1639.59	753.83	1023.0	1250.98	934.76	693.58	2018.8	1059.11	2047.0	2351.53	1806.78	703.28	327.56	1583.71	669.92	1104.13	1044.52	603.67	307.69	426.57	0.0	0.67	2895.31
C9orf69	232.94	265.87	493.56	679.29	389.72	299.25	583.07	884.29	624.99	490.14	961.07	368.65	289.02	283.05	518.15	454.09	381.68	279.14	341.51	460.44	435.55	525.39	633.73	426.57	381.68	82.87	283.05	529.06	214.27	329.84	323.03	878.17	438.59	248.0	140.04	329.84	312.0	511.0	277.2	708.18	518.15	244.57	483.38	819.3	209.84	406.31	1388.16	785.88	171.45	429.54	265.87	358.54	764.36	334.46	486.75	624.99	293.07	339.14	575.03	503.95	249.73	679.29	463.65	536.45	633.73	660.68	432.53	118.43	454.09	332.14	490.14	343.89	177.53	162.14	202.66	0.0	0.02	1037.29
CACFD1	231.32	265.87	555.41	480.04	909.17	791.35	819.3	1127.35	1216.75	915.51	1073.91	587.13	351.14	283.05	769.69	486.75	1081.39	555.41	361.04	463.65	624.99	674.59	718.08	543.96	665.29	242.88	450.94	728.11	480.04	397.93	470.14	1259.69	587.13	473.41	264.03	429.54	743.43	591.22	356.05	819.3	633.73	529.06	808.0	1498.22	429.54	753.83	679.29	928.3	149.12	457.25	376.41	656.11	698.41	438.59	842.36	571.05	429.54	450.94	693.58	915.51	389.72	1030.12	563.18	738.29	1127.35	1081.39	738.29	314.17	1073.91	414.87	860.08	532.74	177.53	158.79	195.72	0.0	0.32	1143.1
CDK9	555.41	825.0	1008.9	1066.48	1167.14	1359.57	1111.82	1437.15	1313.23	1268.46	1674.06	934.76	961.07	785.88	1143.1	1183.45	1066.48	848.22	785.88	967.76	902.89	1208.34	884.29	1605.83	1151.06	559.28	775.05	1286.18	1051.79	884.29	591.22	1594.73	1127.35	1001.93	529.06	728.11	1242.34	1277.29	713.11	1015.93	1051.79	981.29	1119.56	1447.15	713.11	1037.29	1806.78	1651.0	444.72	854.13	748.61	915.51	1295.13	866.07	1295.13	1135.2	1268.46	703.28	1806.78	1175.27	780.44	1417.35	1806.78	1233.75	1066.48	1378.57	1477.58	483.38	1617.0	780.44	1119.56	808.0	529.06	624.99	587.13	0.0	0.64	1322.37
CIZ1	684.02	813.63	1709.26	2335.28	1832.01	988.12	1529.73	1794.29	1208.34	2004.85	1991.0	1191.69	872.1	981.29	1674.06	1447.15	1151.06	1350.18	878.17	896.64	1709.26	1304.15	995.0	1437.15	1331.57	656.11	1378.57	1806.78	1066.48	1119.56	1104.13	1819.35	1388.16	941.27	884.29	1066.48	1208.34	1242.34	1225.22	1628.26	1561.89	1295.13	1583.71	1697.45	1359.57	1417.35	3124.78	1340.84	842.36	1135.2	872.1	1135.2	1407.55	878.17	1662.49	1519.15	1519.15	1225.22	2133.97	1216.75	743.43	1259.69	1175.27	1594.73	1572.76	2018.8	1417.35	603.67	2047.0	1001.93	1008.9	830.75	759.08	536.45	470.14	0.0	0.85	3419.52
COQ4	571.05	713.11	974.5	1216.75	1639.59	693.58	866.07	1427.22	2287.2	1662.49	2720.15	1051.79	1286.18	785.88	1216.75	995.0	974.5	1437.15	896.64	848.22	1001.93	1407.55	1104.13	1417.35	1617.0	543.96	1030.12	1709.26	866.07	713.11	848.22	1651.0	1242.34	802.41	409.15	780.44	1233.75	1199.98	759.08	1143.1	1059.11	1135.2	1208.34	1819.35	909.17	1437.15	1991.0	2209.26	460.44	961.07	854.13	1081.39	1662.49	759.08	1477.58	1167.14	2018.8	713.11	1923.14	1143.1	941.27	1794.29	713.11	2468.49	1594.73	1111.82	1059.11	483.38	1250.98	665.29	1119.56	1023.0	633.73	493.56	651.58	941.27	251.48	3349.13
COX6C	11424.74	168220.2	223512.12	256748.15	331809.5	158046.64	194578.47	43236.64	209994.66	170568.48	105727.15	176583.6	185362.8	114897.47	201440.3	198667.0	221968.2	211455.3	112532.89	355624.68	265802.39	195931.88	190574.09	263966.36	242898.5	59474.18	228208.61	186652.11	229795.93	95949.32	391864.76	24832.5	193234.41	147462.67	20170.07	425853.18	125731.67	217400.14	164758.26	320506.81	170568.48	205673.01	177811.84	122293.5	269512.87	174152.51	25179.16	160252.91	82378.63	191899.64	152662.96	189257.69	110216.97	77934.88	208544.12	194578.47	253213.41	142439.51	437825.58	527933.71	200048.85	197294.7	184082.4	228208.61	205673.01	180294.02	223512.12	76330.98	492579.5	132900.7	204252.32	164758.26	19082.0	11267.44	11504.21	7331.05	1167.14	17197.56
