	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A3A2.11A.11R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.D7.8578.01A.21R.2343.13	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	GTEX.133LE.0326.SM.5P9G4	GTEX.WXYG.0226.SM.3NB2Y	GTEX.132QS.0326.SM.5IJFN
ACAP3	1674.06	941.27	896.64	466.88	198.47	221.86	297.17	848.22	279.14	241.19	193.01	341.51	281.09	297.17	224.97	246.28	323.03	301.33	356.05	1350.18	884.29	802.41	674.59	450.94	525.39	417.77	587.13
ACTL7A	0.71	1.64	10.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	3.56	0.65	0.61	0.58	0.47	1.0	0.57
AL359195.1	0.56	0.6	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	3.06	0.43	2.66	0.74	0.0	0.71	1.06
ANKRD9	253.23	384.34	260.38	186.4	55.49	148.09	119.26	246.28	80.01	148.09	208.38	167.9	114.36	70.51	75.64	146.03	115.16	234.57	126.12	400.71	616.37	674.59	426.57	376.41	209.84	224.97	376.41
APOA1	551.56	12.36	4.94	469249.9	531605.79	3290783.22	7353500.77	2.009035788E7	2945333.38	6056277.0	1.228163998E7	6056277.0	8928583.23	577714.63	8330662.65	4.21783688E7	1.491230465E7	6269851.18	1.307221145E7	4543.8	22225.61	1277.29	15.91	351.14	167.9	25.54	796.86
ATN1	2739.08	2163.77	4575.41	616.37	366.09	190.34	232.94	1183.45	273.37	327.56	147.06	417.77	450.94	281.09	371.22	226.54	379.04	490.14	567.1	2133.97	1183.45	2485.67	1923.14	1794.29	4388.98	2758.13	5441.3
AURKA	679.29	353.59	454.09	47.5	31.45	22.1	43.02	34.75	15.34	29.7	35.25	9.93	116.78	77.25	14.03	68.07	49.21	68.55	26.67	1340.84	1583.71	460.44	595.34	674.59	120.94	37.59	90.77
C19orf26	28.86	12.0	120.94	9.41	5.82	8.99	4.21	38.67	4.46	7.11	2.16	8.65	11.04	3.72	1.95	7.0	11.04	18.97	7.51	131.51	161.02	42.71	38.67	63.89	23.42	11.47	21.32
C8orf31	92.05	82.87	50.63	23.08	10.16	1.99	53.95	59.13	18.29	7.75	8.71	5.87	56.68	8.0	24.28	51.35	58.3	13.32	16.03	68.07	85.82	69.03	46.84	119.26	186.4	133.36	529.06
CACNB3	842.36	961.07	802.41	90.77	20.56	17.25	49.56	85.82	18.97	57.08	29.48	18.16	27.64	8.19	5.28	17.25	22.43	12.18	50.63	547.75	343.89	802.41	435.55	612.11	660.68	293.07	708.18
CAMK2G	3081.75	2271.4	1044.52	249.73	144.01	112.77	189.02	271.48	229.72	175.07	102.25	218.79	202.66	114.36	185.11	157.68	231.32	139.07	206.94	915.51	397.93	486.75	769.69	571.05	525.39	441.64	532.74
CAPN1	4481.23	3982.99	7803.01	1519.15	1088.92	1250.98	1508.65	1313.23	1051.79	1628.26	896.64	703.28	1175.27	1030.12	1008.9	1639.59	1208.34	1397.83	915.51	2148.82	1883.54	3280.18	4358.66	3372.43	4239.45	3443.31	5183.54
CCDC116	51.71	26.86	54.72	1.71	1.77	0.0	0.42	4.1	1.97	0.92	2.25	1.13	1.95	0.0	1.45	0.0	0.73	4.43	3.26	21.94	40.07	6.36	12.55	8.06	8.71	10.0	17.51
CEP170B	819.3	915.51	438.59	205.5	78.89	221.86	155.5	297.17	156.59	116.78	73.54	171.45	92.7	112.77	55.49	111.99	111.21	156.59	119.26	928.3	483.38	1073.91	785.88	603.67	454.09	316.37	473.41
CLIC1	15285.81	11189.6	8840.04	2701.35	2104.58	2555.58	1991.0	2335.28	1529.73	1896.65	1519.15	921.88	2816.11	1540.37	2004.85	2075.59	2004.85	1378.57	1745.2	10225.32	15607.02	12764.83	12589.08	9279.58	8134.41	5403.7	6983.79
COL4A2	6840.04	3614.55	1167.14	1936.53	153.34	223.41	267.73	679.29	118.43	414.87	105.89	170.25	429.54	93.35	279.14	305.55	260.38	267.73	220.32	6426.31	2701.35	3901.01	4388.98	8778.97	4066.71	1662.49	2816.11
COL6A3	2997.45	4066.71	2255.7	336.79	125.24	90.14	177.53	1051.79	90.77	262.2	78.34	144.01	387.02	35.0	144.01	224.97	206.94	273.37	305.55	4152.18	575.03	15180.22	2935.74	12415.75	2502.97	1143.1	1359.57
CS	2816.11	2018.8	3146.52	1208.34	669.92	651.58	947.83	1605.83	1870.53	1304.15	629.35	902.89	571.05	529.06	473.41	1605.83	825.0	1037.29	1216.75	3491.39	3103.19	2485.67	2209.26	3212.66	2018.8	1628.26	2895.31
CSNK1G2	1662.49	1268.46	1340.84	473.41	283.05	503.95	607.87	563.18	348.71	412.0	356.05	466.88	473.41	384.34	371.22	514.56	463.65	616.37	358.54	1769.57	848.22	1175.27	1359.57	1467.37	981.29	967.76	1151.06
DDX39A	2367.9	2434.5	5076.84	718.08	403.5	293.07	693.58	1015.93	366.09	483.38	312.0	325.29	629.35	361.04	332.14	543.96	447.82	624.99	796.86	2400.97	4181.07	1096.5	2075.59	2193.99	1183.45	1066.48	1313.23
DIP2A	595.34	536.45	381.68	189.02	111.21	137.14	185.11	283.05	77.25	153.34	87.03	115.16	249.73	107.38	126.12	181.28	129.69	151.22	180.02	409.15	363.56	325.29	384.34	346.29	389.72	289.02	320.8
DKFZP761J1410	688.78	723.08	759.08	325.29	92.05	191.67	293.07	303.44	98.04	141.02	140.04	155.5	150.17	112.77	153.34	412.0	191.67	190.34	256.78	551.56	223.41	1008.9	353.59	665.29	325.29	426.57	698.41
ETV6	387.02	698.41	480.04	142.01	66.18	79.45	80.01	152.28	52.45	150.17	54.33	104.42	74.58	60.39	57.49	98.73	106.63	98.04	84.63	283.05	201.25	583.07	348.71	441.64	305.55	171.45	414.87
FAM187B	1.68	2.66	70.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.93	3.89	18.03	3.03	2.12	1.3	0.91
FAT2	8.13	31.0	2047.0	0.77	0.0	0.4	0.1	1.03	0.53	0.0	0.13	0.2	0.52	0.0	0.18	0.04	0.17	1.1	0.41	1.58	2.27	4.17	2.23	1.58	9.27	2.78	10.47
FZD2	258.57	525.39	214.27	13.52	4.35	1.0	3.89	5.23	1.16	1.16	3.29	1.99	7.51	2.84	3.63	1.41	10.88	3.32	1.69	260.38	108.14	271.48	98.73	341.51	101.54	91.41	229.72
HDAC4	299.25	371.22	244.57	59.13	24.81	27.64	57.89	85.22	22.1	45.53	28.86	31.67	51.35	17.77	19.97	31.67	47.84	166.73	47.17	543.96	150.17	316.37	236.21	239.52	161.02	167.9	199.85
