	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8477.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5178.01A.01R.1426.07	TCGA.CJ.4901.01A.01R.1426.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	GTEX.13QJC.0726.SM.5RQJK	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.BR.4187.01A.01R.1131.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BR.6563.01A.13R.2055.13	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.111VG.0526.SM.5N9BW
ABI3	25.54	486.75	400.71	108.14	50.27	46.84	384.34	162.14	571.05	206.94	75.11	429.54	769.69	791.35	698.41	470.14	728.11	92.7	583.07	165.57	426.57	180.02	368.65	642.59	204.07	167.9	647.07	33.54	28.24	50.98	36.79	69.52	41.81	241.19	115.97	68.55	78.89	24.11	72.01	28.65	260.38	162.14	264.03	490.14	547.75	387.02	244.57	318.57	232.94	325.29
AC008964.1	15.34	163.28	117.6	57.89	34.26	44.25	237.86	56.28	49.21	145.02	61.25	392.44	848.22	172.65	769.69	463.65	529.06	16.75	318.57	82.29	78.89	205.5	258.57	376.41	236.21	132.44	40.07	5.45	12.36	21.32	18.03	73.03	33.78	206.94	51.71	43.63	63.0	80.01	81.71	14.78	145.02	86.43	392.44	575.03	387.02	142.01	59.13	165.57	36.27	791.35
AD000671.6	7.82	11.04	51.35	5.06	0.0	5.15	21.63	12.09	3.35	2.32	8.45	44.89	47.17	17.51	68.07	31.0	23.76	4.35	36.79	5.45	5.59	15.34	18.7	58.3	30.12	32.13	3.79	10.24	15.34	0.0	4.17	3.08	14.78	24.11	13.42	8.78	28.04	9.48	6.26	10.63	49.21	26.67	39.5	52.45	32.59	21.63	26.28	26.1	36.01	21.94
ADAP2	113.56	403.5	163.28	55.49	22.75	19.68	175.07	70.01	37.05	85.22	15.22	267.73	507.46	293.07	651.58	599.49	507.46	11.04	470.14	82.29	92.7	215.77	256.78	295.11	170.25	116.78	30.34	22.75	42.41	52.82	26.67	60.82	62.12	202.66	57.89	25.17	80.01	25.17	67.59	37.59	152.28	170.25	379.04	267.73	299.25	145.02	93.35	147.06	80.57	189.02
ALOX5AP	44.89	511.0	295.11	417.77	281.09	283.05	748.61	273.37	96.68	169.07	353.59	1498.22	708.18	559.28	1023.0	660.68	981.29	486.75	267.73	140.04	466.88	860.08	947.83	1769.57	334.46	915.51	113.56	8.78	18.03	25.72	106.63	95.34	62.12	211.31	186.4	96.68	26.86	361.04	136.19	93.35	366.09	343.89	1883.54	1806.78	1896.65	1037.29	563.18	1427.22	133.36	780.44
AMICA1	17.13	536.45	563.18	38.67	2.43	8.06	88.26	82.87	25.17	90.77	30.12	379.04	490.14	339.14	571.05	802.41	409.15	10.47	532.74	34.75	112.77	507.46	629.35	791.35	212.78	327.56	26.47	26.1	102.25	67.59	120.1	67.12	83.45	759.08	93.35	79.45	95.34	121.79	138.1	27.05	351.14	162.14	647.07	314.17	466.88	450.94	255.0	500.46	34.26	1950.0
ANKLE2	642.59	532.74	733.19	301.33	633.73	587.13	466.88	536.45	373.81	305.55	579.04	928.3	967.76	612.11	954.43	1216.75	1594.73	163.28	947.83	521.76	454.09	397.93	981.29	1015.93	389.72	775.05	454.09	363.56	387.02	295.11	260.38	346.29	229.72	406.31	285.03	346.29	175.07	698.41	277.2	239.52	872.1	563.18	480.04	941.27	642.59	426.57	285.03	842.36	753.83	819.3
ARHGAP25	314.17	309.83	206.94	59.13	38.67	27.25	183.82	187.71	172.65	111.99	27.64	351.14	947.83	579.04	902.89	738.29	693.58	42.71	612.11	100.83	96.68	199.85	392.44	457.25	255.0	129.69	109.66	31.9	41.22	62.12	83.45	59.97	64.8	271.48	173.85	144.01	35.5	102.25	124.37	52.45	275.28	114.36	283.05	743.43	312.0	150.17	214.27	195.72	152.28	791.35
ARL11	35.25	22.43	52.45	6.67	1.6	1.68	31.9	7.57	1.95	4.74	4.21	33.3	50.63	20.86	62.56	49.21	40.07	6.52	23.93	3.69	6.67	15.8	28.65	49.56	18.84	31.45	1.64	2.29	2.86	2.36	1.75	1.62	3.44	23.42	1.71	0.0	6.89	3.38	2.81	2.58	9.06	6.84	21.94	48.18	60.39	11.82	11.64	19.68	21.32	28.04
ARRB2	583.07	1159.07	954.43	3794.3	587.13	1388.16	1883.54	708.18	283.05	454.09	269.6	2209.26	2224.63	1233.75	3081.75	2224.63	2335.28	1286.18	1950.0	612.11	476.71	819.3	1639.59	2032.85	878.17	915.51	318.57	555.41	1159.07	493.56	688.78	1096.5	450.94	1259.69	836.53	587.13	529.06	392.44	703.28	432.53	813.63	718.08	1407.55	1369.04	1963.57	1159.07	1059.11	780.44	318.57	1529.73
