	TCGA.BH.A1EU.01A.11R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4330.01A.01R.1289.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.A3.3378.01A.02R.1325.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4161.01A.02R.1325.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CZ.5988.01A.11R.1672.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.MW.A4EC.01A.11R.A266.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.A3.3387.01A.01R.1541.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.AK.3461.01A.02R.1277.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.5110.01A.01R.1420.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.BP.4354.01A.02R.1289.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.4162.01A.02R.1325.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.B0.5115.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B0.4838.01A.01R.1305.07	TCGA.BP.4347.01A.01R.1289.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.A3.3367.01A.02R.1420.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.BP.4789.01A.01R.1305.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4639.01A.02R.1325.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07
ADAM10	1104.13	1359.57	567.1	718.08	656.11	1745.2	1561.89	974.5	748.61	1250.98	1286.18	1175.27	1073.91	1259.69	1313.23	921.88	1697.45	1191.69	728.11	1832.01	1832.01	813.63	738.29	1259.69	796.86	954.43	890.44	748.61	1857.6	1015.93	1096.5	878.17	759.08	1857.6	1685.71	884.29	1030.12	540.19	1127.35	723.08	780.44	842.36	607.87	785.88	1685.71	1111.82	2758.13	896.64	1044.52	1216.75	974.5	974.5	802.41	981.29	780.44	583.07	1322.37	703.28	1378.57	1806.78	1104.13	1001.93	2485.67	1167.14	743.43	947.83	1081.39	1167.14	1594.73	785.88	1023.0	567.1	884.29	733.19	1167.14	1199.98	743.43	1051.79	902.89	896.64	842.36	1191.69	1313.23	1023.0	1572.76	1119.56	1617.0	1437.15	543.96	1437.15	555.41	902.89	688.78	669.92	684.02	733.19	693.58	1051.79	967.76	1427.22	1015.93	1268.46	1111.82	1427.22	1857.6	813.63	1331.57	1350.18	802.41	961.07	825.0	974.5	872.1	764.36	884.29	620.67	934.76	1388.16	854.13	660.68	521.76	1001.93	480.04	157.68	301.33	187.71	157.68
ADAM17	376.41	307.69	679.29	221.86	103.69	381.68	409.15	214.27	229.72	239.52	379.04	223.41	325.29	236.21	376.41	221.86	426.57	269.6	153.34	400.71	551.56	291.04	120.94	264.03	165.57	463.65	312.0	194.36	423.61	208.38	156.59	148.09	195.72	444.72	441.64	260.38	264.03	135.24	307.69	314.17	187.71	318.57	346.29	229.72	307.69	237.86	353.59	145.02	312.0	339.14	180.02	209.84	198.47	181.28	193.01	123.5	432.53	194.36	309.83	435.55	279.14	176.29	583.07	283.05	197.09	191.67	197.09	318.57	444.72	208.38	371.22	176.29	283.05	139.07	289.02	251.48	122.64	289.02	412.0	206.94	251.48	397.93	301.33	303.44	460.44	229.72	299.25	305.55	24.81	241.19	144.01	279.14	214.27	163.28	239.52	164.42	152.28	195.72	214.27	353.59	307.69	279.14	258.57	470.14	289.02	161.02	186.4	201.25	232.94	182.55	228.13	236.21	164.42	156.59	183.82	212.78	197.09	400.71	208.38	173.85	159.9	339.14	79.45	124.37	45.53	19.39	23.59
ANGEL2	848.22	1096.5	170.25	215.77	193.01	521.76	363.56	414.87	237.86	305.55	381.68	620.67	511.0	323.03	607.87	417.77	483.38	392.44	232.94	567.1	473.41	503.95	412.0	607.87	420.68	463.65	320.8	264.03	351.14	339.14	559.28	346.29	381.68	551.56	406.31	237.86	384.34	180.02	420.68	249.73	256.78	283.05	842.36	351.14	423.61	363.56	423.61	454.09	497.0	417.77	246.28	373.81	358.54	525.39	206.94	463.65	532.74	267.73	356.05	638.15	314.17	214.27	612.11	500.46	264.03	224.97	265.87	543.96	540.19	387.02	432.53	559.28	480.04	281.09	571.05	525.39	583.07	518.15	444.72	343.89	236.21	420.68	507.46	381.68	412.0	256.78	466.88	620.67	146.03	363.56	275.28	334.46	368.65	387.02	559.28	348.71	624.99	291.04	397.93	454.09	521.76	463.65	346.29	392.44	559.28	287.01	289.02	363.56	191.67	341.51	327.56	287.01	289.02	438.59	389.72	460.44	256.78	728.11	400.71	406.31	444.72	432.53	141.02	98.04	163.28	155.5	146.03
ANKRD26	205.5	197.09	23.93	26.67	46.84	74.58	51.71	43.02	15.68	44.89	54.33	75.11	81.14	52.08	109.66	53.95	62.56	37.32	34.26	73.03	90.77	55.1	54.72	67.12	40.64	78.89	27.64	67.59	74.06	34.75	17.77	39.5	44.57	96.01	77.79	27.84	34.51	12.93	61.25	43.94	30.78	75.64	61.25	40.93	55.89	67.59	47.17	55.49	52.45	87.03	51.71	28.65	30.34	71.5	19.25	47.84	74.06	35.25	25.91	69.52	24.99	32.13	75.64	87.03	53.19	50.27	41.52	74.06	98.73	85.22	57.08	72.01	55.49	41.22	64.34	66.18	46.5	54.33	71.5	28.86	37.85	65.72	63.0	55.89	44.57	52.45	82.29	73.03	11.64	38.4	37.05	51.35	38.12	50.63	108.14	32.82	76.71	50.98	56.28	50.27	64.34	90.77	41.81	23.08	71.0	58.71	36.01	24.11	27.25	52.82	14.35	31.45	26.28	53.19	44.25	39.79	33.3	71.0	61.25	69.52	48.87	68.07	45.21	3.72	24.28	16.88	3.26
APAF1	329.84	293.07	88.26	178.77	150.17	241.19	221.86	169.07	124.37	134.3	177.53	175.07	358.54	209.84	236.21	167.9	248.0	130.6	83.45	303.44	285.03	150.17	148.09	226.54	165.57	214.27	126.12	137.14	251.48	128.79	141.02	205.5	123.5	260.38	206.94	115.16	124.37	88.26	273.37	143.01	119.26	164.42	226.54	167.9	253.23	133.36	275.28	148.09	159.9	173.85	148.09	175.07	116.78	175.07	100.83	205.5	201.25	145.02	159.9	229.72	143.01	139.07	291.04	307.69	101.54	162.14	100.13	299.25	194.36	117.6	249.73	218.79	246.28	103.69	197.09	181.28	156.59	205.5	180.02	186.4	111.99	234.57	206.94	202.66	231.32	106.63	214.27	271.48	25.72	125.24	193.01	177.53	144.01	152.28	186.4	194.36	226.54	106.63	137.14	181.28	212.78	224.97	150.17	373.81	264.03	199.85	123.5	129.69	87.65	151.22	175.07	166.73	135.24	157.68	126.12	181.28	154.42	267.73	135.24	161.02	152.28	170.25	64.8	36.27	64.8	49.91	41.52
ARHGAP11B	99.43	48.52	199.85	29.48	18.7	34.02	28.24	24.81	18.97	23.42	41.52	62.56	59.55	50.98	42.71	29.91	82.29	31.0	26.1	135.24	113.56	59.55	29.7	51.71	17.64	40.36	21.16	42.11	64.34	27.25	18.84	18.97	40.36	50.98	31.67	7.82	19.11	15.45	107.38	27.44	11.91	36.79	104.42	28.04	38.67	15.68	84.04	25.35	25.35	39.22	38.12	23.76	39.79	26.86	18.29	40.36	35.25	30.78	19.68	65.26	8.06	31.9	108.9	94.67	24.11	38.95	25.54	48.18	65.26	29.27	58.71	85.82	56.68	27.64	77.25	30.56	19.25	56.68	64.8	39.22	15.8	111.21	50.98	32.59	38.4	21.47	42.71	77.25	1.57	23.25	44.25	37.05	12.27	17.25	85.82	53.19	59.97	34.02	39.79	27.64	56.68	54.33	21.94	20.26	66.65	57.08	13.93	12.83	9.78	40.64	94.67	45.85	25.72	35.76	19.53	58.71	18.03	43.32	41.22	57.89	57.08	38.67	17.13	7.75	12.0	4.74	5.87
ARID2	540.19	356.05	208.38	127.0	140.04	314.17	246.28	197.09	171.45	145.02	145.02	195.72	258.57	248.0	228.13	204.07	299.25	176.29	91.41	277.2	244.57	199.85	169.07	251.48	130.6	239.52	133.36	102.25	167.9	147.06	167.9	197.09	134.3	232.94	226.54	139.07	155.5	100.83	165.57	138.1	119.26	141.02	166.73	164.42	218.79	180.02	224.97	199.85	170.25	244.57	157.68	170.25	175.07	153.34	170.25	289.02	256.78	145.02	163.28	226.54	208.38	187.71	232.94	253.23	113.56	140.04	171.45	351.14	194.36	156.59	220.32	220.32	197.09	156.59	237.86	153.34	172.65	336.79	166.73	177.53	127.89	190.34	242.88	202.66	211.31	154.42	231.32	224.97	59.13	147.06	205.5	273.37	133.36	140.04	221.86	146.03	189.02	147.06	173.85	215.77	229.72	204.07	155.5	312.0	209.84	215.77	150.17	206.94	135.24	158.79	129.69	205.5	135.24	253.23	151.22	206.94	141.02	228.13	181.28	231.32	108.14	215.77	98.04	33.06	61.68	55.89	32.59
ARID4B	934.76	921.88	193.01	163.28	138.1	500.46	363.56	295.11	164.42	244.57	412.0	447.82	343.89	211.31	521.76	275.28	392.44	256.78	120.1	379.04	376.41	438.59	195.72	423.61	134.3	366.09	182.55	205.5	470.14	175.07	368.65	187.71	241.19	500.46	373.81	152.28	224.97	120.1	389.72	170.25	193.01	221.86	305.55	228.13	376.41	237.86	314.17	293.07	373.81	389.72	202.66	231.32	253.23	271.48	151.22	256.78	432.53	198.47	211.31	490.14	205.5	187.71	384.34	460.44	172.65	186.4	162.14	470.14	417.77	291.04	423.61	343.89	387.02	197.09	473.41	279.14	356.05	460.44	348.71	180.02	209.84	389.72	348.71	323.03	409.15	236.21	329.84	486.75	72.52	253.23	199.85	194.36	138.1	202.66	341.51	260.38	406.31	186.4	279.14	371.22	417.77	435.55	232.94	307.69	435.55	218.79	232.94	167.9	163.28	339.14	176.29	197.09	220.32	307.69	299.25	309.83	141.02	476.71	277.2	289.02	256.78	336.79	92.05	16.63	71.5	72.52	20.86
ARMC8	647.07	660.68	309.83	371.22	329.84	532.74	454.09	412.0	366.09	301.33	466.88	457.25	503.95	242.88	493.56	450.94	429.54	412.0	258.57	547.75	638.15	301.33	368.65	575.03	332.14	503.95	336.79	236.21	476.71	164.42	320.8	241.19	384.34	438.59	323.03	293.07	267.73	169.07	463.65	361.04	253.23	420.68	432.53	309.83	490.14	457.25	607.87	325.29	366.09	674.59	397.93	346.29	339.14	363.56	361.04	387.02	497.0	358.54	231.32	480.04	435.55	363.56	559.28	470.14	283.05	718.08	356.05	490.14	503.95	503.95	583.07	361.04	543.96	285.03	376.41	363.56	406.31	493.56	287.01	303.44	387.02	426.57	414.87	384.34	490.14	356.05	555.41	483.38	176.29	307.69	279.14	353.59	373.81	320.8	607.87	281.09	457.25	323.03	366.09	400.71	387.02	543.96	234.57	358.54	571.05	473.41	277.2	309.83	297.17	381.68	312.0	397.93	297.17	373.81	351.14	366.09	341.51	463.65	351.14	293.07	358.54	368.65	223.41	251.48	312.0	187.71	162.14
ATAD2B	246.28	267.73	161.02	44.57	47.5	109.66	77.25	62.56	50.27	54.72	107.38	97.36	94.67	54.33	147.06	91.41	137.14	57.49	26.28	136.19	127.89	90.77	75.11	108.9	38.12	105.89	43.94	59.97	88.26	41.81	44.57	47.84	59.97	101.54	74.58	29.06	94.01	20.71	96.68	42.41	61.25	82.29	81.71	55.89	103.69	68.07	84.63	77.25	88.88	183.82	82.87	40.07	67.12	70.51	26.86	94.01	111.21	73.54	41.22	116.78	40.07	78.89	135.24	95.34	23.76	77.25	53.19	146.03	126.12	115.16	116.78	88.88	109.66	37.05	102.25	73.54	45.53	113.56	108.9	55.89	59.55	108.14	93.35	87.65	88.88	59.55	71.0	100.13	2.39	44.25	68.07	44.57	40.07	50.63	150.17	62.56	133.36	54.33	53.19	59.55	119.26	89.51	48.18	52.45	138.1	80.01	47.5	24.28	32.82	87.03	64.8	63.89	46.84	96.68	44.25	75.11	31.22	94.01	73.03	64.8	59.55	76.17	30.78	12.64	13.22	47.17	14.89
