	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.BH.A201.01A.11R.A14M.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.145MF.0826.SM.5QGQA	TCGA.BJ.A3F0.01A.11R.A206.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.13O61.0226.SM.5KM52	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
AKIRIN1	1745.2	1259.69	320.8	500.46	599.49	1119.56	974.5	1015.93	406.31	587.13	620.67	1051.79	764.36	1030.12	1175.27	1477.58	813.63	825.0	1151.06	769.69	571.05
B4GALT1	5041.77	3614.55	1359.57	1183.45	1286.18	2664.15	2451.44	3060.45	1388.16	1457.23	1806.78	2351.53	2090.03	1417.35	1819.35	3515.68	2384.37	1697.45	1529.73	1628.26	1268.46
BAG3	2351.53	1519.15	256.78	260.38	759.08	1143.1	1268.46	1191.69	332.14	638.15	339.14	1277.29	802.41	796.86	780.44	1175.27	995.0	878.17	988.12	507.46	309.83
BZW2	3124.78	3146.52	218.79	307.69	1001.93	1331.57	1313.23	2287.2	878.17	1340.84	1250.98	1388.16	1175.27	1183.45	1277.29	1662.49	1286.18	1159.07	1378.57	1242.34	1088.92
C10orf2	343.89	232.94	54.33	53.19	88.26	156.59	126.12	215.77	107.38	85.22	83.45	150.17	92.7	84.63	104.42	164.42	109.66	99.43	154.42	95.34	92.7
CCNJ	126.12	111.99	8.0	6.94	43.63	84.63	64.8	103.69	47.84	34.75	48.18	77.25	54.33	52.45	88.26	110.43	50.63	64.34	90.14	52.08	50.98
CCT2	3325.99	4038.61	780.44	728.11	1250.98	1832.01	2119.22	2271.4	1151.06	1167.14	1467.37	1832.01	1709.26	1617.0	2319.15	2209.26	1745.2	1417.35	1870.53	1313.23	1359.57
CEBPZ	1508.65	1322.37	68.07	567.1	438.59	642.59	656.11	890.44	638.15	743.43	748.61	753.83	651.58	713.11	819.3	866.07	684.02	796.86	796.86	713.11	651.58
CIRH1A	1051.79	1088.92	239.52	249.73	571.05	708.18	713.11	921.88	503.95	511.0	511.0	693.58	599.49	684.02	660.68	796.86	587.13	656.11	684.02	514.56	567.1
CLP1	376.41	314.17	169.07	142.01	175.07	256.78	260.38	329.84	166.73	166.73	111.21	314.17	220.32	265.87	237.86	312.0	267.73	248.0	283.05	144.01	181.28
COPA	2796.65	2875.3	890.44	954.43	1242.34	2090.03	2303.12	2287.2	1183.45	1268.46	1529.73	2075.59	1594.73	1674.06	2004.85	2520.38	1561.89	1950.0	2047.0	1519.15	1277.29
CSTF2T	525.39	559.28	134.3	149.12	195.72	312.0	323.03	511.0	223.41	237.86	214.27	403.5	217.27	253.23	320.8	376.41	224.97	271.48	358.54	202.66	256.78
CYCS	2701.35	2573.36	1359.57	1277.29	1388.16	3103.19	4328.55	3212.66	1023.0	1617.0	1781.89	3303.0	3589.58	3515.68	5366.37	3491.39	2739.08	2384.37	3639.7	2627.46	1208.34
DCAF13	1001.93	1037.29	127.89	224.97	275.28	476.71	571.05	559.28	258.57	249.73	327.56	507.46	346.29	420.68	607.87	599.49	412.0	348.71	483.38	269.6	293.07
DHX9	2434.5	2875.3	693.58	669.92	1628.26	2163.77	2555.58	2777.33	1870.53	1583.71	2133.97	2502.97	1909.85	2004.85	2335.28	2485.67	1819.35	1936.53	2303.12	2032.85	2090.03
DNAJC2	988.12	842.36	55.1	193.01	309.83	514.56	423.61	620.67	473.41	444.72	503.95	503.95	420.68	348.71	536.45	567.1	420.68	466.88	486.75	493.56	567.1
DNTTIP2	1819.35	1561.89	112.77	420.68	693.58	872.1	921.88	1127.35	764.36	961.07	723.08	988.12	819.3	947.83	884.29	1277.29	1135.2	830.75	1030.12	872.1	780.44
EIF4A1	23820.89	14561.8	5831.91	5872.48	6516.03	7911.95	9808.75	10368.08	5006.93	7331.05	5711.87	8598.28	7130.55	4937.99	7130.55	9945.68	5872.48	5366.37	7695.57	6426.31	4239.45
FASTKD5	341.51	320.8	177.53	144.01	120.1	287.01	299.25	336.79	165.57	166.73	143.01	361.04	269.6	289.02	277.2	429.54	279.14	267.73	316.37	173.85	169.07
FDXACB1	98.04	49.91	26.86	14.78	36.53	52.82	61.68	51.71	40.36	29.06	40.36	41.81	52.08	47.5	60.39	57.49	48.18	55.49	48.52	31.22	47.84
GABPB1	525.39	417.77	80.01	127.89	133.36	221.86	214.27	285.03	128.79	156.59	159.9	221.86	183.82	212.78	206.94	281.09	189.02	181.28	229.72	113.56	178.77
