	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.RTLS.0626.SM.5SI7Z	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.11GSP.2426.SM.5N9BD	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.12WSD.2826.SM.59HKT	GTEX.13VXT.1626.SM.5IJES
ADK	309.83	303.44	669.92	708.18	954.43	1286.18	728.11	785.88	1051.79	848.22	1104.13	890.44	769.69	633.73	1159.07	825.0	713.11	1143.1	579.04	830.75	579.04	1159.07	607.87	1015.93	1111.82	785.88	802.41	1044.52	1233.75	1199.98	591.22	536.45	974.5	638.15	1127.35	684.02	854.13	397.93	264.03	395.18	275.28	224.97
ARF3	921.88	896.64	3564.78	3443.31	2935.74	2855.44	2178.83	2090.03	3039.3	3395.89	3280.18	3018.3	2664.15	2061.24	2434.5	2485.67	3325.99	2956.17	1923.14	3257.52	2047.0	2997.45	1806.78	3190.46	3146.52	2178.83	3589.58	3982.99	3235.01	4298.64	1883.54	1781.89	3018.3	2287.2	3589.58	2434.5	2739.08	1233.75	1135.2	1191.69	1175.27	1051.79
BCL2L13	299.25	348.71	738.29	684.02	708.18	759.08	599.49	470.14	651.58	679.29	693.58	547.75	620.67	543.96	743.43	587.13	743.43	684.02	503.95	629.35	447.82	607.87	555.41	638.15	796.86	583.07	813.63	693.58	591.22	738.29	466.88	490.14	769.69	532.74	753.83	514.56	656.11	275.28	387.02	420.68	497.0	291.04
CD59	6426.31	5292.48	10733.74	8363.13	8305.36	10512.82	5711.87	5329.3	10440.2	9606.86	8538.88	9279.58	5831.91	4512.4	7081.29	8901.53	6887.62	8191.0	5831.91	9409.14	5041.77	7537.18	6887.62	7180.15	12329.98	7180.15	9025.81	13399.51	12160.22	10959.3	4038.61	6337.83	9808.75	7032.37	6471.02	5751.61	8479.89	5831.91	3060.45	4543.8	5403.7	2682.69
CITED1	38.4	47.5	1397.83	2627.46	183.82	373.81	371.22	620.67	665.29	1498.22	785.88	1709.26	265.87	748.61	363.56	55.49	575.03	334.46	172.65	693.58	214.27	1896.65	450.94	1733.13	599.49	466.88	1819.35	836.53	1685.71	2555.58	656.11	72.01	529.06	125.24	1936.53	283.05	110.43	9.41	14.24	21.63	17.9	36.27
CLDN7	60.82	81.14	5292.48	5219.6	3589.58	3039.3	3901.01	2351.53	5076.84	4268.94	3768.09	2935.74	2209.26	3039.3	4419.52	2417.67	2855.44	4836.35	2997.45	5517.27	2739.08	4066.71	3467.27	4903.87	4543.8	4358.66	5006.93	4123.49	4543.8	4802.93	1819.35	2287.2	1832.01	2351.53	4298.64	3081.75	4239.45	80.01	133.36	75.64	112.77	332.14
CRB3	11.21	37.32	872.1	753.83	961.07	896.64	688.78	616.37	909.17	679.29	796.86	775.05	567.1	579.04	825.0	547.75	540.19	819.3	607.87	961.07	595.34	954.43	503.95	775.05	878.17	612.11	688.78	738.29	941.27	981.29	441.64	312.0	723.08	490.14	967.76	583.07	764.36	45.21	51.71	47.84	55.89	108.14
EZR	1191.69	1936.53	10440.2	8901.53	5479.15	3589.58	2451.44	2682.69	8778.97	6935.54	8363.13	7032.37	3190.46	3325.99	4704.07	2777.33	4328.55	5403.7	3665.02	8421.31	3124.78	7230.1	3419.52	6337.83	8247.98	5147.73	9025.81	7433.4	7130.55	12589.08	2816.11	3103.19	5954.47	4152.18	6983.79	4210.15	4010.71	941.27	896.64	961.07	1508.65	660.68
GALNT3	384.34	138.1	890.44	1259.69	684.02	698.41	688.78	603.67	1883.54	674.59	1044.52	890.44	603.67	389.72	674.59	507.46	395.18	928.3	629.35	802.41	514.56	1208.34	392.44	1457.23	981.29	529.06	1540.37	1950.0	1191.69	1477.58	289.02	269.6	769.69	684.02	1397.83	616.37	738.29	237.86	104.42	75.11	127.89	123.5
GCLM	61.25	42.71	967.76	866.07	563.18	563.18	334.46	358.54	819.3	808.0	532.74	536.45	269.6	201.25	358.54	303.44	620.67	397.93	397.93	563.18	239.52	967.76	214.27	1183.45	791.35	387.02	884.29	934.76	854.13	854.13	241.19	226.54	941.27	361.04	679.29	297.17	483.38	65.72	69.52	39.79	82.87	47.17
GDE1	607.87	909.17	896.64	819.3	967.76	1313.23	723.08	830.75	995.0	872.1	1175.27	878.17	995.0	684.02	769.69	872.1	1051.79	1216.75	738.29	860.08	624.99	1030.12	620.67	1159.07	1015.93	796.86	1066.48	954.43	1023.0	1111.82	559.28	571.05	981.29	679.29	1268.46	842.36	1111.82	423.61	351.14	373.81	551.56	612.11
