	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.13O3O.0826.SM.5K7WE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.145ME.1526.SM.5Q5F2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.BP.4799.01A.01R.1305.07
AC174470.1	144.01	63.0	4.24	7.06	14.03	53.95	57.08	0.0	24.11	33.78	84.63	14.89	0.0	26.47	78.89	7.82	2.56	7.94	6.21	19.11	6.06	27.05	11.3	21.78	10.47	11.82	10.16	9.93	15.11	3.32
ACAP3	1073.91	872.1	94.01	228.13	269.6	928.3	414.87	154.42	166.73	718.08	1030.12	122.64	128.79	211.31	1697.45	265.87	156.59	251.48	217.27	189.02	76.71	351.14	387.02	346.29	193.01	148.09	90.14	156.59	260.38	54.72
ACYP1	525.39	351.14	295.11	140.04	211.31	376.41	376.41	175.07	180.02	353.59	529.06	221.86	221.86	236.21	346.29	189.02	145.02	309.83	132.44	295.11	187.71	353.59	239.52	397.93	229.72	289.02	108.9	226.54	334.46	279.14
ADAMTS13	248.0	117.6	37.59	7.69	20.26	189.02	123.5	35.25	45.85	96.68	136.19	50.98	54.72	27.25	181.28	10.55	16.63	66.65	29.27	54.33	20.41	94.01	66.18	79.45	16.75	21.94	16.51	36.79	50.98	6.46
AKAP17A	599.49	507.46	130.6	125.24	161.02	490.14	363.56	135.24	314.17	420.68	540.19	249.73	237.86	248.0	536.45	220.32	94.01	135.24	156.59	199.85	110.43	303.44	329.84	277.2	239.52	130.6	143.01	195.72	289.02	90.77
AL020996.1	16.88	30.34	5.36	5.19	4.31	15.91	21.47	1.87	4.62	27.84	17.64	9.85	12.74	15.34	18.84	12.18	3.66	5.59	3.23	18.03	3.53	16.75	22.92	21.63	5.41	4.35	1.85	8.92	6.84	4.74
ANAPC2	1540.37	1268.46	343.89	307.69	283.05	1331.57	1135.2	559.28	540.19	860.08	1331.57	607.87	591.22	769.69	1697.45	435.55	381.68	403.5	283.05	540.19	202.66	665.29	802.41	693.58	343.89	316.37	301.33	521.76	497.0	116.78
ARHGAP33	1066.48	387.02	62.56	117.6	102.97	575.03	307.69	151.22	105.15	167.9	703.28	84.04	72.52	87.65	521.76	49.21	70.51	98.04	31.9	137.14	26.28	323.03	159.9	214.27	57.89	55.89	19.68	96.01	181.28	17.51
BTBD2	2032.85	1733.13	802.41	624.99	769.69	2209.26	1844.76	1059.11	1259.69	1551.09	2047.0	896.64	1159.07	1508.65	1781.89	872.1	836.53	1081.39	775.05	1350.18	708.18	1857.6	1088.92	1963.57	353.59	356.05	579.04	1096.5	1216.75	536.45
C15orf37	48.52	71.5	1.64	6.26	3.23	71.0	62.56	27.44	16.51	46.18	80.01	7.63	11.82	25.17	68.07	10.96	2.89	5.54	7.57	8.0	4.98	37.32	49.21	31.45	4.74	0.16	1.51	4.74	15.8	0.0
C21orf2	1175.27	842.36	202.66	267.73	92.05	928.3	1023.0	341.51	389.72	603.67	1233.75	351.14	460.44	607.87	1175.27	264.03	157.68	536.45	265.87	323.03	124.37	483.38	769.69	612.11	273.37	121.79	195.72	633.73	373.81	119.26
CCDC40	295.11	289.02	112.77	115.16	99.43	283.05	353.59	125.24	144.01	307.69	384.34	205.5	73.03	126.12	206.94	42.11	92.7	169.07	46.18	151.22	19.53	187.71	248.0	246.28	146.03	191.67	96.68	137.14	100.13	27.25
CCDC57	2032.85	2271.4	2664.15	1175.27	571.05	3257.52	3190.46	1286.18	1159.07	1844.76	2468.49	1242.34	854.13	1605.83	2796.65	995.0	1259.69	1819.35	236.21	1617.0	361.04	1119.56	2061.24	1437.15	1030.12	718.08	131.51	1733.13	1407.55	175.07
