	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.E2.A158.11A.22R.A12D.07	GTEX.11ONC.2026.SM.5HL61	GTEX.11O72.2026.SM.5N9G8	GTEX.11GSP.1726.SM.5A5LI	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.145LU.0426.SM.5O9AH	GTEX.117XS.0526.SM.5987Q	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.SIU8.0626.SM.2XCDN	GTEX.139TS.0126.SM.5K7XJ	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.ZDTS.0926.SM.4WAXG	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.11EMC.0226.SM.5EGLP
ABRA	4.46	45.21	7.11	5.23	2.46	0.0	0.0	0.16	1.97	2.78	0.35	0.0	0.39	0.66	2.84	0.0	2.27	1.35	11.47	0.69	5.82	1.41	0.84	1.53	4.94	1.73	1.69	1.77	0.67	1.16	1.68	0.33	2.81	0.71	0.84	3.76	0.55	0.0	0.4	2.23	2.71	1.08	0.0	1.28	1.0	1.69	1.31	2.14	0.52	0.93	14.67	0.73	0.53	2.18	0.38	2.97	1.19	0.49	1.11	2.94	9.13
ADAMTSL3	363.56	275.28	226.54	429.54	426.57	0.0	44.57	169.07	139.07	49.56	44.25	49.21	16.88	118.43	218.79	32.59	121.79	94.67	314.17	19.97	269.6	239.52	24.99	26.28	189.02	82.29	148.09	50.98	36.79	177.53	199.85	44.89	231.32	81.14	117.6	143.01	88.26	42.11	16.88	193.01	318.57	128.79	77.25	19.97	16.88	34.51	48.52	71.5	18.43	14.78	341.51	10.08	12.83	248.0	46.84	193.01	26.1	130.6	201.25	94.01	241.19
AEBP1	12244.81	10959.3	6426.31	10225.32	9215.48	0.0	961.07	1437.15	1277.29	718.08	961.07	473.41	182.55	1088.92	5006.93	348.71	2400.97	1250.98	6121.9	1051.79	7382.04	3081.75	638.15	941.27	4607.24	1529.73	1594.73	567.1	954.43	2537.92	3928.15	1088.92	2777.33	1733.13	1340.84	2855.44	718.08	1081.39	713.11	2502.97	3928.15	1216.75	1378.57	1104.13	155.5	693.58	647.07	2032.85	543.96	197.09	9151.82	518.15	289.02	2468.49	336.79	2240.11	2240.11	1628.26	2119.22	1487.87	2240.11
AHNAK	6887.62	13306.94	6426.31	4066.71	6516.03	0.0	1350.18	2193.99	2434.5	1437.15	1561.89	1477.58	1304.15	2351.53	4481.23	819.3	1697.45	2061.24	4543.8	1572.76	3639.7	3564.78	1583.71	785.88	3146.52	1594.73	2209.26	1832.01	1369.04	3190.46	3540.14	1225.22	3467.27	1806.78	1794.29	3955.48	1322.37	1088.92	1001.93	3639.7	4671.57	2133.97	2417.67	1628.26	486.75	656.11	1397.83	1199.98	1143.1	432.53	5751.61	928.3	1733.13	2796.65	1008.9	2032.85	1268.46	1896.65	1857.6	1806.78	2384.37
APCDD1L	130.6	152.28	29.06	148.09	51.35	0.0	0.49	12.93	0.74	0.0	3.72	0.75	0.0	0.0	9.78	3.03	2.81	2.34	3.32	0.08	6.57	4.94	0.0	2.53	3.72	0.0	2.58	0.09	0.0	4.24	4.1	0.0	2.92	1.5	0.74	37.32	0.09	0.0	0.11	8.78	5.77	0.37	0.0	0.08	0.08	0.4	0.42	1.11	1.45	0.0	69.52	0.0	0.0	7.0	0.0	3.17	0.0	1.03	0.39	0.09	17.77
ARHGEF25	2319.15	836.53	1733.13	2032.85	1936.53	0.0	105.15	237.86	229.72	129.69	108.9	127.0	58.3	223.41	387.02	46.84	289.02	153.34	525.39	115.16	571.05	244.57	223.41	91.41	366.09	156.59	85.82	137.14	151.22	454.09	392.44	163.28	376.41	163.28	205.5	273.37	123.5	186.4	166.73	395.18	426.57	291.04	273.37	127.89	73.03	117.6	134.3	260.38	35.5	39.5	423.61	89.51	81.71	248.0	62.56	329.84	194.36	255.0	220.32	82.29	457.25
ARSI	119.26	10.79	26.86	111.99	156.59	0.0	1.62	6.46	4.13	0.27	0.0	0.0	0.0	3.23	7.75	0.0	10.47	4.86	34.02	0.0	29.91	2.61	8.32	2.61	16.03	5.92	1.68	0.04	0.77	3.08	13.32	1.27	6.01	5.92	1.68	20.71	0.84	0.79	0.65	19.68	24.63	4.21	2.78	3.38	0.0	0.52	0.55	0.27	0.25	0.0	77.25	0.05	0.0	3.63	0.84	2.48	0.93	1.87	1.31	2.1	4.94
BST1	454.09	571.05	624.99	228.13	236.21	0.0	52.45	194.36	185.11	55.1	75.64	39.22	53.95	101.54	267.73	50.63	136.19	138.1	239.52	46.18	295.11	237.86	61.25	58.3	299.25	82.29	58.71	62.12	56.68	211.31	314.17	132.44	285.03	87.65	143.01	299.25	78.34	65.26	51.35	262.2	295.11	142.01	156.59	46.84	41.22	50.27	45.21	122.64	14.35	41.22	441.64	44.25	43.63	185.11	62.56	111.99	70.01	116.78	152.28	90.77	209.84
C17orf58	536.45	1159.07	490.14	1437.15	723.08	194.36	226.54	438.59	332.14	181.28	176.29	193.01	187.71	318.57	616.37	112.77	339.14	253.23	316.37	151.22	343.89	314.17	194.36	150.17	463.65	256.78	162.14	198.47	275.28	397.93	381.68	260.38	575.03	260.38	336.79	483.38	221.86	246.28	221.86	571.05	397.93	353.59	438.59	186.4	198.47	231.32	190.34	202.66	197.09	218.79	1023.0	159.9	212.78	420.68	170.25	220.32	221.86	244.57	289.02	193.01	457.25
CADM3	525.39	1143.1	1304.15	2104.58	2351.53	0.0	43.32	72.52	79.45	39.79	287.01	12.93	0.0	58.3	1519.15	0.0	271.48	273.37	1277.29	18.03	1909.85	785.88	63.45	34.75	346.29	40.07	84.63	55.1	9.63	785.88	1111.82	63.0	647.07	23.08	72.52	1457.23	71.0	49.56	9.78	3395.89	954.43	166.73	444.72	13.22	5.11	21.01	42.11	116.78	2.71	8.0	6037.61	10.71	53.57	1286.18	15.56	141.02	59.55	74.58	34.02	131.51	2209.26
