	TCGA.A7.A26G.01A.21R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU
ACVR1	813.63	1183.45	1183.45	66.18	125.24	287.01	198.47	176.29	159.9	178.77	249.73	0.0	0.54	503.95	199.85	624.99	1096.5	769.69	860.08	299.25	273.37	239.52	547.75	567.1	551.56	480.04	624.99	1183.45	301.33	253.23	409.15	463.65	363.56
AGAP2-AS1	214.27	185.11	178.77	10.88	25.54	68.55	28.45	24.99	16.03	31.67	11.55	0.0	0.6	46.84	25.72	114.36	389.72	223.41	159.9	27.64	47.84	63.89	42.11	8.78	204.07	77.25	218.79	145.02	35.25	43.32	48.87	148.09	54.33
ALDH1A3	1605.83	2148.82	612.11	1.79	19.39	44.25	49.21	18.43	6.11	25.54	9.78	0.0	0.18	665.29	2417.67	126.12	412.0	642.59	379.04	329.84	102.97	551.56	239.52	2004.85	149.12	497.0	77.25	107.38	161.02	967.76	684.02	1685.71	483.38
ANKRD28	660.68	603.67	941.27	105.15	109.66	181.28	131.51	164.42	106.63	112.77	190.34	0.0	0.42	651.58	679.29	363.56	368.65	620.67	507.46	503.95	384.34	450.94	579.04	1183.45	521.76	514.56	426.57	299.25	1030.12	463.65	764.36	366.09	575.03
APBB2	748.61	769.69	1208.34	171.45	118.43	100.13	157.68	63.45	112.77	152.28	36.53	91.41	708.18	285.03	217.27	540.19	1023.0	525.39	866.07	860.08	251.48	387.02	429.54	279.14	825.0	543.96	486.75	457.25	387.02	305.55	629.35	206.94	447.82
APLNR	848.22	947.83	1088.92	44.25	182.55	239.52	156.59	10.47	33.54	244.57	109.66	0.0	0.0	102.97	126.12	115.16	420.68	343.89	1044.52	98.04	353.59	84.04	170.25	95.34	1819.35	256.78	1135.2	297.17	87.65	258.57	267.73	629.35	185.11
ARHGAP19	217.27	559.28	363.56	46.18	41.81	56.68	38.12	81.71	51.71	40.07	7.34	0.0	0.45	85.22	84.63	136.19	206.94	158.79	279.14	119.26	63.45	57.89	170.25	81.71	293.07	143.01	232.94	98.04	148.09	155.5	108.14	127.89	87.65
ASPN	5594.3	346.29	2701.35	29.91	35.0	212.78	142.01	32.82	93.35	153.34	83.45	77.79	854.13	318.57	334.46	470.14	1781.89	660.68	1059.11	435.55	237.86	651.58	532.74	366.09	665.29	361.04	1199.98	129.69	559.28	551.56	1073.91	237.86	591.22
ATF2	947.83	753.83	1639.59	173.85	193.01	291.04	223.41	205.5	206.94	122.64	178.77	0.0	0.46	392.44	435.55	529.06	848.22	679.29	934.76	389.72	305.55	511.0	460.44	373.81	616.37	480.04	660.68	323.03	358.54	358.54	444.72	339.14	559.28
ATF7	967.76	1143.1	1388.16	186.4	163.28	171.45	166.73	271.48	171.45	155.5	96.68	0.0	0.57	463.65	332.14	665.29	1051.79	896.64	1119.56	529.06	334.46	483.38	638.15	490.14	878.17	463.65	934.76	607.87	463.65	397.93	669.92	346.29	651.58
C14orf37	165.57	137.14	55.1	13.32	5.73	4.46	1.19	3.2	4.13	10.16	0.92	0.0	0.17	10.63	19.82	18.03	76.17	14.89	39.79	20.11	63.0	19.39	21.63	27.05	90.77	16.88	82.87	12.18	24.11	17.64	31.0	48.18	12.93
C3orf70	148.09	32.59	323.03	2.34	4.66	5.59	3.56	1.93	1.83	1.93	0.0	0.0	0.21	18.56	4.78	49.56	156.59	61.68	61.25	17.38	3.08	55.1	24.81	23.42	14.35	18.29	40.64	61.68	2.14	13.83	23.76	28.24	66.18
CACNA2D1	142.01	476.71	813.63	2.18	3.79	8.0	5.77	0.99	1.14	6.16	3.03	0.0	0.56	55.1	52.45	74.06	236.21	128.79	785.88	106.63	45.85	124.37	121.79	40.36	68.55	57.49	61.68	63.89	34.26	54.72	116.78	57.89	99.43
CCNY	1769.57	1605.83	1697.45	647.07	616.37	575.03	759.08	743.43	441.64	866.07	457.25	0.0	0.53	1199.98	1111.82	836.53	1651.0	1001.93	1127.35	624.99	543.96	961.07	1111.82	1127.35	988.12	890.44	1015.93	1540.37	1417.35	1388.16	1111.82	1008.9	743.43
CDKL5	123.5	80.01	13.52	0.0	0.46	1.35	1.99	0.0	0.66	4.94	0.13	0.0	0.04	31.45	30.56	84.63	69.03	34.75	66.18	42.41	15.45	59.55	96.01	57.89	61.25	19.53	87.65	29.06	27.64	47.5	82.87	22.43	50.63
CEP290	218.79	191.67	406.31	31.45	32.59	27.64	21.47	41.81	27.64	2.86	9.13	0.0	0.37	71.5	87.65	119.26	156.59	214.27	155.5	102.97	37.05	42.71	105.89	198.47	149.12	75.11	119.26	68.55	63.89	56.68	47.5	143.01	88.88
CHD9	536.45	575.03	483.38	93.35	74.58	121.79	102.25	70.01	45.85	50.63	49.91	0.0	0.42	279.14	279.14	204.07	371.22	435.55	791.35	180.02	90.77	237.86	500.46	444.72	579.04	307.69	281.09	336.79	363.56	201.25	412.0	178.77	291.04
CHSY1	2163.77	802.41	642.59	80.01	60.82	49.21	67.59	91.41	17.13	67.12	153.34	246.28	88.26	808.0	941.27	571.05	514.56	406.31	470.14	995.0	1104.13	2664.15	497.0	796.86	395.18	830.75	470.14	514.56	563.18	802.41	954.43	842.36	1617.0
CLEC4F	30.34	17.9	44.25	0.29	0.67	2.84	0.31	4.54	2.46	0.39	3.79	0.0	0.0	28.86	64.8	46.5	95.34	38.67	33.54	44.57	15.22	20.41	76.17	17.13	14.14	33.3	12.18	24.46	2.18	5.59	20.71	13.52	27.64
COL16A1	1331.57	1359.57	665.29	16.39	37.59	100.83	38.12	22.59	51.71	38.67	29.48	0.0	1.13	325.29	99.43	314.17	2032.85	981.29	1008.9	703.28	295.11	738.29	967.76	201.25	441.64	540.19	226.54	206.94	543.96	713.11	775.05	587.13	723.08
COL8A2	825.0	647.07	412.0	0.0	2.94	11.21	8.51	6.01	2.29	7.69	1.39	0.0	0.39	309.83	518.15	234.57	406.31	703.28	182.55	371.22	53.19	287.01	866.07	260.38	251.48	753.83	162.14	297.17	117.6	78.34	228.13	102.97	379.04
CRTAP	7230.1	6426.31	13968.57	934.76	848.22	1127.35	848.22	1111.82	1304.15	1250.98	329.84	0.0	0.74	3491.39	3742.05	4937.99	14065.74	4937.99	5751.61	4038.61	2119.22	4769.75	4836.35	2061.24	6337.83	5006.93	5479.15	7130.55	4450.27	4095.0	4512.4	2956.17	5711.87
CWF19L2	392.44	435.55	902.89	84.04	55.49	55.49	49.21	57.89	49.91	31.9	80.57	0.0	0.13	157.68	137.14	267.73	454.09	256.78	423.61	99.43	88.88	173.85	189.02	153.34	371.22	132.44	283.05	226.54	116.78	137.14	120.94	244.57	149.12
DCHS2	34.51	18.03	5.02	0.0	0.0	0.46	0.0	0.0	0.91	1.43	0.0	0.0	0.14	7.94	2.43	2.71	14.35	12.55	27.05	5.5	4.74	8.71	5.28	2.05	1.58	1.16	4.86	1.03	0.61	7.34	4.31	4.35	0.58
DDR2	1277.29	2664.15	2875.3	8.06	13.52	28.45	14.14	193.01	4.46	16.75	123.5	62.56	41.81	339.14	170.25	470.14	2935.74	688.78	1519.15	258.57	154.42	441.64	470.14	167.9	320.8	341.51	242.88	460.44	146.03	218.79	518.15	122.64	341.51
DMD	708.18	2855.44	1216.75	98.73	130.6	151.22	177.53	190.34	36.01	239.52	96.01	0.0	0.42	215.77	124.37	387.02	698.41	435.55	1388.16	314.17	152.28	429.54	320.8	336.79	329.84	135.24	223.41	198.47	96.68	109.66	208.38	52.08	511.0
DOCK1	728.11	802.41	1477.58	98.73	159.9	80.57	172.65	139.07	92.05	140.04	49.56	0.0	0.74	351.14	211.31	514.56	902.89	656.11	825.0	283.05	122.64	490.14	511.0	507.46	647.07	264.03	444.72	301.33	320.8	265.87	409.15	232.94	432.53
DZIP1	329.84	236.21	651.58	4.21	7.88	20.56	16.27	36.53	6.89	3.99	15.11	0.0	0.64	164.42	115.97	112.77	361.04	193.01	258.57	283.05	102.97	144.01	173.85	217.27	96.68	214.27	171.45	103.69	40.07	82.29	173.85	108.14	236.21
EDNRA	1059.11	329.84	1467.37	5.59	15.56	16.51	12.64	10.16	10.55	10.71	5.45	0.0	0.29	708.18	232.94	629.35	974.5	1457.23	2075.59	529.06	928.3	1208.34	718.08	332.14	1697.45	1096.5	500.46	629.35	63.0	791.35	698.41	173.85	825.0
EHBP1	769.69	1417.35	1651.0	211.31	297.17	277.2	409.15	532.74	117.6	224.97	143.01	0.0	0.51	158.79	201.25	708.18	1304.15	412.0	1059.11	220.32	144.01	320.8	323.03	169.07	642.59	323.03	406.31	417.77	208.38	279.14	177.53	189.02	403.5
EIF4B	6792.79	9740.98	23656.34	1991.0	1857.6	1529.73	1051.79	1242.34	1583.71	1806.78	813.63	2915.45	3103.19	3303.0	3235.01	3540.14	9215.48	4298.64	5006.93	3060.45	3212.66	2682.69	4239.45	3124.78	10368.08	3874.05	5292.48	3419.52	5292.48	3589.58	4388.98	2956.17	5594.3
EPC2	476.71	713.11	1008.9	86.43	75.11	100.83	67.12	74.58	47.17	55.1	107.38	0.0	0.38	271.48	305.55	332.14	733.19	583.07	703.28	170.25	136.19	466.88	368.65	303.44	480.04	214.27	444.72	297.17	271.48	256.78	285.03	181.28	265.87
ERC1	356.05	497.0	547.75	59.13	88.26	82.29	58.3	68.07	21.94	90.77	76.71	0.0	0.56	201.25	159.9	264.03	376.41	220.32	432.53	159.9	264.03	182.55	223.41	171.45	426.57	156.59	312.0	182.55	204.07	211.31	507.46	146.03	271.48
ERCC8	197.09	156.59	389.72	74.06	70.51	52.08	52.45	59.13	111.99	45.85	96.01	0.0	0.2	148.09	98.04	111.99	145.02	166.73	271.48	34.02	24.28	55.49	66.65	121.79	176.29	105.15	133.36	117.6	82.87	73.03	111.21	83.45	42.11
EVC	260.38	339.14	297.17	0.8	24.99	5.73	4.39	2.94	18.29	32.36	9.56	0.0	0.33	166.73	102.25	248.0	547.75	346.29	463.65	237.86	77.25	226.54	384.34	169.07	164.42	177.53	287.01	182.55	135.24	137.14	234.57	90.14	287.01
FAM172A	316.37	651.58	1030.12	46.84	36.27	52.08	38.12	44.57	57.89	39.79	17.77	0.0	0.33	264.03	248.0	275.28	514.56	363.56	503.95	166.73	65.72	220.32	273.37	356.05	320.8	295.11	232.94	177.53	144.01	157.68	242.88	140.04	217.27
FAM21A	988.12	981.29	921.88	239.52	356.05	457.25	193.01	109.66	334.46	144.01	60.82	0.0	0.12	228.13	497.0	669.92	785.88	775.05	723.08	612.11	575.03	341.51	518.15	551.56	748.61	351.14	909.17	607.87	1457.23	447.82	199.85	395.18	447.82
FAM26E	101.54	53.57	135.24	1.48	2.97	5.36	4.86	2.53	1.45	3.63	1.73	0.0	0.15	33.06	2.2	40.36	82.29	89.51	147.06	11.91	6.89	61.68	50.27	9.2	76.17	73.03	58.3	103.69	16.39	12.36	48.52	33.54	32.13
FKBP7	733.19	432.53	1427.22	189.02	40.07	121.79	197.09	67.12	104.42	167.9	20.56	0.0	0.48	258.57	271.48	275.28	1191.69	320.8	896.64	214.27	136.19	346.29	353.59	96.68	258.57	381.68	351.14	392.44	127.0	341.51	457.25	273.37	314.17
FKBP9	2816.11	3212.66	2997.45	444.72	351.14	518.15	339.14	409.15	438.59	332.14	133.36	947.83	3146.52	1605.83	791.35	3146.52	3690.52	2061.24	3419.52	1519.15	769.69	1923.14	2777.33	1096.5	1936.53	1417.35	2384.37	2997.45	860.08	1977.24	2119.22	1015.93	1639.59
FRS2	525.39	638.15	1001.93	43.94	48.18	78.89	50.63	60.39	36.79	56.28	40.64	0.0	0.4	149.12	127.89	242.88	339.14	426.57	579.04	148.09	64.8	234.57	234.57	151.22	473.41	144.01	212.78	136.19	198.47	147.06	169.07	117.6	231.32
FZD1	1151.06	1008.9	669.92	3.11	13.62	29.91	11.64	70.01	17.38	40.93	13.62	0.0	0.37	387.02	159.9	583.07	1259.69	1183.45	2163.77	273.37	295.11	269.6	514.56	171.45	656.11	395.18	1340.84	878.17	130.6	264.03	287.01	231.32	368.65
GFRA3	69.52	5.06	10.31	0.0	0.0	0.0	0.0	2.14	0.47	1.22	0.74	0.0	0.0	111.99	251.48	32.13	358.54	49.21	28.45	150.17	5.45	24.46	183.82	490.14	4.35	28.24	77.79	97.36	260.38	24.81	54.72	93.35	223.41
GLT8D2	981.29	819.3	1963.57	7.82	21.78	36.79	28.45	16.15	4.1	21.32	19.53	0.0	0.28	483.38	281.09	346.29	1277.29	547.75	854.13	314.17	226.54	543.96	543.96	182.55	309.83	525.39	217.27	521.76	185.11	249.73	587.13	166.73	497.0
GPATCH11	285.03	329.84	314.17	59.13	34.26	65.72	45.21	58.71	43.94	9.56	18.16	128.79	89.51	127.89	189.02	175.07	251.48	242.88	141.02	100.83	75.11	77.79	135.24	69.52	258.57	205.5	255.0	202.66	100.83	102.25	152.28	172.65	89.51
GPATCH8	356.05	483.38	684.02	74.06	52.82	82.87	57.49	114.36	49.91	51.71	51.71	0.0	0.6	258.57	148.09	320.8	616.37	429.54	559.28	155.5	128.79	307.69	327.56	218.79	454.09	169.07	305.55	223.41	253.23	236.21	271.48	164.42	246.28
GPR1	83.45	92.05	202.66	0.0	1.16	0.0	0.43	0.41	0.0	0.0	0.0	0.0	0.04	4.03	0.59	17.9	48.52	12.09	6.16	6.31	0.58	0.22	1.57	4.66	7.46	0.58	2.12	19.25	22.92	0.0	12.27	24.81	5.59
GRIP1	147.06	68.07	29.06	0.43	1.2	0.48	0.44	1.51	0.64	1.0	1.3	0.0	0.14	11.64	22.59	14.56	66.65	62.12	3.69	30.56	20.56	8.13	30.78	27.84	39.5	1.91	15.45	63.0	7.82	13.32	4.13	35.76	39.22
HACE1	167.9	190.34	500.46	7.57	24.46	51.71	34.02	57.89	29.06	16.03	25.17	0.0	0.45	90.14	101.54	138.1	218.79	143.01	249.73	149.12	88.26	108.9	112.77	95.34	183.82	142.01	260.38	73.03	85.22	143.01	149.12	97.36	182.55
HLA-DRA	32315.87	22380.2	34158.52	1745.2	1572.76	16960.78	4481.23	88905.42	1427.22	4358.66	1350.18	25530.66	400.71	569761.05	606436.73	253213.41	81809.59	163620.18	170568.48	341137.96	341137.96	466008.55	668235.84	378516.38	345900.08	417089.23	215898.44	318292.9	1085552.95	273275.14	645473.24	299043.36	327241.36
HMGXB4	420.68	363.56	555.41	56.68	53.95	110.43	68.07	140.04	65.72	40.93	43.32	473.41	190.34	214.27	182.55	178.77	279.14	368.65	195.72	147.06	75.64	234.57	185.11	305.55	260.38	293.07	129.69	186.4	165.57	173.85	202.66	199.85	153.34
INO80D	145.02	82.29	185.11	21.32	20.26	31.0	17.77	23.59	16.15	8.19	59.13	17.38	60.39	44.89	61.68	82.87	94.01	108.9	111.99	76.17	37.59	102.25	67.59	49.21	157.68	40.93	107.38	22.75	41.22	44.57	49.21	30.34	61.68
ITPR2	529.06	1030.12	684.02	96.68	145.02	137.14	113.56	54.72	26.28	215.77	77.79	0.0	0.41	52.45	124.37	258.57	271.48	68.07	366.09	150.17	40.07	138.1	185.11	256.78	348.71	165.57	363.56	62.56	177.53	51.71	121.79	253.23	80.01
L3MBTL4	155.5	191.67	748.61	112.77	127.89	70.51	96.68	127.89	91.41	98.04	147.06	0.0	0.45	108.9	237.86	211.31	143.01	223.41	493.56	146.03	47.84	48.52	231.32	137.14	620.67	96.01	346.29	366.09	180.02	111.99	157.68	74.06	114.36
LAMA4	2119.22	2148.82	2485.67	43.63	96.01	90.14	88.88	74.58	84.04	21.32	44.25	0.0	0.46	1397.83	1304.15	928.3	1769.57	1477.58	2701.35	3690.52	21026.65	1991.0	1216.75	909.17	1388.16	1286.18	1322.37	928.3	420.68	1857.6	1519.15	718.08	1135.2
LATS1	441.64	503.95	808.0	32.36	28.45	73.03	44.57	68.07	46.5	43.02	64.8	94.67	53.19	121.79	198.47	224.97	368.65	320.8	389.72	221.86	124.37	140.04	191.67	145.02	318.57	141.02	281.09	206.94	87.03	124.37	164.42	131.51	114.36
LDOC1L	366.09	483.38	392.44	14.67	44.89	30.34	18.56	37.85	36.27	37.85	35.0	202.66	122.64	264.03	236.21	229.72	285.03	299.25	229.72	84.63	89.51	143.01	186.4	221.86	248.0	72.52	231.32	363.56	107.38	177.53	138.1	301.33	100.13
