	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.XUJ4.1126.SM.4BOPC	GTEX.13PL7.0526.SM.5J2MQ	GTEX.ZQUD.0426.SM.57WFR	GTEX.13O21.0626.SM.5IJDI	GTEX.147F3.0826.SM.5NQA7	GTEX.Z9EW.0526.SM.5HL8S	GTEX.P4PP.0726.SM.3NM9S	GTEX.XUJ4.0926.SM.4BOPA	GTEX.XBEW.1426.SM.4AT4J	GTEX.OIZH.0726.SM.3NB1I	TCGA.CV.7245.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.FP.7829.11A.01R.2055.13
AC015987.2	6699.25	1259.69	3325.99	4607.24	1023.0	603.67	603.67	571.05	1250.98	1250.98	878.17	1277.29	624.99	591.22	555.41	764.36	698.41	1167.14	848.22	2682.69	1628.26	1832.01	4736.79	3190.46	5594.3	47.5
ADH7	509950.32	2090.03	2148.82	3820.7	2400.97	2.32	7.11	4.21	8718.32	3515.68	10959.3	8658.09	0.0	13.62	0.0	229.72	1313.23	0.0	9409.14	131982.68	237899.7	104996.83	143430.26	139508.13	139508.13	177.53
ADIPOR1	9606.86	3257.52	2935.74	4123.49	4123.49	1359.57	1378.57	1295.13	2777.33	2351.53	2976.74	2956.17	1350.18	1388.16	1286.18	1519.15	2502.97	954.43	2537.92	3564.78	3124.78	2835.7	3665.02	4066.71	5112.16	1977.24
ADK	4095.0	1594.73	1844.76	2271.4	2287.2	241.19	260.38	185.11	1340.84	1183.45	1268.46	1322.37	470.14	249.73	234.57	395.18	660.68	0.39	1044.52	2935.74	3515.68	1733.13	3018.3	2384.37	3349.13	514.56
ANXA1	1970321.01	721179.07	517068.97	1355129.16	1364554.84	3235.01	4298.64	3982.99	158046.64	116501.39	167058.21	151608.43	3467.27	5006.93	3690.52	11664.82	59474.18	400.71	74243.68	573724.06	958220.73	422911.59	863596.77	554180.87	789181.81	19482.97
ARL8B	5791.62	1857.6	2485.67	3081.75	2935.74	819.3	860.08	884.29	1883.54	1936.53	1806.78	1594.73	1023.0	915.51	825.0	1427.22	1088.92	283.05	1594.73	2855.44	2133.97	1721.16	2682.69	2367.9	3103.19	1709.26
ATP11B	8598.28	486.75	669.92	1059.11	743.43	279.14	336.79	346.29	1167.14	995.0	988.12	1081.39	299.25	376.41	283.05	575.03	444.72	0.85	567.1	2148.82	2609.3	1628.26	1991.0	2119.22	1721.16	363.56
ATP6V0A4	6079.61	348.71	248.0	1977.24	571.05	0.72	2.03	0.0	43.63	44.57	40.93	111.21	0.34	0.0	0.0	1.99	150.17	0.0	111.21	866.07	1359.57	791.35	1781.89	1437.15	2255.7	14.35
BBOX1	5594.3	4388.98	4869.99	2875.3	5112.16	2.92	5.68	1.93	438.59	229.72	366.09	371.22	10.55	1.14	0.0	11.73	82.29	0.04	122.64	848.22	1250.98	547.75	1225.22	713.11	1340.84	6.94
BLVRB	36610.26	3665.02	3349.13	6935.54	7130.55	2090.03	2367.9	2627.46	3847.29	2956.17	4972.34	4419.52	2502.97	2255.7	2061.24	2119.22	4328.55	0.6	4066.71	9151.82	6516.03	4181.07	14361.31	12244.81	5913.33	2739.08
C11orf83	802.41	279.14	309.83	277.2	249.73	190.34	178.77	150.17	236.21	231.32	277.2	265.87	166.73	163.28	150.17	169.07	221.86	170.25	221.86	320.8	414.87	316.37	518.15	429.54	332.14	129.69
CAMSAP1	1594.73	928.3	830.75	967.76	1111.82	205.5	156.59	185.11	476.71	466.88	460.44	525.39	206.94	172.65	158.79	255.0	381.68	0.6	384.34	708.18	1104.13	674.59	1313.23	890.44	934.76	265.87
CAST	46986.85	12853.63	11584.24	16383.0	17078.76	2384.37	2271.4	2855.44	9151.82	7433.4	9474.59	9808.75	3639.7	2537.92	2119.22	4736.79	6745.86	624.99	5672.41	14461.21	18431.96	13215.02	21468.49	12943.04	17558.94	3614.55
CBR3	5954.47	1561.89	1427.22	3257.52	2609.3	64.8	131.51	212.78	802.41	974.5	2061.24	1242.34	170.25	108.14	151.22	105.15	688.78	0.59	540.19	1066.48	1407.55	902.89	1143.1	3146.52	6652.97	307.69
CDA	36864.92	13872.08	11504.21	26248.46	26986.43	116.78	96.68	60.82	2047.0	1030.12	1819.35	1819.35	89.51	111.99	61.68	166.73	325.29	0.71	1119.56	10733.74	26067.14	7589.61	16045.82	20593.91	19618.49	289.02
CDK7	4419.52	1081.39	1242.34	3280.18	2468.49	291.04	265.87	305.55	928.3	878.17	878.17	866.07	387.02	343.89	343.89	384.34	543.96	0.46	791.35	1923.14	1605.83	1030.12	1963.57	1977.24	2384.37	426.57
CELSR2	4038.61	1167.14	1447.15	1216.75	1457.23	145.02	189.02	125.24	842.36	728.11	769.69	934.76	191.67	140.04	218.79	181.28	281.09	0.57	665.29	941.27	3665.02	1225.22	1936.53	1417.35	1340.84	157.68
CERS3	875652.15	4010.71	3419.52	7966.99	6561.36	1.19	1.13	3.35	1023.0	1277.29	954.43	1529.73	1.16	10.47	5.11	55.89	366.09	0.0	854.13	7331.05	11909.94	5555.65	8305.36	7966.99	12415.75	87.03
