	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.EM.A22M.01A.11R.A32Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13OVJ.0626.SM.5J2O2	GTEX.OHPM.2626.SM.33HC5	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.R55C.0626.SM.2TF4Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.Z9EW.0226.SM.5CVM7
ACOT11	88.26	127.0	100.83	70.51	73.54	84.04	61.68	63.45	189.02	91.41	144.01	150.17	133.36	148.09	71.5	104.42	403.5	348.71	718.08	156.59	334.46	126.12	733.19	171.45	361.04	395.18	466.88	1023.0	684.02	181.28	480.04	198.47	191.67	497.0	279.14	320.8	633.73	426.57	318.57	915.51	246.28	518.15	334.46	409.15	358.54	738.29	251.48	928.3	493.56	204.07	400.71
ADCY9	389.72	289.02	323.03	307.69	237.86	248.0	303.44	314.17	429.54	301.33	438.59	525.39	223.41	299.25	255.0	251.48	825.0	902.89	934.76	493.56	1268.46	373.81	703.28	934.76	660.68	808.0	780.44	698.41	954.43	698.41	708.18	723.08	878.17	785.88	769.69	638.15	684.02	866.07	603.67	743.43	733.19	708.18	579.04	988.12	497.0	884.29	785.88	473.41	738.29	389.72	713.11
AGL	92.7	113.56	73.54	77.79	100.83	62.56	108.9	86.43	124.37	66.65	154.42	165.57	93.35	96.01	70.51	81.71	255.0	189.02	285.03	228.13	93.35	101.54	426.57	246.28	229.72	161.02	348.71	265.87	223.41	194.36	187.71	123.5	120.1	234.57	182.55	182.55	409.15	212.78	249.73	353.59	175.07	151.22	234.57	397.93	211.31	325.29	242.88	318.57	221.86	128.79	248.0
ATF2	348.71	426.57	329.84	283.05	447.82	217.27	406.31	325.29	332.14	242.88	447.82	441.64	356.05	406.31	264.03	291.04	684.02	518.15	647.07	825.0	493.56	389.72	1073.91	796.86	529.06	521.76	796.86	435.55	543.96	559.28	514.56	500.46	518.15	620.67	703.28	579.04	836.53	532.74	591.22	599.49	595.34	444.72	753.83	698.41	563.18	638.15	575.03	547.75	571.05	665.29	693.58
AVPR1A	4.98	27.64	0.84	7.06	16.27	3.38	11.38	12.27	11.21	5.11	27.25	22.26	11.38	19.11	7.28	2.27	197.09	334.46	73.54	146.03	32.59	109.66	271.48	91.41	118.43	153.34	68.07	98.73	63.0	215.77	414.87	44.25	66.65	169.07	208.38	224.97	78.89	115.16	65.26	444.72	107.38	113.56	329.84	36.01	35.76	71.0	414.87	395.18	45.53	1.99	49.56
BRCC3	181.28	218.79	204.07	214.27	277.2	201.25	251.48	194.36	215.77	171.45	215.77	287.01	204.07	218.79	228.13	163.28	373.81	343.89	346.29	343.89	218.79	212.78	460.44	435.55	246.28	285.03	376.41	301.33	312.0	332.14	316.37	267.73	279.14	283.05	384.34	307.69	363.56	289.02	307.69	371.22	563.18	285.03	339.14	387.02	323.03	368.65	379.04	329.84	295.11	236.21	353.59
C5orf28	194.36	327.56	273.37	307.69	220.32	161.02	237.86	277.2	297.17	193.01	334.46	400.71	217.27	320.8	269.6	167.9	1008.9	769.69	967.76	860.08	293.07	403.5	967.76	1628.26	483.38	884.29	1008.9	603.67	808.0	669.92	603.67	403.5	497.0	387.02	872.1	571.05	988.12	819.3	1001.93	1104.13	567.1	507.46	612.11	780.44	647.07	884.29	928.3	860.08	454.09	258.57	723.08
CAAP1	267.73	406.31	289.02	316.37	412.0	199.85	379.04	339.14	301.33	267.73	463.65	444.72	287.01	339.14	221.86	232.94	698.41	791.35	748.61	764.36	825.0	339.14	1073.91	954.43	599.49	480.04	830.75	591.22	603.67	587.13	642.59	447.82	429.54	638.15	612.11	555.41	819.3	647.07	878.17	791.35	583.07	490.14	723.08	1015.93	941.27	733.19	780.44	791.35	688.78	450.94	612.11
CCDC64	144.01	202.66	176.29	656.11	414.87	163.28	514.56	587.13	273.37	595.34	620.67	450.94	299.25	234.57	351.14	400.71	1407.55	1519.15	1721.16	2224.63	1709.26	281.09	1242.34	1909.85	1096.5	651.58	1199.98	1001.93	511.0	500.46	476.71	366.09	651.58	1216.75	941.27	457.25	1001.93	620.67	1199.98	995.0	447.82	583.07	764.36	1605.83	738.29	1745.2	718.08	1437.15	624.99	368.65	947.83
CKMT1A	14.78	32.59	33.06	47.17	55.89	98.73	33.3	18.43	241.19	43.02	139.07	66.18	46.84	100.83	108.14	28.24	291.04	162.14	130.6	93.35	66.65	79.45	255.0	376.41	376.41	75.64	346.29	703.28	194.36	92.7	176.29	49.56	47.84	151.22	64.8	92.7	366.09	285.03	336.79	660.68	136.19	193.01	127.0	438.59	327.56	518.15	44.25	447.82	143.01	50.63	98.04
CKMT1B	34.51	85.22	116.78	76.17	117.6	116.78	66.65	60.39	379.04	9.13	293.07	236.21	108.9	121.79	122.64	75.11	599.49	543.96	285.03	99.43	198.47	158.79	909.17	753.83	559.28	327.56	743.43	1322.37	470.14	397.93	521.76	161.02	120.94	536.45	226.54	301.33	860.08	607.87	728.11	460.44	339.14	438.59	356.05	1250.98	802.41	981.29	316.37	995.0	279.14	140.04	260.38
CSNK1G1	54.72	59.13	57.49	65.72	79.45	52.82	81.14	67.12	77.79	80.01	75.64	112.77	84.04	72.52	68.07	94.67	165.57	132.44	154.42	106.63	126.12	90.14	214.27	154.42	129.69	123.5	151.22	117.6	131.51	123.5	137.14	107.38	124.37	144.01	175.07	127.0	157.68	133.36	126.12	150.17	108.14	107.38	170.25	141.02	111.99	142.01	152.28	121.79	81.71	115.97	136.19
