	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A2.A0D4.01A.11R.A00Z.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.GM.A2DM.01A.11R.A180.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.BR.A4IZ.01A.32R.A251.31
A2M	4010.71	3018.3	5076.84	3820.7	17078.76	6471.02	4512.4	10154.69	5041.77	2555.58	18052.61	3443.31	5954.47	8658.09	2485.67	6745.86	6426.31	6840.04	3349.13	1498.22	2119.22	4736.79	5751.61	2163.77	13586.57	7642.41	12415.75
ACVRL1	161.02	158.79	248.0	241.19	563.18	387.02	267.73	325.29	186.4	87.65	872.1	104.42	341.51	195.72	116.78	327.56	412.0	273.37	182.55	72.01	105.89	351.14	176.29	46.84	872.1	152.28	842.36
ADAM19	42.71	35.0	31.22	43.94	381.68	87.03	80.57	165.57	149.12	22.26	208.38	48.52	58.3	127.89	26.47	169.07	283.05	118.43	73.03	9.2	28.24	412.0	62.56	22.26	366.09	24.99	612.11
ADAMTS3	6.94	4.31	3.89	4.62	33.3	14.45	5.77	15.11	8.71	2.76	38.4	8.0	1.99	11.3	8.65	16.51	15.56	7.94	3.47	0.68	1.35	11.21	6.41	2.84	30.34	12.09	147.06
ADAMTS4	50.27	31.22	104.42	52.82	283.05	99.43	105.15	271.48	236.21	112.77	872.1	132.44	76.17	171.45	27.44	110.43	423.61	214.27	68.55	17.25	71.5	264.03	80.01	38.4	529.06	100.83	941.27
ADAMTSL2	92.05	50.98	72.01	28.86	96.68	105.15	153.34	101.54	57.49	10.71	299.25	12.64	151.22	48.52	43.94	120.94	153.34	91.41	39.5	18.03	16.63	98.73	91.41	26.47	295.11	13.72	81.71
AKAP12	65.72	70.01	35.5	64.34	921.88	198.47	145.02	269.6	212.78	21.01	830.75	108.14	37.32	173.85	100.13	275.28	329.84	189.02	49.91	9.06	20.11	305.55	151.22	35.0	438.59	181.28	748.61
AKT3	82.29	71.0	49.91	65.26	753.83	205.5	180.02	293.07	224.97	33.06	444.72	88.26	63.89	214.27	75.11	289.02	262.2	183.82	48.52	17.64	49.56	305.55	93.35	38.67	435.55	170.25	607.87
ARHGAP17	587.13	698.41	688.78	612.11	1191.69	860.08	1561.89	954.43	909.17	476.71	1143.1	796.86	802.41	780.44	529.06	860.08	1023.0	764.36	688.78	454.09	525.39	902.89	497.0	591.22	1199.98	961.07	1487.87
ARHGAP20	9.27	4.66	3.53	3.72	56.68	24.46	12.0	18.97	19.39	4.86	47.17	5.92	5.54	18.97	5.19	21.16	26.47	11.38	5.5	1.01	3.59	17.9	9.13	2.84	37.05	38.67	106.63
ARHGAP22	62.56	26.67	34.02	9.27	50.27	55.1	36.79	93.35	94.67	9.13	43.63	28.04	78.89	92.05	35.76	98.73	103.69	74.06	95.34	14.45	22.75	39.5	83.45	53.57	142.01	70.01	206.94
ARHGAP31	68.07	63.0	51.71	62.12	323.03	148.09	119.26	177.53	150.17	31.67	314.17	73.54	73.54	208.38	69.52	177.53	277.2	154.42	54.33	21.47	51.71	249.73	115.16	20.86	336.79	126.12	256.78
ARHGEF40	384.34	435.55	214.27	295.11	665.29	348.71	417.77	555.41	665.29	231.32	921.88	180.02	316.37	525.39	170.25	503.95	563.18	397.93	170.25	82.87	128.79	497.0	237.86	141.02	802.41	669.92	988.12
