	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.7101.01A.11R.2016.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.6962.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.63.5128.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.85.7696.01A.11R.2125.07	TCGA.56.7582.01A.11R.2045.07
UBXN7	121.79	134.3	212.78	163.28	84.04	497.0	253.23	575.03	269.6	511.0	348.71	171.45	555.41	133.36	135.24	186.4	176.29	173.85	155.5	133.36	890.44	371.22	209.84	181.28	140.04	145.02	190.34	518.15	139.07	363.56	189.02	151.22	110.43	202.66	72.01	198.47	128.79	281.09	376.41	316.37	267.73	599.49	198.47	1447.15	153.34	128.79	483.38	195.72	157.68	176.29	403.5	169.07	403.5	124.37	224.97	334.46	102.25	454.09	161.02	420.68	616.37
URB2	96.01	64.8	42.71	104.42	37.59	121.79	144.01	221.86	134.3	167.9	228.13	118.43	187.71	78.89	46.84	62.56	94.67	96.01	75.11	72.52	208.38	150.17	115.16	79.45	28.86	74.58	124.37	159.9	77.25	236.21	139.07	79.45	100.13	127.0	55.1	112.77	59.55	129.69	214.27	58.71	100.13	180.02	130.6	237.86	94.67	92.05	132.44	73.54	50.63	78.89	208.38	41.52	190.34	116.78	88.26	96.01	81.71	120.94	33.78	283.05	172.65
WDR26	348.71	612.11	2555.58	688.78	358.54	1427.22	1674.06	1936.53	1216.75	1977.24	1059.11	808.0	1191.69	693.58	567.1	1051.79	629.35	703.28	616.37	896.64	928.3	909.17	941.27	848.22	1359.57	981.29	1066.48	1159.07	591.22	1135.2	785.88	1225.22	780.44	921.88	587.13	896.64	521.76	1225.22	1183.45	748.61	947.83	1199.98	988.12	1662.49	743.43	688.78	703.28	860.08	674.59	435.55	1286.18	988.12	1023.0	693.58	723.08	1378.57	718.08	1175.27	329.84	2061.24	1519.15
ZBTB37	6.41	9.48	16.88	15.34	8.25	38.12	48.52	84.04	21.01	57.08	36.53	20.41	51.71	13.72	5.45	10.55	23.59	18.43	12.45	20.26	42.71	36.01	13.83	10.16	12.45	12.18	41.81	36.27	11.21	33.78	11.55	17.77	13.72	40.93	10.16	15.45	6.73	36.01	37.85	20.41	17.0	22.59	14.56	81.71	18.56	12.0	19.97	15.68	12.83	12.0	37.05	11.64	26.47	12.55	20.71	31.45	9.78	45.21	4.1	101.54	45.21
ZBTB39	27.44	34.75	53.95	53.95	16.51	66.65	53.95	152.28	53.19	83.45	72.01	39.79	149.12	37.85	20.56	33.06	56.68	42.41	38.95	26.67	129.69	69.03	51.71	28.45	29.06	35.25	61.68	74.06	43.94	104.42	44.89	38.4	36.27	56.28	18.7	50.63	38.4	61.68	108.9	41.52	45.85	73.54	56.68	169.07	42.71	60.39	77.25	30.56	25.54	30.34	102.97	31.9	64.34	40.93	61.68	60.39	27.84	127.0	9.34	64.34	99.43
ZBTB41	35.25	51.71	33.54	55.1	30.34	117.6	162.14	161.02	98.04	141.02	120.1	145.02	173.85	42.11	33.06	51.35	49.56	62.56	33.3	45.53	180.02	51.35	42.41	53.19	23.25	37.32	59.13	142.01	35.25	166.73	55.1	57.08	42.71	60.39	29.27	59.97	39.22	71.0	181.28	51.35	46.84	152.28	98.73	293.07	57.49	40.07	161.02	77.79	47.84	36.27	135.24	38.67	159.9	50.27	49.91	81.14	28.65	181.28	50.63	289.02	346.29
ZC3H11A	738.29	738.29	1340.84	1295.13	669.92	1936.53	1991.0	2537.92	1457.23	2209.26	1369.04	1001.93	1674.06	941.27	738.29	934.76	1088.92	1073.91	961.07	1183.45	1963.57	1340.84	1037.29	860.08	1250.98	1508.65	866.07	1605.83	1066.48	1909.85	1313.23	1529.73	1304.15	995.0	961.07	1225.22	848.22	1417.35	1508.65	808.0	1104.13	1572.76	896.64	2148.82	902.89	872.1	1199.98	1331.57	684.02	540.19	1233.75	1044.52	961.07	995.0	1208.34	1268.46	769.69	1697.45	153.34	3039.3	1685.71
ZC3HAV1L	3.26	24.63	30.12	21.01	8.38	111.21	197.09	122.64	202.66	158.79	103.69	106.63	251.48	9.34	11.3	32.36	23.93	30.78	54.72	40.93	291.04	56.68	40.64	34.02	12.93	41.81	88.88	253.23	8.0	221.86	15.68	20.86	24.28	38.4	16.88	59.97	15.91	48.18	98.04	31.45	45.53	149.12	66.65	182.55	17.25	23.08	115.16	47.5	37.59	23.42	134.3	25.72	80.01	36.79	47.5	56.28	6.57	320.8	5.54	189.02	251.48
ZFR	529.06	273.37	555.41	454.09	460.44	1427.22	1088.92	1721.16	728.11	941.27	802.41	995.0	1104.13	633.73	373.81	403.5	543.96	693.58	503.95	571.05	1081.39	748.61	571.05	511.0	279.14	525.39	723.08	872.1	460.44	860.08	387.02	500.46	480.04	738.29	325.29	591.22	429.54	633.73	1037.29	460.44	547.75	1044.52	599.49	1467.37	525.39	435.55	785.88	638.15	503.95	426.57	679.29	327.56	684.02	514.56	733.19	748.61	497.0	1073.91	493.56	934.76	1322.37
ZNF462	78.89	29.27	329.84	115.16	83.45	371.22	336.79	417.77	363.56	305.55	172.65	99.43	339.14	98.04	89.51	149.12	62.12	122.64	64.8	51.35	295.11	175.07	76.17	124.37	137.14	92.05	158.79	255.0	136.19	246.28	63.0	143.01	74.06	147.06	88.26	154.42	120.94	96.68	224.97	111.21	124.37	172.65	41.81	312.0	88.88	88.88	115.16	120.94	95.34	105.15	176.29	132.44	140.04	60.39	111.21	180.02	59.13	150.17	17.0	189.02	194.36
ZNF507	40.36	61.68	47.17	93.35	71.5	178.77	183.82	285.03	139.07	201.25	177.53	90.14	279.14	79.45	47.84	50.63	68.55	58.71	70.01	61.68	363.56	189.02	82.29	55.89	22.26	60.39	90.77	144.01	58.3	291.04	63.0	58.3	55.89	86.43	41.81	85.22	54.72	87.65	135.24	55.1	90.77	164.42	132.44	223.41	59.97	64.34	144.01	55.49	77.25	56.28	162.14	39.79	111.99	59.97	84.04	85.82	40.64	244.57	38.95	429.54	258.57
ZNF678	18.7	25.17	28.24	22.92	13.62	41.52	59.97	105.15	31.0	47.17	61.25	57.08	96.01	21.01	11.3	15.91	21.16	11.13	18.43	22.26	98.73	47.5	24.11	12.45	6.46	14.03	35.25	72.52	20.86	58.3	12.55	13.32	18.03	23.59	17.13	19.11	16.39	28.45	54.72	11.82	32.82	53.95	29.91	105.15	19.82	13.72	53.19	20.86	9.06	14.45	55.49	8.85	42.71	15.34	17.25	44.57	14.67	56.68	11.55	141.02	73.54
