	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.7101.01A.11R.2016.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.6962.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.63.5128.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.85.7696.01A.11R.2125.07	TCGA.56.7582.01A.11R.2045.07
RFX7	51.35	47.5	158.79	60.82	38.95	193.01	161.02	201.25	132.44	182.55	199.85	96.01	336.79	46.18	52.08	92.05	80.01	113.56	59.97	83.45	309.83	180.02	99.43	32.36	57.08	69.52	130.6	242.88	82.29	167.9	63.45	103.69	80.01	167.9	33.06	186.4	55.1	134.3	256.78	68.07	111.99	112.77	127.89	221.86	68.55	42.71	140.04	115.16	60.39	64.34	144.01	64.8	110.43	110.43	102.97	135.24	51.71	301.33	23.76	244.57	236.21
RIF1	69.52	106.63	55.49	147.06	142.01	329.84	264.03	435.55	256.78	258.57	248.0	148.09	361.04	72.52	85.22	93.35	101.54	145.02	82.87	98.04	607.87	348.71	120.1	87.03	61.68	134.3	139.07	397.93	109.66	483.38	102.25	126.12	118.43	358.54	82.87	175.07	115.16	231.32	371.22	144.01	152.28	265.87	170.25	599.49	142.01	101.54	265.87	165.57	66.65	96.01	281.09	77.25	181.28	117.6	138.1	208.38	76.17	279.14	49.21	206.94	466.88
RPRD1A	423.61	281.09	583.07	624.99	591.22	629.35	830.75	909.17	708.18	647.07	432.53	656.11	896.64	432.53	316.37	620.67	486.75	620.67	329.84	387.02	1066.48	514.56	547.75	486.75	447.82	607.87	708.18	854.13	381.68	854.13	318.57	348.71	571.05	466.88	226.54	629.35	346.29	642.59	500.46	395.18	842.36	620.67	713.11	624.99	297.17	320.8	884.29	688.78	281.09	190.34	1437.15	567.1	540.19	587.13	490.14	493.56	579.04	1135.2	368.65	819.3	928.3
RPRD2	124.37	137.14	161.02	248.0	108.14	444.72	454.09	595.34	379.04	420.68	547.75	229.72	470.14	85.82	113.56	244.57	163.28	204.07	182.55	135.24	796.86	444.72	204.07	127.0	133.36	150.17	309.83	403.5	139.07	540.19	191.67	223.41	176.29	264.03	107.38	297.17	118.43	253.23	567.1	142.01	327.56	305.55	239.52	684.02	197.09	87.03	316.37	158.79	127.89	148.09	351.14	202.66	429.54	258.57	151.22	353.59	159.9	353.59	44.57	928.3	486.75
SAP130	161.02	147.06	320.8	264.03	202.66	441.64	454.09	551.56	466.88	334.46	293.07	212.78	463.65	164.42	180.02	248.0	228.13	223.41	269.6	251.48	567.1	450.94	228.13	285.03	190.34	183.82	327.56	406.31	201.25	514.56	199.85	269.6	214.27	426.57	183.82	256.78	224.97	299.25	384.34	297.17	366.09	406.31	269.6	299.25	269.6	279.14	329.84	214.27	212.78	206.94	490.14	277.2	361.04	281.09	166.73	312.0	176.29	409.15	80.57	329.84	444.72
SDE2	58.71	171.45	232.94	166.73	76.71	297.17	318.57	387.02	289.02	503.95	511.0	403.5	379.04	162.14	110.43	166.73	175.07	178.77	128.79	169.07	473.41	361.04	209.84	173.85	172.65	187.71	199.85	470.14	167.9	629.35	181.28	265.87	187.71	234.57	110.43	212.78	133.36	305.55	400.71	155.5	182.55	366.09	226.54	753.83	260.38	129.69	414.87	279.14	122.64	122.64	389.72	201.25	435.55	157.68	166.73	295.11	140.04	476.71	118.43	536.45	555.41
SHPRH	6.73	11.3	34.51	46.84	11.3	141.02	112.77	137.14	84.04	102.25	78.89	79.45	147.06	35.76	13.72	34.75	68.07	38.67	24.46	22.26	144.01	102.25	65.72	90.77	34.26	43.94	50.27	115.97	34.75	78.34	25.72	27.84	52.45	60.82	14.89	56.68	25.54	59.97	87.65	51.71	28.04	149.12	56.68	211.31	38.95	38.12	101.54	59.13	22.43	29.06	85.22	35.25	69.03	38.12	57.89	68.55	24.81	87.65	11.3	115.97	86.43
SIPA1L2	45.85	143.01	1073.91	129.69	21.16	1498.22	1350.18	1143.1	825.0	1519.15	612.11	447.82	764.36	312.0	119.26	454.09	420.68	616.37	293.07	204.07	1066.48	480.04	441.64	185.11	909.17	444.72	400.71	435.55	289.02	775.05	71.0	299.25	470.14	497.0	130.6	395.18	120.1	406.31	728.11	206.94	231.32	830.75	633.73	974.5	466.88	56.28	403.5	466.88	373.81	56.28	733.19	1183.45	490.14	103.69	334.46	679.29	249.73	1340.84	55.1	1378.57	1081.39
SMARCC2	325.29	236.21	450.94	540.19	273.37	1378.57	1417.35	1794.29	848.22	1295.13	748.61	476.71	1008.9	358.54	279.14	500.46	521.76	450.94	595.34	412.0	825.0	947.83	514.56	460.44	463.65	395.18	708.18	684.02	397.93	1001.93	237.86	521.76	432.53	571.05	287.01	460.44	403.5	647.07	753.83	591.22	743.43	836.53	660.68	915.51	529.06	511.0	688.78	490.14	384.34	403.5	708.18	497.0	674.59	514.56	532.74	813.63	392.44	947.83	114.36	915.51	947.83
SNRNP200	1519.15	1417.35	1159.07	2075.59	1896.65	2976.74	2451.44	3303.0	2451.44	2209.26	2645.74	1617.0	2855.44	1417.35	1447.15	1662.49	1781.89	1417.35	1709.26	1322.37	3443.31	2502.97	1757.34	1991.0	1044.52	1359.57	2047.0	2682.69	1407.55	2434.5	1378.57	1781.89	1529.73	2133.97	1709.26	1950.0	1427.22	1721.16	3168.41	1769.57	1923.14	2796.65	1977.24	1757.34	1617.0	1844.76	2224.63	1639.59	1498.22	1487.87	3768.09	1397.83	2287.2	2004.85	1340.84	1733.13	1457.23	4095.0	836.53	3847.29	3280.18
