	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.AO.A0JF.01A.11R.A056.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AC.A7VB.01A.11R.A352.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.AO.A12C.01A.11R.A10J.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A2.A0SY.01A.31R.A084.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.AO.A03P.01A.11R.A00Z.07	TCGA.AN.A0XW.01A.11R.A109.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.ZPU1.2326.SM.57WEP
ADAMTS12	346.29	99.43	94.67	123.5	69.52	221.86	379.04	466.88	89.51	836.53	178.77	366.09	96.68	217.27	74.06	45.85	356.05	147.06	93.35	27.84	57.89	37.85	84.04	53.19	9.13	60.39	187.71	49.56	46.18	167.9	373.81	114.36	356.05	38.95	199.85	67.59	154.42	236.21	140.04	169.07	42.11	149.12	36.27	158.79	55.1	493.56	221.86	148.09	381.68	74.58	323.03	289.02	95.34	36.01	379.04	253.23	172.65	97.36	343.89	38.67	142.01	665.29	698.41	102.97	31.67	136.19	684.02	145.02	239.52	67.12	212.78	36.01	35.25	555.41	679.29	49.91	242.88	66.65	111.99	98.04	412.0	236.21	57.08	208.38	224.97	161.02	400.71	258.57	18.29	186.4	320.8	366.09	43.94	117.6	363.56	866.07	463.65	66.18	218.79	129.69	65.72	52.82	53.19	65.26	113.56	265.87	228.13	242.88	59.55	6.11	79.45	500.46	206.94	361.04	201.25	441.64	176.29	52.45	23.93	26.47	7.4	88.26	258.57	2.68	0.82
ALDH1L2	58.3	43.63	24.63	28.86	28.86	63.45	104.42	232.94	13.52	392.44	74.58	218.79	25.17	59.97	13.12	22.92	96.01	30.34	21.16	8.38	23.59	10.08	28.24	19.39	9.78	25.91	87.65	38.67	10.55	95.34	159.9	41.52	126.12	25.72	52.45	10.47	70.01	55.1	70.51	56.28	13.32	52.08	11.73	93.35	22.26	133.36	90.77	43.02	118.43	20.11	142.01	63.89	22.43	38.4	223.41	68.55	99.43	41.22	156.59	16.39	45.85	417.77	166.73	43.94	8.25	57.49	113.56	31.0	105.89	23.93	81.14	17.13	12.18	289.02	234.57	19.25	109.66	18.84	37.85	25.91	165.57	76.71	31.9	59.55	99.43	95.34	136.19	120.94	1.79	52.08	66.65	110.43	9.48	49.56	163.28	389.72	209.84	19.53	54.72	60.39	19.53	43.32	23.42	30.12	39.22	105.15	40.64	46.5	8.19	1.6	24.11	154.42	53.57	241.19	37.32	133.36	44.89	36.27	11.3	6.57	3.44	18.03	97.36	3.59	3.82
ANTXR2	854.13	273.37	83.45	206.94	267.73	353.59	309.83	1225.22	156.59	1143.1	688.78	1015.93	163.28	301.33	136.19	89.51	575.03	169.07	341.51	85.22	348.71	63.89	194.36	166.73	102.25	127.89	679.29	486.75	507.46	563.18	1044.52	348.71	738.29	112.77	647.07	137.14	249.73	239.52	417.77	595.34	218.79	674.59	80.57	343.89	135.24	575.03	500.46	297.17	518.15	110.43	638.15	327.56	162.14	190.34	612.11	336.79	444.72	142.01	373.81	140.04	384.34	884.29	674.59	194.36	229.72	191.67	684.02	206.94	480.04	273.37	497.0	173.85	102.25	1143.1	638.15	285.03	205.5	612.11	312.0	366.09	723.08	525.39	262.2	334.46	336.79	591.22	1427.22	417.77	423.61	295.11	441.64	603.67	85.22	473.41	728.11	1572.76	1015.93	120.94	361.04	253.23	197.09	231.32	151.22	371.22	202.66	629.35	470.14	299.25	89.51	15.56	253.23	775.05	251.48	981.29	180.02	679.29	358.54	536.45	57.08	59.13	92.05	211.31	435.55	40.93	60.82
ARHGAP31	161.02	96.68	42.11	78.34	63.45	121.79	105.15	325.29	75.64	281.09	104.42	271.48	40.36	90.14	37.32	58.71	153.34	66.18	77.79	31.9	162.14	48.87	64.34	65.26	10.55	68.07	202.66	63.0	51.71	106.63	152.28	100.83	155.5	59.97	163.28	51.71	58.71	67.12	70.51	91.41	43.32	148.09	30.56	104.42	30.78	260.38	177.53	112.77	172.65	55.1	141.02	120.1	44.57	29.7	117.6	92.7	94.01	68.07	103.69	36.53	83.45	246.28	169.07	66.18	31.67	91.41	144.01	82.29	123.5	73.54	162.14	90.77	73.54	339.14	170.25	57.08	93.35	69.52	83.45	79.45	177.53	154.42	57.89	124.37	86.43	140.04	253.23	120.1	21.47	70.01	103.69	154.42	51.71	226.54	173.85	166.73	173.85	41.81	68.55	60.39	70.51	77.25	22.1	32.59	115.16	133.36	79.45	76.71	24.99	5.36	59.55	138.1	83.45	221.86	55.89	150.17	113.56	22.59	20.86	27.25	17.25	74.58	90.14	18.84	51.35
ARSB	99.43	167.9	56.68	72.01	93.35	134.3	119.26	197.09	65.72	301.33	139.07	185.11	47.17	100.83	63.45	43.94	147.06	60.39	92.7	61.25	57.49	34.51	83.45	107.38	45.53	102.97	120.1	107.38	101.54	102.25	293.07	121.79	202.66	69.03	86.43	47.84	84.04	67.59	83.45	100.83	51.71	154.42	48.52	90.77	51.71	162.14	180.02	72.01	139.07	60.39	205.5	155.5	110.43	74.58	211.31	126.12	145.02	154.42	180.02	51.35	90.14	358.54	242.88	73.54	149.12	80.57	167.9	106.63	209.84	74.58	114.36	88.26	76.71	343.89	189.02	34.75	130.6	76.71	69.52	76.71	145.02	166.73	63.0	143.01	117.6	149.12	163.28	144.01	50.63	120.1	105.15	197.09	82.29	135.24	236.21	339.14	246.28	71.5	120.1	57.49	36.01	80.01	38.95	63.0	112.77	112.77	92.05	107.38	84.63	41.22	62.12	291.04	92.05	279.14	79.45	172.65	136.19	34.02	57.49	80.57	29.06	81.14	105.89	14.14	38.67
BICC1	159.9	36.53	25.54	33.78	47.17	102.97	104.42	336.79	26.86	397.93	130.6	309.83	56.68	71.5	27.05	39.79	145.02	42.71	59.13	9.7	47.5	16.88	34.26	49.21	2.07	33.54	186.4	33.54	19.53	69.03	258.57	88.88	202.66	29.06	134.3	23.42	55.89	48.52	111.21	132.44	7.22	108.9	10.39	88.26	24.63	162.14	166.73	58.71	143.01	26.1	214.27	82.29	34.75	24.46	229.72	81.14	87.65	37.05	145.02	17.13	83.45	486.75	209.84	38.12	6.16	46.84	198.47	20.26	178.77	40.07	84.04	25.72	7.94	361.04	208.38	34.51	49.91	29.48	92.7	91.41	194.36	109.66	34.02	87.03	110.43	165.57	231.32	120.94	2.16	62.12	110.43	159.9	12.55	133.36	191.67	409.15	291.04	37.59	91.41	78.89	24.81	105.15	22.1	19.25	55.89	156.59	76.17	73.54	0.43	1.33	37.59	281.09	92.7	214.27	43.02	197.09	93.35	40.07	9.63	6.67	5.59	38.4	137.14	1.43	9.27
BNC2	71.0	21.78	11.3	14.89	24.28	45.21	76.17	176.29	12.45	177.53	42.71	121.79	14.78	42.11	19.25	12.64	56.28	26.47	17.9	6.84	36.01	10.88	17.9	13.12	2.29	21.47	69.03	18.84	9.78	46.84	79.45	37.59	142.01	18.43	51.71	14.89	36.01	36.53	56.28	40.64	6.11	51.35	5.96	63.89	11.64	82.29	71.0	25.72	77.79	10.71	124.37	46.84	19.11	8.45	120.1	38.12	45.53	20.56	96.01	19.11	38.12	273.37	100.83	19.11	3.59	31.67	70.51	19.82	53.57	24.46	52.08	21.94	6.16	262.2	101.54	23.08	35.0	19.68	45.85	29.48	92.7	45.85	13.42	32.36	59.97	59.55	132.44	73.03	1.13	34.75	37.05	96.01	8.45	46.5	83.45	171.45	120.1	6.57	30.34	29.91	13.32	18.56	15.0	6.94	30.34	107.38	43.94	43.94	2.84	1.0	15.34	110.43	39.79	102.25	23.93	70.51	40.36	11.73	5.19	5.02	2.23	15.56	80.01	1.17	84.04
C14orf37	64.34	23.59	13.52	30.12	38.12	64.8	59.55	136.19	17.13	204.07	44.89	118.43	21.94	33.78	24.63	15.91	117.6	26.28	18.84	7.63	38.12	30.12	23.59	12.45	9.48	34.26	64.8	20.86	14.67	46.18	132.44	37.05	119.26	9.85	48.87	15.11	27.64	37.85	37.85	61.68	12.64	46.5	8.13	49.91	11.38	92.05	69.52	33.78	76.17	19.68	59.97	50.27	22.43	22.1	138.1	57.49	42.11	30.12	103.69	12.55	34.75	271.48	129.69	20.71	14.24	56.28	107.38	20.86	93.35	21.01	45.53	18.16	13.03	209.84	146.03	22.75	44.25	11.91	39.5	38.67	119.26	75.64	16.27	53.19	53.19	53.19	102.25	64.8	12.83	42.41	39.5	100.13	8.32	65.72	116.78	185.11	134.3	25.91	46.5	31.22	31.22	35.0	18.29	16.27	23.76	111.99	47.17	59.55	6.62	1.75	29.91	128.79	38.4	72.01	38.12	82.87	43.32	34.75	10.31	8.51	1.22	18.29	84.63	7.51	7.4
CHSY3	55.49	36.01	21.47	39.5	32.36	59.13	56.28	129.69	22.26	217.27	37.85	111.21	22.59	40.07	19.11	22.92	110.43	23.08	21.78	8.0	22.92	9.34	23.59	30.12	8.85	19.25	43.02	15.22	27.05	34.26	153.34	35.25	85.82	14.89	36.79	23.08	26.1	37.05	48.52	55.49	18.7	55.89	9.63	33.78	12.45	94.67	62.12	25.91	67.59	13.22	87.03	56.68	21.78	14.56	120.1	57.08	37.05	23.25	69.03	7.11	30.56	201.25	106.63	18.16	24.11	43.32	99.43	16.39	73.03	22.1	33.06	16.39	18.03	148.09	104.42	25.54	56.68	11.04	44.57	26.67	87.65	84.63	27.05	55.49	63.45	57.08	66.18	57.08	7.28	44.25	41.22	68.55	18.84	43.32	97.36	223.41	177.53	10.96	51.71	27.25	20.71	30.12	15.56	12.36	31.22	97.36	47.17	64.8	27.64	3.0	28.24	129.69	40.07	80.01	24.63	75.64	24.63	11.47	5.11	18.56	1.57	27.84	67.59	8.71	6.41
CNRIP1	239.52	164.42	42.11	127.0	77.79	163.28	145.02	412.0	155.5	387.02	182.55	473.41	73.03	171.45	75.11	105.89	142.01	69.52	114.36	66.18	176.29	73.54	114.36	123.5	31.9	92.7	217.27	153.34	116.78	141.02	309.83	139.07	244.57	99.43	251.48	78.34	60.39	92.05	169.07	231.32	63.0	214.27	45.21	128.79	47.17	295.11	198.47	132.44	164.42	85.82	258.57	98.04	96.01	55.89	371.22	115.97	130.6	137.14	150.17	108.14	119.26	420.68	237.86	66.65	30.78	102.97	195.72	89.51	251.48	74.06	218.79	112.77	127.0	414.87	248.0	101.54	109.66	74.06	281.09	195.72	253.23	197.09	67.12	157.68	217.27	293.07	460.44	100.13	32.82	92.05	127.0	133.36	58.71	199.85	239.52	543.96	232.94	85.82	125.24	98.04	108.9	120.94	62.12	72.52	115.16	152.28	151.22	98.04	43.02	8.71	90.14	249.73	103.69	289.02	63.89	164.42	112.77	56.68	34.26	59.13	23.25	104.42	191.67	6.21	39.22
