	GTEX.139TS.2226.SM.5J2N1	GTEX.Z93S.2626.SM.57WBX	GTEX.11EI6.2626.SM.5PNVT	GTEX.132NY.2026.SM.5L3FM	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.ZTX8.1026.SM.5EGHD	TCGA.E8.A3X7.01A.11R.A22U.07	GTEX.WI4N.2426.SM.4OOSC
AAK1	18.56	38.95	41.52	77.25	60.82	186.4	13.32	71.5	164.42	39.79	341.51	99.43	473.41	104.42	441.64	231.32	327.56	191.67	97.36	218.79	76.71	466.88	248.0	82.29	80.01	148.09	256.78	607.87	236.21	164.42	157.68	74.58	122.64	78.89	525.39	189.02	253.23	60.82	111.99	134.3	86.43	98.73	61.68	256.78	166.73	376.41	59.97	85.22	113.56	108.14	301.33	141.02	138.1	55.49	194.36	237.86	141.02	339.14	281.09	201.25	220.32	339.14	181.28	180.02	248.0	26.1	102.25
ABCE1	256.78	258.57	346.29	293.07	242.88	339.14	154.42	669.92	743.43	363.56	878.17	476.71	902.89	599.49	759.08	595.34	884.29	860.08	536.45	490.14	406.31	934.76	866.07	441.64	361.04	518.15	848.22	785.88	1216.75	656.11	708.18	497.0	591.22	361.04	587.13	878.17	791.35	454.09	981.29	332.14	409.15	525.39	406.31	571.05	500.46	368.65	547.75	376.41	583.07	316.37	470.14	412.0	547.75	409.15	400.71	473.41	612.11	450.94	460.44	339.14	444.72	559.28	409.15	256.78	423.61	246.28	432.53
ABHD17B	170.25	217.27	165.57	186.4	150.17	104.42	118.43	265.87	395.18	211.31	540.19	307.69	669.92	301.33	521.76	417.77	316.37	476.71	229.72	283.05	291.04	441.64	579.04	314.17	253.23	341.51	450.94	688.78	435.55	397.93	514.56	361.04	277.2	301.33	466.88	432.53	470.14	260.38	414.87	246.28	291.04	320.8	212.78	457.25	384.34	193.01	346.29	289.02	454.09	181.28	397.93	323.03	483.38	239.52	209.84	376.41	384.34	289.02	493.56	285.03	426.57	457.25	279.14	281.09	406.31	71.0	102.97
ACBD3	253.23	271.48	291.04	353.59	346.29	368.65	190.34	616.37	1286.18	334.46	1030.12	518.15	1242.34	656.11	921.88	909.17	819.3	974.5	521.76	599.49	500.46	947.83	988.12	559.28	438.59	583.07	915.51	884.29	1051.79	866.07	1015.93	612.11	490.14	423.61	866.07	934.76	915.51	470.14	884.29	514.56	620.67	384.34	384.34	802.41	563.18	346.29	486.75	463.65	780.44	612.11	629.35	551.56	708.18	567.1	379.04	511.0	808.0	684.02	775.05	466.88	728.11	612.11	429.54	384.34	591.22	271.48	260.38
ACER2	28.86	42.41	36.27	43.32	24.11	54.72	8.58	47.5	204.07	32.82	182.55	41.52	139.07	85.22	297.17	140.04	153.34	153.34	90.14	79.45	54.72	214.27	242.88	66.18	47.5	100.13	224.97	244.57	198.47	129.69	202.66	66.65	86.43	21.16	277.2	176.29	215.77	55.89	157.68	93.35	71.0	108.14	54.72	191.67	152.28	17.64	76.71	32.82	141.02	81.14	197.09	127.0	106.63	99.43	87.03	202.66	105.89	283.05	241.19	137.14	224.97	161.02	115.16	103.69	57.89	20.41	61.25
AFF4	242.88	249.73	329.84	301.33	295.11	429.54	111.99	395.18	967.76	316.37	947.83	366.09	1081.39	483.38	928.3	769.69	684.02	884.29	507.46	547.75	371.22	1030.12	884.29	514.56	356.05	503.95	791.35	954.43	1008.9	842.36	842.36	381.68	348.71	271.48	775.05	890.44	909.17	409.15	830.75	420.68	466.88	329.84	361.04	759.08	486.75	400.71	297.17	363.56	521.76	500.46	638.15	514.56	616.37	463.65	412.0	575.03	848.22	728.11	684.02	293.07	507.46	708.18	353.59	246.28	438.59	224.97	376.41
ALG11	30.12	67.59	44.57	45.21	34.51	49.91	28.65	94.67	265.87	49.91	197.09	87.65	223.41	193.01	312.0	275.28	197.09	307.69	152.28	141.02	123.5	183.82	293.07	115.97	96.68	101.54	169.07	291.04	253.23	269.6	234.57	92.7	83.45	80.01	242.88	232.94	253.23	113.56	151.22	127.89	159.9	84.04	102.97	264.03	181.28	52.82	178.77	80.01	275.28	129.69	241.19	187.71	153.34	150.17	177.53	154.42	318.57	228.13	269.6	117.6	212.78	532.74	239.52	120.94	178.77	36.27	17.64
ANKEF1	18.03	18.84	18.7	20.11	11.13	8.19	27.25	62.12	55.89	23.42	99.43	61.68	109.66	59.13	102.25	90.14	96.01	96.68	50.63	77.79	40.36	127.89	101.54	43.94	46.5	59.97	108.14	86.43	102.25	76.17	80.01	71.5	42.71	42.11	90.77	102.97	87.65	47.5	99.43	36.79	53.19	47.84	48.18	80.01	58.3	29.48	55.89	45.53	77.25	39.5	67.12	67.59	68.07	36.27	43.63	91.41	68.07	70.51	89.51	76.17	96.68	100.13	78.34	53.95	55.1	23.08	11.3
ANKHD1	825.0	703.28	974.5	921.88	830.75	941.27	426.57	1135.2	2032.85	785.88	1745.2	808.0	1628.26	1561.89	1909.85	1769.57	1709.26	2004.85	1498.22	1417.35	1259.69	1857.6	1806.78	1111.82	974.5	1477.58	1519.15	2163.77	1733.13	1806.78	1662.49	1059.11	796.86	974.5	1733.13	1639.59	1487.87	1175.27	1721.16	1135.2	1295.13	842.36	1167.14	1674.06	1143.1	1208.34	708.18	796.86	1066.48	1208.34	1540.37	1594.73	1519.15	1259.69	1551.09	1397.83	1397.83	1721.16	1977.24	1059.11	1467.37	2287.2	1143.1	934.76	1119.56	915.51	571.05
ANKRD17	226.54	346.29	400.71	312.0	299.25	285.03	176.29	536.45	759.08	334.46	775.05	583.07	813.63	591.22	791.35	733.19	775.05	830.75	612.11	497.0	500.46	819.3	808.0	429.54	429.54	470.14	759.08	902.89	830.75	599.49	616.37	563.18	307.69	412.0	860.08	796.86	708.18	579.04	902.89	525.39	536.45	327.56	444.72	688.78	656.11	429.54	246.28	490.14	316.37	426.57	688.78	616.37	536.45	567.1	543.96	674.59	656.11	759.08	612.11	571.05	555.41	743.43	551.56	395.18	551.56	202.66	273.37
AP1AR	223.41	229.72	265.87	135.24	165.57	223.41	82.29	145.02	329.84	150.17	429.54	211.31	384.34	273.37	295.11	267.73	299.25	366.09	205.5	223.41	163.28	346.29	400.71	191.67	170.25	299.25	351.14	273.37	460.44	299.25	314.17	242.88	265.87	145.02	346.29	361.04	376.41	239.52	417.77	204.07	246.28	232.94	208.38	265.87	197.09	158.79	206.94	178.77	287.01	202.66	231.32	194.36	305.55	204.07	194.36	215.77	212.78	187.71	287.01	162.14	244.57	206.94	137.14	113.56	197.09	112.77	134.3
AP1S3	27.84	26.67	9.27	32.82	27.25	32.59	8.06	96.68	297.17	47.17	287.01	98.73	256.78	260.38	234.57	246.28	255.0	177.53	81.71	85.82	68.55	299.25	371.22	43.02	49.91	111.21	199.85	158.79	285.03	158.79	166.73	73.54	66.18	47.17	214.27	226.54	197.09	81.14	368.65	114.36	117.6	64.8	71.5	221.86	92.05	41.22	92.7	66.18	189.02	55.89	171.45	102.25	226.54	58.3	76.71	175.07	164.42	152.28	271.48	185.11	138.1	50.27	143.01	120.1	111.99	53.19	38.67
ARID1A	309.83	293.07	371.22	409.15	239.52	248.0	214.27	583.07	884.29	438.59	896.64	555.41	808.0	723.08	1127.35	1119.56	738.29	921.88	521.76	748.61	525.39	1008.9	928.3	551.56	493.56	738.29	819.3	1199.98	941.27	669.92	638.15	579.04	366.09	366.09	1135.2	872.1	866.07	511.0	890.44	595.34	567.1	466.88	450.94	791.35	587.13	397.93	197.09	490.14	366.09	559.28	748.61	764.36	583.07	435.55	358.54	620.67	571.05	703.28	1066.48	665.29	802.41	723.08	551.56	429.54	579.04	325.29	295.11
ATP11B	204.07	229.72	277.2	249.73	158.79	208.38	59.97	473.41	1605.83	325.29	2075.59	728.11	1781.89	947.83	1378.57	981.29	808.0	1487.87	603.67	791.35	368.65	1322.37	1605.83	476.71	429.54	624.99	1498.22	1268.46	1088.92	1487.87	915.51	684.02	486.75	309.83	1572.76	1857.6	1119.56	447.82	1023.0	591.22	511.0	514.56	470.14	830.75	595.34	285.03	397.93	454.09	647.07	387.02	738.29	480.04	638.15	476.71	314.17	915.51	890.44	629.35	674.59	414.87	503.95	995.0	616.37	316.37	368.65	167.9	104.42
ATP6V1A	221.86	260.38	291.04	217.27	156.59	217.27	361.04	480.04	909.17	327.56	928.3	555.41	967.76	616.37	915.51	575.03	769.69	915.51	457.25	633.73	412.0	890.44	1051.79	450.94	460.44	567.1	825.0	866.07	1015.93	872.1	791.35	679.29	376.41	381.68	884.29	866.07	813.63	460.44	878.17	540.19	473.41	441.64	529.06	769.69	571.05	320.8	638.15	503.95	684.02	454.09	764.36	466.88	476.71	466.88	575.03	638.15	819.3	674.59	928.3	599.49	728.11	595.34	759.08	454.09	587.13	713.11	178.77
ATRN	156.59	183.82	158.79	269.6	150.17	145.02	698.41	212.78	426.57	214.27	651.58	248.0	620.67	384.34	575.03	490.14	420.68	483.38	318.57	381.68	285.03	536.45	555.41	239.52	258.57	332.14	412.0	435.55	480.04	438.59	460.44	387.02	193.01	236.21	525.39	571.05	441.64	275.28	406.31	293.07	343.89	258.57	248.0	444.72	339.14	185.11	185.11	279.14	301.33	299.25	457.25	435.55	336.79	343.89	256.78	336.79	529.06	325.29	563.18	239.52	470.14	371.22	332.14	182.55	366.09	371.22	127.0
BCL9	163.28	165.57	167.9	204.07	154.42	191.67	65.72	429.54	555.41	248.0	813.63	346.29	607.87	470.14	909.17	651.58	775.05	551.56	356.05	381.68	323.03	651.58	665.29	323.03	301.33	444.72	713.11	884.29	679.29	540.19	612.11	264.03	224.97	283.05	718.08	599.49	674.59	314.17	587.13	368.65	358.54	363.56	265.87	497.0	392.44	226.54	143.01	285.03	267.73	329.84	483.38	507.46	454.09	303.44	327.56	490.14	426.57	466.88	669.92	273.37	483.38	693.58	366.09	363.56	444.72	183.82	204.07
BCLAF1	567.1	503.95	743.43	813.63	599.49	813.63	140.04	1167.14	2018.8	842.36	2090.03	753.83	2303.12	1378.57	1963.57	1844.76	1427.22	2163.77	1304.15	1059.11	934.76	1923.14	2004.85	1111.82	679.29	1044.52	1832.01	2032.85	2193.99	1359.57	1721.16	1023.0	723.08	624.99	1977.24	1977.24	1883.54	890.44	1857.6	759.08	967.76	684.02	842.36	1651.0	1023.0	769.69	579.04	642.59	1088.92	743.43	1175.27	1322.37	1487.87	995.0	860.08	1639.59	1407.55	1259.69	1388.16	529.06	1088.92	1313.23	647.07	500.46	748.61	507.46	620.67
BRWD3	38.67	49.21	31.45	34.26	31.22	56.28	9.27	52.82	100.13	38.95	80.57	31.0	79.45	63.0	80.57	71.5	83.45	105.89	63.0	38.4	43.02	93.35	102.25	52.45	21.63	70.51	72.01	92.05	65.26	66.18	73.03	33.3	41.81	22.75	75.11	79.45	57.08	42.41	76.71	42.11	41.52	28.24	39.5	74.58	45.85	32.59	19.39	26.86	49.56	33.54	35.5	45.85	81.71	49.21	58.71	57.08	62.56	60.39	71.0	31.45	41.22	95.34	32.13	27.05	35.25	21.94	29.48
C2orf16	2.48	1.73	1.91	3.53	3.92	5.5	4.43	8.38	9.63	6.16	13.62	8.71	11.55	6.62	16.27	10.16	19.97	17.77	13.52	11.04	8.85	14.03	15.8	8.45	10.0	12.36	16.39	33.78	18.84	11.82	10.0	11.47	10.08	5.82	18.03	11.3	13.72	7.88	4.46	8.78	4.58	12.74	7.17	8.51	8.51	7.28	6.01	8.65	10.31	6.11	7.69	7.94	11.3	6.26	6.89	14.78	7.22	16.63	14.45	8.38	13.22	23.08	10.0	5.45	9.56	9.78	4.7
