	TCGA.BC.A110.01A.11R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
BCL9L	102.25	60.82	91.41	547.75	563.18	92.05	366.09	748.61	764.36	327.56	397.93	244.57	642.59	775.05	156.59	423.61	202.66	796.86	273.37	400.71	808.0	208.38	392.44	483.38	395.18	214.27	529.06	921.88	764.36	323.03	241.19	239.52	476.71	563.18	406.31	356.05	277.2	435.55	346.29	189.02	249.73	318.57	251.48	432.53	563.18	193.01	403.5	301.33	450.94	277.2	181.28	500.46	309.83	166.73	136.19	679.29	457.25	164.42	366.09	595.34	159.9	167.9	620.67	226.54	163.28	170.25	228.13	348.71	185.11	684.02	511.0	708.18	346.29	395.18	346.29	480.04	463.65	273.37	336.79	529.06	525.39	665.29	309.83	183.82	368.65	123.5	669.92	191.67	529.06	791.35	417.77	753.83	199.85	314.17	473.41	316.37	341.51	285.03	521.76	743.43	171.45	305.55	480.04	387.02	563.18	432.53	142.01	878.17	193.01	283.05	232.94	389.72	136.19	287.01	236.21	521.76	289.02	156.59	414.87	318.57	220.32
BEND3	9.48	5.68	5.92	36.53	32.59	28.45	23.93	127.0	100.13	32.59	57.89	85.22	71.0	32.82	65.72	55.49	27.44	70.51	40.07	41.22	158.79	28.86	40.36	95.34	215.77	55.1	51.35	96.01	87.65	36.27	40.64	18.84	26.1	77.25	47.17	15.34	33.78	22.75	63.0	12.64	52.08	29.7	34.75	99.43	14.89	14.24	87.65	44.57	58.71	26.86	24.81	129.69	85.82	71.0	23.76	66.18	102.97	20.86	40.07	126.12	38.67	31.22	41.22	61.25	33.78	31.67	30.56	29.27	26.86	47.5	111.21	48.87	67.59	80.01	47.5	77.79	137.14	108.9	40.36	96.01	115.97	93.35	24.81	31.22	48.87	25.72	76.17	38.4	62.56	80.01	40.07	164.42	55.49	43.02	65.26	77.79	76.17	23.08	30.78	54.33	24.46	27.44	44.25	37.32	33.3	77.79	18.84	42.71	27.44	34.51	38.4	58.71	28.24	39.79	55.89	50.63	23.25	11.21	15.0	17.0	38.4
C1orf109	202.66	109.66	92.05	555.41	575.03	271.48	379.04	620.67	543.96	466.88	708.18	503.95	447.82	511.0	279.14	361.04	423.61	575.03	397.93	423.61	423.61	339.14	579.04	543.96	688.78	454.09	480.04	579.04	429.54	497.0	543.96	417.77	358.54	514.56	429.54	466.88	414.87	309.83	536.45	441.64	454.09	466.88	417.77	525.39	518.15	454.09	819.3	503.95	476.71	323.03	267.73	309.83	497.0	325.29	277.2	647.07	336.79	309.83	397.93	511.0	371.22	387.02	466.88	518.15	384.34	395.18	303.44	514.56	457.25	447.82	507.46	426.57	447.82	470.14	470.14	651.58	769.69	587.13	395.18	412.0	571.05	642.59	371.22	316.37	356.05	454.09	575.03	267.73	551.56	514.56	460.44	612.11	307.69	473.41	483.38	490.14	500.46	387.02	525.39	647.07	293.07	454.09	579.04	406.31	463.65	343.89	332.14	490.14	334.46	318.57	444.72	493.56	271.48	346.29	403.5	470.14	476.71	460.44	301.33	348.71	363.56
CECR2	24.63	21.94	54.33	67.59	57.89	18.29	5.45	96.68	88.26	30.12	67.59	43.94	33.54	66.18	33.54	58.71	35.25	38.12	41.81	27.64	94.67	26.1	60.39	44.89	105.89	33.78	49.91	74.58	69.03	45.53	47.84	43.94	43.63	61.68	30.56	44.89	33.3	15.0	50.63	36.27	28.86	55.1	54.33	59.97	43.94	41.81	93.35	31.0	46.18	45.85	17.38	35.25	48.18	30.78	17.9	92.7	11.91	23.59	34.75	72.01	38.67	25.91	64.8	46.5	54.33	18.84	30.78	47.17	25.91	77.79	90.77	61.68	76.71	75.11	38.4	69.03	165.57	44.57	52.82	55.1	64.8	85.82	46.5	23.25	75.64	36.79	42.71	19.39	83.45	103.69	40.93	88.88	43.32	28.04	50.63	81.71	52.08	38.12	58.3	72.01	23.42	31.0	61.25	41.81	40.07	36.79	32.82	68.07	40.64	10.0	24.28	49.91	42.11	45.85	33.06	19.11	16.03	9.85	21.16	17.9	24.11
CHML	28.65	28.45	15.68	48.87	65.26	14.24	32.82	82.29	110.43	26.47	181.28	37.05	90.14	42.71	29.06	31.67	61.25	98.73	48.87	32.13	94.67	41.52	33.3	55.1	87.65	28.86	59.55	96.68	98.04	40.36	23.76	40.93	27.84	89.51	50.27	44.25	36.01	24.28	57.49	48.52	34.02	35.25	40.36	109.66	49.21	45.21	115.16	51.71	61.68	45.85	27.25	40.36	47.17	21.78	15.45	92.05	63.89	20.11	39.22	127.0	40.64	38.12	44.25	33.3	55.1	16.63	32.13	42.71	27.84	43.63	96.01	50.27	77.79	65.72	51.35	52.82	38.67	78.89	38.95	45.53	49.21	82.87	35.5	34.26	25.35	78.89	114.36	31.0	73.03	59.55	47.5	89.51	18.29	62.56	75.64	100.83	64.34	34.26	46.5	119.26	22.1	30.78	72.52	30.56	57.08	39.22	27.05	50.63	45.21	40.36	27.84	40.07	30.12	34.75	42.11	39.79	26.1	16.39	28.04	36.79	26.67
CIAO1	728.11	775.05	718.08	1030.12	1015.93	599.49	967.76	1096.5	974.5	802.41	1191.69	775.05	1044.52	1015.93	854.13	733.19	738.29	1191.69	791.35	848.22	1051.79	796.86	947.83	967.76	1151.06	830.75	954.43	1015.93	967.76	830.75	808.0	842.36	713.11	967.76	819.3	808.0	775.05	743.43	1030.12	688.78	884.29	785.88	842.36	1073.91	947.83	624.99	1015.93	961.07	896.64	723.08	624.99	802.41	1023.0	723.08	780.44	1175.27	974.5	713.11	928.3	967.76	780.44	698.41	967.76	928.3	713.11	842.36	651.58	854.13	759.08	1023.0	921.88	988.12	934.76	941.27	896.64	1119.56	547.75	819.3	819.3	825.0	1044.52	928.3	743.43	708.18	961.07	836.53	974.5	620.67	842.36	1143.1	921.88	1096.5	660.68	921.88	974.5	1059.11	941.27	802.41	967.76	1088.92	674.59	759.08	981.29	890.44	1037.29	830.75	928.3	1044.52	665.29	660.68	780.44	836.53	780.44	738.29	775.05	967.76	961.07	1088.92	679.29	866.07	802.41
CMTM4	46.84	44.89	45.85	638.15	733.19	457.25	450.94	1286.18	1540.37	414.87	988.12	872.1	1135.2	547.75	642.59	514.56	529.06	1015.93	547.75	563.18	1457.23	723.08	599.49	866.07	1721.16	417.77	1304.15	1127.35	1242.34	688.78	454.09	363.56	587.13	1617.0	438.59	334.46	500.46	293.07	848.22	426.57	954.43	466.88	392.44	2796.65	339.14	454.09	693.58	579.04	967.76	395.18	460.44	921.88	551.56	733.19	309.83	1167.14	1745.2	599.49	414.87	1467.37	1216.75	371.22	525.39	547.75	244.57	381.68	872.1	1081.39	460.44	808.0	1594.73	587.13	1583.71	1250.98	921.88	1183.45	483.38	921.88	1001.93	764.36	1417.35	2209.26	417.77	473.41	423.61	915.51	1721.16	483.38	1135.2	2502.97	769.69	1857.6	559.28	1030.12	1268.46	1119.56	1143.1	521.76	579.04	1259.69	490.14	480.04	934.76	616.37	1369.04	1304.15	366.09	813.63	493.56	642.59	540.19	450.94	656.11	1051.79	1183.45	595.34	351.14	133.36	318.57	376.41	463.65
CNNM3	256.78	351.14	470.14	872.1	587.13	476.71	457.25	902.89	780.44	444.72	674.59	490.14	660.68	665.29	320.8	490.14	503.95	884.29	441.64	435.55	813.63	417.77	748.61	525.39	1051.79	403.5	633.73	791.35	703.28	432.53	480.04	473.41	429.54	603.67	551.56	480.04	473.41	603.67	713.11	441.64	660.68	432.53	595.34	638.15	429.54	435.55	693.58	525.39	591.22	351.14	384.34	733.19	693.58	318.57	483.38	674.59	748.61	336.79	441.64	579.04	607.87	420.68	595.34	559.28	218.79	507.46	536.45	693.58	346.29	638.15	934.76	612.11	813.63	802.41	591.22	563.18	241.19	483.38	591.22	743.43	536.45	688.78	583.07	483.38	559.28	507.46	371.22	387.02	525.39	934.76	791.35	896.64	511.0	591.22	660.68	738.29	595.34	450.94	656.11	738.29	435.55	480.04	728.11	470.14	555.41	587.13	432.53	748.61	376.41	571.05	518.15	624.99	358.54	633.73	665.29	500.46	242.88	165.57	463.65	299.25	426.57
CNNM4	49.56	54.33	34.02	242.88	202.66	114.36	172.65	287.01	248.0	164.42	198.47	156.59	234.57	253.23	104.42	175.07	104.42	248.0	146.03	156.59	228.13	150.17	151.22	202.66	255.0	107.38	205.5	241.19	183.82	133.36	120.94	166.73	176.29	215.77	197.09	119.26	127.89	147.06	176.29	107.38	149.12	156.59	136.19	253.23	212.78	117.6	246.28	140.04	176.29	139.07	101.54	195.72	190.34	105.89	120.94	242.88	194.36	77.79	178.77	191.67	127.89	94.67	189.02	175.07	138.1	85.82	129.69	166.73	125.24	194.36	199.85	204.07	215.77	199.85	154.42	175.07	102.25	164.42	150.17	166.73	267.73	169.07	129.69	155.5	162.14	172.65	138.1	106.63	211.31	262.2	187.71	231.32	111.99	205.5	205.5	258.57	197.09	120.94	202.66	169.07	116.78	155.5	220.32	178.77	204.07	173.85	118.43	239.52	111.99	194.36	130.6	133.36	102.25	165.57	148.09	189.02	106.63	66.65	154.42	126.12	159.9
CORO2A	33.06	28.04	19.68	1216.75	583.07	323.03	476.71	941.27	764.36	575.03	759.08	674.59	660.68	848.22	339.14	866.07	358.54	808.0	1023.0	665.29	1008.9	679.29	813.63	591.22	1225.22	497.0	698.41	995.0	759.08	559.28	476.71	563.18	909.17	753.83	688.78	607.87	444.72	753.83	633.73	435.55	633.73	620.67	503.95	1304.15	1008.9	473.41	759.08	785.88	988.12	518.15	269.6	909.17	830.75	327.56	514.56	1015.93	514.56	438.59	836.53	836.53	400.71	571.05	595.34	723.08	309.83	253.23	599.49	921.88	483.38	830.75	1250.98	693.58	1605.83	813.63	575.03	1044.52	698.41	555.41	579.04	599.49	665.29	1023.0	780.44	540.19	669.92	356.05	718.08	476.71	954.43	1498.22	723.08	860.08	507.46	902.89	713.11	842.36	1001.93	409.15	954.43	612.11	457.25	791.35	1159.07	674.59	551.56	438.59	842.36	743.43	395.18	518.15	638.15	603.67	591.22	555.41	669.92	540.19	450.94	406.31	638.15	595.34	567.1
CRKL	295.11	293.07	389.72	525.39	536.45	271.48	351.14	575.03	591.22	470.14	547.75	332.14	507.46	583.07	403.5	403.5	400.71	616.37	341.51	438.59	536.45	420.68	379.04	507.46	559.28	414.87	466.88	563.18	536.45	441.64	466.88	397.93	316.37	532.74	387.02	363.56	429.54	583.07	473.41	343.89	457.25	432.53	323.03	514.56	483.38	299.25	473.41	397.93	476.71	336.79	371.22	559.28	420.68	329.84	346.29	563.18	403.5	271.48	423.61	575.03	387.02	387.02	441.64	435.55	358.54	373.81	336.79	438.59	412.0	414.87	536.45	483.38	457.25	463.65	454.09	500.46	536.45	336.79	314.17	447.82	559.28	409.15	314.17	361.04	387.02	358.54	547.75	356.05	466.88	603.67	381.68	518.15	329.84	400.71	521.76	603.67	373.81	441.64	497.0	514.56	371.22	426.57	486.75	423.61	460.44	368.65	379.04	595.34	334.46	381.68	395.18	447.82	348.71	363.56	277.2	507.46	406.31	309.83	414.87	463.65	470.14
CS	890.44	1104.13	587.13	2777.33	2240.11	1662.49	2485.67	2956.17	3443.31	1832.01	2485.67	1991.0	2777.33	2555.58	1870.53	1950.0	1991.0	2796.65	1991.0	1870.53	2335.28	1844.76	2351.53	2384.37	3018.3	1781.89	2004.85	2591.27	2434.5	1870.53	1628.26	1844.76	2061.24	2627.46	1963.57	1769.57	1651.0	1883.54	2075.59	1781.89	2104.58	2032.85	1685.71	3564.78	2104.58	1628.26	2976.74	1832.01	2075.59	1769.57	1605.83	1286.18	2915.45	1806.78	1721.16	2384.37	2777.33	1639.59	2061.24	2855.44	1977.24	1119.56	2591.27	2090.03	1832.01	1806.78	1709.26	1883.54	1896.65	2591.27	2240.11	2468.49	2777.33	2240.11	2178.83	2573.36	2627.46	2502.97	1781.89	2255.7	2047.0	2104.58	1721.16	1617.0	1870.53	2061.24	2956.17	1832.01	1794.29	2075.59	2133.97	2468.49	1540.37	2047.0	2417.67	2976.74	2434.5	1857.6	2090.03	2682.69	1685.71	1896.65	2485.67	1781.89	2119.22	1662.49	1781.89	2255.7	1819.35	1457.23	1757.34	1991.0	1369.04	1857.6	2224.63	2032.85	1457.23	1304.15	1674.06	1617.0	1651.0
CYFIP1	587.13	536.45	389.72	1844.76	2119.22	819.3	1088.92	1977.24	1721.16	1295.13	3060.45	1119.56	1757.34	1963.57	791.35	1119.56	1322.37	2591.27	1250.98	1388.16	2468.49	1073.91	1008.9	1883.54	2400.97	1286.18	1529.73	1923.14	1844.76	1322.37	1572.76	1175.27	1088.92	1498.22	1487.87	1175.27	1167.14	1216.75	1674.06	1111.82	1407.55	1583.71	1529.73	2104.58	1561.89	981.29	1936.53	1119.56	1685.71	941.27	1378.57	1674.06	1437.15	1331.57	1119.56	1909.85	1437.15	684.02	1340.84	2367.9	1183.45	1628.26	1909.85	1685.71	583.07	1208.34	1104.13	1407.55	1015.93	1697.45	1757.34	1594.73	1936.53	1794.29	1268.46	1991.0	1519.15	1151.06	1242.34	1322.37	1909.85	1896.65	1096.5	1143.1	967.76	1397.83	1950.0	1015.93	1605.83	2502.97	1991.0	2319.15	954.43	1583.71	1709.26	1143.1	1498.22	1023.0	1662.49	2104.58	995.0	1250.98	1936.53	1208.34	2485.67	1417.35	1051.79	2018.8	866.07	1233.75	1096.5	1331.57	1268.46	1037.29	1313.23	1498.22	1051.79	1015.93	1250.98	1081.39	967.76
DAG1	497.0	974.5	536.45	1175.27	1167.14	753.83	830.75	1477.58	1437.15	638.15	1427.22	921.88	1313.23	1259.69	559.28	928.3	665.29	2004.85	551.56	934.76	1617.0	785.88	1088.92	1059.11	1781.89	808.0	1572.76	1498.22	1167.14	748.61	713.11	808.0	878.17	1277.29	954.43	896.64	775.05	1037.29	1008.9	660.68	1030.12	819.3	842.36	1487.87	1037.29	620.67	1096.5	703.28	1151.06	738.29	607.87	660.68	583.07	536.45	629.35	1159.07	1529.73	607.87	884.29	1322.37	1073.91	808.0	974.5	1037.29	775.05	902.89	796.86	1388.16	738.29	1175.27	1378.57	1143.1	1508.65	1340.84	988.12	1119.56	988.12	848.22	836.53	769.69	1119.56	1259.69	842.36	723.08	780.44	708.18	1651.0	603.67	848.22	2163.77	1233.75	1745.2	559.28	1313.23	1617.0	872.1	1066.48	890.44	1313.23	1268.46	642.59	796.86	1023.0	836.53	1104.13	1059.11	791.35	1378.57	633.73	884.29	791.35	884.29	679.29	848.22	884.29	1044.52	674.59	457.25	896.64	753.83	884.29
DDX20	66.65	57.08	47.5	180.02	155.5	112.77	103.69	190.34	121.79	127.0	191.67	151.22	164.42	141.02	154.42	108.9	115.97	145.02	143.01	146.03	141.02	125.24	163.28	177.53	147.06	110.43	128.79	128.79	172.65	117.6	133.36	127.0	99.43	170.25	124.37	126.12	130.6	98.04	158.79	97.36	120.1	126.12	116.78	202.66	126.12	149.12	205.5	128.79	152.28	138.1	122.64	158.79	152.28	91.41	102.25	147.06	135.24	110.43	118.43	159.9	93.35	103.69	141.02	156.59	68.07	162.14	98.04	113.56	85.82	162.14	116.78	138.1	150.17	154.42	137.14	126.12	217.27	116.78	114.36	141.02	155.5	127.89	111.21	85.82	153.34	94.67	151.22	125.24	123.5	183.82	119.26	133.36	97.36	127.0	148.09	181.28	125.24	141.02	152.28	170.25	113.56	107.38	170.25	125.24	105.15	124.37	97.36	138.1	112.77	141.02	155.5	126.12	91.41	126.12	111.99	149.12	156.59	155.5	105.89	140.04	144.01
DDX6	88.88	78.34	107.38	1023.0	1044.52	156.59	381.68	1286.18	1104.13	351.14	616.37	432.53	1135.2	921.88	202.66	476.71	460.44	1225.22	353.59	511.0	1167.14	320.8	555.41	669.92	743.43	334.46	638.15	995.0	1167.14	532.74	536.45	409.15	371.22	866.07	559.28	435.55	379.04	507.46	607.87	309.83	444.72	511.0	460.44	1159.07	791.35	246.28	961.07	543.96	796.86	341.51	175.07	607.87	400.71	167.9	157.68	1216.75	698.41	201.25	420.68	1225.22	325.29	173.85	543.96	358.54	135.24	341.51	211.31	599.49	412.0	769.69	769.69	698.41	1015.93	825.0	466.88	866.07	1191.69	551.56	348.71	438.59	1183.45	785.88	348.71	327.56	429.54	466.88	1350.18	204.07	547.75	1233.75	656.11	981.29	197.09	493.56	1167.14	591.22	518.15	417.77	753.83	1268.46	217.27	389.72	785.88	417.77	713.11	543.96	289.02	830.75	305.55	291.04	371.22	486.75	314.17	312.0	384.34	660.68	435.55	420.68	476.71	450.94	351.14
DFFA	193.01	287.01	197.09	420.68	466.88	289.02	414.87	493.56	426.57	366.09	409.15	273.37	397.93	532.74	460.44	454.09	368.65	454.09	316.37	412.0	476.71	361.04	480.04	420.68	486.75	343.89	412.0	463.65	463.65	366.09	450.94	343.89	348.71	470.14	371.22	389.72	353.59	400.71	389.72	249.73	412.0	353.59	323.03	547.75	389.72	275.28	476.71	409.15	406.31	316.37	289.02	241.19	409.15	320.8	361.04	466.88	470.14	305.55	435.55	511.0	392.44	325.29	387.02	423.61	194.36	341.51	295.11	368.65	289.02	490.14	414.87	400.71	403.5	332.14	392.44	480.04	395.18	379.04	361.04	353.59	447.82	423.61	334.46	299.25	381.68	376.41	454.09	395.18	368.65	483.38	389.72	470.14	329.84	376.41	409.15	271.48	293.07	395.18	414.87	547.75	363.56	327.56	480.04	460.44	420.68	327.56	273.37	423.61	334.46	297.17	384.34	327.56	312.0	389.72	329.84	540.19	435.55	540.19	356.05	426.57	403.5
DIEXF	76.17	57.49	50.63	140.04	99.43	59.55	55.89	132.44	133.36	68.07	82.29	68.07	123.5	130.6	37.85	53.57	84.63	106.63	55.49	72.52	117.6	34.51	87.65	96.01	132.44	48.87	104.42	197.09	142.01	85.82	28.24	73.54	76.17	105.89	88.88	66.18	59.13	59.13	95.34	37.05	76.17	75.11	71.0	118.43	73.54	63.45	132.44	65.72	88.88	43.94	74.58	63.45	92.05	40.64	41.52	119.26	100.13	49.91	64.8	106.63	59.55	49.21	87.65	43.94	37.32	53.57	62.56	70.01	58.71	95.34	116.78	82.29	120.94	105.15	78.89	91.41	110.43	76.71	71.5	78.34	84.63	90.77	49.21	56.28	55.49	91.41	116.78	62.12	51.35	143.01	87.03	96.68	43.63	85.82	102.25	142.01	111.99	64.34	104.42	122.64	37.59	59.13	121.79	78.89	85.82	75.64	45.85	102.25	61.25	53.95	72.52	62.56	40.36	66.65	73.03	79.45	71.0	68.55	59.13	67.59	63.89
DNAJC14	143.01	110.43	226.54	607.87	551.56	384.34	423.61	684.02	656.11	447.82	486.75	540.19	656.11	583.07	318.57	547.75	327.56	647.07	493.56	579.04	674.59	392.44	665.29	629.35	647.07	454.09	555.41	511.0	633.73	480.04	642.59	466.88	497.0	624.99	651.58	507.46	473.41	536.45	595.34	351.14	612.11	563.18	620.67	669.92	587.13	417.77	563.18	567.1	674.59	376.41	295.11	563.18	728.11	135.24	356.05	728.11	780.44	336.79	536.45	387.02	444.72	392.44	571.05	679.29	253.23	647.07	348.71	607.87	529.06	688.78	665.29	660.68	674.59	543.96	507.46	748.61	547.75	587.13	463.65	493.56	733.19	693.58	470.14	373.81	514.56	432.53	583.07	384.34	647.07	698.41	547.75	633.73	397.93	521.76	669.92	599.49	525.39	466.88	629.35	733.19	346.29	521.76	638.15	521.76	575.03	599.49	497.0	674.59	379.04	457.25	432.53	575.03	420.68	536.45	511.0	651.58	423.61	376.41	376.41	500.46	480.04
DNAJC6	11.04	17.9	2.68	14.89	63.0	19.11	43.32	50.98	33.54	8.51	62.56	20.71	39.5	31.0	17.38	10.08	13.72	44.89	18.97	19.39	61.25	19.82	17.13	28.45	91.41	35.0	20.56	31.0	43.02	23.08	26.86	13.03	34.02	19.97	31.22	16.63	11.73	17.9	40.07	7.11	32.13	36.01	25.91	66.18	65.26	17.38	52.82	21.32	31.67	12.45	15.11	29.48	15.8	4.31	6.21	47.84	31.0	10.88	22.75	57.08	15.56	16.03	25.91	50.63	6.36	23.59	12.93	18.43	21.63	26.67	20.56	28.04	28.24	35.76	24.28	43.63	23.08	18.29	17.25	12.74	18.7	22.75	14.14	15.8	12.74	22.59	48.52	16.15	17.0	38.95	28.86	30.56	6.94	19.53	26.86	20.56	33.54	20.11	35.25	8.99	6.73	22.43	28.45	17.77	31.22	66.65	22.43	28.86	11.82	24.46	16.63	21.16	10.63	18.97	14.89	31.67	29.06	17.13	20.11	21.32	10.71
E2F3	80.57	40.64	28.24	111.99	116.78	42.11	63.89	157.68	163.28	71.0	134.3	86.43	132.44	108.14	50.63	96.01	97.36	115.16	69.03	63.45	123.5	58.71	86.43	151.22	211.31	112.77	129.69	104.42	128.79	52.45	110.43	81.14	63.89	110.43	76.17	74.58	86.43	49.21	93.35	39.22	88.88	96.01	60.39	283.05	67.12	45.85	218.79	68.07	114.36	56.68	63.0	82.29	152.28	73.54	47.17	135.24	140.04	55.49	75.11	169.07	57.08	43.32	91.41	96.68	105.89	83.45	44.89	61.25	65.72	106.63	94.01	82.29	129.69	133.36	100.83	98.73	94.01	96.01	65.72	73.03	86.43	157.68	49.21	65.72	74.58	77.79	172.65	55.89	109.66	97.36	88.26	147.06	53.19	76.17	118.43	81.71	164.42	71.0	84.04	153.34	65.26	58.71	107.38	59.55	72.01	123.5	34.75	111.21	62.56	65.26	75.64	52.82	55.89	81.14	96.68	74.58	65.72	36.79	41.52	42.71	54.72
EP300	93.35	78.34	127.89	595.34	651.58	146.03	327.56	878.17	679.29	293.07	551.56	320.8	669.92	665.29	209.84	334.46	348.71	802.41	293.07	358.54	669.92	293.07	379.04	426.57	748.61	285.03	493.56	743.43	633.73	368.65	366.09	334.46	379.04	536.45	389.72	305.55	307.69	373.81	511.0	253.23	358.54	376.41	329.84	698.41	555.41	206.94	591.22	387.02	476.71	320.8	206.94	571.05	353.59	152.28	161.02	753.83	514.56	191.67	389.72	591.22	341.51	237.86	389.72	366.09	220.32	262.2	202.66	406.31	332.14	567.1	633.73	514.56	540.19	500.46	376.41	536.45	607.87	406.31	320.8	361.04	463.65	511.0	307.69	273.37	363.56	249.73	647.07	185.11	454.09	819.3	400.71	718.08	209.84	373.81	579.04	376.41	417.77	320.8	490.14	571.05	232.94	334.46	536.45	373.81	514.56	363.56	239.52	599.49	256.78	376.41	237.86	395.18	275.28	271.48	289.02	373.81	220.32	135.24	356.05	273.37	228.13
