	TCGA.AK.3447.01A.01R.1766.07	TCGA.67.3770.01A.01R.0946.07	TCGA.49.4510.01A.01R.1206.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.97.8171.01A.11R.2287.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R7.01A.11R.A220.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
AFF4	105.89	258.57	361.04	251.48	412.0	201.25	376.41	277.2	356.05	202.66	336.79	379.04	417.77	287.01	297.17	559.28	429.54	473.41	299.25	529.06	202.66	460.44	275.28	327.56	379.04	595.34	309.83	444.72	638.15	583.07	420.68	376.41	309.83	336.79	429.54	277.2	371.22	336.79	373.81	679.29	660.68	387.02	463.65	503.95	336.79	323.03	363.56	392.44	224.97	441.64	457.25	346.29	476.71	454.09	361.04	255.0	368.65	361.04	647.07	283.05	514.56	674.59	559.28	329.84	381.68	387.02	432.53	457.25	679.29	318.57	341.51	316.37	426.57	463.65	314.17	693.58	356.05	878.17	493.56	738.29	379.04	287.01	463.65	591.22	759.08	507.46	414.87	381.68	301.33	348.71	559.28	447.82	381.68	289.02	384.34	358.54	743.43	514.56	497.0	470.14	420.68	343.89	540.19	532.74	470.14	603.67	281.09	753.83	381.68	733.19	551.56	384.34	376.41	620.67	264.03	429.54	262.2	303.44
ARID1B	30.56	209.84	231.32	140.04	400.71	191.67	409.15	351.14	409.15	223.41	351.14	295.11	379.04	264.03	237.86	591.22	320.8	547.75	260.38	480.04	265.87	503.95	334.46	395.18	368.65	532.74	363.56	426.57	409.15	507.46	493.56	426.57	277.2	253.23	343.89	314.17	403.5	293.07	417.77	587.13	583.07	373.81	503.95	454.09	299.25	371.22	366.09	381.68	239.52	483.38	368.65	432.53	490.14	329.84	379.04	229.72	215.77	334.46	507.46	217.27	480.04	536.45	514.56	289.02	500.46	417.77	400.71	426.57	493.56	346.29	368.65	363.56	389.72	503.95	297.17	463.65	473.41	454.09	563.18	543.96	299.25	312.0	356.05	532.74	656.11	514.56	441.64	353.59	260.38	253.23	521.76	429.54	303.44	283.05	444.72	327.56	638.15	392.44	486.75	460.44	379.04	329.84	490.14	426.57	343.89	511.0	283.05	540.19	400.71	607.87	563.18	293.07	343.89	447.82	218.79	264.03	329.84	373.81
ASAP1	36.79	151.22	162.14	134.3	285.03	110.43	209.84	231.32	100.13	194.36	264.03	381.68	190.34	329.84	289.02	447.82	334.46	547.75	277.2	503.95	194.36	368.65	285.03	255.0	400.71	503.95	387.02	348.71	466.88	361.04	329.84	285.03	185.11	389.72	466.88	167.9	269.6	242.88	351.14	547.75	363.56	265.87	400.71	379.04	267.73	269.6	221.86	301.33	178.77	450.94	417.77	343.89	336.79	366.09	301.33	332.14	167.9	361.04	438.59	197.09	307.69	486.75	438.59	223.41	251.48	432.53	521.76	414.87	435.55	314.17	256.78	426.57	373.81	483.38	228.13	400.71	320.8	490.14	412.0	656.11	318.57	273.37	343.89	305.55	486.75	571.05	332.14	283.05	239.52	218.79	493.56	218.79	287.01	220.32	316.37	277.2	647.07	320.8	460.44	435.55	329.84	260.38	412.0	429.54	314.17	435.55	246.28	417.77	320.8	551.56	293.07	438.59	309.83	373.81	412.0	209.84	241.19	279.14
ASH1L	16.63	96.68	169.07	101.54	239.52	133.36	205.5	244.57	409.15	68.55	201.25	187.71	236.21	171.45	107.38	356.05	237.86	312.0	156.59	305.55	130.6	262.2	172.65	181.28	217.27	343.89	204.07	267.73	309.83	351.14	301.33	262.2	177.53	154.42	199.85	176.29	214.27	183.82	260.38	392.44	460.44	251.48	336.79	291.04	135.24	178.77	199.85	228.13	139.07	293.07	214.27	258.57	255.0	249.73	237.86	154.42	159.9	191.67	423.61	139.07	373.81	381.68	356.05	181.28	215.77	221.86	189.02	283.05	353.59	212.78	175.07	178.77	293.07	325.29	175.07	412.0	275.28	426.57	325.29	403.5	193.01	139.07	293.07	389.72	525.39	307.69	258.57	209.84	148.09	182.55	307.69	406.31	178.77	155.5	253.23	185.11	551.56	368.65	273.37	275.28	246.28	187.71	363.56	301.33	256.78	373.81	151.22	466.88	201.25	426.57	420.68	176.29	242.88	351.14	134.3	199.85	148.09	206.94
ASXL2	25.17	60.82	50.27	74.58	161.02	57.49	104.42	79.45	127.0	67.12	86.43	97.36	115.16	73.03	69.03	185.11	126.12	141.02	63.89	130.6	59.97	128.79	65.72	76.17	91.41	161.02	90.14	116.78	165.57	148.09	115.16	100.13	55.89	77.79	104.42	63.0	88.88	77.25	107.38	189.02	208.38	101.54	147.06	120.1	70.01	76.71	89.51	105.15	55.89	132.44	105.89	90.14	128.79	128.79	106.63	57.89	77.79	79.45	165.57	66.65	139.07	198.47	159.9	76.17	108.9	104.42	98.73	151.22	172.65	77.79	77.79	91.41	105.89	126.12	73.54	186.4	109.66	211.31	141.02	201.25	102.25	77.25	132.44	163.28	234.57	145.02	92.7	104.42	69.52	89.51	144.01	103.69	63.45	72.01	101.54	88.88	190.34	138.1	144.01	125.24	115.16	82.87	144.01	128.79	127.89	170.25	76.17	231.32	80.57	204.07	157.68	94.67	99.43	183.82	49.56	102.25	65.72	91.41
ATRX	87.03	166.73	171.45	140.04	363.56	105.15	201.25	228.13	260.38	159.9	191.67	223.41	234.57	177.53	144.01	363.56	215.77	275.28	176.29	327.56	111.99	297.17	171.45	185.11	256.78	363.56	202.66	279.14	361.04	426.57	327.56	251.48	173.85	191.67	275.28	150.17	205.5	187.71	214.27	387.02	336.79	239.52	260.38	285.03	220.32	186.4	214.27	244.57	126.12	303.44	231.32	202.66	316.37	293.07	194.36	137.14	194.36	275.28	387.02	151.22	260.38	400.71	341.51	173.85	221.86	279.14	275.28	279.14	371.22	204.07	224.97	208.38	218.79	237.86	158.79	351.14	241.19	444.72	309.83	409.15	211.31	205.5	223.41	325.29	426.57	281.09	253.23	202.66	169.07	166.73	327.56	202.66	211.31	186.4	231.32	253.23	476.71	323.03	332.14	309.83	231.32	187.71	341.51	279.14	249.73	312.0	180.02	366.09	199.85	379.04	358.54	248.0	221.86	389.72	187.71	204.07	173.85	217.27
BAZ2B	21.32	224.97	314.17	129.69	329.84	265.87	256.78	281.09	283.05	208.38	450.94	373.81	476.71	269.6	267.73	620.67	444.72	583.07	249.73	532.74	223.41	624.99	346.29	384.34	389.72	728.11	384.34	507.46	603.67	633.73	583.07	476.71	339.14	341.51	417.77	314.17	470.14	351.14	536.45	684.02	698.41	454.09	607.87	547.75	414.87	329.84	493.56	470.14	223.41	514.56	460.44	412.0	483.38	540.19	343.89	242.88	237.86	406.31	723.08	255.0	480.04	571.05	559.28	371.22	483.38	547.75	417.77	483.38	669.92	447.82	457.25	318.57	525.39	674.59	332.14	642.59	555.41	647.07	785.88	769.69	387.02	299.25	480.04	555.41	748.61	543.96	543.96	376.41	309.83	297.17	698.41	470.14	444.72	314.17	571.05	417.77	967.76	432.53	514.56	642.59	470.14	343.89	638.15	674.59	540.19	525.39	305.55	688.78	389.72	688.78	764.36	409.15	351.14	518.15	130.6	447.82	368.65	389.72
BBX	149.12	162.14	138.1	135.24	329.84	194.36	195.72	224.97	129.69	212.78	236.21	248.0	332.14	177.53	172.65	543.96	301.33	409.15	185.11	409.15	158.79	371.22	224.97	217.27	234.57	423.61	248.0	371.22	438.59	536.45	356.05	262.2	205.5	193.01	287.01	183.82	283.05	204.07	289.02	514.56	480.04	293.07	366.09	348.71	187.71	205.5	273.37	264.03	153.34	384.34	271.48	265.87	353.59	351.14	285.03	139.07	246.28	232.94	521.76	182.55	384.34	629.35	447.82	218.79	295.11	251.48	291.04	409.15	466.88	236.21	242.88	229.72	267.73	334.46	228.13	540.19	287.01	583.07	457.25	529.06	262.2	215.77	334.46	454.09	624.99	400.71	287.01	295.11	205.5	202.66	441.64	348.71	198.47	185.11	295.11	228.13	624.99	381.68	387.02	406.31	316.37	255.0	444.72	368.65	356.05	414.87	211.31	607.87	258.57	532.74	486.75	237.86	242.88	521.76	139.07	281.09	212.78	260.38
CBL	11.64	32.59	42.41	34.75	100.13	31.67	53.57	92.7	72.52	70.01	90.77	108.14	101.54	81.71	73.54	173.85	92.05	139.07	70.01	143.01	68.55	120.94	88.26	102.97	78.34	171.45	124.37	112.77	158.79	151.22	132.44	85.22	55.49	95.34	102.25	77.25	121.79	76.71	115.16	145.02	176.29	112.77	113.56	125.24	76.71	90.77	83.45	114.36	53.95	156.59	116.78	81.14	139.07	111.21	100.83	71.5	63.89	89.51	148.09	67.59	109.66	183.82	150.17	81.71	115.16	135.24	132.44	124.37	132.44	100.13	105.15	116.78	115.97	140.04	106.63	171.45	88.88	158.79	158.79	150.17	97.36	87.03	102.25	126.12	173.85	146.03	99.43	128.79	90.14	90.14	139.07	93.35	89.51	82.87	114.36	88.26	156.59	135.24	152.28	98.04	104.42	84.04	136.19	115.97	114.36	140.04	83.45	159.9	85.82	169.07	150.17	113.56	97.36	146.03	90.77	108.14	94.67	110.43
CNOT6L	113.56	159.9	175.07	146.03	242.88	165.57	149.12	172.65	121.79	155.5	164.42	171.45	175.07	127.89	131.51	389.72	167.9	248.0	123.5	220.32	102.25	221.86	112.77	143.01	173.85	307.69	236.21	241.19	265.87	305.55	220.32	220.32	129.69	131.51	173.85	127.89	209.84	118.43	193.01	291.04	314.17	182.55	239.52	220.32	118.43	148.09	205.5	190.34	110.43	265.87	137.14	185.11	217.27	232.94	180.02	86.43	111.99	156.59	327.56	114.36	228.13	353.59	289.02	115.97	220.32	170.25	189.02	197.09	305.55	164.42	123.5	197.09	169.07	208.38	140.04	329.84	190.34	325.29	229.72	363.56	153.34	143.01	221.86	273.37	351.14	271.48	201.25	154.42	131.51	131.51	293.07	205.5	133.36	143.01	202.66	148.09	351.14	293.07	271.48	195.72	183.82	157.68	241.19	175.07	189.02	242.88	138.1	381.68	150.17	379.04	320.8	145.02	166.73	297.17	105.15	146.03	154.42	171.45
