	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.VUSG.0926.SM.3GIK6	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.YECK.0926.SM.4W214	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.11I78.0126.SM.5HL6F	GTEX.U3ZN.0626.SM.3DB7U	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13PL7.1726.SM.5J2NX	GTEX.UJHI.0726.SM.3DB92	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.12WSA.1026.SM.5EGHN	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ
B3GNTL1	65.26	73.54	53.57	19.68	0.0	0.64	94.01	90.77	31.0	60.82	119.26	137.14	127.89	297.17	133.36	91.41	69.52	90.77	185.11	172.65	147.06	84.04	104.42	49.56	159.9	128.79	185.11	127.0	129.69	141.02	202.66	85.82	169.07	79.45	149.12	80.57	211.31	111.99	45.85
C16orf86	8.32	7.88	23.59	39.5	0.0	0.31	50.27	88.26	97.36	56.28	123.5	65.72	146.03	176.29	176.29	144.01	67.12	90.77	214.27	158.79	38.67	126.12	26.86	60.39	170.25	136.19	126.12	165.57	79.45	128.79	166.73	33.3	177.53	48.87	142.01	130.6	265.87	69.03	42.71
C19orf60	221.86	60.82	329.84	518.15	0.0	0.73	521.76	1407.55	480.04	575.03	1242.34	1407.55	1096.5	1685.71	2119.22	665.29	915.51	563.18	1977.24	1662.49	620.67	1467.37	698.41	454.09	748.61	1769.57	1159.07	1572.76	1104.13	1008.9	1572.76	373.81	1073.91	616.37	1378.57	819.3	1551.09	429.54	297.17
C1QTNF4	0.0	1.5	0.26	0.0	0.0	0.33	7.4	4.5	3.08	0.42	3.41	9.7	3.79	16.27	15.8	0.0	11.38	0.6	14.89	8.13	0.57	5.5	1.91	1.51	3.69	8.92	7.4	12.18	3.23	4.31	6.01	2.56	12.09	0.74	6.06	7.4	12.36	0.75	0.0
C1orf159	55.89	77.79	32.36	66.65	0.0	0.79	74.06	130.6	124.37	73.03	132.44	85.22	136.19	371.22	202.66	164.42	123.5	111.21	249.73	223.41	105.89	130.6	39.79	102.25	140.04	214.27	239.52	133.36	92.7	138.1	309.83	82.87	180.02	68.55	185.11	111.99	249.73	89.51	75.64
C21orf119	181.28	77.79	73.03	79.45	0.0	0.26	153.34	255.0	181.28	90.14	177.53	173.85	191.67	267.73	218.79	199.85	173.85	182.55	305.55	136.19	100.13	279.14	42.11	212.78	234.57	198.47	258.57	271.48	205.5	232.94	283.05	193.01	381.68	69.03	260.38	157.68	341.51	128.79	86.43
C6orf226	115.97	165.57	130.6	353.59	0.0	0.45	212.78	738.29	334.46	183.82	529.06	361.04	507.46	713.11	603.67	279.14	497.0	314.17	995.0	438.59	197.09	591.22	119.26	205.5	327.56	660.68	305.55	384.34	629.35	412.0	718.08	116.78	988.12	244.57	320.8	289.02	1259.69	285.03	134.3
CCDC130	162.14	100.83	176.29	155.5	0.0	1.19	303.44	423.61	346.29	244.57	529.06	463.65	567.1	921.88	909.17	575.03	397.93	473.41	961.07	909.17	395.18	497.0	236.21	346.29	514.56	860.08	1242.34	785.88	559.28	521.76	1051.79	249.73	884.29	265.87	836.53	536.45	791.35	348.71	226.54
COL9A2	39.5	20.41	10.24	0.0	0.0	0.58	40.07	64.8	51.35	28.86	95.34	152.28	314.17	503.95	543.96	42.11	44.57	97.36	866.07	165.57	39.22	47.5	6.78	34.75	117.6	361.04	220.32	241.19	71.0	62.56	320.8	15.91	202.66	23.42	123.5	88.26	108.9	72.01	29.48
DCAF15	195.72	137.14	93.35	218.79	0.0	0.75	267.73	429.54	297.17	329.84	412.0	591.22	743.43	884.29	665.29	490.14	447.82	307.69	808.0	769.69	392.44	460.44	356.05	341.51	536.45	543.96	813.63	624.99	426.57	426.57	825.0	273.37	525.39	275.28	674.59	381.68	536.45	301.33	146.03
