	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.A7.A26E.01A.11R.A277.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.AQ.A0Y5.01A.11R.A14M.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.U3ZN.0226.SM.3DB8D	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.13FTW.1126.SM.5J2NV	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	TCGA.38.4625.01A.01R.1206.07.1
MAN1A2	547.75	780.44	579.04	285.03	409.15	447.82	723.08	89.51	575.03	368.65	915.51	63.45	155.5	251.48	87.03	116.78	122.64	218.79	114.36	98.73	169.07	108.9	507.46	145.02	68.55	156.59	206.94	150.17	258.57	185.11	579.04	253.23	117.6	204.07	271.48	185.11	289.02	163.28	138.1	197.09	260.38	128.79	170.25	162.14	167.9	170.25	164.42	120.1	129.69	212.78	142.01	0.47
MAP7	934.76	366.09	599.49	1498.22	738.29	543.96	429.54	201.25	403.5	521.76	642.59	293.07	100.13	267.73	142.01	122.64	204.07	267.73	140.04	190.34	414.87	87.65	336.79	92.05	183.82	450.94	299.25	180.02	872.1	260.38	819.3	368.65	358.54	309.83	406.31	327.56	1322.37	190.34	180.02	327.56	514.56	190.34	373.81	356.05	197.09	144.01	223.41	141.02	234.57	540.19	218.79	0.0
MIB1	392.44	1151.06	432.53	368.65	327.56	1030.12	1008.9	55.1	525.39	470.14	688.78	18.29	92.7	111.99	68.55	49.56	77.79	133.36	40.07	53.95	323.03	52.08	124.37	96.01	46.18	96.01	98.04	95.34	96.01	85.82	237.86	157.68	75.11	70.01	176.29	73.03	172.65	115.97	67.12	116.78	118.43	88.88	101.54	69.03	88.88	63.89	87.65	60.39	88.26	90.14	51.35	0.41
NAA30	543.96	363.56	444.72	633.73	297.17	723.08	379.04	63.45	470.14	728.11	450.94	78.34	112.77	141.02	111.21	137.14	141.02	165.57	101.54	104.42	303.44	108.14	256.78	129.69	115.97	176.29	133.36	128.79	163.28	208.38	295.11	332.14	108.9	99.43	279.14	164.42	223.41	208.38	155.5	211.31	167.9	166.73	206.94	156.59	129.69	182.55	185.11	177.53	151.22	145.02	115.16	0.42
NUS1	738.29	438.59	775.05	981.29	642.59	1250.98	497.0	103.69	981.29	764.36	1277.29	142.01	303.44	525.39	244.57	109.66	318.57	277.2	265.87	269.6	780.44	163.28	514.56	176.29	191.67	395.18	447.82	283.05	629.35	361.04	842.36	503.95	237.86	295.11	503.95	318.57	379.04	441.64	287.01	358.54	368.65	307.69	438.59	242.88	229.72	291.04	387.02	279.14	287.01	379.04	279.14	82.29
PDS5A	836.53	1331.57	1457.23	1467.37	743.43	1651.0	1167.14	241.19	915.51	1225.22	1073.91	123.5	312.0	339.14	236.21	209.84	253.23	473.41	199.85	215.77	819.3	194.36	543.96	258.57	157.68	237.86	316.37	384.34	379.04	450.94	785.88	540.19	303.44	287.01	547.75	255.0	400.71	307.69	248.0	438.59	271.48	218.79	309.83	368.65	307.69	226.54	336.79	218.79	323.03	316.37	199.85	0.72
PGM3	1745.2	1127.35	872.1	2384.37	1081.39	1066.48	947.83	189.02	599.49	463.65	540.19	289.02	316.37	819.3	226.54	113.56	348.71	341.51	143.01	180.02	1709.26	181.28	583.07	356.05	332.14	389.72	703.28	305.55	1023.0	329.84	1844.76	409.15	559.28	660.68	1023.0	275.28	281.09	348.71	361.04	314.17	587.13	361.04	493.56	154.42	231.32	239.52	341.51	231.32	432.53	490.14	463.65	0.55
PIK3C2A	669.92	791.35	457.25	447.82	507.46	1111.82	1096.5	57.49	660.68	759.08	1159.07	21.32	95.34	193.01	86.43	54.33	78.89	158.79	74.06	54.33	256.78	62.12	224.97	104.42	23.93	134.3	159.9	81.14	171.45	106.63	403.5	151.22	105.15	150.17	154.42	84.04	177.53	67.12	53.95	115.16	208.38	94.01	171.45	97.36	93.35	96.01	133.36	75.64	108.9	211.31	76.71	0.46
PIKFYVE	221.86	336.79	202.66	224.97	142.01	169.07	363.56	27.25	265.87	197.09	287.01	32.36	51.71	81.71	35.0	42.41	46.5	92.05	33.06	30.56	194.36	35.25	156.59	46.5	28.86	63.0	65.72	61.25	49.56	101.54	131.51	133.36	49.21	80.57	96.68	54.72	85.82	34.75	47.5	81.71	103.69	38.12	97.36	69.52	79.45	38.4	49.56	73.54	57.89	99.43	63.89	0.61
PJA2	1870.53	2758.13	2090.03	2573.36	1685.71	2018.8	2451.44	314.17	2591.27	4123.49	2777.33	366.09	525.39	896.64	303.44	381.68	447.82	836.53	423.61	454.09	1151.06	289.02	1051.79	224.97	476.71	698.41	651.58	563.18	848.22	629.35	2075.59	1066.48	392.44	521.76	1250.98	587.13	813.63	728.11	583.07	656.11	629.35	423.61	1051.79	679.29	395.18	397.93	759.08	603.67	571.05	698.41	457.25	0.59
