	GTEX.SE5C.1026.SM.4BRUG	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3T8.11A.11R.A22L.07	TCGA.EL.A3T3.11A.11R.A22L.07	TCGA.EL.A3ZR.11A.11R.A23N.07	TCGA.KS.A41L.11A.11R.A23N.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3H1.11A.11R.A21D.07	TCGA.EL.A3T7.11A.21R.A22L.07	TCGA.KS.A41J.11A.12R.A23N.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.H2.A3RI.11A.11R.A220.07	TCGA.EM.A1CT.11A.11R.A13Y.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.XUW1.1026.SM.4BONY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.XBEW.0126.SM.4AT66	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O21.2226.SM.5MR3L
AGAP5	31.9	0.0	5.54	6.84	70.01	35.5	44.57	35.0	31.67	48.52	53.95	42.71	77.25	40.93	62.56	37.32	108.9	146.03	147.06	170.25	199.85	95.34	177.53	156.59	185.11	161.02	151.22	61.68	198.47	81.71	74.06	82.29	102.25	97.36	98.73	220.32	96.68	71.0	77.25	104.42	147.06	86.43	106.63	100.83	109.66	75.64	87.03	120.1	164.42	101.54	116.78	197.09	205.5	211.31	115.16	123.5	100.13	108.14	171.45	60.39	177.53	101.54	90.77	148.09	89.51	76.17	132.44	76.17	100.13	198.47	106.63	74.06	53.95	127.89	81.71	94.67	46.84	87.03	58.71	202.66	84.04	97.36	143.01	69.03	141.02	158.79	96.01	109.66
AKAP8	236.21	0.0	181.28	297.17	356.05	305.55	223.41	208.38	237.86	334.46	346.29	246.28	269.6	269.6	236.21	234.57	392.44	432.53	507.46	460.44	476.71	392.44	490.14	490.14	540.19	432.53	417.77	406.31	476.71	361.04	336.79	463.65	511.0	438.59	323.03	376.41	457.25	265.87	409.15	503.95	457.25	366.09	447.82	525.39	373.81	343.89	450.94	376.41	624.99	438.59	389.72	429.54	500.46	486.75	450.94	409.15	260.38	480.04	551.56	389.72	366.09	426.57	371.22	351.14	414.87	450.94	438.59	356.05	379.04	429.54	503.95	476.71	368.65	432.53	414.87	412.0	339.14	371.22	384.34	466.88	460.44	438.59	483.38	325.29	463.65	543.96	275.28	438.59
ANGEL1	118.43	0.0	83.45	45.53	248.0	277.2	182.55	289.02	173.85	201.25	212.78	142.01	153.34	169.07	180.02	197.09	249.73	320.8	381.68	384.34	409.15	271.48	426.57	334.46	376.41	353.59	307.69	187.71	599.49	232.94	208.38	212.78	301.33	242.88	320.8	426.57	318.57	224.97	241.19	273.37	314.17	234.57	237.86	309.83	275.28	271.48	314.17	297.17	397.93	297.17	295.11	339.14	423.61	438.59	301.33	414.87	316.37	316.37	420.68	193.01	486.75	299.25	244.57	409.15	234.57	265.87	336.79	197.09	323.03	348.71	285.03	258.57	251.48	420.68	281.09	371.22	106.63	193.01	277.2	417.77	297.17	323.03	371.22	236.21	271.48	412.0	241.19	314.17
ATF6B	813.63	0.0	1030.12	1572.76	1857.6	2032.85	1540.37	1477.58	1572.76	1923.14	1721.16	1781.89	1883.54	1498.22	1709.26	1225.22	1870.53	2018.8	2434.5	2104.58	2451.44	1594.73	2240.11	2255.7	2090.03	2148.82	2400.97	1844.76	1896.65	1745.2	1417.35	1936.53	2163.77	2303.12	2148.82	2485.67	1977.24	1697.45	1781.89	2004.85	2796.65	1639.59	1794.29	2303.12	1963.57	1857.6	2163.77	1950.0	2573.36	2163.77	2104.58	2835.7	3039.3	1540.37	2133.97	1883.54	2090.03	1936.53	2591.27	1617.0	2956.17	2193.99	1540.37	2224.63	1794.29	2004.85	2209.26	1340.84	1721.16	2555.58	2255.7	1896.65	1551.09	2303.12	1674.06	1936.53	1757.34	2104.58	1950.0	2434.5	1733.13	2193.99	2032.85	1806.78	2335.28	3039.3	2104.58	1977.24
BRD8	307.69	0.0	265.87	353.59	981.29	995.0	620.67	490.14	483.38	854.13	909.17	507.46	764.36	629.35	583.07	872.1	1216.75	1295.13	1407.55	1583.71	1583.71	928.3	1583.71	1617.0	1477.58	1437.15	1378.57	808.0	1551.09	753.83	848.22	954.43	1896.65	1073.91	1175.27	1313.23	1407.55	825.0	791.35	1378.57	961.07	854.13	1015.93	1277.29	988.12	1127.35	995.0	1030.12	1870.53	1331.57	1369.04	1340.84	1407.55	1605.83	1457.23	1081.39	1167.14	1733.13	1844.76	842.36	1487.87	1407.55	872.1	1233.75	1059.11	1096.5	1819.35	836.53	1127.35	1529.73	791.35	1151.06	884.29	1359.57	915.51	1216.75	860.08	1119.56	909.17	1529.73	1286.18	1322.37	1286.18	909.17	1242.34	1583.71	915.51	1199.98
C17orf85	236.21	236.21	159.9	185.11	441.64	497.0	412.0	343.89	332.14	381.68	426.57	309.83	314.17	325.29	368.65	248.0	532.74	529.06	620.67	638.15	638.15	575.03	603.67	703.28	679.29	587.13	603.67	503.95	775.05	454.09	480.04	514.56	638.15	514.56	480.04	796.86	819.3	384.34	642.59	497.0	575.03	599.49	460.44	497.0	480.04	642.59	432.53	543.96	808.0	518.15	497.0	703.28	698.41	759.08	567.1	607.87	414.87	647.07	679.29	417.77	679.29	507.46	400.71	620.67	547.75	518.15	775.05	336.79	599.49	738.29	624.99	503.95	444.72	698.41	551.56	463.65	299.25	514.56	412.0	743.43	521.76	460.44	693.58	384.34	624.99	854.13	543.96	536.45
C19orf55	61.25	249.73	69.52	88.88	176.29	237.86	154.42	85.82	130.6	127.89	122.64	144.01	206.94	107.38	141.02	79.45	244.57	309.83	307.69	329.84	450.94	231.32	336.79	320.8	289.02	397.93	279.14	156.59	329.84	138.1	170.25	314.17	314.17	379.04	197.09	438.59	305.55	148.09	309.83	384.34	301.33	221.86	248.0	312.0	320.8	143.01	309.83	249.73	379.04	314.17	124.37	343.89	299.25	379.04	142.01	283.05	177.53	299.25	438.59	234.57	435.55	309.83	255.0	249.73	143.01	318.57	356.05	256.78	218.79	379.04	318.57	351.14	199.85	366.09	356.05	287.01	182.55	295.11	239.52	368.65	332.14	329.84	307.69	171.45	221.86	423.61	164.42	414.87
CBFA2T2	181.28	0.0	47.17	86.43	205.5	277.2	181.28	114.36	176.29	177.53	172.65	134.3	181.28	169.07	173.85	137.14	258.57	269.6	336.79	305.55	379.04	256.78	389.72	358.54	303.44	346.29	283.05	178.77	320.8	189.02	249.73	220.32	297.17	273.37	208.38	429.54	297.17	187.71	191.67	209.84	316.37	242.88	205.5	325.29	258.57	191.67	295.11	237.86	332.14	221.86	256.78	361.04	301.33	432.53	277.2	285.03	226.54	297.17	318.57	199.85	486.75	267.73	215.77	318.57	191.67	281.09	307.69	211.31	232.94	361.04	241.19	241.19	197.09	389.72	258.57	271.48	187.71	279.14	211.31	314.17	224.97	275.28	329.84	228.13	265.87	307.69	199.85	287.01
CCDC142	41.81	55.1	28.04	28.04	73.03	62.56	49.91	25.91	42.11	72.52	92.7	38.4	88.88	68.55	50.27	31.22	98.04	123.5	136.19	148.09	172.65	92.7	162.14	121.79	166.73	125.24	127.89	88.26	124.37	86.43	65.26	138.1	147.06	161.02	105.15	112.77	153.34	62.56	100.13	159.9	144.01	76.71	134.3	159.9	113.56	86.43	170.25	96.68	165.57	120.94	126.12	211.31	151.22	180.02	85.82	133.36	134.3	134.3	185.11	108.9	132.44	182.55	103.69	110.43	93.35	150.17	146.03	58.71	94.67	120.94	92.7	81.14	108.9	84.04	112.77	112.77	76.17	119.26	118.43	125.24	103.69	97.36	115.16	93.35	88.26	197.09	83.45	133.36
CEP164	108.14	183.82	70.51	78.34	376.41	334.46	248.0	262.2	209.84	291.04	373.81	197.09	454.09	218.79	260.38	220.32	441.64	379.04	435.55	447.82	525.39	366.09	511.0	466.88	480.04	497.0	447.82	281.09	518.15	283.05	251.48	307.69	450.94	403.5	305.55	624.99	373.81	246.28	295.11	368.65	432.53	320.8	409.15	450.94	381.68	361.04	320.8	327.56	540.19	379.04	420.68	518.15	547.75	529.06	384.34	343.89	373.81	438.59	595.34	232.94	612.11	423.61	303.44	525.39	260.38	356.05	438.59	260.38	373.81	540.19	403.5	371.22	277.2	490.14	279.14	376.41	195.72	334.46	265.87	599.49	253.23	450.94	532.74	251.48	460.44	511.0	248.0	420.68
