	TCGA.5N.A9KI.01A.31R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CM.6171.01A.11R.1653.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GL.01A.12R.A37I.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.WHPG.0426.SM.4M1XW	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
AP1AR	197.09	336.79	351.14	155.5	470.14	249.73	642.59	279.14	503.95	361.04	303.44	802.41	190.34	291.04	356.05	79.45	202.66	169.07	175.07	105.89	165.57	193.01	190.34	144.01	82.29	125.24	137.14	323.03	211.31	217.27	400.71	172.65	567.1	532.74	305.55	432.53	332.14	400.71	373.81	193.01	348.71	325.29	273.37	223.41	189.02	232.94
API5	571.05	842.36	1023.0	791.35	1159.07	1143.1	1397.83	1143.1	764.36	1175.27	981.29	1167.14	1015.93	1044.52	764.36	262.2	551.56	591.22	543.96	547.75	412.0	454.09	500.46	607.87	543.96	698.41	612.11	599.49	848.22	493.56	974.5	941.27	1359.57	2997.45	1457.23	1104.13	1322.37	1662.49	921.88	532.74	738.29	1572.76	878.17	802.41	884.29	633.73
ATAD1	273.37	323.03	409.15	450.94	854.13	497.0	656.11	603.67	674.59	497.0	429.54	532.74	447.82	571.05	438.59	273.37	277.2	249.73	307.69	323.03	366.09	241.19	256.78	303.44	297.17	202.66	314.17	318.57	642.59	163.28	358.54	532.74	796.86	417.77	555.41	607.87	551.56	507.46	595.34	366.09	493.56	607.87	343.89	318.57	303.44	305.55
ATG2B	30.34	93.35	102.25	131.51	120.94	100.83	217.27	96.68	248.0	195.72	119.26	267.73	146.03	134.3	129.69	44.25	78.34	78.89	81.71	65.72	73.03	81.71	85.22	81.71	53.57	91.41	33.78	81.14	145.02	115.16	147.06	152.28	190.34	141.02	438.59	170.25	212.78	307.69	166.73	95.34	153.34	190.34	53.19	104.42	48.87	124.37
BDP1	84.63	83.45	221.86	172.65	224.97	215.77	246.28	116.78	175.07	220.32	100.13	277.2	189.02	220.32	128.79	22.92	69.03	59.97	63.0	54.72	81.14	45.85	74.06	57.89	23.42	30.78	98.73	55.1	226.54	74.06	287.01	175.07	314.17	414.87	265.87	253.23	193.01	420.68	366.09	138.1	267.73	236.21	120.1	88.88	111.21	105.15
BOD1L1	195.72	167.9	346.29	591.22	366.09	320.8	420.68	260.38	483.38	351.14	206.94	470.14	314.17	361.04	327.56	48.18	92.05	120.1	106.63	66.18	78.89	88.26	98.73	113.56	31.9	70.51	81.71	52.08	346.29	177.53	642.59	373.81	500.46	1295.13	397.93	305.55	476.71	825.0	450.94	258.57	493.56	249.73	255.0	279.14	297.17	371.22
BTAF1	50.63	297.17	152.28	211.31	258.57	332.14	688.78	660.68	791.35	775.05	332.14	669.92	412.0	454.09	463.65	34.51	54.72	70.01	86.43	61.25	87.03	55.1	58.3	80.01	53.19	156.59	71.0	46.18	163.28	88.26	258.57	167.9	642.59	540.19	343.89	299.25	460.44	743.43	480.04	130.6	220.32	450.94	155.5	215.77	228.13	258.57
CCDC82	234.57	76.17	204.07	490.14	583.07	403.5	500.46	277.2	414.87	775.05	169.07	748.61	607.87	624.99	417.77	27.64	105.15	123.5	143.01	98.73	186.4	156.59	103.69	173.85	68.55	189.02	165.57	224.97	163.28	212.78	444.72	429.54	426.57	723.08	466.88	460.44	633.73	684.02	470.14	273.37	381.68	559.28	267.73	299.25	232.94	234.57
CCDC93	139.07	175.07	110.43	303.44	332.14	205.5	400.71	368.65	417.77	403.5	256.78	420.68	297.17	289.02	334.46	84.04	95.34	126.12	94.67	79.45	84.63	96.01	101.54	113.56	38.67	66.18	90.77	41.81	303.44	327.56	279.14	211.31	441.64	579.04	529.06	454.09	381.68	587.13	348.71	177.53	366.09	444.72	186.4	206.94	269.6	212.78
CCNT1	88.88	149.12	140.04	167.9	253.23	163.28	414.87	201.25	198.47	197.09	134.3	249.73	175.07	158.79	178.77	41.22	76.71	55.89	67.12	56.68	49.91	67.12	63.45	82.29	38.67	50.27	49.91	59.13	158.79	92.05	118.43	108.9	258.57	356.05	432.53	87.65	201.25	348.71	231.32	70.01	134.3	283.05	158.79	107.38	116.78	121.79
CCNT2	102.25	149.12	251.48	281.09	371.22	255.0	454.09	384.34	521.76	420.68	291.04	595.34	420.68	373.81	287.01	19.97	137.14	139.07	125.24	87.03	94.01	87.65	105.89	105.89	24.63	82.29	59.55	53.95	241.19	283.05	412.0	205.5	591.22	684.02	473.41	403.5	429.54	693.58	500.46	146.03	287.01	264.03	226.54	199.85	242.88	246.28
CCP110	125.24	108.9	74.06	251.48	262.2	206.94	343.89	166.73	420.68	269.6	136.19	323.03	127.0	152.28	126.12	12.55	21.16	17.77	34.02	23.93	35.25	36.01	29.7	26.86	10.24	14.14	22.59	21.78	248.0	82.29	312.0	100.83	444.72	414.87	591.22	339.14	173.85	293.07	366.09	146.03	293.07	204.07	133.36	80.57	177.53	249.73
CDK13	256.78	279.14	361.04	483.38	543.96	395.18	540.19	819.3	819.3	825.0	363.56	1023.0	476.71	559.28	575.03	106.63	234.57	187.71	176.29	145.02	246.28	173.85	215.77	205.5	124.37	208.38	177.53	122.64	463.65	346.29	514.56	334.46	808.0	674.59	872.1	438.59	547.75	819.3	974.5	400.71	703.28	417.77	314.17	305.55	351.14	361.04
CEP135	23.76	34.75	47.84	89.51	75.11	75.11	120.94	89.51	98.73	122.64	41.22	166.73	108.9	82.29	70.51	4.86	12.93	8.78	13.93	6.67	5.59	3.41	9.7	11.82	1.58	11.04	16.27	3.35	59.97	32.36	88.26	57.89	147.06	141.02	143.01	38.12	108.14	208.38	112.77	39.79	90.14	125.24	52.45	33.54	63.45	29.06
CEP192	232.94	175.07	191.67	204.07	295.11	279.14	480.04	389.72	151.22	363.56	191.67	579.04	212.78	223.41	209.84	48.52	88.26	64.8	75.64	73.54	86.43	94.67	111.99	62.12	49.21	78.89	138.1	52.45	244.57	256.78	167.9	191.67	435.55	579.04	651.58	334.46	435.55	896.64	497.0	299.25	733.19	157.68	239.52	258.57	183.82	146.03
CEP78	147.06	128.79	94.01	142.01	148.09	277.2	356.05	264.03	167.9	262.2	246.28	463.65	212.78	133.36	111.99	18.43	69.52	130.6	77.25	89.51	65.72	40.64	56.68	95.34	29.91	71.0	102.25	59.13	135.24	109.66	163.28	135.24	454.09	559.28	400.71	142.01	220.32	293.07	339.14	152.28	147.06	281.09	143.01	82.29	173.85	96.01
CHD1	162.14	251.48	264.03	406.31	529.06	642.59	723.08	332.14	518.15	656.11	229.72	669.92	480.04	532.74	603.67	31.45	202.66	123.5	176.29	137.14	201.25	262.2	186.4	197.09	48.87	165.57	145.02	277.2	432.53	186.4	647.07	532.74	607.87	507.46	633.73	532.74	679.29	921.88	791.35	318.57	579.04	579.04	412.0	325.29	366.09	253.23
CHORDC1	244.57	198.47	358.54	389.72	409.15	718.08	995.0	450.94	624.99	718.08	514.56	1051.79	698.41	723.08	376.41	102.25	287.01	163.28	195.72	152.28	208.38	197.09	157.68	156.59	84.63	99.43	154.42	102.97	518.15	229.72	323.03	420.68	1044.52	507.46	1359.57	947.83	525.39	490.14	540.19	271.48	629.35	808.0	281.09	181.28	260.38	212.78
CPSF6	500.46	536.45	563.18	651.58	684.02	1030.12	1359.57	1015.93	842.36	988.12	947.83	1313.23	902.89	860.08	665.29	351.14	521.76	334.46	423.61	376.41	318.57	199.85	473.41	361.04	232.94	366.09	332.14	150.17	825.0	728.11	656.11	536.45	1268.46	1175.27	1023.0	884.29	909.17	1051.79	967.76	497.0	884.29	896.64	665.29	743.43	638.15	591.22
CTDSPL2	123.5	137.14	131.51	218.79	346.29	183.82	303.44	320.8	269.6	289.02	223.41	356.05	232.94	275.28	214.27	24.46	67.59	43.63	50.63	46.5	58.71	50.98	74.06	50.98	37.59	49.91	42.41	49.21	293.07	169.07	339.14	264.03	343.89	447.82	450.94	323.03	332.14	559.28	348.71	120.94	314.17	379.04	195.72	164.42	232.94	149.12
DCAF17	83.45	87.65	118.43	129.69	130.6	125.24	161.02	217.27	253.23	221.86	139.07	281.09	221.86	151.22	158.79	40.36	49.56	31.9	43.63	31.9	38.12	33.78	55.89	48.18	29.27	34.75	45.53	32.82	145.02	95.34	146.03	139.07	264.03	279.14	242.88	293.07	279.14	376.41	332.14	78.34	119.26	161.02	105.15	84.63	114.36	90.77
DDX23	1191.69	791.35	1051.79	1447.15	1477.58	1674.06	2609.3	1697.45	1350.18	1572.76	860.08	2090.03	1427.22	1286.18	1457.23	791.35	743.43	866.07	743.43	559.28	579.04	775.05	785.88	802.41	633.73	669.92	660.68	447.82	1685.71	1286.18	1259.69	1119.56	2032.85	2075.59	1963.57	698.41	1313.23	1977.24	1721.16	1127.35	1037.29	1572.76	1832.01	1781.89	1963.57	1467.37
DNM1L	379.04	381.68	447.82	454.09	500.46	796.86	1457.23	684.02	860.08	1183.45	656.11	1572.76	1286.18	836.53	848.22	137.14	353.59	303.44	291.04	220.32	165.57	202.66	249.73	242.88	81.14	145.02	348.71	55.49	723.08	336.79	718.08	629.35	1639.59	1199.98	1088.92	703.28	1096.5	1540.37	1127.35	567.1	878.17	1066.48	447.82	559.28	603.67	486.75
E2F7	22.26	228.13	23.42	4.86	13.42	50.27	232.94	21.63	19.82	87.65	20.41	406.31	18.29	16.88	17.9	0.74	1.43	1.07	1.45	1.95	3.99	2.36	2.01	5.19	2.51	4.98	2.43	0.0	23.59	15.45	29.06	6.73	138.1	180.02	137.14	23.08	94.67	79.45	48.52	10.47	24.81	92.05	46.5	20.26	46.5	14.14
EML4	361.04	325.29	381.68	540.19	713.11	466.88	1794.29	981.29	607.87	785.88	348.71	587.13	703.28	470.14	466.88	211.31	497.0	293.07	406.31	423.61	518.15	480.04	559.28	587.13	307.69	536.45	406.31	307.69	392.44	890.44	1104.13	1135.2	1286.18	555.41	1909.85	1295.13	2240.11	1991.0	1081.39	551.56	981.29	1216.75	518.15	599.49	555.41	432.53
ESF1	128.79	128.79	318.57	155.5	150.17	177.53	305.55	121.79	307.69	297.17	177.53	470.14	291.04	191.67	199.85	16.63	190.34	125.24	163.28	99.43	102.25	85.22	128.79	103.69	27.44	72.01	128.79	49.21	130.6	221.86	591.22	256.78	476.71	579.04	493.56	387.02	318.57	497.0	454.09	226.54	688.78	470.14	147.06	181.28	96.01	118.43
ETAA1	197.09	260.38	271.48	193.01	251.48	143.01	236.21	176.29	185.11	226.54	115.16	256.78	145.02	156.59	130.6	8.51	82.29	70.01	75.11	42.71	107.38	78.34	72.01	124.37	15.8	92.7	88.88	35.25	133.36	97.36	273.37	129.69	228.13	271.48	273.37	265.87	258.57	309.83	267.73	105.15	150.17	194.36	84.63	90.77	111.21	142.01
FBXO11	521.76	409.15	518.15	551.56	780.44	457.25	679.29	647.07	842.36	825.0	438.59	703.28	693.58	769.69	599.49	153.34	275.28	195.72	273.37	190.34	187.71	214.27	293.07	267.73	119.26	293.07	249.73	153.34	540.19	336.79	559.28	525.39	743.43	503.95	688.78	591.22	698.41	1001.93	651.58	303.44	543.96	612.11	500.46	480.04	476.71	409.15
FNBP4	395.18	429.54	733.19	1340.84	1096.5	1030.12	2119.22	1806.78	1594.73	2193.99	1322.37	1950.0	1407.55	1685.71	1378.57	78.34	214.27	246.28	329.84	205.5	175.07	279.14	246.28	246.28	65.72	303.44	143.01	63.45	665.29	728.11	1277.29	775.05	1769.57	2468.49	1457.23	909.17	1685.71	2720.15	1467.37	579.04	1208.34	1135.2	476.71	607.87	599.49	595.34
FUBP1	934.76	775.05	941.27	1369.04	1417.35	1519.15	2090.03	2417.67	3665.02	2018.8	2193.99	3491.39	2104.58	1950.0	1467.37	514.56	616.37	466.88	567.1	409.15	521.76	348.71	620.67	748.61	289.02	366.09	190.34	145.02	995.0	1407.55	2319.15	1250.98	2075.59	1487.87	2485.67	2271.4	2400.97	2555.58	1709.26	1119.56	808.0	2502.97	1044.52	1135.2	1340.84	1175.27
G2E3	46.18	88.26	87.03	177.53	295.11	130.6	256.78	161.02	186.4	185.11	103.69	447.82	169.07	146.03	118.43	9.48	36.27	28.65	35.0	33.06	28.04	22.43	28.86	38.95	13.93	27.05	39.5	13.93	105.15	97.36	126.12	129.69	279.14	251.48	356.05	143.01	143.01	246.28	180.02	66.18	140.04	246.28	129.69	84.04	97.36	73.54
GAS2L3	47.84	41.81	49.91	46.5	36.01	46.84	457.25	178.77	107.38	211.31	140.04	532.74	86.43	84.63	101.54	31.22	15.45	11.04	9.93	16.88	17.9	9.56	19.25	17.51	15.91	11.55	42.71	3.59	18.16	70.01	89.51	185.11	172.65	154.42	547.75	423.61	186.4	189.02	52.82	59.97	208.38	198.47	105.15	20.56	120.94	87.65
GPATCH2L	74.06	120.94	123.5	84.63	195.72	181.28	275.28	182.55	265.87	215.77	105.15	279.14	224.97	232.94	221.86	108.14	66.18	59.55	72.52	54.33	57.49	81.14	61.25	73.03	50.63	45.21	55.89	39.22	155.5	153.34	108.14	144.01	299.25	301.33	258.57	218.79	198.47	353.59	234.57	139.07	201.25	180.02	221.86	155.5	198.47	169.07
GPATCH8	103.69	164.42	154.42	256.78	361.04	323.03	500.46	490.14	660.68	460.44	229.72	540.19	320.8	384.34	381.68	57.89	61.68	52.82	74.06	57.49	102.97	59.97	79.45	94.67	51.71	74.06	40.36	37.85	287.01	128.79	373.81	237.86	395.18	483.38	400.71	229.72	426.57	547.75	460.44	156.59	403.5	392.44	249.73	256.78	239.52	246.28
HAUS3	124.37	143.01	141.02	186.4	246.28	223.41	246.28	215.77	185.11	181.28	110.43	237.86	191.67	155.5	137.14	13.42	70.01	70.01	80.01	59.13	58.71	59.97	81.14	88.26	20.26	52.08	78.34	48.87	167.9	125.24	260.38	124.37	353.59	327.56	246.28	194.36	229.72	525.39	232.94	116.78	221.86	221.86	115.97	117.6	119.26	108.9
HECTD4	353.59	432.53	669.92	420.68	420.68	384.34	921.88	651.58	423.61	642.59	432.53	733.19	353.59	525.39	397.93	190.34	206.94	255.0	214.27	133.36	183.82	373.81	260.38	275.28	138.1	169.07	208.38	206.94	281.09	493.56	460.44	353.59	813.63	878.17	633.73	961.07	476.71	974.5	934.76	341.51	941.27	674.59	244.57	327.56	323.03	406.31
HMG20A	239.52	220.32	435.55	473.41	587.13	392.44	379.04	423.61	591.22	409.15	318.57	395.18	358.54	353.59	334.46	144.01	312.0	256.78	346.29	251.48	214.27	293.07	503.95	277.2	226.54	262.2	262.2	177.53	285.03	273.37	497.0	412.0	457.25	775.05	536.45	435.55	395.18	607.87	591.22	267.73	466.88	346.29	273.37	299.25	371.22	371.22
HNRNPLL	406.31	246.28	224.97	450.94	555.41	514.56	769.69	620.67	698.41	825.0	470.14	819.3	591.22	483.38	397.93	215.77	314.17	194.36	208.38	152.28	162.14	234.57	205.5	249.73	107.38	133.36	221.86	166.73	397.93	486.75	514.56	444.72	872.1	679.29	1008.9	764.36	830.75	647.07	961.07	299.25	483.38	769.69	532.74	343.89	466.88	371.22
HNRNPR	2240.11	1757.34	2075.59	1540.37	1950.0	2090.03	3325.99	2502.97	1540.37	2090.03	2240.11	3639.7	1896.65	1832.01	1674.06	753.83	775.05	713.11	902.89	830.75	647.07	981.29	967.76	909.17	607.87	660.68	660.68	928.3	1369.04	1896.65	2271.4	1199.98	2609.3	2609.3	2664.15	1583.71	2133.97	1883.54	2271.4	1286.18	1963.57	2417.67	2018.8	1583.71	1651.0	1322.37
KHDRBS1	1909.85	2682.69	2271.4	2682.69	3690.52	2224.63	2319.15	2047.0	1540.37	1745.2	1909.85	2816.11	1819.35	1991.0	1651.0	890.44	743.43	743.43	825.0	728.11	536.45	842.36	884.29	854.13	490.14	878.17	842.36	679.29	1617.0	1583.71	1781.89	1359.57	1832.01	2240.11	2061.24	1639.59	1721.16	1745.2	2018.8	1199.98	1467.37	2224.63	1617.0	1605.83	1304.15	1340.84
KIAA1033	178.77	218.79	287.01	366.09	450.94	256.78	563.18	441.64	353.59	457.25	373.81	616.37	343.89	441.64	403.5	84.63	141.02	275.28	223.41	204.07	149.12	114.36	119.26	206.94	77.79	139.07	267.73	130.6	381.68	178.77	303.44	529.06	620.67	529.06	698.41	642.59	543.96	819.3	497.0	224.97	447.82	406.31	287.01	217.27	318.57	256.78
KIF27	27.44	45.85	26.28	77.79	99.43	68.07	96.68	116.78	65.26	58.3	29.06	111.99	44.25	70.51	43.94	2.25	15.22	13.62	34.51	15.34	19.25	27.05	15.91	18.43	2.16	12.64	29.91	18.29	58.3	32.82	57.49	55.1	144.01	249.73	97.36	41.52	107.38	105.89	108.9	52.08	42.41	64.8	34.51	34.26	95.34	28.65
LCN2	318292.9	565825.41	1179708.33	706337.4	313910.86	542775.98	14971.21	343510.77	606436.73	256748.15	654483.73	1769.57	1238359.56	336441.4	513497.31	32994.92	177811.84	13399.51	59887.86	32315.87	57.49	30785.28	57051.4	42054.3	201.25	638.15	10959.3	138.1	425853.18	1034138.94	565825.41	1472666.19	593956.43	269512.87	138544.47	431797.89	334117.42	20881.4	466008.55	251464.33	383800.28	305326.92	290865.98	217400.14	301123.38	320506.81
LRCH1	169.07	49.21	89.51	309.83	353.59	395.18	397.93	194.36	791.35	435.55	267.73	341.51	473.41	341.51	329.84	144.01	55.49	50.98	95.34	57.08	103.69	58.71	126.12	77.25	78.34	83.45	88.88	73.54	130.6	204.07	162.14	217.27	239.52	260.38	307.69	432.53	536.45	351.14	152.28	166.73	84.04	201.25	283.05	159.9	246.28	205.5
MED23	173.85	156.59	332.14	361.04	343.89	275.28	599.49	275.28	438.59	473.41	289.02	583.07	457.25	312.0	281.09	92.05	93.35	108.9	102.25	78.34	65.72	62.56	102.25	72.01	74.06	86.43	117.6	32.13	265.87	117.6	480.04	316.37	651.58	1159.07	483.38	490.14	353.59	703.28	536.45	141.02	351.14	638.15	299.25	265.87	289.02	293.07
MYSM1	133.36	65.26	120.94	147.06	269.6	152.28	392.44	256.78	417.77	232.94	229.72	376.41	241.19	249.73	156.59	7.94	25.54	44.25	65.72	50.27	27.44	81.71	31.9	74.06	35.76	26.47	53.57	25.35	136.19	143.01	341.51	177.53	339.14	214.27	392.44	205.5	231.32	463.65	299.25	91.41	255.0	325.29	86.43	109.66	111.21	118.43
NAA16	115.97	161.02	325.29	381.68	403.5	244.57	381.68	307.69	476.71	473.41	176.29	500.46	314.17	264.03	251.48	14.89	91.41	69.52	87.03	72.52	45.21	70.51	68.07	59.97	21.94	88.26	50.63	38.12	285.03	220.32	236.21	173.85	361.04	514.56	447.82	273.37	454.09	403.5	353.59	159.9	229.72	323.03	134.3	165.57	198.47	212.78
NAA25	94.01	202.66	189.02	120.94	153.34	218.79	532.74	281.09	229.72	307.69	289.02	353.59	265.87	231.32	193.01	40.36	88.26	90.14	78.34	53.95	33.06	53.95	52.08	55.49	29.06	45.21	31.67	18.03	167.9	131.51	194.36	173.85	381.68	395.18	441.64	854.13	251.48	361.04	320.8	94.67	237.86	320.8	102.97	121.79	101.54	100.83
NAPB	71.0	156.59	120.94	175.07	229.72	127.0	363.56	102.25	209.84	256.78	123.5	563.18	99.43	131.51	126.12	53.19	59.97	56.68	120.94	61.25	38.4	67.12	67.12	61.25	37.32	35.76	52.08	37.85	127.89	47.84	82.29	73.54	147.06	231.32	249.73	178.77	120.1	177.53	164.42	92.05	234.57	137.14	66.18	48.87	78.34	72.52
NARG2	323.03	242.88	525.39	642.59	454.09	426.57	381.68	503.95	480.04	486.75	389.72	454.09	473.41	305.55	258.57	59.97	94.01	163.28	173.85	112.77	206.94	226.54	134.3	239.52	73.54	167.9	110.43	139.07	429.54	283.05	503.95	363.56	866.07	684.02	571.05	450.94	616.37	878.17	571.05	267.73	620.67	718.08	251.48	343.89	281.09	293.07
NFRKB	156.59	242.88	251.48	379.04	327.56	281.09	336.79	312.0	303.44	414.87	187.71	242.88	256.78	273.37	371.22	106.63	94.67	145.02	137.14	111.21	124.37	180.02	115.16	157.68	87.03	158.79	172.65	51.71	389.72	159.9	248.0	206.94	224.97	435.55	444.72	299.25	351.14	376.41	438.59	190.34	336.79	256.78	187.71	244.57	264.03	194.36
