	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.BP.5178.01A.01R.1426.07	TCGA.B0.5084.01A.01R.1334.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A896.01A.11R.A36F.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.ZG.A9M4.01A.11R.A41O.07	TCGA.F5.6812.01A.11R.1830.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.KP.A3W1.01A.11R.A22K.07	TCGA.AJ.A8CT.01A.11R.A37O.07
A4GALT	246.28	199.85	136.19	1407.55	909.17	703.28	961.07	1685.71	1572.76	1225.22	1870.53	660.68	1233.75	961.07	842.36	934.76	1417.35	733.19	1167.14	909.17	1594.73	2335.28	1769.57	480.04	34.26	23.25	59.55	42.71	16.27	16.15	19.68	23.59	22.43	66.65	110.43	43.63	38.12	14.89	29.06	37.05	23.25	30.78	10.0	34.75	24.46	30.56	19.68	38.12	12.27	14.35	34.02	36.01	48.52	38.95	15.56	34.02	34.75	37.05	23.93	30.12	56.68	10.47	13.72	35.76	11.55	12.27	291.04	476.71	848.22	2555.58	1127.35
ADPRHL2	1216.75	1081.39	1015.93	1844.76	620.67	1350.18	1697.45	1233.75	1359.57	1143.1	1268.46	825.0	1397.83	1111.82	1963.57	1467.37	1225.22	1487.87	1583.71	915.51	703.28	1268.46	642.59	1030.12	309.83	334.46	346.29	397.93	353.59	346.29	366.09	450.94	420.68	470.14	403.5	293.07	293.07	246.28	518.15	255.0	358.54	500.46	358.54	429.54	366.09	305.55	497.0	339.14	547.75	420.68	368.65	279.14	329.84	301.33	348.71	928.3	314.17	392.44	486.75	353.59	314.17	120.94	178.77	518.15	348.71	339.14	775.05	674.59	848.22	1331.57	2047.0
ANXA2	8363.13	17927.91	16496.96	23009.42	23656.34	29124.6	29943.43	12415.75	14971.21	23986.58	11035.54	13399.51	23820.89	19082.0	23986.58	12853.63	11267.44	21617.82	23492.92	26614.89	26614.89	23009.42	12589.08	27938.14	1388.16	3235.01	4671.57	6079.61	1313.23	4836.35	1685.71	796.86	3325.99	2178.83	3491.39	1674.06	1651.0	1225.22	1794.29	1551.09	5872.48	2018.8	2935.74	3257.52	1896.65	2133.97	2075.59	4769.75	4038.61	3419.52	1268.46	2915.45	1208.34	2287.2	2004.85	3589.58	3303.0	1963.57	2573.36	2119.22	4512.4	1617.0	2609.3	4066.71	866.07	1015.93	12853.63	11345.82	37121.34	25708.25	20593.91
ANXA4	4123.49	3665.02	23169.48	11189.6	11584.24	16611.71	10154.69	10808.41	11584.24	13776.25	13492.72	5041.77	12502.12	26248.46	25005.23	9673.69	12502.12	19618.49	5041.77	13492.72	11112.3	4481.23	9279.58	6294.04	1350.18	1199.98	4298.64	2895.31	688.78	2537.92	1199.98	2434.5	1923.14	2855.44	2935.74	2417.67	1923.14	1781.89	6294.04	1950.0	3018.3	1721.16	909.17	3190.46	1936.53	2119.22	902.89	1359.57	3325.99	2537.92	3419.52	2682.69	1685.71	2855.44	693.58	4903.87	1832.01	2682.69	1936.53	7749.1	3257.52	1277.29	1781.89	1457.23	2119.22	2875.3	1477.58	3146.52	6887.62	9808.75	4038.61
APEX1	2956.17	3303.0	3742.05	3372.43	2739.08	3018.3	3901.01	4066.71	3235.01	4066.71	3847.29	2209.26	4123.49	2664.15	1883.54	3419.52	4010.71	3564.78	3491.39	3614.55	3467.27	2384.37	2367.9	2835.7	1369.04	1191.69	1628.26	1745.2	2061.24	1331.57	1977.24	2287.2	1628.26	1561.89	2090.03	2271.4	2400.97	1757.34	2119.22	2193.99	1651.0	1733.13	1991.0	1388.16	2240.11	2061.24	1135.2	2956.17	1870.53	1277.29	2163.77	1857.6	1572.76	1909.85	2133.97	1295.13	1259.69	1950.0	1487.87	2287.2	2075.59	1651.0	1508.65	1551.09	1923.14	1806.78	2835.7	2468.49	4328.55	3212.66	2701.35
APOBEC3G	1457.23	1832.01	373.81	836.53	567.1	1059.11	1963.57	665.29	612.11	764.36	1277.29	808.0	878.17	775.05	1250.98	486.75	1073.91	1268.46	1259.69	486.75	218.79	607.87	371.22	551.56	8.71	55.89	129.69	191.67	121.79	90.14	236.21	199.85	95.34	423.61	110.43	190.34	156.59	48.18	106.63	88.88	81.71	215.77	93.35	193.01	201.25	134.3	36.79	20.11	49.21	79.45	115.97	73.03	68.07	291.04	163.28	954.43	80.01	63.45	21.32	620.67	58.3	39.22	59.55	43.94	100.83	52.82	400.71	182.55	1233.75	866.07	521.76
APOC3	0.0	0.0	135.24	167.9	1.46	70.51	301.33	1.87	91.41	0.0	26.1	9.27	24.11	6.67	70.51	37.05	4.78	40.64	6.57	10.71	0.0	1.45	0.0	0.0	1085552.95	9243449.07	3070409.25	7719092.49	5420519.65	1327240.99	5809569.18	4621724.04	4107985.47	932018.1	2581895.97	7202167.89	8928583.23	1503610.06	2786455.11	2884719.27	7612821.45	3091765.64	3551506.25	1535204.12	3028138.0	3178687.03	5163792.94	1.24530853E7	5611673.89	3968052.37	2945333.38	3178687.03	320506.81	3223059.86	3968052.37	1.032758687E7	440870.9	2564061.5	2326934.84	1691649.38	7152418.87	1.09164457E7	1763486.6	1472666.19	1715263.94	4023444.33	0.0	10.96	0.0	0.0	0.0
ARMC10	848.22	848.22	995.0	796.86	1059.11	1498.22	947.83	819.3	638.15	981.29	1216.75	660.68	988.12	1023.0	1081.39	1008.9	1001.93	802.41	753.83	1757.34	890.44	718.08	1030.12	1135.2	417.77	669.92	500.46	490.14	343.89	420.68	232.94	376.41	432.53	441.64	532.74	361.04	540.19	373.81	567.1	384.34	708.18	503.95	525.39	518.15	438.59	518.15	532.74	490.14	483.38	409.15	438.59	551.56	514.56	454.09	490.14	457.25	490.14	525.39	547.75	842.36	444.72	529.06	463.65	463.65	460.44	738.29	1397.83	1143.1	1508.65	1199.98	743.43
ARMCX6	1794.29	1540.37	1233.75	1208.34	1628.26	1697.45	1259.69	1104.13	1350.18	1199.98	819.3	981.29	1066.48	1286.18	1008.9	1617.0	1250.98	1498.22	1340.84	954.43	808.0	1023.0	890.44	1104.13	19.39	251.48	163.28	201.25	110.43	395.18	204.07	107.38	229.72	379.04	346.29	186.4	90.77	212.78	748.61	201.25	116.78	76.17	111.21	185.11	271.48	108.9	68.07	172.65	43.63	1030.12	323.03	429.54	368.65	242.88	197.09	197.09	170.25	483.38	260.38	825.0	75.11	249.73	136.19	253.23	166.73	191.67	884.29	780.44	819.3	848.22	802.41
ARPC1A	6207.38	3280.18	2976.74	3564.78	4152.18	5183.54	3257.52	3280.18	2335.28	2935.74	3716.2	2739.08	3955.48	4802.93	4358.66	3742.05	3540.14	3467.27	2935.74	6792.79	3303.0	4802.93	4543.8	4639.29	1583.71	2240.11	2335.28	2537.92	1870.53	1388.16	1437.15	1259.69	1529.73	2255.7	1583.71	1508.65	1909.85	1819.35	1199.98	1151.06	2224.63	1832.01	1806.78	2319.15	1685.71	1551.09	2417.67	1286.18	1977.24	1127.35	1757.34	1685.71	1963.57	1447.15	1674.06	1030.12	1313.23	1037.29	785.88	1467.37	1457.23	1119.56	1467.37	848.22	1350.18	1477.58	3280.18	2351.53	3982.99	4512.4	2384.37
ATP6V1F	9474.59	9151.82	3768.09	12160.22	10883.59	10512.82	11189.6	6935.54	9673.69	8778.97	7642.41	7642.41	11424.74	9876.98	15499.21	11992.79	4575.41	8363.13	6887.62	6250.56	34396.12	11909.94	20310.37	11112.3	1268.46	1551.09	1870.53	1605.83	1250.98	1242.34	1378.57	1369.04	1233.75	1551.09	1508.65	1242.34	1508.65	1216.75	1487.87	974.5	1909.85	1617.0	1721.16	2335.28	1175.27	1259.69	2018.8	1639.59	1216.75	2287.2	1457.23	2163.77	1639.59	1159.07	1208.34	1745.2	1250.98	1427.22	1745.2	1487.87	1697.45	1662.49	1104.13	1487.87	1457.23	1397.83	4769.75	5076.84	9409.14	8718.32	4869.99
BAX	5831.91	4937.99	5183.54	4181.07	3794.3	4639.29	5831.91	2502.97	4802.93	3982.99	3982.99	3639.7	4575.41	4066.71	4010.71	3928.15	2351.53	4937.99	3372.43	3491.39	1896.65	4123.49	3794.3	6516.03	1015.93	974.5	1832.01	1417.35	733.19	1519.15	884.29	791.35	1030.12	1143.1	1001.93	1167.14	909.17	934.76	1594.73	890.44	1378.57	785.88	567.1	1250.98	1259.69	575.03	974.5	947.83	1081.39	2537.92	896.64	1519.15	1023.0	1322.37	1183.45	1757.34	819.3	1561.89	1066.48	1923.14	1427.22	830.75	616.37	947.83	1286.18	909.17	1844.76	2956.17	3419.52	3928.15	2351.53
