	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	GTEX.ZYY3.1626.SM.5EGJF	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1
AC005841.1	18.7	22.43	28.65	32.82	12.18	33.54	31.0	1.53	5.45	13.72	6.31	7.82	3.63	1.5	55.89	9.2	16.63	3.2	20.26	0.0	0.0	21.32	5.19	0.0	1.2	9.34	34.51	2.34	24.11	3.82	2.66	32.13	15.56	14.24	16.63	2.1	1.16	7.63	0.8	4.46	0.0	0.0
AC008443.1	264.03	395.18	273.37	236.21	157.68	186.4	128.79	0.0	26.28	120.1	85.22	0.0	0.0	0.0	397.93	38.67	89.51	0.0	57.08	0.0	0.0	100.83	62.12	14.03	2.63	6.36	348.71	0.0	55.49	20.11	9.7	199.85	111.99	190.34	78.34	9.34	0.0	115.16	4.24	0.0	0.0	0.0
AC027228.1	5.23	7.17	15.45	3.82	6.84	9.78	0.38	0.0	1.55	0.4	1.17	0.0	0.0	0.0	6.11	1.46	0.85	0.0	3.0	0.0	0.0	0.75	0.79	0.36	1.57	0.0	2.14	2.32	1.81	0.39	0.38	1.06	3.66	1.83	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.22
AC135178.1	237.86	226.54	267.73	181.28	178.77	162.14	58.71	6.89	43.94	50.63	36.79	15.8	11.04	12.0	234.57	75.64	65.26	35.0	73.03	10.79	14.67	91.41	23.25	23.59	11.13	26.28	135.24	23.42	58.3	23.42	20.86	133.36	78.34	98.73	56.68	20.41	16.03	52.82	14.14	20.11	0.0	2.18
AGAP6	1066.48	1313.23	1119.56	1051.79	738.29	915.51	204.07	44.25	159.9	211.31	137.14	50.98	16.75	15.8	825.0	121.79	193.01	41.52	186.4	29.06	56.68	169.07	85.22	138.1	34.51	36.53	559.28	96.01	187.71	53.57	63.0	500.46	267.73	379.04	195.72	46.5	22.26	173.85	26.86	31.9	0.0	7.46
AHSA2	2573.36	3103.19	2835.7	2816.11	3303.0	3325.99	1397.83	237.86	603.67	1250.98	435.55	162.14	120.94	212.78	3491.39	743.43	1208.34	234.57	1662.49	189.02	348.71	642.59	490.14	403.5	141.02	209.84	3280.18	348.71	1096.5	379.04	325.29	2835.7	928.3	1883.54	1104.13	277.2	137.14	1268.46	133.36	251.48	0.0	4.94
AL031663.2	19.53	21.47	12.83	10.0	20.71	23.76	15.45	4.58	5.5	12.18	7.17	0.0	0.84	1.14	28.86	13.72	3.89	12.18	4.58	2.25	3.79	13.12	6.01	3.96	0.82	0.82	18.16	1.97	5.54	4.62	2.29	21.78	5.59	18.97	2.32	1.28	1.55	10.88	1.2	2.25	0.0	0.0
AL359091.2	5.02	8.71	7.46	7.51	7.82	7.82	1.5	0.39	1.16	2.01	0.39	0.0	0.4	0.0	7.46	5.5	6.78	1.58	6.73	0.0	0.0	2.23	0.0	1.41	0.78	0.0	8.13	4.62	0.91	0.39	0.38	5.59	4.78	3.66	5.23	0.0	0.75	3.2	1.16	0.74	0.0	0.0
AMT	2209.26	2417.67	2645.74	2573.36	2758.13	1519.15	656.11	42.71	236.21	241.19	547.75	199.85	277.2	99.43	1135.2	318.57	224.97	38.67	417.77	153.34	356.05	466.88	199.85	138.1	146.03	486.75	909.17	155.5	389.72	275.28	323.03	947.83	543.96	540.19	450.94	651.58	146.03	271.48	217.27	138.1	0.0	3.72
ATG16L2	1030.12	1183.45	1008.9	1081.39	1023.0	1037.29	500.46	115.16	480.04	490.14	327.56	152.28	95.34	98.73	2682.69	414.87	780.44	116.78	1295.13	100.83	155.5	638.15	277.2	267.73	156.59	163.28	1733.13	212.78	514.56	220.32	237.86	1350.18	620.67	1135.2	603.67	113.56	217.27	599.49	112.77	141.02	0.0	182.55
