	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.YFC4.1526.SM.5IFJS	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC
ADORA3	41.52	81.71	31.9	35.0	24.28	20.56	2.51	3.41	43.94	53.95	18.03	7.46	43.94	2.51	26.47	29.7	22.59	16.63	12.45	20.11	42.71	239.52	156.59	301.33	55.89	71.5	84.63	323.03	54.33	95.34	224.97	63.45	115.97	358.54	114.36	314.17	507.46	1350.18	62.12	414.87	84.04	305.55	246.28	84.63	85.22	226.54	105.89	409.15	178.77	155.5	438.59	384.34	237.86	201.25	169.07	180.02	1030.12	100.13	156.59	429.54	473.41	55.49	256.78	295.11	78.89	186.4	211.31	60.39	277.2	50.27	275.28	486.75	84.63	152.28	55.89	417.77	429.54	246.28	83.45	131.51	159.9
ANKRD55	11.04	31.0	0.95	0.93	4.17	0.0	0.69	0.0	2.78	1.51	0.0	1.55	3.41	3.53	0.0	0.4	1.27	0.84	1.43	1.55	6.46	66.65	60.39	22.26	4.24	45.53	52.82	144.01	3.14	30.78	41.81	19.82	18.43	45.21	45.21	10.39	166.73	61.25	15.34	28.45	59.55	43.94	52.45	10.08	52.08	55.1	18.84	107.38	52.45	55.49	93.35	13.42	29.06	102.97	5.87	16.51	76.17	28.24	19.68	11.55	42.41	22.92	62.12	130.6	35.0	66.65	29.48	4.82	50.27	15.11	155.5	169.07	50.63	8.45	8.51	75.11	100.13	50.63	14.67	2.43	104.42
BASP1	37.05	101.54	20.11	48.87	58.71	17.64	3.79	5.5	115.97	28.45	16.63	4.06	57.49	11.55	13.03	21.32	18.29	14.14	9.2	33.06	66.65	312.0	167.9	295.11	46.84	148.09	119.26	246.28	116.78	264.03	194.36	156.59	149.12	389.72	165.57	334.46	2018.8	1127.35	1322.37	426.57	221.86	164.42	470.14	103.69	287.01	186.4	373.81	518.15	234.57	237.86	293.07	103.69	182.55	769.69	255.0	336.79	1081.39	139.07	217.27	420.68	136.19	283.05	115.16	237.86	98.04	525.39	3303.0	181.28	128.79	78.89	395.18	547.75	162.14	72.01	156.59	273.37	866.07	177.53	131.51	156.59	89.51
BMP6	5.68	26.47	2.53	8.25	27.64	4.54	3.96	2.27	21.47	6.41	3.32	1.62	19.68	6.67	13.22	4.03	9.2	1.17	5.73	5.11	6.01	36.27	24.11	35.76	4.7	20.26	15.91	50.27	27.44	37.05	24.81	12.93	13.12	16.39	27.84	37.32	141.02	307.69	2.73	57.89	11.38	62.56	118.43	9.34	12.93	88.88	107.38	77.25	138.1	19.82	99.43	33.78	24.46	56.68	18.03	3.41	34.26	26.47	53.57	48.87	78.89	5.41	98.73	154.42	63.89	126.12	170.25	15.68	24.11	19.39	228.13	74.58	99.43	8.25	5.11	189.02	73.54	108.9	8.13	11.38	28.24
BMPER	41.22	105.15	1.5	0.8	3.0	2.94	0.0	0.0	0.36	3.2	0.0	0.0	3.66	0.73	1.53	2.81	2.68	1.46	1.71	2.41	30.12	237.86	112.77	119.26	32.82	80.57	69.03	332.14	69.52	94.01	153.34	71.5	90.14	141.02	80.01	98.04	813.63	281.09	9.2	105.89	172.65	102.25	152.28	74.06	76.71	138.1	211.31	221.86	343.89	151.22	220.32	18.56	91.41	486.75	56.68	25.54	209.84	130.6	63.45	221.86	113.56	208.38	211.31	170.25	128.79	133.36	236.21	88.26	78.34	131.51	341.51	273.37	147.06	46.84	26.1	236.21	303.44	85.22	99.43	31.45	109.66
C1QA	708.18	1757.34	373.81	1259.69	2555.58	1583.71	189.02	144.01	1216.75	1857.6	463.65	244.57	2645.74	447.82	743.43	567.1	813.63	170.25	547.75	1259.69	1175.27	8191.0	4736.79	6887.62	1073.91	1709.26	3303.0	11189.6	1498.22	3589.58	4903.87	2520.38	2400.97	7857.29	2417.67	6561.36	23656.34	13123.73	1001.93	11745.96	8778.97	6699.25	9876.98	3690.52	12415.75	5329.3	7485.11	15075.35	5672.41	9215.48	12502.12	5751.61	8538.88	19482.97	5594.3	1340.84	16843.62	4639.29	5555.65	11267.44	6935.54	2485.67	7032.37	12244.81	1359.57	12160.22	12676.65	1936.53	5219.6	802.41	15075.35	4328.55	5954.47	4298.64	1781.89	9808.75	17437.64	5872.48	5954.47	3589.58	8901.53
C1QB	575.03	1857.6	312.0	915.51	2956.17	1216.75	202.66	124.37	1605.83	1832.01	575.03	279.14	1977.24	368.65	775.05	547.75	1073.91	155.5	555.41	981.29	738.29	11909.94	5555.65	8479.89	713.11	1457.23	3303.0	14262.1	1540.37	3901.01	5913.33	2018.8	2224.63	8598.28	2417.67	7966.99	25887.07	20170.07	928.3	12853.63	10014.87	8134.41	10585.95	3955.48	14663.09	7382.04	8134.41	19082.0	6983.79	11424.74	16269.83	6792.79	9876.98	23820.89	7280.4	1088.92	20881.4	5403.7	6516.03	14663.09	9025.81	2720.15	9151.82	14065.74	1096.5	14867.79	11745.96	1806.78	6471.02	872.1	19482.97	4769.75	6294.04	5183.54	1561.89	11909.94	19618.49	7032.37	6164.49	3168.41	10585.95
C1QC	406.31	1242.34	287.01	438.59	1896.65	684.02	132.44	103.69	890.44	1369.04	417.77	183.82	1529.73	269.6	500.46	361.04	651.58	87.03	454.09	642.59	420.68	7433.4	3716.2	5555.65	447.82	954.43	2178.83	8305.36	890.44	2351.53	3768.09	1388.16	1417.35	4769.75	1781.89	4802.93	18304.63	12853.63	854.13	8305.36	7280.4	5831.91	7180.15	2573.36	10154.69	5672.41	5872.48	10512.82	5517.27	7857.29	11504.21	4575.41	6607.01	15285.81	4802.93	748.61	13872.08	4181.07	4388.98	9540.5	6250.56	1467.37	5954.47	8718.32	819.3	10014.87	8479.89	974.5	4419.52	693.58	13681.08	2384.37	5219.6	3742.05	753.83	8134.41	11909.94	5479.15	4419.52	2271.4	6983.79
C2orf88	91.41	50.63	2.43	13.32	38.12	62.56	19.25	11.82	44.89	26.1	36.01	31.67	22.1	6.94	6.11	11.21	13.03	9.13	33.06	2.48	32.59	154.42	72.52	82.87	30.12	55.49	108.9	120.94	40.07	56.68	96.68	40.07	55.49	77.79	93.35	49.56	287.01	775.05	4.31	165.57	77.79	94.67	117.6	78.34	89.51	102.97	86.43	193.01	190.34	71.0	109.66	45.21	52.08	241.19	42.11	19.97	21.47	108.9	118.43	47.84	155.5	85.82	197.09	211.31	71.0	82.87	57.08	23.93	34.51	66.65	199.85	320.8	180.02	35.0	11.13	117.6	140.04	141.02	40.93	30.12	94.67
CCL14	441.64	2335.28	55.49	1447.15	854.13	287.01	275.28	72.01	102.25	329.84	126.12	84.04	258.57	669.92	241.19	189.02	267.73	157.68	426.57	212.78	802.41	3325.99	3716.2	7230.1	769.69	3589.58	2627.46	7230.1	1340.84	6381.92	2555.58	2609.3	3257.52	4328.55	3303.0	6745.86	30999.42	8078.22	363.56	2956.17	6121.9	2255.7	5633.22	567.1	5076.84	8658.09	6935.54	7911.95	7032.37	8778.97	10659.59	1977.24	2875.3	18819.27	1769.57	466.88	5633.22	1806.78	3235.01	6652.97	2758.13	1059.11	5711.87	8538.88	4388.98	5555.65	4268.94	1159.07	2271.4	2645.74	27363.16	20030.74	3081.75	947.83	2573.36	11664.82	15824.9	6745.86	3901.01	256.78	3540.14
