	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
ADAL	116.78	103.69	150.17	102.25	81.14	77.79	54.72	172.65	142.01	170.25	145.02	145.02	159.9	106.63	129.69	108.9	186.4	135.24	221.86	264.03	264.03	190.34	221.86	191.67	137.14	191.67	228.13	102.25	182.55	220.32	141.02	173.85	144.01	579.04	246.28	114.36	228.13	206.94	223.41	400.71	262.2	341.51	215.77	260.38	389.72	195.72	93.35	289.02	265.87	169.07	116.78	84.04	85.22	102.97	273.37	209.84	87.03	114.36	102.97	214.27	141.02	201.25	103.69	108.9	55.49	90.77	118.43	133.36	75.64	125.24	67.59	106.63	147.06	162.14	100.13	167.9	139.07	114.36	147.06	162.14	178.77	147.06	109.66	90.77	249.73	46.5	31.9	143.01	180.02	116.78	106.63	29.7	75.64	119.26	120.94	125.24	120.1	106.63	145.02	473.41	112.77	246.28	154.42
AFAP1L1	25.35	47.5	83.45	57.08	46.5	27.84	19.25	318.57	368.65	271.48	493.56	169.07	90.77	166.73	332.14	325.29	244.57	371.22	279.14	249.73	884.29	73.54	1757.34	100.13	85.82	142.01	136.19	283.05	1111.82	96.01	703.28	183.82	320.8	121.79	543.96	309.83	228.13	420.68	567.1	264.03	473.41	92.05	156.59	361.04	112.77	41.81	476.71	299.25	142.01	220.32	59.97	18.97	35.0	92.05	1883.54	24.46	72.01	118.43	94.01	151.22	376.41	40.36	21.01	44.57	32.36	57.49	38.95	66.18	10.63	35.0	47.84	51.35	26.67	21.32	68.07	94.01	34.02	57.08	49.21	23.76	56.28	45.53	22.92	26.28	25.91	12.27	46.5	25.54	28.24	59.13	107.38	96.01	43.94	81.14	25.54	69.52	106.63	128.79	58.3	283.05	258.57	244.57	381.68
ALDH1A3	33.78	92.05	112.77	120.94	120.94	46.18	39.22	642.59	647.07	830.75	921.88	616.37	291.04	1199.98	785.88	647.07	780.44	403.5	283.05	1583.71	379.04	144.01	1950.0	45.85	796.86	281.09	1340.84	2163.77	132.44	4.24	444.72	208.38	1037.29	884.29	387.02	169.07	63.89	412.0	1023.0	37.05	441.64	76.17	309.83	555.41	191.67	571.05	285.03	329.84	157.68	114.36	435.55	65.72	414.87	551.56	241.19	438.59	140.04	190.34	13.32	48.18	76.17	27.25	163.28	31.67	25.54	71.0	60.82	147.06	13.83	4.06	591.22	13.83	10.88	29.27	77.79	175.07	283.05	13.72	43.02	56.68	46.5	525.39	53.57	86.43	27.25	8.45	9.78	6.16	62.56	165.57	343.89	297.17	135.24	151.22	92.7	220.32	1519.15	58.3	532.74	775.05	791.35	629.35	387.02
ALPK3	15.22	5.19	6.89	33.06	76.71	6.89	3.11	199.85	127.89	81.14	121.79	249.73	271.48	255.0	62.12	89.51	127.89	85.22	373.81	483.38	426.57	208.38	181.28	38.67	275.28	703.28	289.02	246.28	497.0	603.67	684.02	373.81	995.0	113.56	514.56	262.2	466.88	429.54	166.73	39.79	500.46	64.34	1359.57	457.25	743.43	21.94	518.15	142.01	185.11	146.03	343.89	7.75	57.89	309.83	1175.27	273.37	305.55	281.09	24.46	64.34	384.34	6.94	10.0	8.32	14.03	26.67	8.06	14.67	21.78	21.47	7.94	58.71	17.51	7.0	4.13	6.46	2.97	8.19	4.82	2.07	10.79	12.09	11.13	17.0	10.08	26.1	126.12	4.31	7.11	96.01	136.19	19.82	28.24	30.34	59.55	22.1	150.17	33.3	82.87	40.07	54.33	55.89	45.21
AMOTL1	75.64	41.22	57.89	116.78	444.72	40.64	21.32	1015.93	595.34	309.83	599.49	1313.23	543.96	679.29	381.68	723.08	693.58	872.1	457.25	406.31	303.44	62.56	89.51	43.63	242.88	269.6	295.11	336.79	202.66	220.32	493.56	507.46	466.88	44.57	287.01	166.73	438.59	258.57	381.68	99.43	332.14	95.34	231.32	218.79	185.11	17.13	191.67	223.41	229.72	293.07	120.1	90.77	128.79	209.84	612.11	127.89	150.17	195.72	35.0	37.05	204.07	19.82	63.89	75.11	76.71	138.1	147.06	36.79	21.01	134.3	36.27	77.79	35.5	159.9	264.03	368.65	158.79	109.66	101.54	115.97	142.01	92.05	30.78	51.71	264.03	35.76	66.65	84.63	75.64	137.14	264.03	142.01	48.52	92.05	60.39	148.09	463.65	223.41	199.85	215.77	271.48	175.07	110.43
ANGPT1	7.94	22.92	17.9	33.3	32.59	9.63	5.32	111.21	134.3	155.5	88.88	96.68	126.12	43.02	59.13	127.89	195.72	108.9	674.59	842.36	769.69	312.0	273.37	211.31	208.38	376.41	483.38	381.68	698.41	1175.27	902.89	450.94	1023.0	426.57	358.54	669.92	647.07	1143.1	1030.12	325.29	334.46	275.28	109.66	379.04	1407.55	624.99	78.89	1519.15	251.48	221.86	10.16	7.46	3.47	11.21	703.28	1.6	32.82	3.38	34.26	42.71	89.51	21.47	17.9	11.47	1.53	21.47	21.01	27.25	4.66	6.46	95.34	50.27	5.73	3.86	24.81	10.24	41.22	10.79	14.45	6.36	14.56	27.64	12.93	12.55	3.79	7.57	8.06	20.41	16.15	17.25	141.02	19.53	19.11	69.03	27.44	28.24	113.56	85.82	51.71	77.25	70.01	50.27	30.56
ANKRD29	152.28	50.98	44.25	56.68	63.45	19.82	16.39	743.43	728.11	1191.69	389.72	162.14	642.59	529.06	1477.58	371.22	674.59	361.04	708.18	1191.69	738.29	1044.52	480.04	441.64	414.87	718.08	1447.15	435.55	633.73	1417.35	780.44	1127.35	595.34	1605.83	356.05	518.15	1051.79	921.88	1259.69	66.18	136.19	140.04	16.27	1008.9	1628.26	1350.18	511.0	363.56	149.12	89.51	131.51	55.49	147.06	312.0	1081.39	356.05	226.54	346.29	194.36	2.46	195.72	4.24	12.93	96.01	25.35	49.91	36.79	178.77	27.64	46.5	312.0	0.4	131.51	177.53	102.97	23.59	70.51	28.86	18.7	20.71	103.69	218.79	25.35	25.54	34.02	28.24	161.02	69.52	54.72	57.08	493.56	66.18	163.28	571.05	1781.89	967.76	153.34	346.29	208.38	12.83	121.79	32.13	98.04
AP3M2	46.18	120.1	170.25	157.68	100.83	113.56	50.63	249.73	255.0	297.17	351.14	241.19	256.78	175.07	363.56	291.04	397.93	183.82	325.29	376.41	198.47	170.25	206.94	162.14	193.01	234.57	285.03	191.67	182.55	279.14	275.28	295.11	281.09	220.32	234.57	152.28	277.2	309.83	281.09	323.03	320.8	309.83	208.38	265.87	305.55	115.97	231.32	262.2	307.69	295.11	173.85	176.29	156.59	283.05	165.57	224.97	341.51	166.73	88.26	104.42	228.13	88.88	44.89	58.3	34.26	46.84	40.36	92.05	38.95	38.12	104.42	44.25	52.08	50.63	105.15	61.25	56.28	47.84	38.12	29.27	90.77	100.83	40.07	20.86	69.03	17.13	21.63	52.82	24.99	291.04	189.02	156.59	48.18	105.15	119.26	204.07	264.03	144.01	189.02	279.14	220.32	281.09	157.68
APLN	0.64	5.92	4.74	16.39	7.94	73.54	5.96	65.72	53.19	18.03	63.89	212.78	25.91	129.69	21.16	137.14	39.79	14.78	438.59	195.72	1081.39	84.04	395.18	269.6	325.29	256.78	90.77	241.19	116.78	80.57	417.77	59.55	460.44	236.21	132.44	1127.35	265.87	629.35	156.59	1104.13	1551.09	1437.15	400.71	620.67	241.19	89.51	57.08	389.72	412.0	303.44	36.01	56.28	59.13	84.04	334.46	15.68	124.37	36.53	159.9	361.04	521.76	39.22	1.33	9.34	11.73	10.16	14.45	1.69	10.31	2.81	3.47	57.49	3.41	9.56	11.47	12.0	2.36	0.0	7.69	6.46	6.67	14.35	0.0	2.58	1.81	3.86	1.45	3.5	8.0	42.41	75.64	155.5	3.59	17.38	29.27	10.08	34.26	6.67	5.63	629.35	52.45	85.82	974.5
ARAP1	651.58	1104.13	1159.07	1313.23	1331.57	941.27	995.0	1819.35	2061.24	3039.3	3372.43	1540.37	1733.13	902.89	3665.02	1857.6	2664.15	1733.13	2701.35	3901.01	4972.34	2855.44	1950.0	5219.6	4512.4	1950.0	4388.98	5219.6	2875.3	3928.15	3190.46	5006.93	4575.41	1551.09	3491.39	3768.09	3901.01	4066.71	1322.37	813.63	1286.18	866.07	620.67	3081.75	3419.52	607.87	3639.7	1467.37	1073.91	915.51	775.05	698.41	1015.93	1519.15	4639.29	1119.56	1037.29	967.76	902.89	642.59	1044.52	733.19	660.68	872.1	607.87	1030.12	532.74	748.61	450.94	866.07	607.87	463.65	525.39	490.14	813.63	830.75	785.88	909.17	500.46	813.63	743.43	1111.82	414.87	503.95	961.07	426.57	173.85	638.15	547.75	1001.93	642.59	563.18	483.38	808.0	780.44	961.07	1286.18	647.07	1216.75	1199.98	2133.97	813.63	1127.35
