	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.T6MO.0326.SM.32QOK	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EH.01A.11R.A36F.07	GTEX.13OVG.1426.SM.5K7VP	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.T3.A92N.01A.11R.A39I.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CQ.A4CG.01A.11R.A266.07	GTEX.1399S.0526.SM.5IJG8	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	TCGA.21.5787.01A.01R.1635.07
AAMDC	521.76	1540.37	988.12	3515.68	2163.77	2537.92	3443.31	3168.41	1529.73	2163.77	3395.89	2855.44	2573.36	3742.05	2855.44	2895.31	3018.3	2645.74	2682.69	4123.49	2664.15	2997.45	2287.2	2627.46	1781.89	4066.71	2287.2	3820.7	3768.09	3419.52	1447.15	3168.41	2485.67	3081.75	5147.73	1909.85	4419.52	3081.75	1388.16	1896.65	403.5	698.41	954.43	791.35	1594.73	974.5	551.56	872.1	567.1	318.57	312.0	244.57	392.44	358.54	329.84	397.93	1519.15	0.0	0.39	1151.06	780.44
ABCC6	12.74	3.47	3.2	165.57	348.71	193.01	379.04	612.11	371.22	460.44	759.08	190.34	181.28	476.71	130.6	473.41	277.2	224.97	255.0	525.39	194.36	325.29	130.6	318.57	486.75	392.44	92.05	860.08	363.56	351.14	57.89	82.29	101.54	595.34	2119.22	277.2	275.28	417.77	23.59	89.51	19.68	8.92	5.19	25.54	137.14	6.11	3.66	7.82	8.19	12.55	3.76	19.25	4.46	8.38	9.06	6.57	314.17	0.0	0.26	74.06	114.36
ABCC9	9.27	53.95	2.58	412.0	656.11	242.88	713.11	785.88	1143.1	872.1	591.22	493.56	775.05	842.36	373.81	559.28	665.29	579.04	769.69	995.0	915.51	559.28	713.11	759.08	1151.06	796.86	514.56	563.18	450.94	164.42	231.32	414.87	559.28	466.88	884.29	423.61	371.22	361.04	305.55	389.72	4.21	3.76	14.24	1.31	102.97	11.3	5.96	6.06	25.35	13.72	4.94	36.79	18.84	7.46	20.71	23.25	164.42	0.0	0.28	139.07	21.94
ABHD14A	373.81	162.14	327.56	842.36	743.43	571.05	743.43	813.63	525.39	583.07	684.02	587.13	555.41	723.08	607.87	638.15	759.08	559.28	503.95	738.29	723.08	660.68	583.07	444.72	693.58	733.19	802.41	1225.22	780.44	718.08	426.57	299.25	934.76	514.56	780.44	532.74	902.89	728.11	107.38	429.54	151.22	363.56	251.48	185.11	287.01	190.34	389.72	232.94	251.48	180.02	224.97	198.47	89.51	169.07	201.25	239.52	1135.2	0.0	0.36	559.28	356.05
AC092850.1	0.0	0.0	0.0	1.13	1.31	0.0	0.0	0.89	1.25	1.23	0.83	0.0	0.0	2.51	1.22	1.23	2.27	1.69	0.77	0.84	0.46	1.22	0.42	0.0	0.89	2.97	0.0	0.78	1.2	0.41	0.0	0.95	0.0	0.58	1.45	0.0	1.39	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	0.38	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.32
ACOT13	1015.93	373.81	738.29	995.0	679.29	808.0	571.05	753.83	981.29	743.43	825.0	629.35	796.86	825.0	497.0	638.15	780.44	753.83	579.04	884.29	713.11	819.3	483.38	651.58	713.11	1081.39	629.35	785.88	1295.13	567.1	490.14	595.34	1037.29	490.14	1143.1	733.19	1111.82	642.59	460.44	525.39	414.87	384.34	624.99	896.64	397.93	607.87	497.0	351.14	153.34	214.27	242.88	173.85	358.54	532.74	603.67	429.54	547.75	0.0	0.33	1051.79	460.44
AL590822.1	0.34	0.3	0.0	14.78	17.13	9.7	18.56	16.15	16.75	12.09	23.93	14.45	6.84	18.97	12.74	26.86	15.8	21.63	13.12	21.63	9.13	8.78	15.91	13.12	16.03	22.75	10.39	19.68	12.64	9.41	9.93	3.59	12.09	15.8	30.12	7.17	14.35	8.99	2.73	17.51	0.45	0.78	1.71	4.17	9.27	0.92	1.6	3.03	1.85	1.77	0.0	0.51	0.0	0.45	0.89	2.14	8.0	0.0	0.08	2.2	1.38
ANGPT1	96.01	1.48	5.11	351.14	409.15	426.57	559.28	595.34	1250.98	555.41	738.29	483.38	275.28	1066.48	226.54	813.63	423.61	356.05	567.1	1081.39	583.07	563.18	339.14	718.08	493.56	836.53	182.55	890.44	303.44	163.28	167.9	521.76	267.73	269.6	1769.57	134.3	780.44	348.71	99.43	255.0	18.7	12.64	23.76	1.48	248.0	13.72	7.63	6.78	9.2	12.0	1.53	18.7	25.17	17.64	5.96	62.56	139.07	0.0	0.27	99.43	22.1
APBB1IP	71.0	40.64	111.99	684.02	708.18	825.0	808.0	1008.9	693.58	1143.1	1674.06	836.53	1175.27	1378.57	514.56	1044.52	708.18	583.07	947.83	1119.56	854.13	785.88	723.08	785.88	638.15	1096.5	753.83	967.76	1313.23	896.64	327.56	796.86	2018.8	915.51	1457.23	389.72	954.43	1183.45	417.77	500.46	80.57	165.57	223.41	35.5	273.37	32.82	46.5	60.82	80.01	113.56	11.82	94.01	104.42	52.45	16.51	11.13	1295.13	0.0	0.55	470.14	275.28
ASPA	1.93	0.0	0.34	312.0	312.0	140.04	279.14	429.54	432.53	612.11	426.57	289.02	283.05	417.77	205.5	343.89	387.02	318.57	387.02	555.41	387.02	301.33	199.85	397.93	660.68	287.01	72.52	376.41	143.01	151.22	45.53	74.58	511.0	88.88	780.44	26.86	130.6	165.57	232.94	169.07	2.1	1.08	2.61	1.06	135.24	0.38	2.71	0.0	0.65	0.61	0.32	0.36	2.94	0.32	0.72	1.85	293.07	0.0	0.16	52.82	4.1
