	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.2F.A9KP.01A.11R.A38B.07	TCGA.ZF.A9R2.01A.11R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.13VXT.2426.SM.5LU46	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y114.1226.SM.4TT88	GTEX.XV7Q.1326.SM.4BRWM	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.S7SF.0626.SM.4AD4V
ANGPTL1	2.48	2.18	0.0	0.0	68.55	32.82	3.23	6.94	79.45	1540.37	1250.98	934.76	102.97	23.42	5.87	7.63	22.75	0.0	0.29	10.31	18.7	7.57	2.14	94.67	6.06	679.29	2.68	120.94	995.0	0.83	529.06	642.59	775.05	52.45	5112.16	99.43	83.45	75.11	3742.05
ANK2	0.33	11.91	10.96	5.15	89.51	130.6	5.87	3.23	55.89	379.04	341.51	595.34	123.5	14.89	24.81	12.55	49.56	0.0	0.2	46.5	92.7	9.13	5.06	133.36	19.97	483.38	31.67	72.01	808.0	5.87	232.94	363.56	307.69	151.22	2591.27	211.31	137.14	71.5	1066.48
APBB1	21.47	34.02	7.34	12.55	33.06	679.29	79.45	43.02	271.48	723.08	559.28	733.19	281.09	255.0	97.36	70.51	198.47	0.0	0.72	336.79	656.11	93.35	201.25	236.21	234.57	967.76	63.89	301.33	954.43	157.68	511.0	674.59	271.48	181.28	1487.87	591.22	260.38	198.47	1378.57
ASB2	25.17	3.11	4.82	4.82	4.98	13.52	9.13	7.82	218.79	723.08	1037.29	1135.2	285.03	55.1	8.51	84.63	81.14	0.0	0.33	33.06	50.63	30.78	27.25	37.32	14.14	1044.52	128.79	318.57	2004.85	12.36	536.45	842.36	500.46	186.4	2240.11	208.38	305.55	101.54	2609.3
C1QTNF4	0.0	2.46	0.0	0.0	42.71	74.58	4.24	1.93	13.03	26.28	22.26	24.11	74.06	17.38	2.41	6.94	3.53	0.0	0.33	0.87	8.45	1.41	0.44	19.11	5.19	122.64	2.89	23.59	109.66	0.0	54.33	38.67	39.79	2.41	204.07	16.15	14.24	9.06	155.5
C7orf31	3.44	51.71	56.28	4.54	32.36	71.0	84.63	6.11	44.25	231.32	167.9	173.85	74.06	43.02	31.45	54.33	75.11	0.0	0.25	72.01	101.54	82.29	60.82	58.71	152.28	161.02	80.01	75.11	260.38	50.63	158.79	166.73	173.85	124.37	92.7	175.07	72.52	96.68	172.65
CASQ2	0.64	4.94	0.62	0.0	1.36	15.22	1.64	2.71	48.52	543.96	1199.98	813.63	109.66	17.25	8.51	6.06	15.34	0.0	0.16	8.78	58.71	3.32	0.41	12.74	7.63	1259.69	3.47	137.14	738.29	0.37	64.8	114.36	339.14	46.5	447.82	88.26	57.89	31.67	137.14
CFL2	94.67	61.68	71.5	102.97	241.19	769.69	105.15	80.01	595.34	1844.76	2520.38	2777.33	595.34	111.21	105.15	258.57	271.48	0.0	0.52	583.07	791.35	199.85	202.66	379.04	483.38	5041.77	395.18	974.5	12589.08	155.5	1540.37	1313.23	2384.37	567.1	7537.18	703.28	674.59	460.44	5872.48
CLIP3	14.78	22.75	7.88	4.24	65.26	1259.69	21.78	63.0	314.17	860.08	555.41	738.29	599.49	74.58	62.56	63.89	171.45	0.0	0.53	27.44	100.83	103.69	28.86	460.44	43.94	1806.78	57.49	341.51	2004.85	27.64	473.41	490.14	665.29	281.09	2240.11	384.34	255.0	182.55	2335.28
DACT3	3.72	5.87	6.06	0.0	7.88	144.01	8.13	26.1	177.53	567.1	583.07	587.13	217.27	22.92	46.5	19.11	116.78	0.0	0.32	6.84	18.7	43.94	18.43	135.24	18.84	1066.48	47.84	368.65	1350.18	23.25	536.45	642.59	381.68	255.0	3257.52	314.17	181.28	92.7	2075.59
