	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.N7MT.0126.SM.2D7VT	TCGA.BJ.A0ZC.01A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.117YW.0126.SM.5EGGN	GTEX.139YR.1226.SM.5IFEU	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD
AKAP11	285.03	86.43	92.7	208.38	54.72	80.57	69.52	84.04	85.22	559.28	591.22	547.75	287.01	142.01	229.72	147.06	267.73	166.73	178.77	212.78	309.83	248.0	281.09	366.09	353.59	127.89	142.01	98.73	435.55	166.73	121.79	305.55	361.04	376.41	329.84	341.51	366.09	336.79	303.44	435.55	295.11	260.38	373.81	255.0	457.25	314.17	327.56	384.34	361.04	283.05	283.05	356.05	387.02	325.29	297.17	366.09	368.65	173.85	156.59	112.77	38.4	182.55	151.22	150.17	117.6	155.5	208.38	297.17	262.2	223.41	285.03	271.48	249.73	277.2	339.14	224.97	325.29	269.6	251.48	59.55	50.27	37.32	44.89	51.35	71.0	15.34	53.57	38.67	85.22	108.14	595.34	217.27	224.97	470.14	384.34	309.83	285.03	358.54	255.0	341.51	334.46	316.37	265.87	281.09	251.48	376.41	258.57	457.25
AP4E1	44.57	37.05	39.5	85.22	55.49	38.12	39.22	37.32	39.79	139.07	120.94	103.69	70.51	33.06	63.0	37.85	52.45	58.71	65.72	64.34	92.05	58.71	53.57	80.57	82.87	40.07	71.0	11.55	98.73	39.5	54.72	54.72	63.45	78.89	70.51	78.89	67.59	79.45	70.01	90.77	69.52	60.82	76.17	49.21	84.63	73.54	68.07	67.12	84.63	69.52	54.33	64.34	75.11	64.8	88.88	83.45	77.25	40.93	69.52	52.82	14.67	58.71	34.26	81.14	48.18	45.21	48.87	80.57	55.49	42.11	59.13	55.89	52.82	57.49	65.72	52.08	80.01	48.52	55.49	34.02	36.53	50.98	31.67	25.91	38.67	28.24	29.27	15.56	45.21	20.41	166.73	56.28	74.58	89.51	80.01	84.04	106.63	89.51	84.63	57.08	102.25	84.63	75.64	113.56	81.71	100.83	96.68	133.36
APPL1	173.85	107.38	220.32	89.51	202.66	165.57	209.84	239.52	287.01	830.75	753.83	769.69	432.53	206.94	332.14	279.14	329.84	199.85	312.0	283.05	353.59	323.03	343.89	563.18	423.61	156.59	255.0	134.3	258.57	221.86	104.42	339.14	493.56	483.38	423.61	412.0	470.14	466.88	373.81	529.06	381.68	379.04	503.95	320.8	532.74	480.04	483.38	470.14	444.72	412.0	332.14	463.65	483.38	403.5	400.71	457.25	460.44	267.73	279.14	241.19	58.3	307.69	136.19	303.44	289.02	285.03	312.0	373.81	318.57	318.57	397.93	329.84	316.37	336.79	361.04	327.56	423.61	305.55	348.71	98.04	127.0	131.51	100.83	71.5	139.07	138.1	94.67	44.25	166.73	127.0	785.88	348.71	373.81	665.29	432.53	435.55	536.45	348.71	457.25	318.57	591.22	384.34	403.5	409.15	341.51	412.0	389.72	507.46
ARFGEF2	460.44	154.42	291.04	209.84	214.27	242.88	241.19	248.0	182.55	638.15	579.04	532.74	483.38	202.66	341.51	256.78	457.25	248.0	339.14	426.57	423.61	463.65	417.77	571.05	400.71	141.02	239.52	115.97	277.2	148.09	153.34	412.0	547.75	518.15	447.82	432.53	511.0	438.59	432.53	647.07	450.94	348.71	555.41	318.57	656.11	503.95	543.96	547.75	470.14	389.72	361.04	511.0	381.68	435.55	384.34	389.72	486.75	373.81	186.4	166.73	104.42	305.55	236.21	327.56	156.59	228.13	368.65	384.34	395.18	379.04	441.64	438.59	438.59	389.72	457.25	356.05	497.0	358.54	435.55	148.09	176.29	166.73	150.17	85.82	170.25	96.01	109.66	115.16	152.28	118.43	320.8	563.18	441.64	785.88	902.89	432.53	660.68	457.25	305.55	476.71	536.45	607.87	507.46	426.57	688.78	612.11	521.76	521.76
ARHGAP5	400.71	307.69	309.83	358.54	307.69	248.0	368.65	438.59	189.02	1369.04	1685.71	1135.2	909.17	423.61	775.05	480.04	921.88	339.14	688.78	429.54	866.07	708.18	703.28	1225.22	651.58	197.09	376.41	343.89	291.04	346.29	218.79	775.05	1233.75	1233.75	1051.79	1008.9	1199.98	1191.69	808.0	1331.57	967.76	954.43	1242.34	743.43	1304.15	1143.1	1250.98	1199.98	1304.15	954.43	738.29	1183.45	1151.06	995.0	878.17	1242.34	1088.92	249.73	454.09	607.87	98.73	503.95	171.45	379.04	417.77	571.05	684.02	819.3	748.61	723.08	934.76	866.07	718.08	848.22	819.3	656.11	974.5	738.29	825.0	194.36	151.22	187.71	130.6	187.71	221.86	115.97	127.89	96.01	234.57	255.0	1008.9	988.12	981.29	1781.89	890.44	759.08	981.29	842.36	1066.48	551.56	1467.37	1350.18	775.05	764.36	633.73	1037.29	934.76	1417.35
ASH1L	307.69	81.71	154.42	167.9	191.67	108.9	185.11	109.66	114.36	723.08	674.59	743.43	336.79	124.37	262.2	146.03	244.57	139.07	249.73	228.13	214.27	281.09	260.38	389.72	265.87	159.9	127.0	16.63	183.82	126.12	127.0	277.2	429.54	414.87	305.55	309.83	327.56	295.11	253.23	447.82	323.03	221.86	423.61	178.77	476.71	384.34	351.14	406.31	429.54	299.25	251.48	395.18	204.07	299.25	285.03	275.28	441.64	94.67	139.07	129.69	34.75	144.01	135.24	172.65	122.64	111.99	224.97	295.11	231.32	251.48	318.57	314.17	267.73	256.78	348.71	264.03	341.51	307.69	289.02	56.68	72.52	53.57	54.33	68.07	62.56	55.1	68.55	24.11	26.67	47.17	620.67	366.09	363.56	703.28	599.49	454.09	579.04	454.09	473.41	571.05	591.22	529.06	444.72	457.25	575.03	521.76	693.58	432.53
ATRX	201.25	94.67	111.99	395.18	214.27	143.01	229.72	202.66	146.03	684.02	665.29	616.37	327.56	140.04	293.07	161.02	248.0	176.29	271.48	262.2	312.0	273.37	289.02	412.0	325.29	148.09	173.85	87.03	353.59	239.52	152.28	264.03	412.0	463.65	417.77	318.57	395.18	397.93	320.8	493.56	336.79	299.25	483.38	279.14	438.59	392.44	395.18	444.72	447.82	368.65	242.88	381.68	297.17	366.09	387.02	381.68	450.94	127.89	154.42	164.42	25.35	135.24	33.3	217.27	146.03	185.11	264.03	376.41	279.14	305.55	316.37	309.83	269.6	279.14	348.71	241.19	309.83	289.02	316.37	76.71	89.51	85.22	70.51	76.71	89.51	36.79	53.95	27.25	60.82	116.78	490.14	289.02	316.37	698.41	507.46	412.0	339.14	297.17	454.09	381.68	480.04	381.68	320.8	305.55	381.68	470.14	332.14	723.08
BBX	133.36	121.79	96.01	141.02	152.28	111.99	133.36	125.24	237.86	775.05	878.17	909.17	674.59	307.69	500.46	389.72	551.56	242.88	403.5	466.88	514.56	395.18	470.14	1051.79	698.41	212.78	211.31	149.12	483.38	229.72	221.86	525.39	896.64	842.36	612.11	660.68	703.28	633.73	567.1	743.43	624.99	473.41	785.88	466.88	785.88	748.61	738.29	791.35	693.58	629.35	551.56	718.08	616.37	587.13	616.37	723.08	764.36	299.25	248.0	226.54	46.5	346.29	212.78	579.04	287.01	242.88	447.82	567.1	420.68	435.55	571.05	490.14	575.03	521.76	660.68	493.56	656.11	525.39	536.45	110.43	61.68	92.7	54.72	48.18	112.77	55.49	89.51	25.17	53.19	111.21	679.29	543.96	587.13	808.0	629.35	483.38	575.03	571.05	647.07	447.82	915.51	642.59	444.72	423.61	381.68	559.28	447.82	819.3
BCLAF1	1159.07	466.88	624.99	665.29	785.88	647.07	334.46	947.83	738.29	2400.97	1936.53	2061.24	1259.69	392.44	836.53	616.37	878.17	454.09	1081.39	728.11	830.75	902.89	656.11	1457.23	928.3	543.96	507.46	99.43	890.44	307.69	543.96	693.58	1340.84	1340.84	1051.79	1104.13	1088.92	1277.29	890.44	1487.87	988.12	928.3	1605.83	688.78	1407.55	1233.75	1199.98	1359.57	1216.75	1127.35	785.88	1143.1	884.29	1023.0	1119.56	1250.98	1286.18	318.57	669.92	684.02	85.22	599.49	432.53	629.35	607.87	660.68	743.43	1081.39	796.86	769.69	921.88	785.88	878.17	748.61	974.5	796.86	1088.92	688.78	915.51	291.04	246.28	273.37	194.36	218.79	395.18	339.14	228.13	140.04	146.03	341.51	1844.76	1437.15	1233.75	3060.45	2163.77	1529.73	1870.53	2075.59	1313.23	2502.97	1977.24	2104.58	1081.39	1628.26	1498.22	1991.0	1268.46	2018.8
C5orf42	47.5	21.32	23.42	37.32	27.05	37.32	86.43	44.57	79.45	194.36	223.41	183.82	104.42	50.63	82.87	70.51	62.12	83.45	148.09	65.26	100.83	129.69	70.51	114.36	100.13	79.45	102.25	15.45	141.02	114.36	101.54	60.82	82.87	127.89	125.24	118.43	88.26	120.94	104.42	101.54	95.34	78.34	138.1	53.95	163.28	104.42	107.38	124.37	123.5	104.42	95.34	111.21	60.39	94.01	99.43	92.05	140.04	36.27	102.25	56.28	5.96	77.79	30.78	91.41	65.72	55.1	78.34	105.89	68.07	71.5	107.38	97.36	75.11	72.01	102.97	81.71	83.45	70.01	94.67	10.88	29.27	3.63	13.62	12.27	13.93	13.83	18.7	9.93	9.13	3.41	237.86	142.01	143.01	397.93	379.04	201.25	389.72	249.73	293.07	444.72	163.28	198.47	181.28	165.57	299.25	273.37	220.32	343.89
