	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.P4QT.0626.SM.3NMCP	TCGA.BA.4074.01A.01R.1436.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5428.01A.01R.1628.07	TCGA.50.5066.01A.01R.1628.07	TCGA.18.3406.01A.01R.0980.07	TCGA.18.3412.01A.01R.0980.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.11GSP.2126.SM.5HL5E
ACAD9	503.95	460.44	718.08	417.77	400.71	0.0	336.79	420.68	368.65	397.93	529.06	587.13	607.87	665.29	525.39	400.71	563.18	647.07	669.92	629.35	571.05	312.0	483.38	543.96	346.29	379.04
AHCYL1	2163.77	1909.85	1340.84	612.11	518.15	896.64	1127.35	884.29	679.29	713.11	1313.23	1674.06	1498.22	1259.69	1216.75	1051.79	1051.79	1350.18	1397.83	1794.29	1639.59	1008.9	1233.75	1216.75	1081.39	1023.0
AP2A1	1844.76	1508.65	1427.22	514.56	503.95	0.0	595.34	612.11	579.04	743.43	796.86	1583.71	1674.06	1447.15	1104.13	1015.93	1066.48	2018.8	1037.29	1359.57	1001.93	318.57	872.1	974.5	830.75	723.08
ATG9A	1304.15	1331.57	1119.56	339.14	334.46	0.0	490.14	248.0	444.72	698.41	651.58	1104.13	1250.98	1001.93	902.89	764.36	1199.98	1417.35	1073.91	988.12	1023.0	318.57	669.92	567.1	521.76	540.19
CABIN1	1242.34	1628.26	743.43	159.9	87.03	0.0	202.66	273.37	159.9	316.37	1151.06	1159.07	1508.65	1015.93	813.63	651.58	1540.37	1143.1	1233.75	1242.34	819.3	241.19	698.41	866.07	703.28	450.94
CACTIN	460.44	409.15	389.72	133.36	109.66	0.0	161.02	154.42	109.66	204.07	358.54	486.75	483.38	435.55	256.78	190.34	327.56	423.61	356.05	395.18	336.79	142.01	293.07	348.71	249.73	135.24
CNOT3	1059.11	896.64	775.05	234.57	265.87	389.72	285.03	246.28	518.15	503.95	688.78	934.76	1127.35	1151.06	503.95	693.58	941.27	1639.59	872.1	988.12	866.07	242.88	748.61	713.11	555.41	620.67
CNPPD1	1963.57	2468.49	1605.83	579.04	612.11	0.0	915.51	764.36	785.88	796.86	884.29	1540.37	1508.65	1350.18	693.58	591.22	1350.18	1322.37	1008.9	1806.78	1378.57	769.69	1175.27	1183.45	884.29	679.29
CPT1A	1111.82	1605.83	688.78	124.37	255.0	417.77	183.82	169.07	96.01	329.84	780.44	1397.83	708.18	1628.26	802.41	684.02	703.28	1467.37	1159.07	1427.22	974.5	470.14	599.49	444.72	466.88	525.39
CTBP1	2502.97	2451.44	2485.67	540.19	1096.5	1378.57	1378.57	1191.69	1199.98	1709.26	2240.11	3018.3	3716.2	3103.19	2090.03	1477.58	2485.67	3768.09	2835.7	3589.58	2609.3	1487.87	1936.53	2119.22	1529.73	1350.18
CYB561D1	127.0	186.4	167.9	43.32	42.11	0.0	85.22	47.5	27.44	61.25	143.01	172.65	221.86	149.12	76.71	74.58	70.51	181.28	111.99	167.9	147.06	49.56	120.94	90.77	56.28	35.76
DOHH	291.04	253.23	231.32	64.34	43.94	0.0	44.25	39.79	90.77	148.09	246.28	285.03	420.68	406.31	169.07	100.83	426.57	260.38	470.14	323.03	187.71	84.04	236.21	228.13	152.28	211.31
FEM1A	275.28	351.14	327.56	17.51	3.89	0.0	24.11	14.89	15.45	72.01	215.77	341.51	403.5	336.79	173.85	86.43	255.0	295.11	384.34	395.18	316.37	103.69	162.14	189.02	69.03	140.04
KPNA6	543.96	629.35	389.72	260.38	177.53	450.94	191.67	157.68	228.13	346.29	441.64	514.56	417.77	450.94	334.46	395.18	460.44	470.14	665.29	429.54	423.61	122.64	327.56	285.03	249.73	358.54
L3MBTL2	483.38	406.31	351.14	173.85	119.26	0.0	97.36	167.9	186.4	358.54	389.72	555.41	466.88	603.67	251.48	392.44	397.93	426.57	435.55	497.0	457.25	255.0	366.09	432.53	224.97	209.84
MEGF8	312.0	339.14	255.0	15.22	33.54	0.0	51.71	33.78	57.49	63.0	180.02	246.28	417.77	180.02	151.22	85.82	152.28	309.83	199.85	353.59	209.84	21.94	165.57	126.12	92.05	59.97
MIER2	389.72	285.03	361.04	112.77	147.06	0.0	88.26	104.42	181.28	136.19	229.72	368.65	497.0	381.68	265.87	264.03	303.44	514.56	420.68	389.72	395.18	104.42	234.57	277.2	224.97	187.71
MLLT1	723.08	872.1	490.14	73.54	121.79	0.0	128.79	133.36	115.16	175.07	417.77	620.67	1322.37	638.15	476.71	264.03	555.41	651.58	567.1	896.64	540.19	131.51	507.46	457.25	358.54	384.34
NUCB1	4575.41	4123.49	3955.48	2148.82	3060.45	3928.15	2193.99	3928.15	3928.15	3039.3	4095.0	4972.34	9279.58	5633.22	2816.11	1639.59	5751.61	7695.57	4575.41	7081.29	6037.61	3146.52	5329.3	4972.34	3665.02	4512.4
