	TCGA.CJ.5672.01A.11R.1541.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ
ABCB1	575.03	1697.45	1857.6	3491.39	4450.27	4010.71	0.0	0.02	87.65	232.94	285.03	178.77	633.73	121.79	156.59	162.14	180.02
ABCB8	368.65	764.36	1295.13	723.08	1191.69	780.44	0.0	0.36	309.83	246.28	156.59	363.56	559.28	336.79	125.24	194.36	295.11
ABHD15	295.11	334.46	299.25	450.94	343.89	414.87	0.0	0.27	170.25	92.7	87.03	214.27	318.57	166.73	48.52	246.28	229.72
ACP2	981.29	1242.34	1073.91	1242.34	1487.87	1397.83	0.0	0.3	753.83	842.36	325.29	583.07	1008.9	660.68	303.44	723.08	486.75
ADAP1	305.55	547.75	902.89	525.39	521.76	466.88	0.0	0.61	327.56	346.29	170.25	234.57	476.71	295.11	19.39	447.82	309.83
ADC	153.34	145.02	183.82	157.68	191.67	146.03	0.0	0.29	73.54	223.41	122.64	108.14	205.5	125.24	76.71	59.55	89.51
AMACR	1936.53	18431.96	7130.55	13586.57	10733.74	28132.47	0.0	0.0	120.94	85.82	41.22	76.71	237.86	120.94	32.13	217.27	129.69
ATG4D	624.99	1259.69	1819.35	802.41	1733.13	808.0	0.0	0.97	358.54	343.89	1628.26	830.75	595.34	397.93	329.84	764.36	237.86
BAI2	35.25	127.0	395.18	271.48	551.56	808.0	0.0	0.26	55.49	116.78	71.5	34.51	63.89	79.45	33.06	14.35	51.71
BBS12	201.25	217.27	226.54	389.72	163.28	194.36	0.0	0.07	147.06	31.22	13.93	64.34	70.51	35.25	25.54	38.12	37.32
BCL2L1	3443.31	3955.48	3349.13	4736.79	3955.48	7485.11	0.0	0.61	1594.73	2032.85	3564.78	2090.03	995.0	1233.75	3257.52	2609.3	2061.24
BIN1	2664.15	3491.39	7433.4	3874.05	3491.39	5366.37	1167.14	244.57	287.01	775.05	3901.01	1066.48	503.95	363.56	1159.07	733.19	603.67
BMP8B	30.56	73.03	149.12	198.47	57.89	190.34	0.0	0.39	18.29	18.84	9.41	57.49	19.82	10.71	35.5	48.87	19.53
C10orf35	295.11	384.34	264.03	234.57	334.46	400.71	0.0	0.02	209.84	90.14	75.64	63.0	189.02	74.58	127.89	71.5	86.43
C11orf52	884.29	796.86	974.5	941.27	1030.12	1277.29	0.0	0.06	287.01	295.11	63.0	85.22	316.37	66.65	101.54	234.57	111.99
C17orf97	158.79	1340.84	1331.57	500.46	1340.84	825.0	0.0	0.0	105.15	131.51	24.81	64.8	100.13	14.24	10.88	24.11	51.35
C19orf82	186.4	299.25	255.0	299.25	164.42	327.56	0.0	0.24	102.25	81.14	39.79	68.55	127.0	66.18	56.28	123.5	128.79
C2ORF15	57.49	204.07	279.14	183.82	135.24	182.55	0.0	0.0	23.93	10.08	3.0	6.31	37.32	8.65	9.2	23.59	4.46
C2orf70	23.42	154.42	187.71	71.5	111.21	78.34	0.0	0.0	0.85	65.72	5.54	9.56	13.42	2.63	2.16	6.89	5.54
C7orf57	7.22	43.94	68.55	29.48	34.51	23.08	0.0	0.0	15.56	101.54	13.22	61.68	77.79	23.25	4.46	17.0	4.74
