	GTEX.1399R.2226.SM.5P9JB	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.132AR.2726.SM.5PNVN	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.146FH.2426.SM.5Q5EW	GTEX.139YR.2126.SM.5KM11	GTEX.11DXZ.1726.SM.5H12M	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.11NUK.2426.SM.5BC4U	GTEX.Q2AI.0826.SM.48TZO	GTEX.T2IS.2226.SM.4DM65
AAR2	384.34	466.88	403.5	325.29	511.0	525.39	353.59	115.97	366.09	848.22	379.04	435.55	693.58	358.54	256.78	587.13	921.88
ACAP3	438.59	708.18	273.37	373.81	624.99	723.08	299.25	414.87	612.11	748.61	633.73	329.84	460.44	316.37	172.65	595.34	463.65
ACD	258.57	392.44	108.14	173.85	412.0	343.89	212.78	246.28	332.14	525.39	320.8	231.32	303.44	199.85	136.19	429.54	693.58
AKT1S1	1407.55	1388.16	587.13	532.74	842.36	1529.73	1073.91	412.0	1015.93	1208.34	854.13	647.07	1175.27	684.02	346.29	1628.26	1721.16
ALKBH1	199.85	211.31	122.64	135.24	212.78	198.47	198.47	33.54	132.44	255.0	153.34	151.22	232.94	147.06	78.34	183.82	232.94
ANKRD13D	400.71	525.39	205.5	262.2	579.04	521.76	307.69	309.83	400.71	547.75	441.64	361.04	366.09	265.87	327.56	497.0	688.78
ANKS3	198.47	285.03	129.69	194.36	309.83	293.07	164.42	114.36	187.71	366.09	206.94	264.03	229.72	147.06	38.95	199.85	629.35
AP2M1	4769.75	5872.48	4038.61	3928.15	4704.07	5872.48	4481.23	3614.55	4419.52	7485.11	4836.35	3928.15	5292.48	4210.15	4328.55	4481.23	8598.28
ATP5SL	1295.13	1388.16	878.17	928.3	1250.98	1594.73	780.44	551.56	1143.1	1721.16	1199.98	1127.35	1286.18	1059.11	444.72	1508.65	1359.57
ATPAF1	1909.85	1697.45	2075.59	1417.35	2351.53	1923.14	1794.29	1340.84	866.07	2004.85	1225.22	1407.55	1561.89	1151.06	981.29	1508.65	1651.0
B3GNT1	341.51	483.38	229.72	236.21	368.65	503.95	371.22	195.72	323.03	860.08	412.0	305.55	406.31	201.25	63.89	642.59	1167.14
BANF1	4869.99	5292.48	2303.12	1498.22	4512.4	5329.3	4704.07	2956.17	2591.27	6164.49	3349.13	2451.44	4736.79	2090.03	1819.35	4903.87	10368.08
BRF2	253.23	348.71	135.24	133.36	297.17	279.14	258.57	115.16	167.9	460.44	211.31	269.6	283.05	114.36	37.05	194.36	743.43
BRK1	4038.61	3515.68	3039.3	2417.67	3419.52	4450.27	3146.52	2875.3	2997.45	6164.49	3257.52	2434.5	4268.94	3081.75	3639.7	4210.15	7642.41
BTBD2	1437.15	1757.34	995.0	988.12	1417.35	1639.59	1313.23	830.75	1388.16	2104.58	1313.23	1268.46	1322.37	884.29	473.41	1498.22	2739.08
BTRC	81.71	176.29	82.87	83.45	121.79	162.14	166.73	49.21	68.55	214.27	116.78	107.38	89.51	73.03	66.65	166.73	223.41
C11orf49	775.05	802.41	275.28	620.67	738.29	674.59	647.07	493.56	336.79	665.29	624.99	842.36	688.78	426.57	575.03	669.92	1304.15
C19orf12	206.94	231.32	323.03	226.54	297.17	441.64	221.86	73.03	220.32	423.61	244.57	246.28	420.68	217.27	54.33	361.04	612.11
C19orf47	218.79	194.36	123.5	137.14	154.42	262.2	129.69	82.29	156.59	438.59	194.36	133.36	273.37	144.01	100.83	206.94	507.46
C19orf66	358.54	603.67	295.11	423.61	438.59	633.73	490.14	271.48	463.65	819.3	466.88	397.93	423.61	470.14	521.76	633.73	825.0
C1orf123	995.0	1350.18	830.75	902.89	1143.1	1175.27	1135.2	551.56	909.17	2004.85	1096.5	848.22	1216.75	759.08	540.19	974.5	2591.27
CEP76	41.22	101.54	76.17	43.94	105.89	107.38	77.25	21.78	56.68	114.36	102.25	55.49	98.04	41.52	93.35	81.14	134.3
CLCN7	551.56	954.43	429.54	432.53	769.69	1268.46	559.28	316.37	669.92	1268.46	909.17	599.49	587.13	454.09	269.6	1066.48	780.44
