	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A50L.01A.11R.A260.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.T3.A92M.01A.31R.A39I.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.QK.A64Z.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CR.6488.01A.12R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8
ABHD14A-ACY1	8.0	2.92	9.13	9.34	21.78	14.67	12.09	15.45	11.64	16.88	20.56	15.45	34.51	11.38	26.28	12.27	10.71	18.84	12.93	20.71	7.51	0.0	5.63	17.0	0.0	1.87	0.0	4.28	4.94	9.48	7.51	1.22	6.78	0.0	5.23	1.46	7.51	10.31	4.82	2.34	5.11	9.06	9.48	9.7	4.43	1.97	6.11	1.73	0.0	3.53	2.71	5.68	10.55	4.98	1.99	16.75	13.72	8.25	3.59	0.0	3.66	7.75	4.21	9.7	3.03	0.0	37.32	38.95	0.0	0.21	3.06
AC061992.1	0.0	0.0	6.94	29.27	7.28	3.32	0.17	6.62	22.26	10.96	21.32	4.1	3.14	4.06	23.42	36.01	9.34	3.79	13.62	6.21	0.0	3.72	0.0	2.71	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	9.56	0.0	0.0	0.0	4.94	6.89	0.0	3.11	6.46	15.45	23.08	5.54	0.0	8.13	2.25	0.0	7.28	0.0	0.0	6.16	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	5.41	4.54	0.0	0.0	0.0	15.0	17.51	0.0	0.0	0.83
ACRC	9.06	12.93	21.32	27.64	17.64	23.25	68.07	37.85	24.81	42.41	49.91	18.29	71.0	7.06	55.49	52.08	17.51	26.86	27.25	33.06	10.0	6.57	36.27	12.93	3.99	5.36	85.82	17.38	2.16	12.36	3.89	2.36	23.25	17.64	7.06	25.35	5.63	14.78	5.92	14.45	16.03	30.78	23.25	18.29	15.91	14.45	12.36	2.25	12.09	3.72	5.82	6.41	5.23	21.94	5.32	6.06	5.02	5.73	8.58	4.17	39.79	22.75	6.41	25.54	20.56	4.06	127.0	76.71	0.0	0.74	8.0
AGAP5	64.8	87.03	218.79	182.55	81.71	92.7	182.55	106.63	125.24	91.41	146.03	74.58	198.47	65.26	143.01	220.32	106.63	105.89	146.03	126.12	6.41	8.58	62.56	15.0	21.78	32.59	4.94	65.72	20.71	84.63	18.43	18.03	57.49	53.19	57.89	31.9	34.02	25.17	40.93	13.93	29.91	52.45	75.11	21.78	21.63	62.12	23.08	14.03	37.85	26.1	18.84	32.59	11.91	51.35	13.12	21.32	30.56	74.58	22.26	12.45	16.75	57.89	23.76	42.71	25.17	13.72	361.04	334.46	0.0	0.83	15.8
AGAP6	49.21	223.41	351.14	591.22	183.82	262.2	703.28	406.31	327.56	536.45	503.95	161.02	860.08	208.38	395.18	802.41	273.37	400.71	275.28	384.34	11.3	21.01	153.34	50.63	43.94	79.45	21.94	187.71	54.33	242.88	55.49	36.53	114.36	121.79	135.24	89.51	43.32	57.89	81.71	32.82	105.15	186.4	244.57	84.63	74.58	120.94	50.27	26.1	41.52	69.52	57.89	37.59	24.63	309.83	34.75	79.45	50.27	180.02	55.49	20.86	45.21	142.01	70.51	124.37	71.5	32.36	825.0	559.28	0.0	1.19	53.19
AGAP8	37.32	42.41	182.55	170.25	76.71	81.71	329.84	80.57	87.03	107.38	198.47	73.03	361.04	29.06	303.44	295.11	99.43	129.69	206.94	185.11	13.72	21.78	57.08	14.03	20.26	29.48	16.27	67.59	17.64	92.05	31.45	24.11	34.26	75.11	87.03	32.59	29.48	34.51	52.08	19.68	63.45	31.22	65.26	15.8	46.84	84.04	19.53	12.09	39.79	27.44	30.12	11.55	23.93	127.89	8.45	44.57	49.91	71.5	58.71	36.27	22.43	131.51	34.26	49.91	26.28	22.1	825.0	521.76	0.0	0.64	39.79
AHSA2	262.2	753.83	2163.77	2090.03	1183.45	1529.73	2502.97	1183.45	1487.87	1427.22	2520.38	802.41	2384.37	842.36	2032.85	2997.45	1081.39	1991.0	1295.13	1104.13	48.52	17.38	376.41	115.97	65.72	202.66	43.02	629.35	114.36	660.68	95.34	58.71	244.57	255.0	420.68	438.59	102.25	115.16	154.42	90.14	164.42	1023.0	684.02	85.22	124.37	376.41	89.51	39.22	128.79	218.79	149.12	104.42	44.57	395.18	70.01	265.87	167.9	361.04	143.01	86.43	153.34	575.03	164.42	460.44	102.97	34.75	3491.39	3280.18	0.0	1.58	20.11
AL161915.1	22.59	40.36	31.22	34.75	19.97	12.64	29.27	34.75	42.11	8.71	32.82	12.74	35.0	20.41	49.21	66.18	25.35	27.25	25.35	27.05	4.62	13.72	11.82	4.58	6.41	12.55	1.48	15.68	6.89	13.42	6.94	8.99	9.06	15.45	4.39	8.51	8.19	15.11	10.24	8.38	8.78	30.34	23.08	9.7	7.51	15.68	4.5	5.77	9.48	6.01	5.54	14.78	3.17	8.99	6.31	11.55	6.52	13.52	4.9	3.69	10.39	16.63	5.68	4.62	14.89	8.0	66.18	41.81	0.0	0.14	17.0
ANKS3	183.82	423.61	316.37	514.56	460.44	414.87	764.36	444.72	358.54	205.5	647.07	151.22	703.28	327.56	599.49	1059.11	403.5	507.46	423.61	366.09	34.26	46.5	204.07	94.67	72.01	128.79	60.82	231.32	106.63	412.0	142.01	66.65	146.03	111.99	105.15	88.26	105.89	115.97	120.1	105.89	137.14	435.55	309.83	150.17	102.25	155.5	112.77	64.8	110.43	94.67	139.07	105.89	94.01	166.73	76.71	231.32	110.43	291.04	145.02	57.49	81.14	149.12	125.24	185.11	142.01	85.82	860.08	813.63	0.0	0.78	115.97
APBB3	189.02	591.22	836.53	981.29	299.25	688.78	1088.92	241.19	447.82	497.0	941.27	361.04	417.77	253.23	536.45	1233.75	607.87	309.83	693.58	620.67	90.77	101.54	356.05	234.57	163.28	202.66	81.14	426.57	68.55	226.54	70.01	144.01	299.25	220.32	743.43	363.56	150.17	129.69	223.41	55.49	164.42	693.58	356.05	161.02	175.07	262.2	130.6	132.44	218.79	69.03	111.21	109.66	92.7	125.24	110.43	119.26	170.25	265.87	62.56	146.03	167.9	249.73	166.73	384.34	214.27	75.11	2417.67	1628.26	0.0	1.14	86.43
