	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.11ZTT.2326.SM.5EQLG	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.YB5K.1626.SM.5IFIN	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.TML8.1226.SM.32QON	GTEX.13OVG.1426.SM.5K7VP	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1
ACTR6	733.19	466.88	529.06	909.17	438.59	854.13	379.04	599.49	693.58	587.13	463.65	518.15	547.75	674.59	647.07	1295.13	780.44	353.59	819.3	400.71	718.08	532.74	651.58	796.86	450.94	450.94	848.22	529.06	591.22	660.68	483.38	547.75	518.15	392.44	890.44	836.53	1477.58	395.18	651.58	417.77	339.14	595.34	651.58	486.75	295.11	379.04	444.72	1051.79	423.61	178.77	236.21
AFTPH	884.29	376.41	450.94	878.17	486.75	872.1	260.38	376.41	463.65	466.88	312.0	521.76	665.29	928.3	607.87	1167.14	813.63	406.31	775.05	406.31	733.19	454.09	638.15	836.53	395.18	379.04	529.06	514.56	536.45	423.61	379.04	791.35	435.55	289.02	802.41	921.88	1015.93	211.31	703.28	406.31	435.55	988.12	525.39	414.87	253.23	299.25	441.64	866.07	521.76	170.25	358.54
ALKBH8	239.52	85.22	104.42	163.28	125.24	162.14	55.89	90.77	116.78	124.37	90.77	141.02	116.78	173.85	113.56	189.02	172.65	92.05	162.14	109.66	129.69	104.42	111.21	171.45	108.9	112.77	103.69	118.43	150.17	110.43	99.43	120.1	96.01	48.52	190.34	175.07	480.04	68.07	101.54	122.64	87.65	175.07	154.42	69.03	49.21	71.0	96.68	320.8	80.57	20.11	33.78
ATL1	400.71	191.67	189.02	470.14	206.94	295.11	100.83	93.35	120.94	121.79	91.41	197.09	258.57	348.71	303.44	441.64	348.71	136.19	381.68	136.19	395.18	166.73	228.13	420.68	113.56	84.04	197.09	172.65	255.0	88.88	67.59	163.28	90.14	115.97	587.13	603.67	450.94	77.25	293.07	88.26	90.14	301.33	214.27	164.42	27.05	36.01	61.25	423.61	156.59	7.75	15.91
BCAN	4.94	2.25	6.78	28.24	8.19	19.82	5.41	2.63	2.07	1.25	1.66	5.63	12.74	10.08	26.1	13.42	28.45	4.03	7.11	3.59	12.36	11.13	27.84	41.81	1.89	2.1	11.38	3.96	4.46	1.77	1.27	24.28	2.12	12.83	24.99	9.56	58.71	0.0	23.25	1.77	0.55	25.54	2.89	4.62	0.07	2.56	8.13	35.5	3.69	0.0	3.59
BDP1	529.06	155.5	262.2	470.14	234.57	395.18	78.34	248.0	262.2	287.01	202.66	307.69	271.48	555.41	368.65	674.59	395.18	164.42	775.05	236.21	412.0	224.97	348.71	486.75	248.0	204.07	341.51	295.11	346.29	299.25	205.5	303.44	171.45	147.06	395.18	376.41	674.59	144.01	400.71	234.57	218.79	381.68	320.8	149.12	164.42	115.16	180.02	579.04	206.94	23.42	98.73
BHLHB9	120.94	51.71	48.18	87.03	64.34	97.36	36.01	58.71	68.55	56.68	36.27	63.89	72.52	98.04	70.51	121.79	94.01	46.5	98.04	56.68	78.89	74.06	77.79	92.7	54.33	60.82	70.51	77.25	97.36	54.33	59.55	169.07	43.02	48.18	139.07	157.68	273.37	37.32	73.54	71.5	46.5	82.29	53.57	42.71	16.03	20.71	84.63	139.07	40.64	22.92	8.85
BIRC6	995.0	400.71	567.1	921.88	612.11	890.44	253.23	525.39	599.49	674.59	438.59	540.19	660.68	1001.93	679.29	1175.27	954.43	460.44	947.83	518.15	848.22	571.05	759.08	890.44	583.07	463.65	595.34	603.67	660.68	603.67	532.74	802.41	490.14	450.94	896.64	796.86	1639.59	473.41	854.13	511.0	616.37	890.44	743.43	540.19	536.45	395.18	660.68	1199.98	599.49	212.78	234.57
C2CD5	743.43	371.22	381.68	909.17	417.77	651.58	197.09	384.34	409.15	559.28	277.2	412.0	507.46	785.88	514.56	961.07	743.43	379.04	733.19	379.04	665.29	463.65	476.71	688.78	563.18	358.54	647.07	521.76	454.09	503.95	339.14	607.87	348.71	327.56	928.3	587.13	1242.34	412.0	679.29	341.51	366.09	529.06	583.07	299.25	127.89	265.87	329.84	1044.52	384.34	57.89	165.57
C4orf46	132.44	85.22	76.71	162.14	97.36	98.73	59.55	71.5	107.38	89.51	46.18	84.04	77.79	140.04	102.25	177.53	122.64	69.52	142.01	72.01	117.6	94.01	106.63	131.51	65.26	78.34	103.69	80.01	116.78	75.64	74.06	106.63	78.89	50.98	189.02	106.63	361.04	81.14	110.43	85.82	71.5	149.12	134.3	59.97	40.93	84.63	70.01	151.22	73.03	11.91	33.06
